,q05_spot_factorsAstro,q05_spot_factorsCR,q05_spot_factorsEndo,q05_spot_factorsL2/3 IT,q05_spot_factorsL4,q05_spot_factorsL5 IT,q05_spot_factorsL5 PT,q05_spot_factorsL6 CT,q05_spot_factorsL6 IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsMeis2,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPeri,q05_spot_factorsPvalb,q05_spot_factorsSMC,q05_spot_factorsSerpinf1,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
L1-L6_spot_1,4.1350240920223774e-08,5.798510915155931e-06,5.855855866876426e-09,0.8657644540071487,5.957499706710223e-06,1.0697023617467495e-05,1.628537083888659e-05,7.195578541541181e-06,6.103313080529915e-06,2.3721679008303907e-05,1.394727462411538e-06,5.247597112401081e-09,6.392130649146565e-06,1.4769618064747193e-05,1.9176058341230374e-08,2.7119310352929914e-09,2.9508020361390675e-06,6.2297170755343245e-09,1.4735371394181131e-06,4.3418927191396507e-07,0.2083218239247799,5.488958998434157e-09,3.161258675277168e-07
L1-L6_spot_2,1.6475423052497724e-07,5.676541633192755e-07,0.14981546103954316,0.14708689302206038,0.004386517661623656,3.975990621256642e-05,1.4294962647909417e-05,1.5214607674352014e-05,4.194407647446497e-05,3.129563037873595e-05,3.5990857577417044e-05,8.309825894059485e-09,8.196194539777934e-06,1.3539028850573232e-05,3.9572348242700175e-08,3.528653405027172e-08,0.16997580006718635,2.0306163417416204e-08,1.2438136991477224e-06,1.5371616484571861e-06,0.566982090473175,7.94274925830507e-09,1.5318348289383721e-06
L1-L6_spot_3,4.520320558754065e-07,0.0001325451557931956,0.10758634842932224,0.7853405714035034,0.02292662002146244,2.164070865546819e-05,1.6457659512525424e-05,2.3614001020177965e-05,4.091494211024838e-05,0.000825215969234705,5.9807991056004534e-05,1.8380756383606924e-08,4.872357976637431e-06,2.830473322319449e-05,0.0003190597373759374,8.777120221736823e-08,1.8930476016976172e-05,3.781020101456534e-08,7.908660154498649e-06,3.234385587802535e-06,0.08715402632951737,2.3891271094811375e-08,7.339382841564657e-06
L1-L6_spot_4,2.0625740138058293e-08,0.00026985853037331253,4.7583046169918935e-09,0.52692351937294,1.7498169745522316e-05,2.1734432084485893e-05,0.0006223884731298313,5.641148777613126e-06,8.560913647670531e-06,3.577990846679313e-05,2.9434280236273484e-06,7.718522465616219e-09,8.450304449070244e-07,2.1795322845719055e-05,6.661203744151578e-09,7.69777352971346e-09,5.485418250827934e-06,8.129295769876421e-09,3.5076866993222215e-06,1.7666728069798411e-06,0.5058420658111572,1.8054960360114337e-09,1.174713202090061e-06
L1-L6_spot_5,6.644451929105343e-07,1.179973760372377e-05,5.250968175829485e-08,0.6914469182491303,0.024037748482078312,8.812324485916179e-05,3.4851578129746484e-05,8.649837764096449e-06,0.0005591223627561704,4.047948241350241e-05,1.038325390254613e-05,1.3730512549159358e-08,1.5411940512422007e-05,3.910093819285976e-05,4.046834884974259e-08,7.70348254519604e-08,1.0150969637834351e-05,7.650028841510447e-08,7.679265513615973e-06,8.647661206850899e-06,0.39817568808794024,5.823749349431751e-09,4.406093048601178e-05
L1-L6_spot_6,1.0662443772346822e-08,3.6467757382752095e-07,6.257974871637374e-09,0.7028959155082702,1.1258298309257955e-05,3.565720144251827e-05,0.00015099908487172797,1.7133606252173195e-05,4.006354956800351e-05,0.0004935837641824037,3.323870862459444e-06,1.9652387939217418e-09,1.0115928091636305e-06,2.862593237296096e-05,1.037428765116033e-08,1.2235004565042118e-08,4.511793349593064e-06,1.0932031413446454e-08,7.951031960828915e-07,2.151554429019598e-06,0.3198585167527199,1.1346762140984623e-09,1.442245087446281e-06
L1-L6_spot_7,1.3818511419572134e-07,2.880263002680295e-06,0.2427730865776539,0.39234690368175507,1.82612434400653e-05,6.995565199758857e-05,1.4261942806115259e-05,2.316598329343833e-05,0.00026948099985020236,9.622750476410146e-05,3.0202224593267605e-06,2.1963979879302544e-08,4.357897452678117e-07,1.842147175921127e-05,4.734141875815113e-05,3.0357316127549444e-08,7.171769175329245e-06,8.122039796276682e-09,3.5848888501277544e-06,1.5513192010985222e-06,0.36873169541358947,9.367764846501813e-07,4.775262340217523e-07
L1-L6_spot_8,7.942705551045039e-08,0.013238144014030695,9.090675678891103e-09,0.7250031739473343,0.0018673346494324507,2.8579851823451465e-05,0.0001303478864429053,0.001901083707343787,3.684775947476737e-05,4.5576866432384124e-05,3.575857886062295e-06,1.0974097230942447e-08,0.0060809600399807096,4.087110319233034e-05,2.5107779855204633e-08,7.649977895596294e-08,2.8017103886668337e-06,3.026495072333546e-08,1.2287438585190102e-05,1.4849915260128911e-06,0.3523645758628845,6.3351940138289824e-09,9.838689857133433e-06
L1-L6_spot_9,1.879031754015159e-06,0.00019859936364809985,1.0388211570955264e-07,0.6621934980154037,9.143421557382682e-05,9.770522592589258e-06,9.115168813877972e-06,6.292485932135605e-06,3.6933915180270556e-05,9.948458755388856e-05,0.00019878850143868477,2.0041060544429004e-08,0.0003463888933765702,7.701849699515152e-06,1.0077061887159289e-07,3.587941694860321e-08,0.0001320028102782089,1.3627619788181279e-08,3.709363700181712e-05,7.223067368613557e-05,0.451762318611145,7.135243890843412e-06,5.405883416642609e-06
L1-L6_spot_10,3.415383275751083e-07,1.9714038330675976e-06,7.459087614236636e-09,0.5386390507221221,6.131396221462638e-05,0.11524374075233937,0.0001433861893019639,1.7826117618824357e-05,0.00016589020378887656,3.1040731482789854e-05,1.3446523325910677e-06,1.1909053743153208e-08,3.0887814830293795e-07,5.417255033535185e-06,6.354189778789988e-08,1.5530941865904427e-08,0.1256446897983551,1.0034449449136677e-08,1.0296206085058657e-06,4.496753390981212e-07,0.2095347583293915,3.896660505375849e-09,5.809323937455702e-07
