,q05_spot_factorsAstro,q05_spot_factorsCR,q05_spot_factorsEndo,q05_spot_factorsL2/3 IT,q05_spot_factorsL4,q05_spot_factorsL5 IT,q05_spot_factorsL5 PT,q05_spot_factorsL6 CT,q05_spot_factorsL6 IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsMeis2,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPeri,q05_spot_factorsPvalb,q05_spot_factorsSMC,q05_spot_factorsSerpinf1,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
L1-L6_spot_1,3.617285617707467e-08,0.734470647573471,2.729231889375683e-08,1.1612497246460407e-06,4.489704394927685e-07,1.3368098336741241e-06,1.8053613473512086e-06,4.31541250236478e-06,4.379532947496045e-06,6.719566931678856e-06,0.5040474474430084,1.3545057298003371e-08,1.4213482518243837e-05,1.9712456150955405e-06,1.059609995301969e-08,8.900442116654973e-09,2.2300190994428704e-05,8.650311622560026e-09,4.159281179454411e-05,6.07474573826039e-06,8.813517069938825e-06,5.4834967899708434e-09,0.017899018246680498
L1-L6_spot_2,9.222239816253365e-09,0.5416742563247681,6.6605006621145445e-09,6.081885373987462e-07,4.162148130149036e-07,6.07343420711004e-07,1.019246707301136e-06,1.1871108199557057e-05,2.2640313090960267e-06,2.4105340344249273e-06,0.6325271606445313,1.784502895452178e-09,3.52328264341395e-07,1.8133208982362706e-06,7.859700401624536e-09,3.828076589051932e-09,9.162141623164644e-07,5.903323518907655e-09,3.774634151909595e-07,1.4019936770637288e-06,9.072338713167483e-07,2.3626136380627828e-09,4.4888201813364506e-07
L1-L6_spot_3,1.648792810726718e-07,0.37444574683904647,2.3417118555357776e-08,3.1159701279648286e-06,0.00013017009259783663,0.00040867957286536697,2.038822167378385e-05,4.0823956805979836e-05,1.242468993041257e-05,1.5603446342993269e-06,0.7416661024093628,3.3910282026816677e-09,2.6687447189033265e-06,2.365416116845154e-06,3.877870096147263e-08,1.8758668218765706e-07,2.4727316940698074e-06,1.0147183893138847e-08,3.9530619915240095e-06,0.040758509933948514,1.5639111040854917e-06,9.472769191276597e-09,2.4312097139045363e-05
L1-L6_spot_4,0.000268931633036118,0.1449060007929802,6.000240837522597e-09,2.1676117683000485e-07,6.938981755411078e-07,5.734015161351636e-07,1.209910954003135e-06,3.85133109830349e-06,4.013002296687773e-07,3.1427415763118917e-07,1.0991762161254883,5.233230915280274e-09,8.475208886693508e-07,4.459598486050709e-07,6.54778056219385e-09,5.645302936230224e-09,8.710346378393297e-07,3.549963323301597e-09,3.04836778752815e-07,5.914906608950332e-07,3.539323543577666e-07,3.3476907690399576e-09,1.9123282513078266e-07
L1-L6_spot_5,1.7613893206203103e-07,0.573510006070137,1.1682573619609116e-08,6.671098475408144e-07,1.1577975385534955e-06,1.3430141962089693e-06,3.3918220196937914e-06,4.49779138307349e-06,1.1863885902130278e-06,6.202271356414712e-06,0.5262067496776581,1.2630991008677483e-08,7.258932470222135e-07,2.946187737506989e-06,3.857433767961994e-08,2.890106827635464e-07,2.5071146296795632e-06,3.6709965023362665e-08,4.153319491706498e-06,4.643161901185522e-06,0.030187117960304023,2.6393429664040017e-08,0.011543349036946893
L1-L6_spot_6,1.2323699394301002e-07,0.26756575554609296,3.351207684687552e-08,6.06437879469013e-07,8.689309510145905e-07,4.819131345357165e-06,2.3116602392292407e-06,9.753135827850201e-06,2.04634964120487e-06,4.864815832661407e-06,0.8648203283548356,1.0124466998107097e-08,5.377707537945754e-07,3.400926379981684e-06,4.4244184849162595e-08,1.7610187175165494e-08,3.1821517495700396e-06,9.330651096206567e-09,0.00013210865581640975,1.6082997080957285e-05,2.9782755177620857e-06,1.9869952438966722e-08,1.0915745804140898e-06
L1-L6_spot_7,8.926775585393898e-08,9.257304952825509e-07,3.815442206622777e-09,1.2727362673103927e-06,2.1553605733970473e-06,1.40563946047223e-06,3.4539737498562316e-06,1.5001484734966653e-05,9.840819870987615e-07,6.807043575918215e-07,1.2698886454105376,1.8319421091206324e-09,3.605389693461803e-07,5.085195112997099e-07,3.4825617056810646e-09,7.387324796326313e-09,3.265170005306573e-06,3.759318456530991e-09,1.7491749895270916e-05,5.00699039207575e-07,2.565209939575652e-07,1.5833866995329515e-09,1.5336671950194615e-07
L1-L6_spot_8,5.365323563211178e-08,0.34225422888994217,1.2045090524992475e-08,2.7844974397339683e-06,1.963009867722576e-06,1.001028904283885e-05,1.0691718580346788e-05,4.4443643309932676e-05,1.509908925072523e-05,3.149933138502092e-06,0.7801329374313354,6.324490597897636e-09,2.4992496378217766e-06,5.085264774606913e-06,3.920208673235948e-08,7.034736726474477e-09,5.468863923852041e-06,1.6848370520961e-08,7.702102107032261e-06,2.973708228637406e-06,2.118565646469506e-06,3.480352042117829e-08,5.39013774414343e-07
L1-L6_spot_9,2.1815943007652552e-08,7.059605513859424e-06,0.0005254386429442093,2.783139450457384e-07,1.1844845857922339e-06,2.828538833909988e-06,1.9400847668293868e-05,2.61547105765203e-05,4.252937316095995e-07,1.3751801645867093e-06,1.213906705379486,5.650065482143418e-09,1.8555831005073744e-07,1.2834033157105297e-06,2.3222951739398922e-08,3.443075389242267e-08,3.185998900789855e-06,1.1887372552976672e-08,2.2532244997819363e-06,2.7938347102463013e-06,7.535784590118055e-07,8.10427360775634e-09,6.160276825539769e-07
L1-L6_spot_10,0.0019792522303760055,2.828484921337804e-05,5.3848550951585136e-09,2.3056689570921663e-07,2.9591362959990875e-07,1.733858439934011e-07,1.974203961196963e-07,3.4210677540613687e-06,2.919580538218724e-07,1.3711923330106401e-07,1.2422038316726685,3.1861690730217166e-09,8.951204470974973e-08,4.4233703135887484e-07,1.95807324132602e-08,2.599914816769911e-09,1.9286756298697584e-07,1.609326999441052e-09,2.939970414672644e-07,2.3420292336595596e-07,7.560842441023397e-08,6.162668664266846e-09,1.217172943768219e-07
L1-L6_spot_11,9.796831399455643e-08,0.5054107993841171,4.363131278495303e-08,1.1583807804527168e-06,8.351584540378099e-07,1.2829775357658946e-06,4.6467827814922196e-06,6.713665015922743e-06,1.0710625019783038e-06,1.4937332821318706e-06,0.7672465831041336,4.897096195222162e-09,1.002084474066578e-06,4.351238430899684e-06,2.3069705321177028e-06,1.4238354921758402e-07,1.4148977516015294e-05,2.2702999924462126e-08,2.26741121878149e-06,2.1237281202957094e-06,1.0699983420181526e-06,2.2939047568115713e-07,1.0905857152465615e-06
L1-L6_spot_12,2.1165863373084905e-08,0.12819256857037545,6.439107469446981e-09,2.2624503912993534e-06,4.20582582592033e-06,1.1831099118353452e-05,6.707670399919152e-06,0.010499439109116793,2.7317564126860815e-05,2.2411786812881473e-05,1.1185647904872895,6.453743583989537e-09,7.994422531965029e-07,8.54575660014234e-06,1.0624568025363601e-08,2.01208850469925e-08,3.7060087379359176e-06,6.9749602982227555e-09,7.5840680665351105e-06,2.4310518710990435e-06,7.344982009271918e-07,3.0671515105495925e-09,1.9445975908638503e-06
L1-L6_spot_13,3.981698859512051e-09,0.740900906920433,9.65204707270573e-09,2.4316714615224554e-07,3.468394851324774e-07,1.2401623052937794e-06,5.712252118428297e-07,2.0967528257642696e-06,7.369396627154855e-07,1.1266271940257866e-06,0.4388769045472145,1.8382313227149896e-09,1.882626243343566e-07,1.1337976843606157e-06,3.1548029633121646e-09,1.2880563282635649e-08,3.77412473540062e-07,4.406822107227981e-09,2.3806726616726338e-07,7.528380535859469e-07,7.825370289538114e-07,1.3359894079911783e-08,6.548078026469283e-08
L1-L6_spot_14,9.675218759497286e-09,0.33954081535339353,6.2744512030477035e-09,8.520177431137199e-07,1.8074629315378844e-05,1.0976606063195505e-06,1.2833133155254473e-06,7.85741867730394e-06,1.1012345169092441e-06,7.0601489596811e-07,0.9067414313554764,2.8961145148720395e-09,6.110072490628226e-07,1.3645044077748024e-06,9.424855740292062e-09,1.1232336838418178e-08,7.846731676863783e-07,6.0541031743355235e-09,4.977018079443952e-07,6.832737369677488e-07,8.437969768237963e-07,4.873831338514378e-09,1.690605110127308e-07
L1-L6_spot_15,2.5878108100840793e-09,1.1268865287303924,2.5004134096562326e-09,8.136002538350341e-09,1.1196300198079713e-08,1.1501107577416293e-08,1.4497281908276704e-08,6.569357040575596e-08,8.128426998155191e-09,8.855567612542359e-09,1.4106331791552407e-08,3.399245329660517e-10,9.258102773301858e-09,1.917977359155998e-08,1.6799596547212305e-09,7.939191193351293e-10,1.2693290818432956e-08,1.6441796535371373e-09,1.0595357213816214e-08,1.8582959704360748e-08,6.7618081134313e-09,7.330940798855323e-10,2.1028141095058577e-08
L1-L6_spot_16,1.0032992577180266e-06,0.2753333240747452,1.6835644700563535e-08,4.805708016419886e-07,5.413763147998908e-07,6.018474834945666e-07,2.5819877805588475e-06,5.700110750694876e-06,8.996505755476393e-07,4.989436206415121e-07,0.8503362238407135,5.296903693441379e-09,1.5306580144169858e-05,8.740362176240525e-07,9.824485847076404e-09,8.70589907719932e-08,0.0808430016040802,1.6944430569765245e-07,0.0031895694788545374,1.910518921022231e-06,2.562107761150401e-06,1.1377148556590555e-08,2.454100740578724e-06
L1-L6_spot_17,1.1837252422708389e-08,4.2664790527169317e-07,2.237568030860615e-09,3.707885937842548e-07,6.664422301128071e-07,1.5022176910406418e-06,4.046501726406859e-06,1.9349147351022115e-05,8.615202034434333e-07,5.810857743426823e-07,1.1726139307022094,2.0122314037251957e-09,2.589460493140905e-07,5.672761346886545e-07,6.0299873538838266e-09,1.8305166715748556e-09,2.5953917884180553e-06,5.282860615629659e-09,3.617053451421272e-07,5.518354129208092e-07,1.224769235363965e-07,8.724886646493959e-10,7.3215107931901e-08
