,q05_spot_factorsAstro,q05_spot_factorsCR,q05_spot_factorsEndo,q05_spot_factorsL2/3 IT,q05_spot_factorsL4,q05_spot_factorsL5 IT,q05_spot_factorsL5 PT,q05_spot_factorsL6 CT,q05_spot_factorsL6 IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsMeis2,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPeri,q05_spot_factorsPvalb,q05_spot_factorsSMC,q05_spot_factorsSerpinf1,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
L2/3_spot_1,6.61461758255655e-08,2.532691098622309e-07,1.3435800205741088e-08,0.20554556250572203,0.07706109434366226,2.09792287023447e-05,1.446919591217011e-05,3.59939763256989e-06,5.362354613680509e-06,3.0408195198106113e-05,7.51657485125179e-06,2.344528162723236e-08,2.714271204240504e-07,9.940619884218905e-06,7.806679924726723e-08,1.0051943668543117e-07,1.456407056821263e-06,1.4137865056440549e-08,0.02838414777070284,1.0209138736172463e-05,1.3983645942516888e-06,1.1962711496948943e-07,0.7188674658536911
L2/3_spot_2,5.303953187763e-08,1.0217442707016746e-06,5.188926106569625e-08,0.5425413608551025,0.0138428402133286,0.00011817780214187223,5.4723406174161936e-05,4.376480992505094e-05,1.6529307868040632e-05,1.1042553114748444e-05,6.829667768215586e-06,1.953655761610662e-08,7.700338460381318e-06,8.253183204942616e-06,1.5801052821728947e-08,1.9144503760060164e-08,2.991823512275005e-05,2.5861627594991892e-08,3.2981669960463477e-06,4.525149756773316e-06,8.419775156198739e-07,1.6605948260917104e-08,0.5920591622591018
L2/3_spot_3,0.0871919833123684,1.2039921784889886e-06,1.1629219045516948e-07,0.6776256680488586,0.004584203311242163,1.5056336678753727e-05,1.7126827697211414e-05,1.4837886919849552e-05,4.412442576722242e-05,9.61463242674654e-06,1.104253092307772e-05,1.4181367680166091e-08,0.0003959725945605897,1.175233433059475e-05,1.018311628797619e-07,6.777248771072663e-08,1.7603880792194105e-06,2.3216044731100284e-08,5.503300099007903e-06,4.440495354174345e-06,8.042259793228368e-07,3.3615330785607964e-08,0.36450796276330943
L2/3_spot_4,4.2986331161287694e-09,5.699913970147463e-07,4.050535218347307e-09,1.0952640652656556,0.08117207214236259,3.847885170671362e-06,2.316184111350594e-06,1.9815371729237087e-06,8.028235970414244e-06,1.0120045772055164e-06,3.6733366215457863e-07,5.033471839333005e-09,2.992203150142814e-07,8.736499097494743e-07,1.1264119681442254e-08,4.593358182702901e-09,2.489472329614273e-07,7.615744013200753e-09,1.6837344816167387e-07,1.3639347500316036e-07,1.435156534057569e-07,4.244178386514363e-09,1.0162149521875108e-07
L2/3_spot_5,0.1609942987561226,7.333432790801453e-07,5.644949254701714e-08,1.6065522402186617e-06,2.589966493360407e-06,1.0622246600178187e-05,2.2719728235642834e-06,4.100464639122948e-06,8.298239572468447e-06,0.0008694201998878271,1.1514328843986733e-05,1.3746727134389403e-08,6.510748391974632e-07,1.3563923721449102e-05,0.0002613717428175733,7.217126594127877e-08,1.7688692310002808e-06,1.367616948577677e-08,0.09785071946680546,2.3481065227315414e-06,1.3306878940966271e-06,7.314560477311716e-08,0.7956830382347106
L2/3_spot_6,0.47602005004882814,1.7143826084975445e-06,4.119564724902602e-08,0.1345333494246006,1.2839088867622195e-05,1.779248232196551e-05,4.5192803918325807e-05,7.262666304086452e-06,1.3240839552963737e-05,2.433002464385936e-05,5.760755757364678e-05,3.2740777022866045e-08,0.003999118460342288,0.00011972699649049903,4.1447733956090364e-08,5.6826773153773055e-08,0.04312389884144068,2.9996447459268444e-08,2.4559744269936344e-05,2.4495788420608736e-05,3.749365339444921e-06,7.771270915668538e-08,0.5188313096761704
L2/3_spot_7,1.726226903642214e-08,4.38982578998548e-06,9.251234045493107e-09,1.2001972377300263,2.9920630822743987e-06,1.7984726184749888e-06,7.870631407058681e-06,2.1649048676408713e-06,3.791499636918161e-06,2.483455591573147e-06,8.460500140472504e-07,8.752673874568017e-09,4.0534672223202507e-07,7.72080471733716e-07,4.270102671455335e-09,1.008014414161096e-08,3.1385986574150595e-07,9.319521687700671e-09,1.7746873908208725e-07,2.1100288947195622e-07,2.648250614356585e-07,4.647327256357414e-09,3.860502360453212e-07
L2/3_spot_8,0.19619490131735803,1.7778080234620579e-06,4.55661082199299e-08,0.8912564545869827,2.08288416843061e-06,1.0800683048728387e-05,1.428498062523431e-05,5.618817658614716e-06,5.520197319128783e-05,2.9467784656844742e-06,1.4216968679647835e-06,2.8646776684126965e-08,8.905949414383944e-07,1.3368336340136011e-06,1.9163727316140467e-08,1.170167038822001e-08,5.207497054016131e-07,1.1238745889485814e-08,2.6190865725084224e-07,3.4191687916518274e-07,1.0892343368595901e-06,1.6311349249065186e-08,3.0428085722178367e-07
L2/3_spot_9,1.4937523351576944e-08,1.3989344296305715e-07,7.933595425058115e-09,3.8171274212572827e-07,1.4782029268189946e-06,6.217555181819989e-07,4.136093622264525e-07,4.175037176423757e-07,1.4075170966521e-07,2.1541344139563991e-07,1.0108086769378133e-06,6.3336258016022394e-09,2.389582668627099e-07,2.501558981293783e-07,4.2807145206325004e-07,1.3308020729851935e-08,4.4534353583003396e-05,4.315279711342157e-09,0.040102724172174926,9.180875167658087e-07,8.25729372877504e-08,3.2262403060201445e-08,1.1126559972763062
L2/3_spot_10,0.30512330681085587,1.8855483347124394e-06,2.346345496562208e-07,0.5671663999557496,0.041811404190957545,5.048810326115927e-05,9.24676746762998e-06,9.30600713218155e-06,0.00015007745678303764,3.3009052913257624e-06,3.0394647365028507e-05,8.580883488207292e-08,1.796166761778295e-05,2.8443635710573292e-05,1.4963410137625034e-07,1.5160374644551666e-07,8.6189736975939e-06,3.799808041549113e-08,2.9848505278096125e-06,3.8025993717383245e-06,4.602547392096313e-06,3.073269834175108e-08,0.14370621070265768
