,q05_spot_factorsAstro,q05_spot_factorsCR,q05_spot_factorsEndo,q05_spot_factorsL2/3 IT,q05_spot_factorsL4,q05_spot_factorsL5 IT,q05_spot_factorsL5 PT,q05_spot_factorsL6 CT,q05_spot_factorsL6 IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsMeis2,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPeri,q05_spot_factorsPvalb,q05_spot_factorsSMC,q05_spot_factorsSerpinf1,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
L2/3_spot_1,0.16737705022096633,3.3013443214713337e-07,3.70354133139017e-08,2.2047953393666833e-06,4.948468358634273e-06,3.6135577943241515e-06,1.7345987259886903e-06,3.665263750463055e-06,1.0699579149786586e-06,1.4816903785686007e-06,1.9750189267142563e-06,2.0791159460742395e-08,1.3233421384484246e-06,4.656800160773855e-06,6.472101745202962e-07,1.3246352708051746e-07,0.23095637708902358,3.6376940641957846e-07,2.913378409630241e-06,0.137101636081934,1.0097102176587214e-06,6.244507684272094e-08,0.5738433212041855
L2/3_spot_2,0.353955639898777,2.1429543082263088e-07,8.777982074548164e-09,0.480270679295063,0.28954432159662247,1.0017805976758613e-06,1.8851590880331063e-06,7.116038688081972e-07,6.876656868826103e-07,2.9009515429834214e-07,5.27728843735531e-07,1.0622029966711467e-08,2.2106336174942956e-07,1.0886663119435982e-06,2.6243402739822844e-08,4.255742265257822e-08,2.361162891872937e-07,6.8358555704861604e-09,1.2877841086833542e-07,1.1270192601386952e-07,3.075168962141106e-07,2.9490139663579384e-08,1.4178527152353126e-07
L2/3_spot_3,0.24059441909193993,2.720770407904638e-06,1.4459145774026184e-07,0.3996851399540901,0.00015586162917315962,0.00021847680327482524,4.5016816875431695e-05,3.5453705459076444e-05,5.124432300362969e-05,6.36011885944754e-05,0.02831746693700552,8.763635968023209e-08,1.0231952683170676e-05,8.741982537685544e-06,2.17644563349495e-07,1.1182687451594121e-07,2.5560783251421528e-05,1.2403078883949095e-07,2.2988517230260186e-05,4.2747951556521006e-05,1.870533378678374e-05,6.886057768440423e-08,0.4596757456660271
L2/3_spot_4,4.0573223181183964e-08,1.2942983573793754e-07,6.822901776892821e-09,3.141294044439746e-07,1.5476344913167851e-06,3.854103653111451e-07,1.0516769464175015e-06,4.897639840351077e-07,3.967808069660351e-07,1.9890475044803682e-07,1.3738751420078189e-06,2.5384560897734337e-09,5.474009185491014e-07,3.5319213509410474e-07,6.015088294120119e-09,5.524635238174369e-08,3.001717928441395e-07,3.936379533442392e-09,6.163220348298637e-07,4.152620320496681e-07,5.509816656257273e-08,2.0745601791993805e-09,1.1585494041442872
L2/3_spot_5,0.37392248660326005,2.3588065118929082e-07,1.7883424430209518e-08,0.4167756766080857,2.210481432030065e-06,2.593000567685522e-06,2.0077819726793678e-06,1.2947107279615011e-06,1.0862131011890598e-05,1.4157005352899432e-06,3.7931185147499496e-06,4.209524173681701e-09,1.6566595434142074e-06,5.558205430133967e-07,2.8073502456038572e-08,1.491296686140231e-07,2.2990403977019017e-06,1.4621602284492498e-08,1.0914690562913165e-06,1.8923819368410482e-06,7.533102660772783e-07,1.4355575128632835e-08,0.2569980353116989
L2/3_spot_6,4.324906850428079e-08,8.067608348483191e-07,1.805028420065469e-08,0.9733679860830308,0.10638158693909645,1.3854764620191418e-05,8.258738404265387e-07,2.050154716926045e-05,4.336961569606502e-06,1.4703528165682656e-06,2.0408576347108466e-06,4.957208883382692e-08,6.424939073212954e-07,2.572268545009138e-06,4.949922849384338e-09,1.9261268047188198e-08,1.4999389748027172e-06,6.512596795182901e-09,1.839569665662566e-06,2.367593901908549e-06,8.620950495696889e-07,1.0282083318102764e-08,0.08441498652100562
L2/3_spot_7,0.10223182030022145,5.256356104155202e-07,7.776131738523873e-08,0.6071641474962235,1.3834469609719235e-05,8.374951494261041e-06,4.449048606147698e-06,1.8615259796206375e-05,1.691636798568652e-05,1.4385310623765691e-05,7.398219986498589e-06,5.673337732936547e-09,7.169588201350053e-07,6.230682811292354e-06,5.905178284137947e-08,1.3403958032398579e-08,3.5684950034919898e-06,4.707403746806449e-08,6.485548010459752e-06,4.447715332389635e-06,1.8779027698201393e-06,8.502161508161522e-09,0.3258721396327019
L2/3_spot_8,1.1781906366348267,1.8439963582750353e-07,4.362726180318078e-09,4.745582646847879e-08,9.3764931818896e-08,1.0572189985680326e-07,1.1468995140262451e-07,6.709011302064027e-08,4.529762875904453e-08,8.6068762072955e-08,7.924728926411718e-08,6.548300102160453e-09,4.8005771624559654e-08,1.3440777166806586e-07,2.8208586666522707e-08,2.9462924100442934e-09,7.860536470616352e-08,4.4124236264764254e-09,3.743404910494519e-08,2.817053523784807e-08,1.1105045723525109e-05,9.244569376676282e-08,2.6076918313577837e-08
L2/3_spot_9,0.40149758309125905,8.128622221192927e-06,5.762206845005836e-09,2.500630444046692e-07,3.1689879733676205e-07,3.0658765837188184e-07,4.083046974301397e-07,2.418370939949455e-07,1.9906083821297217e-07,2.726298035327091e-07,1.2282030752430728e-06,1.594461868092978e-09,5.635554117588981e-07,6.020894062430671e-07,1.2847711650110229e-08,8.001908602395247e-09,4.923057730366054e-07,4.308570678013269e-09,2.392516393001642e-07,6.416633226535852e-07,3.0284523688806075e-07,4.521269403312545e-09,0.7691097468137742
L2/3_spot_10,0.09165778495371342,2.0906159534206384e-06,4.4747043759230115e-08,0.28855899125337603,2.1372030732891294e-05,1.544520373499836e-05,5.399910673986597e-06,7.397071954073908e-06,2.4488898816343863e-05,0.0011907145730219782,0.04278151076287031,1.8785330091475318e-08,5.82481081437436e-05,4.58459624042007e-06,0.0004581704255542718,5.45133762130945e-08,1.6223583600094572e-06,4.966638602610374e-08,0.07355650551617146,5.699569428543328e-05,1.971450592463953e-06,5.6722796060171274e-08,0.506716948747635
