,q05_spot_factorsAstro,q05_spot_factorsCR,q05_spot_factorsEndo,q05_spot_factorsL2/3 IT,q05_spot_factorsL4,q05_spot_factorsL5 IT,q05_spot_factorsL5 PT,q05_spot_factorsL6 CT,q05_spot_factorsL6 IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsMeis2,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPeri,q05_spot_factorsPvalb,q05_spot_factorsSMC,q05_spot_factorsSerpinf1,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
L1-L6_spot_1,4.427943345319819e-08,1.5408770013891627e-05,1.5898821281723487e-08,1.3655938073497967e-05,9.215682848662255e-06,2.4743640005908676e-05,0.0001567983374116011,0.00019060704507865012,6.819818481744734e-05,2.761344540119171,7.165041506596026e-06,1.0193599209173954e-08,8.345572581447414e-07,4.975542360625696e-05,3.058125486177232e-08,4.863179015046626e-08,6.400623442459619e-06,1.0025003138736112e-08,1.0976497321735226e-06,7.782184695770411e-07,4.109513020011946e-06,5.972769034912062e-09,6.289697779493508e-07
L1-L6_spot_2,7.297243307391454e-08,2.8085531653232468e-06,9.941082964814996e-07,3.118694885415608e-05,0.1064209520816803,2.354108746658312e-05,0.000218600233347388,0.0002661197664565407,0.0004972563445335255,1.092993700504303,1.4161574108584319e-05,2.043737934442902e-08,1.2554157308386494e-06,0.009530030796304345,2.078914853598235e-08,2.162088437174248e-08,5.701093650714029e-05,1.3359181982863788e-08,2.5664824534032958e-06,4.036060545331566e-06,0.00019286039023427295,2.7955264436663184e-09,2.1902372168369767e-06
L1-L6_spot_3,6.299623613870154e-08,1.8584740132610023e-06,0.5755218118429184,4.157512812525966e-05,2.4562847193010386e-05,2.8456997006287567e-05,4.3897480099985846e-05,0.007815304398536681,5.879574400751153e-05,1.9227653503417967,1.3902344335292584e-05,1.5041646950209044e-08,1.4883609355820229e-05,0.0004977990669431166,1.8994268700112115e-07,2.851652979529718e-07,4.012209569737024e-06,2.2905801255745928e-08,2.034915144122351e-06,8.283276201836998e-07,3.3382611832166733e-06,2.6914242834408242e-08,6.504021087039291e-07
L1-L6_spot_4,1.1405922784035738e-07,1.3940698977421562e-06,2.1184130094553667e-08,8.50204205562477e-06,5.1635575346153935e-06,1.5045944610392326e-05,2.2613192322751273e-05,0.06085739545524121,4.4801579497288914e-05,1.8516054272651672,9.480890270197051e-07,6.633116056420363e-09,3.0923848498787266e-06,0.00013844723798683845,1.987696798266825e-08,4.606634522730247e-08,1.94339723975645e-06,1.8529877365836003e-08,5.929301579499226e-07,8.79230321970681e-07,7.788172808886884e-07,2.6446866141505155e-09,2.7026848101741052e-06
L1-L6_spot_5,9.366936062349398e-08,6.663493331870996e-06,0.3277372881770134,1.2191071664346965e-05,6.063459363758739e-06,1.5355861251009628e-05,3.683402119349921e-05,0.01663742624223232,0.0001061823710188037,1.5020791947841645,8.97631460361481e-07,1.4133818115880107e-08,1.0584742824448767e-06,3.5815346745948776e-05,9.548981765306052e-08,1.2996884990457147e-07,1.6420065719557898e-06,1.5564230437803418e-08,4.7596344927569594e-07,1.0463932994753121e-06,9.131660988259683e-07,7.435517623832767e-09,2.791215251818358e-07
L1-L6_spot_6,3.938098743105912e-07,0.004409253271296621,1.309516805410385,2.058155064332823e-06,7.744947652099654e-05,1.2626953002836672e-05,1.1958724144278678e-05,4.2789544022525663e-05,6.605219414268504e-06,1.1494171917438507,3.698554871789384e-06,0.00018174759898101911,4.7418637450391545e-06,0.2658616274595261,1.6609160180536266e-08,7.121346392580108e-08,0.0008863355149514973,3.223941700269961e-08,4.1740767528608565e-06,6.064656326998375e-06,0.0001361855465802364,1.4695340277981472e-08,7.336827047765837e-06
L1-L6_spot_7,1.1779231776642974e-07,2.810210196457774e-06,5.05530177719038e-09,3.030017865057744e-06,4.08970117860008e-06,9.609509925212479e-06,1.4532530622091146e-05,0.0001784359075827524,1.0181622610616615e-05,1.3521617174148561,8.506622634740781e-07,3.8334772578529924e-09,1.6498149136623398e-06,0.06522837691009045,6.645634109680998e-09,1.911465004056368e-08,5.580168613050774e-06,5.365726085670985e-09,1.3690146488443133e-06,1.7516034347409008e-06,2.8269340532460776e-06,2.797320663994185e-09,6.515118201377847e-07
L1-L6_spot_8,7.424404498124204e-06,1.8754704285584014e-06,4.905912942376745e-06,0.0005298240634147078,0.002271554106846452,3.8731015229132035e-05,0.0002316201964276843,0.0007170022290665656,0.00012000454262306448,1.8516685664653778,5.287943827170239e-06,7.196561462308182e-08,1.0258163911203155e-05,0.00028271722549106927,5.708687112928602e-05,2.4511570444474274e-07,5.296674203236762e-06,0.00015832288117962888,6.321303146705759e-07,9.693071518768195e-07,1.2242827096997643e-06,2.4846166724046278e-08,1.085709902781673e-06
L1-L6_spot_9,4.534479547402271e-08,2.5624139880164876e-06,8.449014640063979e-05,5.686770236934535e-05,0.006467114808037877,2.9714052379858914e-05,8.104900443868247e-05,0.005156699661165476,8.917980194382834e-05,1.6480277359485627,1.0800234917951456e-06,5.7700924260828405e-09,2.8166504193904986e-06,4.552305636025267e-05,1.5994890922854668e-08,4.916455225156824e-08,1.4513557573536677e-06,7.944209312604757e-09,6.850335722674572e-07,6.062321574518138e-07,6.950151487217227e-07,7.963814541156467e-09,7.822626173492608e-07
L1-L6_spot_10,6.49388859130795e-08,2.4767860622887385e-06,3.708423044201936e-08,1.961210415402093e-06,6.468613264587475e-06,7.398108255074476e-06,2.4262517308670793e-05,4.67919808215811e-05,6.2186060631574945e-06,1.5951720595359802,9.934582919868263e-07,1.4657720059929604e-08,3.2272631415253277e-06,0.12476486153900623,7.621698188131631e-08,7.322968684775332e-08,1.5192159662547055e-05,5.086051113600832e-09,4.4835817902821873e-07,7.080540740389553e-07,3.0417607263188985e-06,3.745809562527569e-09,7.239684606474839e-07
