,q05_spot_factorsAstro,q05_spot_factorsCR,q05_spot_factorsEndo,q05_spot_factorsL2/3 IT,q05_spot_factorsL4,q05_spot_factorsL5 IT,q05_spot_factorsL5 PT,q05_spot_factorsL6 CT,q05_spot_factorsL6 IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsMeis2,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPeri,q05_spot_factorsPvalb,q05_spot_factorsSMC,q05_spot_factorsSerpinf1,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
L1-L6_spot_1,5.52418704558022e-08,1.0627519130706786,2.347310212869047e-08,1.0877101317419149e-06,4.019886176820364e-07,7.391011877189158e-07,1.309495519308257e-06,2.0085465166630456e-06,3.3307549301753173e-06,3.767735620385793e-06,0.45910992026329045,7.84091862549019e-09,6.308404908850207e-06,9.791368938749657e-07,1.1309111247470583e-08,2.5610650933316492e-08,3.1685768408351575e-05,2.5974071604650818e-08,0.030904872342944145,1.383034455102461e-05,4.761514696838276e-06,1.2566211538000971e-08,8.318622276419775e-05
L1-L6_spot_2,4.123410075607126e-08,0.5901773393154145,2.6797553420720993e-08,3.9792354868950495e-07,7.363330070120355e-07,6.705652964456022e-07,7.69744201534195e-07,4.226833175380307e-06,8.900494549379801e-07,1.2064109455423023e-06,0.5104022949934005,2.960974254673232e-09,1.0292035085512908e-06,1.430607585461985e-06,7.316585759475913e-09,2.3666241055764208e-08,5.610549010270915e-07,7.616860742132304e-09,2.7490993517176324e-07,3.832288413718744e-07,3.1442327639297215e-07,1.0090201174595137e-09,1.736666646934282e-07
L1-L6_spot_3,1.213950419298726e-07,0.39952674955129625,2.371299512304859e-08,3.3982896297857223e-06,0.00022412196922232399,0.0002583996538305655,1.6273091023322195e-05,3.6387287582329006e-05,1.6599174523435066e-05,1.5206016087176978e-06,0.6798417091369628,8.569750375997387e-09,1.473577702881812e-06,1.8179618564317934e-06,2.8325389322958475e-08,5.717191783105592e-07,1.854277815027672e-06,3.768618892507903e-08,2.741551634244388e-06,0.03702406845986843,8.639768111606827e-07,4.4914922225913754e-09,8.087912283372135e-06
L1-L6_spot_4,0.000335056109179277,0.16147130951285363,3.255466896057158e-09,4.160613244152955e-07,8.03023533535452e-07,9.455121585233431e-07,1.0792755915645103e-06,5.055431711298298e-06,3.23914638045153e-07,4.1222912443572574e-07,1.0524713933467866,1.4572154460879007e-08,3.823126633051288e-07,5.063607972033425e-07,1.22989161077669e-08,1.173222048400646e-08,6.143194553942522e-07,6.446662981218765e-09,2.3503054080720179e-07,5.745072570562116e-07,4.3556786692988687e-07,7.534771584438715e-09,1.585417479077478e-07
L1-L6_spot_5,3.555556702394825e-07,0.5005304008722306,1.866113885640175e-08,3.4978448155698065e-07,5.961726856185124e-07,1.4862093166811974e-06,4.687019213633904e-06,5.938541153227561e-06,1.0382903894878836e-06,2.33790684660562e-06,0.4244368582963943,7.94748533650136e-09,6.330356711714558e-07,2.17377968283472e-06,2.25536155973316e-08,3.1922222092362064e-07,1.9712043240360797e-06,3.230502336748486e-08,2.072804113595339e-06,6.018968906573719e-06,0.019765259604901074,1.9414813934304223e-08,0.016921410150825978
L1-L6_spot_6,2.6701542736873314e-07,0.2922800868749618,5.774704465721926e-08,5.290172310878916e-07,9.547631293571611e-07,5.5629917596888845e-06,1.2560647519421766e-06,9.445453360967803e-06,1.5120885677788466e-06,2.113736456976767e-06,0.7591128379106521,1.602979979864472e-08,9.638011363222176e-07,5.877961802980281e-06,7.176483656223811e-08,2.2087954043570333e-08,1.4785796565774946e-06,1.1268132205088934e-08,0.00011369741878297647,2.9951905730740694e-06,2.7331755404702563e-06,8.766086034839305e-09,7.549056107336583e-07
L1-L6_spot_7,5.7958141397307385e-08,8.933818378409343e-07,1.5334515435228017e-09,3.525471640841715e-07,1.2008061389678915e-06,1.743220241223753e-06,2.3442324163625015e-06,8.971930083134793e-06,1.174892480548806e-06,7.448448030800137e-07,1.3120104849338532,1.589100371290897e-08,6.110897317057606e-07,5.060547778157343e-07,5.097487854044403e-09,7.502314880447615e-09,2.421369038074772e-06,3.5409680521070187e-09,1.2188976097604608e-05,4.565675297385497e-07,3.5924397252529165e-07,4.187764890417612e-09,5.7252350416092674e-08
L1-L6_spot_8,3.812017119741995e-08,0.34589987993240356,1.620477947383847e-08,5.214101747696986e-06,2.707937244394998e-06,7.315070365621069e-06,1.428598784514179e-05,3.572923178580822e-05,2.8618484702747085e-05,1.576367657207811e-06,0.6927963703870773,8.12269473904337e-09,1.5178817363903364e-06,6.655807897004706e-06,8.497019052811084e-08,2.0353669505368545e-08,4.4400865817806344e-06,2.4572104795339562e-08,6.6262408836337275e-06,1.056461184134605e-06,1.0824536502695992e-06,3.2700346608294236e-08,8.259523241349598e-07
L1-L6_spot_9,4.1586410226557296e-08,1.034497472574003e-05,0.0006136868993053213,5.598887440783074e-07,2.6624708652889242e-06,2.871958747618919e-06,1.5630938014510322e-05,2.8252194715605584e-05,8.698680829866135e-07,7.96788367551926e-07,1.135156047344208,2.6948202114240877e-09,2.0009681236388133e-07,1.6218816028867876e-06,2.7792790735503565e-08,8.875164070332175e-08,2.233972725207423e-06,9.595193040112805e-09,1.6246971028976986e-06,1.638800563341647e-06,6.428553376736091e-07,1.6941192360064863e-08,3.477138378116251e-07
L1-L6_spot_10,0.0026069188257679342,2.0987964217056287e-05,8.9582719464687e-09,4.514740624017577e-07,3.7842376912067264e-07,3.170394350604511e-07,1.5262262422766077e-07,2.406354155937152e-06,1.9906056181184797e-07,6.36900033157417e-08,1.243613922595978,7.3812819856300395e-09,3.897280151932137e-08,2.9576277853493594e-07,1.0279230977516819e-08,4.765445105192612e-09,3.6606542579420427e-07,4.326939717635981e-09,3.463913031964694e-07,9.930104951649809e-08,8.421164068295183e-08,4.977513734516493e-09,3.881441923425655e-08
