,q05_spot_factorsAstro,q05_spot_factorsCR,q05_spot_factorsEndo,q05_spot_factorsL2/3 IT,q05_spot_factorsL4,q05_spot_factorsL5 IT,q05_spot_factorsL5 PT,q05_spot_factorsL6 CT,q05_spot_factorsL6 IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsMeis2,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPeri,q05_spot_factorsPvalb,q05_spot_factorsSMC,q05_spot_factorsSerpinf1,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
L1-L6_spot_1,7.010452864051331e-05,2.3320692292827523e-07,1.1967248214617144e-08,2.175762556362315e-05,0.1905224457383156,0.04627152234315872,2.8799215397157243e-05,3.10954732412938e-05,1.2156532920926111e-05,2.8367489449010465e-06,7.620250130457862e-07,4.427136879314731e-09,3.8915278537388077e-07,1.1641959369182588,2.0933037703230183e-08,1.2217253981816613e-07,2.3299698568735036e-06,2.122698896656061e-08,2.2732283468940296e-07,1.771731518829256e-07,5.555048346650438e-07,1.5037298073394826e-08,2.2805519606095006e-07
L1-L6_spot_2,1.110174707719125e-07,4.991997457182151e-07,6.125800044998189e-09,7.748290272502345e-06,3.85007954264438e-06,1.610763192729792e-05,1.2506189250416355e-05,1.1868855744978648e-05,2.299059428878536e-06,4.2203570274068625e-06,4.526700266183071e-07,7.446965444302123e-09,1.21311835528104e-06,1.5499863088130952,8.414542094214993e-08,3.464189717305999e-08,6.620899034714967e-06,5.344291365005916e-09,1.1894691311908901e-07,1.745111092077423e-07,1.176099408439768e-06,8.433582943112583e-09,1.5362781766725677e-07
L1-L6_spot_3,3.7818255691490776e-06,2.762787190135896e-07,1.047151680921843e-08,5.489058850116634e-07,3.4409499221510484e-06,1.2706410416285507e-05,1.2155958074799855e-05,3.3354531069562655e-06,8.972229238679575e-07,3.0992706228971664e-06,1.1212919588388104e-07,9.075419127313469e-09,1.6115930350224518e-07,1.3113492488861085,2.3990884745472842e-08,3.4611849741850163e-08,3.4708638509073354e-06,2.572715129822712e-09,1.2652039771410273e-07,1.0361929483337918e-07,1.1178214435858534e-06,9.277267416507586e-08,1.2208777455668954e-07
L1-L6_spot_4,1.7261392049050527e-08,1.092294542104355e-06,2.9539779289322615e-09,1.1246529652453318e-06,2.5847993470051738e-06,4.259648608240241e-06,1.6682467412465483e-05,1.098220259336813e-05,4.103648120690196e-06,4.093353959433443e-06,5.686971888962944e-07,4.987642099330003e-09,6.103078248997918e-07,1.9316550552845002,1.038776935580188e-08,1.6865935226206835e-08,2.0574387463057066e-06,1.05437721664714e-08,4.3967585696691466e-07,6.588208663060868e-07,1.0750802118764112e-06,2.2238413666109126e-09,3.7333919209459057e-07
L1-L6_spot_5,2.5100175893300047e-08,2.687560012759605e-07,2.307892532638078e-09,6.34038710245477e-07,1.1513956542330563e-05,2.135301838279702e-06,1.792055292071382e-06,3.297624516562792e-06,8.066818679708376e-07,6.762736319387842e-07,1.858613543959109e-07,1.7825217302203103e-09,2.785905152791202e-07,1.6515163600444793,2.413402393486308e-08,4.861322300264703e-09,2.560763746828343e-07,9.351250307432225e-09,1.455443424447367e-07,6.034714505886997e-08,1.3445548745494308e-07,5.477947567777975e-10,1.0206073000063043e-07
L1-L6_spot_6,0.0003885555634042248,1.2662977496802342e-06,1.2324388443119008e-08,5.028554113550853e-07,2.1439200168060777e-06,1.1554646050626616e-06,2.3952394940351953e-06,2.6857536681745843e-06,7.44542754205213e-07,1.081078721654194e-06,1.8741131029287318e-07,9.00535193082419e-09,1.570315731669325e-06,2.1094455957412723,2.4846120183497083e-08,3.5515363983051884e-08,1.3752363940966461e-06,7.794999756782772e-09,1.4923324869187128e-07,6.681698607735598e-08,3.5359239944909867e-07,8.667458661903993e-09,2.3367869914636687e-07
L1-L6_spot_7,4.432192923786715e-07,3.4722303183798435e-07,5.804661551422897e-09,8.487819798119745e-07,2.608204943044257e-06,2.4248053478004297e-06,2.864782766209828e-06,5.934510136285099e-06,1.4763567889986007e-06,8.583403428019666e-07,3.3773552416960233e-07,6.740998337306792e-09,7.582129683214591e-07,2.346444821357727,6.96091444041258e-08,1.732349064198502e-08,7.466454690074897e-07,1.2100201285392131e-08,9.456314558065061e-08,1.782709112774228e-07,1.8372284671386296e-07,3.969309991802561e-09,2.583284924639884e-07
L1-L6_spot_8,3.41424147620728e-08,8.808562341755533e-07,7.255839262754194e-09,3.951109221134175e-07,9.157367344414525e-07,1.749699151787354e-06,3.1861646561992533e-06,1.4394141999218847e-06,2.811711084405033e-07,1.2207019608467817e-06,1.9168788639944983e-06,2.9502794096636364e-09,2.108221657692866e-07,2.5809974908828734,1.2862334797247855e-08,1.1334068661383868e-08,1.8584341262339875e-06,4.237338746548858e-09,1.9955880503630397e-07,4.331089087372675e-07,3.9698967668755364e-07,2.7053553841582816e-09,2.0005350052088036e-07
L1-L6_spot_9,2.0567059982568027e-05,5.036071058839298e-07,4.016227550529552e-09,2.1856208718418206e-06,2.3205741399578983e-06,2.860859149222961e-06,1.2114222909076488e-05,1.3379285883274861e-05,1.2207102145112003e-06,1.1957842559695565e-06,2.258170177071861e-07,5.227874355639983e-09,5.403083974897527e-07,1.5036148071289062,1.4411387372348373e-08,2.1801942118315766e-08,6.271474575214597e-07,1.2883072297853462e-08,2.1797901723630277e-07,2.0028126286320007e-07,3.0598321103525446e-07,3.81306046737251e-09,1.531869415316578e-07
L1-L6_spot_10,5.233643243229835e-08,2.426630871354974e-07,1.935959952348298e-08,1.0785237805066572e-06,0.2455915927886963,2.095818545058137e-05,7.842307877581335e-06,6.721406543874764e-06,3.7341353163355963e-06,9.025452027344726e-06,4.735111957643312e-07,6.882555791953849e-09,1.072877086016888e-06,1.6521703779697419,1.904765492000138e-08,1.9488181823845712e-08,9.411968989070375e-07,5.6344100718419566e-09,1.3261900164707185e-07,2.472977413958688e-07,5.72701176793089e-07,4.957681998263297e-09,2.308817528273721e-07
