,q05_spot_factorsAstro,q05_spot_factorsCR,q05_spot_factorsEndo,q05_spot_factorsL2/3 IT,q05_spot_factorsL4,q05_spot_factorsL5 IT,q05_spot_factorsL5 PT,q05_spot_factorsL6 CT,q05_spot_factorsL6 IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsMeis2,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPeri,q05_spot_factorsPvalb,q05_spot_factorsSMC,q05_spot_factorsSerpinf1,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
L1-L6_spot_1,3.61600429599207e-08,6.345071909663603e-07,1.0960809282423158e-08,2.6011976297013464e-05,5.6872715731515205e-06,1.220122735503537e-05,2.2773215187044118e-05,0.01410084990784526,0.10248647145926952,1.1972076617894346e-05,4.4649990968537174e-06,3.0162082609308534e-08,1.5988403617939185e-06,1.0427791721667745e-05,1.5442783407593196e-08,2.8092692616610293e-08,0.16115889176726342,1.649913254908597e-08,0.45286186337471007,2.7043006957683248e-05,1.2005644293822116e-06,4.8045003309127315e-09,3.802322880801512e-05
L1-L6_spot_2,5.1302357206850504e-08,5.990726009486025e-07,3.2196789456762077e-09,1.0612155210765197e-05,2.090714688165463e-05,3.331323860038538e-05,5.858613008058456e-06,9.447357551835011e-05,0.529101887345314,6.308652200459619e-06,3.1986624435376146e-06,1.7147678654794164e-08,0.0003090982150752098,2.6579955283523306e-05,3.56678443225178e-08,9.797480160500528e-08,0.2958871260285378,1.3196731396547538e-08,0.12065372392535209,1.4043563896848355e-05,1.3946980914170127e-06,3.797129455307413e-09,3.0814645811005905e-06
L1-L6_spot_3,2.0400066915726712e-07,7.016591382580374e-07,1.4633963285604073e-08,2.0430583754205144e-05,3.7347132820286785e-05,4.8180113844864535e-05,0.00027129345980938526,0.00499026549514383,0.5089769959449768,9.633694389776794e-06,0.025251803174614906,2.658394109289475e-08,4.975157685294108e-06,7.121201315385408e-06,1.3174379418501302e-07,5.540331002862331e-08,0.5001863747835159,1.4823030225485924e-08,0.5365153521299363,6.633244720433141e-06,9.98033629002748e-06,5.729862606607129e-09,4.8823783799889504e-06
L1-L6_spot_4,7.115868463358766e-08,2.4094134758456677e-07,1.6280487891151552e-08,5.765284076915123e-05,0.001889517775271088,3.2315152020601095e-05,5.654892083839513e-06,0.013456040853634476,0.30416628569364546,2.67638812374571e-06,3.2356509905184795e-06,2.8001336094263254e-08,2.554870752646821e-06,2.653357773851894e-06,3.177789142938536e-08,6.117549098405561e-08,0.07573582231998444,3.8584882702252807e-07,0.997653117775917,3.0344505603352448e-06,1.6091744726054457e-06,2.531928897653302e-08,6.492557940873667e-06
L1-L6_spot_5,5.047930642376741e-07,1.4749653132639652e-06,1.0444979281487577e-08,0.00016791305024526084,0.0001661002948821988,4.335933517722879e-05,0.00021486803962034173,0.0001322960561083164,0.9648091077804565,3.0595521479881428e-06,1.8452066706231564e-05,3.981627259008746e-08,0.00010637227933329997,8.113681042232202e-06,2.5052717376183866e-07,3.913383856968267e-08,0.36108204573392866,4.01987496623235e-09,0.31010492891073227,1.0748117483672104e-05,2.11658362786693e-05,8.204778767506582e-09,3.408231077628443e-06
L1-L6_spot_6,7.689748890982174e-08,1.0727686117206758e-06,3.9003129313641696e-05,7.293160560948308e-05,0.008065291400998832,7.15286543709226e-05,1.1459494089649525e-05,0.0003474570155958645,0.19442744553089142,1.0375747024227167e-05,0.021260411012917757,1.1259861842916052e-07,5.625134190268e-06,4.066822584718466e-05,6.475929090754563e-08,1.1243519466574982e-07,0.16128785088658332,2.651488895111243e-08,0.17866514548659324,3.083485935349018e-05,2.3044021781970513e-05,1.2933099606016185e-05,0.012688025878742336
L1-L6_spot_7,2.4937892106891012e-08,2.0335033497076442e-07,5.942479730514094e-09,4.524464384303429e-06,8.015645516934456e-06,1.5301742951123743e-05,2.9179652074162734e-06,4.009453423350351e-05,0.2531664684414864,1.6512493630216343e-06,0.009469427913427354,2.6943851327843055e-08,8.480245782038766e-07,2.521286273804435e-06,8.00272563772353e-09,4.110636968590598e-08,0.04159859232604504,1.454808016276843e-08,0.45119602382183077,1.659380870933092e-06,5.910877433734641e-07,2.1706923813979984e-09,5.301817566305544e-07
L1-L6_spot_8,5.3697713519795796e-05,1.5734377541321011e-06,2.012471629342372e-08,1.9359230736881728e-05,0.00029489373700926076,4.0922240441432225e-05,9.709761252452154e-06,5.243136693025008e-05,0.11152118481695653,5.859871125721839e-05,0.0003845603147055954,4.37552202470215e-08,2.1179973464313663e-05,2.8106486843171298e-05,3.190757009718936e-08,5.989521891791583e-08,0.33285958617925643,1.2143954331023111e-08,0.6098426878452301,3.05720464893966e-05,0.060538146458566186,4.1928474416863546e-07,0.0067731519928202035
L1-L6_spot_9,3.734324636184284e-08,1.461908887279151e-07,5.215257758983683e-09,1.906318084365921e-05,1.0215421707471252e-05,4.825000314667705e-06,2.0671980678343975e-06,2.8535246110550363e-05,0.3747551128268242,6.534414978887071e-07,0.04646867644041777,9.533443812159705e-09,1.8535693243393327e-06,9.98310287059212e-07,8.007985208280389e-09,1.3533343912186524e-08,4.425923350481753e-07,4.004789233569284e-09,0.2159937284886837,1.1524719866429224e-06,4.5086291748930314e-07,2.1456723175994343e-09,4.6618239650797473e-07
L1-L6_spot_10,3.187062294074395e-08,1.9481739172988455e-06,3.4065693199636375e-08,0.00021807390294270595,1.3254957775643562e-05,1.672967046033591e-05,2.7712251085176832e-05,0.00016904172807699072,0.898394638299942,3.4079324905178516e-05,3.843807087378082e-06,2.7095336374571843e-08,1.3447871378957644e-05,0.00015164259166340345,7.750739641210203e-08,9.443418349519562e-08,0.5256630480289459,2.3092690426551602e-08,7.15714884336194e-06,2.570541073509958e-06,5.8561229934639416e-06,1.5846848455680628e-08,1.7674816433554953e-06
L1-L6_spot_11,6.172381930014126e-08,3.507815574721463e-06,2.9579411719993234e-08,5.972588246550004e-06,1.593715087437886e-05,1.5464521402464017e-05,4.369392127046012e-06,6.345946749206633e-05,0.8600329756736755,7.452418799402949e-06,1.4845561054244174e-06,4.4511535435276536e-08,5.444954990707629e-06,2.826142997491843e-06,2.3650514648920762e-07,7.909261370286914e-08,0.5227782547473908,8.692943564980739e-09,0.31199129670858383,2.9005627311562422e-06,2.5352277134516044e-06,2.0599561079137628e-08,4.509888585744193e-05
L1-L6_spot_12,5.138519156844268e-07,7.857482586359766e-07,9.079754104135419e-09,3.030034531548154e-06,8.708481982466764e-06,2.3002210355116407e-06,1.880439879187179e-06,2.3194226105260893e-05,3.880480676343723e-06,3.687354580961255e-06,0.06622407026588917,1.5975788691946494e-08,0.0005596954084467143,6.74455666285212e-06,2.5538682280057404e-08,2.9663927936240952e-08,0.39481097608804705,4.24977368851387e-09,0.45451131165027614,6.145688785181846e-05,0.03746890835464001,8.588037481160883e-08,0.06331492699682713
L1-L6_spot_13,3.198016003125304e-08,8.372439594950266e-08,3.4041536034479237e-09,3.727120224539249e-06,4.346447421994526e-05,5.608832384496055e-06,2.614511038245837e-06,2.8407284662534946e-05,0.360990597307682,0.0010428635927382855,1.4594522667721322e-06,1.3617112015751332e-08,8.306913429123597e-07,6.557325582434715e-06,2.1175870745793192e-08,6.448230216449247e-09,0.7543718963861465,1.49037923780071e-08,4.3677915186890457e-07,1.8115098896487324e-07,3.170292586673895e-07,1.997973630984973e-09,2.394361011681667e-07
L1-L6_spot_14,7.074342462942696e-08,1.177787090966831e-07,3.2254451554081246e-09,5.16143951756476e-07,9.002880403841118e-07,7.155098614930467e-07,2.720359304930753e-07,3.3150782428492677e-06,8.746806969384125e-07,3.0033921945005203e-07,5.290084095577185e-06,1.793740382893816e-08,6.3534062064718455e-06,5.983617882066028e-07,9.229778807906541e-09,2.121828064360898e-08,0.42433518916368484,5.42175777606957e-09,8.628966156720707e-07,5.864071340511146e-07,0.32558868527412416,2.4139334753314757e-09,2.125474061642763e-07
L1-L6_spot_15,2.5727167098921203e-07,3.4374050414953674e-07,5.7502376371587625e-08,1.961318785106414e-05,3.128377175016795e-05,2.6390337825432653e-05,4.13889863921213e-05,0.005516747292131185,0.2660171091556549,3.6708398397422574e-06,5.149111393620843e-06,3.675519675283568e-08,0.0013543473382014782,1.2852649660999305e-05,5.443555526341015e-08,2.6531381763561516e-06,0.6618019849061966,5.328193674358772e-05,0.1166710764169693,0.00010880017980525735,4.934019534630352e-06,2.5261329383852173e-08,0.02732414584606886
L1-L6_spot_16,3.25260945288619e-08,1.1114171456938493e-06,1.5326790503422674e-07,2.717875327107322e-06,5.997540665703127e-06,5.718346665162244e-06,1.0804328485392035e-05,4.49003111498314e-05,0.278205081820488,4.391317088447977e-06,6.230926624084532e-06,1.7143549424503138e-08,1.5978020655893487e-06,1.9527344420566806e-06,3.148803716612747e-06,1.8281088465244015e-08,0.47802319973707197,9.003509848781733e-09,0.06817621216177941,0.0012423142790794373,4.57066818853491e-05,3.668994978056617e-07,1.3900795011068114e-06
L1-L6_spot_17,6.941379986358244e-08,2.8638934139735285e-07,1.068886135158209e-08,3.556731207936537e-05,1.980143924811273e-05,1.4169144105835588e-05,3.7768123320347515e-06,7.996202184585855e-05,0.5748841404914856,1.7012392527249175e-05,3.017640096913966e-06,2.0007770995533747e-08,2.5160373411381443e-06,1.7141405578513514e-06,3.399931465253303e-08,3.2595374754862404e-08,0.2517756104469299,3.1807490419311086e-09,0.27336473017930984,1.783700969326674e-06,3.314915147711872e-06,8.551013728208546e-08,3.771986541778461e-06
L1-L6_spot_18,2.257577556008528e-07,7.993793715854737e-08,9.436562686815365e-09,4.840253277507146e-05,0.0002067156594421249,1.2298502952035053e-05,3.839899363811128e-06,6.114407642598962e-05,0.6466106086969375,1.8789394744089807e-06,2.0374867926875598e-05,1.6287258297609243e-08,2.069153049433226e-06,1.777482498255267e-06,5.690618714027096e-08,4.695474853377846e-08,0.3585944056510925,6.32294390179311e-09,0.11516468189656735,3.479615622836718e-06,1.1809272382379277e-05,2.7356396549294002e-05,2.2460114905697996e-06
L1-L6_spot_19,2.1697591279234985e-07,8.656861950839811e-07,1.8308238924902298e-08,8.095856946965797e-06,1.5795882973179687e-05,6.944035703781993e-06,3.0695594432472715e-06,0.00012760028112097644,0.14209048077464104,3.119265147688566e-06,9.269447491533356e-06,1.4953353666413705e-08,3.262478776377975e-06,2.571372090187651e-06,5.8011529802115553e-08,7.841084510573637e-08,0.32694993913173676,1.0367409419842487e-08,0.09120082817971706,0.015189702389761806,0.052989343367517,1.1987361752119342e-07,1.2798838042726857e-06
L1-L6_spot_20,6.460431478672035e-08,3.646938054657767e-07,1.532836293449691e-08,5.167210983927362e-05,1.6282566593872617e-05,1.697344741842244e-05,7.147026872189599e-06,0.00011801045475294814,0.4172281414270401,5.8236309541825905e-06,0.00015357840311480686,8.80103656619724e-09,1.3653189625983941e-05,1.669907624091138e-05,0.00031040847243275494,1.841863380036557e-07,0.15751557052135468,2.2907021879348126e-08,1.0285722374916075,3.677027700632607e-06,6.894718490002561e-06,1.7928476392370387e-08,2.3851677610764455e-06
L1-L6_spot_21,6.360118796067128e-08,2.3724755237708453e-06,1.249372485467859e-08,5.28309399214777e-06,3.4237979321005698e-06,5.221322544457509e-06,4.540262375485327e-06,4.3781153908639685e-05,0.38617172092199326,6.389221744029782e-06,6.3120183540377186e-06,1.0042232290174981e-08,0.001965008210390806,2.0112668948968348e-06,2.0245872978108537e-08,3.7155202647909394e-08,0.2630984246730804,5.878042053097943e-09,0.24038779735565186,2.7149220113642516e-05,7.128895435926097e-06,6.786927886359706e-09,0.03857876546680927
