,q05_spot_factorsAstro,q05_spot_factorsCR,q05_spot_factorsEndo,q05_spot_factorsL2/3 IT,q05_spot_factorsL4,q05_spot_factorsL5 IT,q05_spot_factorsL5 PT,q05_spot_factorsL6 CT,q05_spot_factorsL6 IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsMeis2,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPeri,q05_spot_factorsPvalb,q05_spot_factorsSMC,q05_spot_factorsSerpinf1,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
L1-L6_spot_1,8.801504151279005e-07,7.871386429769702e-07,0.0005613180866930634,0.12357117272913457,6.872153926451574e-06,9.734104696690338e-06,0.13448413312435148,1.588638515386265e-05,0.013803407084196806,1.2755996476698784e-05,1.9203296517389394e-06,7.0042879229959e-08,1.4703053523135168e-06,1.1178317527082981e-05,1.1243583770692566e-07,0.005583198741078377,0.0005161331995623186,0.3147245720028877,4.205406270330059e-07,6.067279770149981e-07,1.5894167859187292e-06,0.05751149654388428,1.1228012112951547e-06
L1-L6_spot_2,0.0001167958791484125,6.387032249222103e-06,5.1174192594771736e-05,0.0002561563262133859,2.3676868113398087e-05,1.528652628621785e-05,0.2937969073653221,0.18966302275657654,0.00029324544448172674,0.00028750598867191,5.418214209385042e-06,3.944764586094607e-08,0.20215821340680123,1.4198874305293432e-05,1.6852571675940452e-07,1.0301498377884855e-05,1.6453608441224788e-05,0.02770482301712036,1.5775129304529402e-05,1.3380636437432261e-05,7.757765729365929e-06,0.2051946625113487,7.12082758127508e-06
L1-L6_spot_3,0.3798821747303009,9.723124207994262e-07,0.003429133037570864,7.529301547037905e-05,0.00018006844620686022,0.36064609587192537,2.1519377150980292e-05,0.0005948640377027914,0.15990453734993937,2.0438668116185e-06,9.367572346263841e-07,1.948503589588313e-08,1.745092831697548e-05,2.0879277781205018e-05,8.760965677367948e-08,6.0027012523278255e-06,3.5069233490503393e-06,8.544049627801087e-08,4.015674434754146e-07,3.1329756211562204e-07,4.021056284386759e-07,0.18532441183924675,4.537626054457178e-07
L1-L6_spot_4,5.027140375091222e-08,2.5263189513680117e-07,1.5765080885188352e-08,0.49396145045757295,0.00019193006010027603,3.869871525239433e-05,0.3832719475030899,0.00014347259348141962,3.7143954432394825e-05,0.23043937385082244,6.79677381754118e-07,5.756309473525789e-09,2.757248495299791e-07,1.1032782276743092e-05,1.1339931038634179e-08,1.601690375885312e-08,1.7779375696136415e-06,3.788088831502279e-09,1.4813413002912056e-07,1.6471106150106608e-07,3.167292319972148e-07,6.8200070701962555e-09,3.284347030785284e-07
L1-L6_spot_5,0.00015808287644176742,0.0006977425538934768,5.244769295131847e-06,0.10342104360461235,5.356619094527559e-05,0.00011904302409675438,0.20453441366553307,1.575813730596565e-05,0.22665024027228353,9.311066569352988e-05,7.398955108328665e-06,2.178817224418595e-08,2.4898353899516227e-06,0.00010025077099271585,4.865961363975658e-06,5.128444769297857e-07,2.7246111676504368e-05,0.7452125579118729,1.352836090973142e-06,2.259066070564586e-06,2.4775365318419063e-06,0.13963224589824677,1.7868840927803832e-06
L1-L6_spot_6,5.831707312609069e-07,1.124896465398706e-06,0.006968304794281721,0.037033204920589924,9.805455374589657e-06,3.829173074336723e-05,0.13838370367884634,1.3295288999870537e-05,0.08844236470758915,3.5467226211949316e-06,1.5089031421666732e-06,2.202788893512775e-08,1.5061861631693318e-06,3.660504680738086e-05,8.367507362549986e-08,1.9685104106770272e-07,4.998313238502306e-06,1.0881948298901988e-06,2.9959764447085035e-07,1.2518815310613716e-06,1.5203361499516178e-06,0.2729762628674507,6.46353043975978e-07
L1-L6_spot_7,0.27130735069513323,1.1480488922188671e-06,3.205828278396439e-08,1.5008340324129677e-05,3.581524579203688e-05,1.4871090979795553e-05,0.00012092267606931275,0.0005661026109009982,0.31710559874773026,4.977892149327091e-06,1.542151602507147e-06,5.8996110041675824e-08,7.293586520518148e-07,5.650060120387934e-05,3.637862619143562e-07,2.9331419852951513e-07,8.44237260935188e-06,0.2610643059015274,7.35735952162031e-07,7.338154830449639e-07,8.888300129683558e-07,0.40837635546922685,1.2413843364811327e-06
L1-L6_spot_8,0.11293445602059364,0.00011321035053697414,2.7127812263216815e-08,0.11465298794209956,0.08301268219947815,0.14538303390145302,0.10397092327475548,0.10779053792357446,3.385542804608122e-05,0.0001754600067215506,5.355483858693333e-06,2.84056227428664e-07,2.134805606601731e-06,9.168015021714382e-05,1.693703609362274e-07,3.7786083737501033e-07,1.4005308776177118e-05,0.5459035575389862,1.661747955949977e-06,2.9550975682468563e-06,7.1404547497877505e-06,1.9967005027154984e-08,7.554712124147044e-06
L1-L6_spot_9,1.5810161286822223e-07,0.005692831939086318,4.8594188228889834e-05,7.195205466814514e-06,7.499970024582581e-06,3.4921291262435265e-05,0.6755144178867339,0.36136432141065594,8.30603785288986e-06,0.07826180420815945,1.6201552341499337e-06,0.00017494178900960832,5.881906048443853e-07,5.6391370162600654e-05,4.740676242676046e-08,2.6400386303748747e-07,5.329571308720915e-06,6.974492414713041e-08,8.308537871926093e-07,1.7935360006049452e-06,4.098819613318483e-06,5.346645504111792e-09,1.1350445277003018e-06
L1-L6_spot_10,0.0009373219072585925,7.418043196594227e-07,5.030013294771152e-08,0.13904035538434983,0.00010593625374895055,0.26225911229848864,0.20375887230038645,0.13790844827890397,0.2378443494439125,4.1439069536863824e-05,1.9495268588798355e-06,1.2361902212987274e-08,2.5182385115840588e-06,5.207871345191962e-05,6.797431559846245e-08,3.051575006907115e-07,7.4561545034157455e-06,0.6025543123483658,7.830428387478606e-07,9.594164112058934e-07,2.934812164312462e-06,5.584779803058382e-08,9.277239001903582e-07
