	Astro	CR	Endo	L2/3 IT	L4	L5 IT	L5 PT	L6 CT	L6 IT	L6b	Lamp5	Macrophage	Meis2	NP	Oligo	Peri	Pvalb	SMC	Serpinf1	Sncg	Sst	VLMC	Vip
L1-L6_spot_1	8.241164e-09	2.986798e-08	4.9175957e-09	0.045550678	0.05846418	0.3648952	0.065386236	7.1642063e-07	3.3443541e-06	4.6227586e-07	0.13769433	1.621127e-09	1.3942993e-07	3.639652e-07	9.51603e-09	7.0909394e-09	1.7134538e-07	0.0018659288	0.27713087	0.048996434	3.486316e-07	3.5550303e-09	1.05671725e-05
L1-L6_spot_2	0.0010436481	4.090172e-08	4.538184e-09	7.383941e-07	1.8877881e-05	0.6725785	2.6684248e-07	1.8187488e-06	4.8744613e-07	8.560598e-07	2.421012e-07	1.970156e-09	1.48162e-07	0.012735963	4.068061e-08	3.8539834e-09	4.663193e-07	1.65335e-09	0.22442484	0.028264895	1.7524928e-07	5.1205955e-09	0.060927995
L1-L6_spot_3	0.0009029188	3.010762e-08	2.8933576e-09	0.055021778	0.054562356	0.2990036	7.5063065e-07	3.5484882e-07	0.0060991324	0.026493175	1.6159757e-06	1.4237787e-09	1.5627016e-07	2.7904769e-06	8.341839e-09	7.101226e-09	5.6593e-07	1.921455e-09	0.52386963	1.5421003e-06	0.02530216	3.5477556e-09	0.008737427
L1-L6_spot_4	5.827066e-09	2.8174075e-08	2.6616052e-09	0.025483584	0.016262472	0.45711973	3.7035238e-07	7.4503686e-07	0.01896097	2.389443e-07	2.1899066e-07	1.7275517e-09	1.4455087e-07	1.4016932e-07	8.052346e-09	3.0868914e-09	9.444276e-08	2.3344966e-09	0.3827046	0.07331279	2.0327779e-07	5.0761315e-09	0.026153801
L1-L6_spot_5	8.933506e-09	5.098482e-08	6.3452728e-09	2.0161106e-07	1.1169853e-06	0.45780316	1.7568331e-07	5.7691324e-07	2.989691e-07	0.013382411	5.319153e-07	1.7483507e-09	7.5897454e-08	7.003817e-07	8.269405e-09	3.8036863e-09	7.3419514e-08	1.3542805e-09	0.5288087	7.384127e-07	1.5892168e-07	3.7390593e-09	9.782276e-07
L1-L6_spot_6	7.3548034e-09	3.6129915e-08	2.461161e-09	2.5294617e-07	0.008275698	0.2812695	1.9989821e-07	2.7153354e-07	0.02956241	0.024545	3.2905152e-06	5.4989674e-10	1.0471904e-07	1.3926767e-07	1.2835135e-08	2.9047174e-09	7.89594e-08	3.001774e-09	0.65634155	7.361415e-07	1.4992797e-07	3.8233163e-09	4.7487052e-07
L1-L6_spot_7	1.1371237e-08	4.9799265e-08	2.57733e-09	1.285181e-07	1.326514e-07	7.425578e-08	2.0393595e-07	6.863691e-08	1.2222905e-07	1.11582146e-07	0.01095907	1.4846421e-09	5.25251e-07	6.057608e-08	1.1419379e-08	1.9375668e-09	2.283916e-07	1.791611e-09	0.80408984	7.571455e-05	0.016168967	3.2114449e-09	0.16870467
L1-L6_spot_8	5.561418e-09	4.287542e-08	3.225934e-09	2.375369e-06	0.17558722	0.41321626	0.07513386	1.4658673e-06	2.2099082e-06	2.1679642e-07	1.9078315e-07	1.7665047e-09	4.6354902e-08	5.5837864e-07	8.93061e-09	3.1143643e-09	2.4726157e-07	2.300606e-09	0.31987163	1.1634869e-06	0.016182309	6.09084e-09	1.6831257e-07
L1-L6_spot_9	4.399402e-09	6.314625e-08	4.071324e-09	1.6075528e-06	4.182208e-07	0.8425556	0.02083737	2.788664e-06	3.0938702e-06	0.016518887	2.4940704e-07	2.9417142e-09	5.579884e-08	2.3107068e-06	1.585445e-08	4.4310458e-09	7.956979e-08	3.2818912e-09	0.093771465	3.0605725e-07	1.1191222e-07	5.5973497e-09	0.026305629
L1-L6_spot_10	3.3148517e-09	1.6294157e-08	2.7992253e-09	8.188082e-06	0.06279736	0.23014589	1.5823167e-07	9.87385e-07	0.41053107	0.0013539859	2.9396354e-06	1.4928492e-09	5.6160317e-08	1.9797851e-07	6.692467e-09	4.565595e-09	7.1776974e-08	1.0693951e-09	0.23662707	1.501534e-07	1.0759613e-07	3.911915e-09	0.058531642
L1-L6_spot_11	3.3055518e-09	2.7302272e-08	1.4462265e-09	7.441803e-07	7.0241986e-05	0.63824886	2.7623432e-07	6.1697267e-07	0.08173111	0.003964687	1.7138694e-07	9.466061e-10	0.01285522	7.9946316e-05	5.405659e-09	2.6416083e-09	1.6748392e-07	1.5256792e-09	0.18359892	2.4419558e-06	1.0582339e-06	2.0711002e-09	0.07944548
L1-L6_spot_12	2.7396487e-09	8.452554e-08	2.4110705e-09	7.0617847e-07	0.062005486	0.58483976	1.5290028e-06	1.3092445e-05	3.8716607e-06	0.017776255	0.007998137	1.5878844e-09	9.006937e-08	0.0328621	0.0005809904	2.6073341e-09	3.0573258e-07	1.3074755e-09	0.2702577	7.352155e-07	0.022304347	2.515626e-09	0.0013548638
L1-L6_spot_13	6.4917454e-09	3.601459e-08	2.3393396e-09	3.694483e-07	0.028499464	0.47615984	7.460673e-07	4.559771e-06	4.1593385e-06	6.219837e-07	3.0035646e-06	1.3735231e-09	2.3485741e-07	3.339984e-07	1.2505226e-08	0.00033455153	0.0054051816	2.0398518e-09	0.48154038	2.7532724e-06	0.008040421	2.7357974e-09	3.287428e-06
L1-L6_spot_14	3.0209741e-09	3.3999253e-08	7.450026e-09	6.6497655e-06	0.038989935	0.80951285	4.3859143e-07	0.014110645	0.13737682	9.0772727e-07	3.6326597e-08	1.6775814e-09	3.4343127e-08	1.0361824e-06	6.844695e-09	3.0393155e-09	8.798347e-08	1.0718312e-09	7.0697155e-08	5.4285294e-08	4.259765e-07	3.291779e-09	5.4043443e-08
L1-L6_spot_15	8.8065635e-09	2.2689262e-08	2.1649558e-09	5.136696e-08	4.8947584e-08	4.686438e-08	5.3488826e-08	4.6502468e-08	5.0948902e-08	5.9382216e-08	0.12512064	6.7509207e-09	7.651687e-08	4.2452672e-08	7.4343314e-09	2.9156757e-09	1.43197e-07	2.4675972e-09	0.87485015	1.3251698e-05	1.9514641e-07	3.5956471e-09	1.4949017e-05
L1-L6_spot_16	2.6916029e-08	2.105466e-08	0.00047092824	3.0899915e-07	1.8069008e-07	0.21704552	0.037743155	0.026056131	2.9640458e-07	2.763054e-07	0.054637183	2.1434097e-09	7.5916006e-08	6.0671755e-07	7.007586e-09	4.1737054e-09	1.2541551e-07	4.0069903e-09	0.6610789	3.582372e-06	0.0029575168	2.6681575e-09	5.233718e-06
L1-L6_spot_17	6.355252e-09	4.8691174e-08	4.004906e-09	8.410835e-07	3.5611683e-05	0.69841564	3.320893e-07	1.4527023e-06	0.07884957	6.0224977e-07	1.6378469e-07	2.5771751e-09	2.1223573e-07	2.0076045e-07	1.556017e-08	4.0572457e-09	0.0044820383	1.6005937e-09	0.21821229	5.5898425e-07	2.8868806e-07	4.662754e-09	2.0242206e-07
L1-L6_spot_18	1.776136e-08	1.0468652e-07	2.1631548e-09	9.072663e-07	1.608626e-05	0.15091299	2.9447241e-07	3.943679e-07	0.13481309	2.7082524e-06	3.575194e-06	1.6393289e-09	4.146372e-06	3.1749474e-07	1.8804155e-08	3.6752308e-09	1.991012e-07	1.3985838e-09	0.67031425	0.0001364431	1.4250296e-06	2.6094267e-09	0.043793093
L1-L6_spot_19	4.0329327e-09	2.638468e-08	1.4411827e-09	5.014237e-07	0.19390622	0.35373342	5.045954e-07	4.799597e-07	0.15989463	0.06711429	0.005718138	1.2582069e-09	9.979844e-08	0.10259737	7.717318e-09	3.044159e-09	2.3617476e-07	2.1412638e-09	0.09739252	9.291141e-08	0.019641154	2.5870974e-09	2.9634677e-07
