	Astro	CR	Endo	L2/3 IT	L4	L5 IT	L5 PT	L6 CT	L6 IT	L6b	Lamp5	Macrophage	Meis2	NP	Oligo	Peri	Pvalb	SMC	Serpinf1	Sncg	Sst	VLMC	Vip
L2/3_spot_1	3.689269e-08	4.1684338e-08	5.043386e-09	0.17638437	0.16669668	6.473232e-07	1.62976e-06	1.89044e-07	3.4865988e-07	1.3135492e-07	1.6652116e-06	2.7154619e-09	7.407282e-08	3.006606e-07	1.314585e-08	0.0011972075	2.5042112e-07	2.0051012e-09	0.15809633	3.7302175e-06	4.505481e-07	4.865507e-09	0.49761596
L2/3_spot_2	9.111975e-09	6.172747e-08	4.380185e-09	0.45420846	9.413499e-05	0.015610488	2.418264e-05	8.966514e-06	0.013859094	8.3422475e-07	8.1874805e-07	1.8829194e-09	5.531495e-07	4.1557848e-07	7.0080524e-08	8.784262e-09	1.3491428e-06	3.871683e-09	1.19328e-05	0.000103834056	5.3776336e-07	4.128659e-09	0.5160743
L2/3_spot_3	0.060654838	9.471089e-08	2.2117466e-09	0.5561266	0.049486827	2.9374798e-06	0.0078015183	6.813599e-06	7.291341e-06	1.1714467e-06	4.117871e-07	3.7744363e-09	0.03853488	2.6641624e-07	8.021379e-08	5.1588405e-09	0.040581755	1.7561587e-09	0.04168992	1.8995673e-06	2.1955071e-07	9.651667e-09	0.20510256
L2/3_spot_4	6.3949606e-09	1.6369023e-07	6.5227e-09	0.8793546	0.10449844	2.506629e-05	1.8110184e-05	4.8834103e-05	0.0144470325	2.4656892e-06	6.997268e-08	1.4567978e-09	1.580939e-06	2.0207187e-06	4.6466948e-08	3.462672e-09	0.0016009262	1.4426019e-09	8.8099775e-08	7.859959e-08	2.668818e-07	4.191419e-09	1.2736315e-07
L2/3_spot_5	0.13425946	1.2454502e-07	1.996561e-08	1.0217763e-07	9.246194e-08	1.2574432e-07	1.0970118e-07	7.574725e-08	8.715747e-08	7.4815105e-08	0.031358447	2.7876361e-09	2.5310447e-07	1.3141702e-07	0.007496618	5.1914462e-08	1.1512897e-06	2.9144522e-09	0.045686528	2.8558637e-05	0.02226136	0.00016155044	0.7587451
L2/3_spot_6	0.36153534	1.2006488e-07	1.8755685e-08	0.06720016	1.0146846e-07	2.4460644e-07	0.07138012	5.043606e-07	3.6742372e-07	2.911079e-07	1.5867909e-06	6.0972805e-09	0.013552603	0.0131204305	4.1521375e-08	2.5672402e-06	0.0023298645	5.144493e-09	0.0263686	0.00011740124	1.7879008e-06	1.2427564e-06	0.4443867
L2/3_spot_7	6.136671e-09	9.851698e-07	3.4926249e-09	0.76162064	0.0005498856	4.5379064e-05	0.11756081	3.523572e-05	0.120139994	8.898786e-06	5.0604744e-08	2.2981252e-09	9.7086186e-08	3.6380177e-05	1.4700107e-08	4.1503165e-09	1.8003978e-07	1.0082137e-09	1.1461594e-07	6.215703e-08	1.1123361e-06	2.0826878e-09	1.3426322e-07
L2/3_spot_8	0.2095073	1.182621e-07	2.0993092e-08	0.764568	1.4992469e-06	1.3367822e-06	0.001051748	0.007012108	0.011908831	3.481125e-07	6.038833e-08	3.8394333e-08	0.0059477505	2.0896927e-07	3.862519e-08	1.9519348e-08	9.3427474e-08	3.7869987e-09	7.796308e-08	6.9959846e-08	1.294226e-07	4.5723876e-08	8.829769e-08
L2/3_spot_9	8.0884135e-09	1.0804417e-06	4.4917314e-09	1.09947585e-07	2.521665e-07	1.60141e-07	2.6926043e-07	1.6083017e-07	1.027781e-07	4.81671e-07	0.0005439467	2.8344647e-09	4.5036218e-06	1.9693373e-06	2.2006118e-08	1.25424435e-08	0.11560157	6.959934e-09	0.10956165	0.1237689	6.8441026e-05	6.075306e-09	0.65044636
L2/3_spot_10	0.25843707	6.2943094e-08	6.327791e-08	0.5341089	0.0307671	0.014560158	2.828403e-05	1.4904272e-05	5.8316828e-06	1.5089759e-07	0.025770152	0.0006126043	0.027912967	3.807247e-07	2.1558698e-08	1.9470162e-06	0.013473265	4.4879376e-09	2.714911e-07	3.7729498e-07	3.3095895e-07	5.3347012e-08	0.09430503
L2/3_spot_11	0.08416063	7.855107e-08	7.479147e-09	0.63261867	1.5506132e-06	1.2948805e-06	1.85046e-06	1.2973561e-06	3.059717e-06	1.2334657e-07	1.6527451e-07	5.169132e-09	8.569716e-08	1.0814187e-07	1.928698e-08	3.173877e-08	1.7407115e-07	0.00048703968	0.01373938	0.088896334	1.007563e-07	1.9492528e-08	0.1800879
L2/3_spot_12	0.21277659	5.2100557e-08	0.0001632151	0.63320345	1.0752106e-05	1.9171532e-06	0.012274804	5.634209e-07	4.516477e-06	1.7725118e-07	1.3791342e-07	5.8126495e-09	1.2796276e-07	2.2124985e-07	4.03582e-08	0.0023042823	1.3056201e-07	4.9902535e-09	0.025712494	0.02849115	2.6258652e-07	5.9596193e-08	0.08505505
L2/3_spot_13	0.13684933	1.920933e-07	1.4615109e-08	0.69889677	0.00016992078	1.6062744e-05	1.1809373e-05	5.6009894e-06	0.04799433	7.7957e-06	0.057994287	2.9276506e-09	3.6000208e-07	4.341399e-07	2.4877545e-08	0.00045822814	6.489976e-07	6.669914e-09	4.38746e-07	4.3241855e-07	3.8353699e-07	4.281289e-08	0.0575928
