	Astro	CR	Endo	L2/3 IT	L4	L5 IT	L5 PT	L6 CT	L6 IT	L6b	Lamp5	Macrophage	Meis2	NP	Oligo	Peri	Pvalb	SMC	Serpinf1	Sncg	Sst	VLMC	Vip
L2/3_spot_1	0.1597746	7.9620165e-08	2.5186884e-08	7.678578e-08	6.512671e-08	1.0176916e-07	1.4616967e-07	9.380844e-08	4.971091e-08	1.5044868e-07	1.49708785e-05	4.171091e-09	2.5511233e-07	5.935767e-07	1.9050316e-07	0.0005276414	0.110917866	2.5210552e-08	3.5649227e-05	0.30290258	1.5108153e-05	1.9951097e-08	0.42580974
L2/3_spot_2	0.31149894	3.4908275e-08	2.4026175e-08	0.4475548	0.21550314	4.3577775e-06	0.025427595	2.40482e-06	7.679905e-06	4.7481004e-07	4.7647553e-08	6.245113e-09	3.448346e-08	3.3714537e-07	2.26735e-08	2.8433176e-08	8.0459365e-08	3.3951768e-09	2.8985786e-08	3.5317168e-08	4.4082768e-08	2.6292234e-08	4.655677e-08
L2/3_spot_3	0.2165563	4.550608e-07	9.003933e-08	0.29458836	2.174762e-06	0.05414345	2.2905157e-05	0.006836568	1.0676911e-06	0.010952769	0.019475318	8.89363e-09	7.501255e-08	5.4957496e-07	3.9780257e-08	7.703133e-08	4.371037e-07	4.7917332e-09	4.5148213e-06	0.027971638	0.008432513	1.1820164e-07	0.36101058
L2/3_spot_4	1.2713924e-08	4.581999e-08	3.3198027e-09	7.301164e-08	0.0035293668	1.0743546e-07	1.3373127e-06	1.1262451e-07	7.492124e-08	2.3949016e-07	4.83266e-05	1.4558426e-09	0.007937411	1.0163492e-06	1.3926436e-08	0.00071685435	0.00010703241	2.2192936e-09	0.18964954	0.00010524174	8.839967e-06	3.1181042e-09	0.79789436
L2/3_spot_5	0.3215744	1.1036314e-07	3.4671647e-08	0.43350446	5.7070633e-07	4.9906856e-07	1.7915929e-06	0.017216466	5.693397e-05	0.00041910127	7.271897e-07	8.4879535e-09	0.008750694	2.2491587e-07	4.350642e-08	0.0011168739	1.9176078e-07	7.268036e-09	6.6309444e-06	2.2025836e-07	4.2817123e-07	6.047553e-08	0.2173495
L2/3_spot_6	6.846071e-09	5.92242e-08	2.413858e-09	0.80975056	0.07894479	0.017659524	1.2833388e-05	0.024240142	0.00037008882	3.899408e-06	8.088415e-06	1.8430475e-09	7.493901e-08	3.9140355e-06	5.07908e-09	5.2666054e-09	1.2760492e-07	8.4088303e-10	6.07086e-07	2.0347427e-07	1.2351596e-06	3.4078431e-09	0.06900377
L2/3_spot_7	0.11252511	4.274565e-08	0.001972565	0.59958035	3.6524575e-06	2.214503e-06	4.801165e-07	2.290765e-06	1.6975764e-05	3.8747297e-07	3.081135e-07	4.5215116e-09	4.2793452e-08	3.2460784e-07	3.7737664e-08	6.6191745e-09	1.0683294e-07	4.2156656e-09	0.06985908	5.668555e-07	2.0144498e-07	1.7588642e-08	0.21603516
L2/3_spot_8	0.9999626	3.307846e-05	1.1741445e-07	1.0733191e-08	1.4109465e-08	1.2048123e-08	1.3773947e-08	1.3131529e-08	1.1885228e-08	1.5263144e-08	1.9242556e-08	4.9036504e-09	4.5604903e-08	5.8122936e-08	2.8892011e-06	2.0999433e-07	2.2295264e-08	1.2173692e-08	4.0638874e-08	5.530497e-08	3.1091606e-08	9.29162e-07	3.624895e-08
L2/3_spot_9	0.27993813	0.011458141	8.516297e-09	2.2851571e-08	2.2591824e-08	2.5601032e-08	2.8536379e-08	2.6496751e-08	2.5123565e-08	9.1109555e-08	3.188847e-05	5.340119e-09	0.014102295	1.0303663e-07	2.6153613e-08	1.576082e-08	3.2912925e-07	3.2663023e-09	3.895725e-05	4.185666e-06	1.5130072e-06	2.3873922e-08	0.6944242
L2/3_spot_10	0.06424848	4.4696502e-08	5.3226596e-08	0.24341102	0.068233185	9.3466804e-07	1.4066813e-05	6.8080755e-07	1.4784555e-06	3.8311455e-07	0.019231437	2.7359195e-09	1.1640266e-07	8.894014e-08	0.00430312	3.8477854e-08	7.3866715e-08	2.1826594e-09	0.047992397	1.0078793e-05	1.7667314e-07	2.4946159e-08	0.5525521
