,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2/3 IT,q05_spot_factorsL4,q05_spot_factorsL5 IT,q05_spot_factorsL5 PT,q05_spot_factorsL6 CT,q05_spot_factorsL6 IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,5.771667872522812e-07,7.209538459562738e-08,3.829674060398247e-05,0.5164261996746063,3.1190125810098834e-05,0.00027647330425679685,1.0220778221992079e-05,3.365894590388052e-05,0.24786521643400192,4.11236321724573e-06,3.0908330472811945e-08,2.0400316770974314e-05,8.429048392599725e-08,5.250389767752494e-06,8.718360788861901e-07,6.959294097441671e-07,4.698641498102063e-09,1.1333882468989033e-06
priorregion1_spot_2,4.582267408181906e-07,4.700635933829745e-08,6.692528877465522e-05,4.99047970151878e-05,8.674394211993786e-06,1.837605477703619e-05,5.272968483041041e-05,0.04485374111682176,1.1643003463745119,2.0001042884132404e-07,3.873249387886801e-09,1.5344396786076687e-06,4.445556438525955e-08,5.309787866281112e-07,2.6107966561994543e-07,2.966308457530431e-07,2.001126579997958e-08,1.319382640474487e-07
priorregion1_spot_3,7.914666724673226e-07,5.4571555452298535e-08,4.120840026189399e-06,0.10683806017041206,2.162472410418559e-05,2.5557430581102382e-05,3.5089944731225843e-06,1.2969151521247113e-05,0.8204711884260177,8.262759251920216e-07,1.0865624755496132e-08,0.08817690461874009,5.107677232274455e-08,2.3386011980619516e-05,1.3967911797863053e-06,2.3209688606584677e-06,1.0249450488331037e-08,4.464894175271184e-07
priorregion1_spot_4,3.3929399023691076e-07,2.748299641197605e-08,2.4784954075585122e-05,0.8669606894254684,2.0363858857308516e-05,3.338032292958815e-05,2.299918442076887e-05,9.812860262172763e-05,0.8572881013154984,7.47584334703788e-07,7.57114948513049e-09,2.1493992426258048e-05,5.325855134685753e-08,1.343649370255662e-06,6.499321244746171e-07,3.505593895170023e-07,8.430805342740656e-09,5.580341422728453e-07
priorregion1_spot_5,3.316223654792339e-07,1.5239006430078918e-07,2.5776950951694744e-05,0.6439033567905426,2.400132916591247e-05,2.179190196329728e-05,9.04443848412484e-05,0.000257526156201493,0.8201534569263458,5.7063871281570755e-06,9.94772348938966e-09,3.129190481558908e-05,3.159061137125718e-07,2.16549931337795e-06,2.21767357970748e-06,1.5968219997830601e-06,9.205001560985693e-09,2.3512539996772832e-06
priorregion1_spot_6,2.6323200756905863e-07,3.071367542517579e-08,2.887435657612514e-05,0.6428052127361298,6.141074118204415e-05,9.3354767159326e-05,0.0003346054829307832,0.00010914412996498869,0.6038244545459748,5.469219075848741e-07,3.197087004025434e-08,0.006671728636138141,3.199994296210207e-08,2.180623221192946e-06,5.195023675241828e-07,5.16344562129234e-07,9.30034422808035e-09,2.5464373578643066e-07
priorregion1_spot_7,5.806725357615505e-06,2.455713257631942e-07,1.2715758975900826e-05,0.2547099143266678,0.00030931692890590057,0.00016270975684165023,0.09443877749145031,0.00021577482766588219,0.7242383718490601,2.525807360598265e-06,2.456801482253468e-08,6.881606132083108e-05,4.260112359588675e-06,5.15686035669205e-06,0.0003438155326875858,1.2320087364514622e-06,1.6975813554864773e-08,5.450825187836017e-06
priorregion1_spot_8,2.4834132830164893e-07,1.2667713278347038e-08,3.380338166607544e-05,0.6980490356683731,3.849099521175958e-05,1.6764134761615425e-05,6.961222061363515e-05,0.025159168615937234,0.3860165417194366,3.514091901024585e-07,8.361710923665557e-09,6.398771370186296e-06,3.148566083410743e-08,4.563653334344053e-07,2.5114567165474e-06,3.1113570599927696e-07,6.1180160937368555e-09,5.827671998304141e-07
priorregion1_spot_9,2.611172561728381e-07,3.808395430127121e-08,0.145156691968441,0.5144320338964462,9.539142047287896e-05,1.3506410550689908e-05,1.6508633416378873e-05,0.0002269296761369333,0.7723158478736877,5.024931908792497e-07,5.683521808741432e-09,6.748620603502786e-06,4.5717835917002954e-08,1.1354482182923678e-06,2.22000011262935e-07,2.7596250475880877e-07,7.738523732925274e-09,3.7062881261817895e-07
priorregion1_spot_10,1.792506630238222e-07,5.049509876897673e-08,0.00016996679842122832,0.11002872437238694,9.839000522333663e-05,0.00013347641724976712,0.02992067076265812,0.0003119633533060551,0.7237869113683701,6.402074205880127e-07,1.676670366990152e-08,1.7062312690541148e-05,6.92279439107324e-08,1.6284071591599058e-06,2.0240050844222424e-06,5.388550675888837e-07,8.284942754066552e-09,1.4031479452114583e-06
