,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2/3 IT,q05_spot_factorsL4,q05_spot_factorsL5 IT,q05_spot_factorsL5 PT,q05_spot_factorsL6 CT,q05_spot_factorsL6 IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,9.533169276210175e-08,6.040360056580596e-09,5.7990509594674224e-05,1.0003373801708222,0.4966698631644249,2.312925762453233e-05,6.093138545111288e-05,8.379446007893421e-05,0.0006504153658170253,5.094379190495602e-07,1.2632920087796152e-08,1.0834664590220201e-05,9.580061224312434e-08,9.809506934743696e-07,2.6791914393697884e-07,3.20204793524681e-07,4.416196031087339e-09,1.0435064794478422e-07
priorregion1_spot_2,1.1976935709867578e-07,1.831461124979228e-08,0.00048745611420599746,0.6362523645162582,0.34441073685884477,0.00029555311484728006,3.763500026252586e-05,6.082418713049265e-05,0.4849742501974106,8.524999799419675e-07,1.7509863869946686e-08,3.4145850077038634e-05,2.213142309415162e-07,2.8278668878556345e-06,8.101327921394842e-07,3.1517627547827946e-07,4.7704587169405966e-09,2.462691888638347e-07
priorregion1_spot_3,5.985539406339058e-08,1.3331709469710519e-08,3.218326091882773e-05,0.8214439868927002,0.4820890113711357,6.970741051190998e-05,0.00018021505675278602,7.800415878591593e-05,0.20831568390130994,1.3909851986682042e-06,1.3719795211031285e-08,0.013059212593361735,2.510777052933122e-08,3.1016423349683464e-06,8.981577366284911e-07,6.953607822879349e-07,5.9389231310547075e-09,6.306106570264092e-07
priorregion1_spot_4,1.8743398015885763e-07,1.991160996084318e-08,2.7013089038518956e-05,0.024658198282122613,0.6377754360437393,2.294539090144099e-05,9.293991424783599e-05,0.17087103649973867,0.609985563158989,2.7887432452189387e-06,3.593523700828882e-08,1.2379920053717797e-05,1.7103017313502276e-08,1.038595002000875e-06,1.14426228492448e-06,9.124418738792884e-07,5.600633734559324e-09,6.14266326692814e-07
priorregion1_spot_5,0.00025113248120760544,1.6137072300637103e-08,0.0005074641347164288,0.19589966535568237,0.28267415314912797,2.7687975943990754e-05,0.0012201403558719903,0.00038698746357113123,1.275859522819519,2.586752373190393e-07,2.768259808050289e-08,1.798120265448233e-05,3.954912060066817e-08,1.112817614057349e-06,4.784514899824899e-07,6.425284084343729e-07,1.3420380327033853e-07,3.0294411885734006e-07
priorregion1_spot_6,1.6021828201928657e-07,1.4638807011024826e-08,0.0005537856137380004,0.6359473526477813,0.36973381489515306,0.00017478346562711523,0.0004321195636293851,0.0018976844614371658,0.7532316029071807,2.1301923354144496e-07,1.6612488007439196e-08,5.300040884321789e-05,6.380465578104122e-07,2.267340107664495e-06,5.903480655433668e-07,3.904456477243912e-07,3.036080968854549e-08,7.725276987002871e-07
priorregion1_spot_7,7.793289036328588e-08,3.401392465463005e-08,0.00020759175313287415,0.4660487473011017,0.7225855767726898,0.012833760166540741,0.0034104494377970697,7.629910724062939e-05,0.16054605394601823,9.93152633554928e-07,9.12130087016294e-09,9.621033386792987e-05,1.0168849806646562e-08,1.4488340184470872e-06,4.2432666162994793e-07,6.801000353107156e-07,6.7552642368795546e-09,4.795546743707746e-07
priorregion1_spot_8,6.510366051770688e-06,7.982594141253687e-09,4.489566199481487e-05,0.7021284192800522,0.004600533656775952,4.824394613933691e-06,8.806409914541292e-06,3.534957195370225e-05,1.4275948226451873,1.7558454814547986e-07,7.099193344295429e-09,8.261432640210842e-06,1.9532084927220696e-08,1.017034179540133e-06,1.8937944901153972e-07,1.733742145404449e-07,2.2082454753658e-09,1.4231572862399843e-07
priorregion1_spot_9,9.978313357805746e-08,3.1527173227630106e-08,0.0003922805102774873,0.26115767657756805,0.03958613555878401,0.0004158231065957807,0.0005511036986717956,0.00011485222785267979,0.9862826466560364,1.1061077884733095e-05,7.906905552523827e-09,0.0006170164968352765,5.577845243465163e-08,6.120750640548067e-06,9.745814992356828e-07,1.906917964333843e-06,5.6935306247396524e-09,3.4009938900680934e-07
priorregion1_spot_10,9.905792772713088e-08,4.049275936779396e-08,9.281414459110238e-05,0.4818859949707985,0.8188852697610854,0.00013371222376008516,4.8590182814223226e-05,0.00011350573404342868,0.3320069000124931,5.08892586026377e-07,1.699893745765735e-08,0.0002223204981419258,1.670756901717141e-08,9.889523335004924e-06,5.084453164272418e-07,9.137472602560593e-07,2.6574626055264615e-09,3.4999950173641995e-07
