,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,1.1718347430229186,3.711878049372786e-09,1.8493977194111721e-07,5.531596922736526e-08,2.0800210833726852e-07,9.79767290232303e-07,1.6991014945233474e-06,2.0047724902383382e-07,4.816917680727783e-07,1.2695855815536562e-07,7.290765058343141e-09,9.454854847490424e-07,2.7578593453370108e-08,0.0003919622264220379,2.225073369999109e-08,7.032676734297639e-08,9.01759285021342e-09,1.0360287339139518e-08
priorregion1_spot_2,0.8232028514146804,6.426760208455562e-08,4.979276081940043e-06,5.125273764861049e-05,2.8607814965653236e-05,3.168924081364821e-06,0.07014493197202683,8.784736382949632e-06,0.021400412265211343,2.8013633226464666e-07,2.307615858399004e-08,0.01681872792541981,2.570976089799615e-08,4.981525336233972e-07,2.2436121298596854e-07,2.436399199723383e-07,4.666859387825184e-09,7.276706703862601e-08
priorregion1_spot_3,0.6055186450481415,2.9494957032305535e-09,7.907083181635244e-06,2.212279991908872e-06,2.597210573185294e-06,8.421293813398735e-07,0.3366378679871559,0.008364560268819333,4.443177857638148e-07,8.568310150280924e-08,8.127056450035754e-09,2.5957128968912004e-06,1.118575112535325e-08,1.4442260365399306e-07,1.155299528932119e-07,2.0956767343704995e-08,2.0816899870546024e-09,4.907684711952243e-08
priorregion1_spot_4,0.4741194054484367,3.269302262243201e-09,9.523945664113853e-07,1.5256669939844872e-06,0.001453017955645919,4.09346112064668e-06,0.2730686098337174,1.2987031141165062e-05,0.08110652081668376,1.0970293295997636e-07,2.4896710559829673e-08,0.0002031120071478654,1.347597637924025e-08,1.1446198868725332e-06,2.228926931024944e-07,2.117406829427182e-07,1.289388498193489e-08,1.7307278383782433e-07
priorregion1_spot_5,0.5082525759935379,1.143387367008586e-08,4.508569389827244e-07,7.066445050440962e-06,6.935463011359391e-06,6.586362997040851e-06,0.25686844140291215,1.2951361497925972e-06,6.010860545302422e-07,1.0025436765204178e-07,1.2923233327910567e-08,0.02147606760263443,6.6907739570964975e-09,8.914461545828091e-07,2.9827068281917944e-08,6.762541460147987e-08,4.508280015969036e-09,4.491756655511381e-08
priorregion1_spot_6,0.3132290959358215,1.165946272863039e-08,1.7786595719826438e-06,1.5528384892604664e-06,4.749851541419048e-06,1.329502237013003e-06,0.3186681017279625,0.0031658282037824396,5.022173318138812e-05,1.465452179161275e-07,1.2405836713469398e-08,4.0383373061558815e-06,1.1027786968043074e-05,5.206084921383081e-07,1.652001706986539e-07,1.3203171249642766e-07,6.175844036171442e-09,7.832812514152466e-08
priorregion1_spot_7,1.6774002492427826,2.614863903183107e-09,1.7158861922439428e-07,2.597357962486058e-07,1.8630239750905278e-07,1.1938415354961761e-06,3.1141541739998507e-06,1.4771160863347177e-07,9.111101235248498e-07,4.3235637114946716e-08,3.0787209226446067e-09,1.6255348384675017e-06,0.007180387619882823,6.898759238538332e-07,2.605576456815584e-08,2.1360959667759974e-08,6.020802310047203e-08,5.165032757048494e-08
priorregion1_spot_8,0.5038727819919586,3.1698075053654407e-09,1.6238999990036974e-06,1.21274460980203e-06,1.0980102842950146e-05,4.407350593282899e-06,0.15810359194874762,0.023517477698624136,9.631707257540257e-07,1.9460357449929691e-07,1.5212302795220012e-08,3.842174555757084e-05,2.770146878550151e-09,1.031530536010905e-06,1.4326861276003912e-06,1.4295553683041362e-07,3.037058460275688e-09,1.1850571404181666e-07
priorregion1_spot_9,0.7227301359176636,4.693742639005905e-09,2.360110400445592e-08,3.1433166913785735e-08,1.919143040041149e-08,4.733542517953993e-08,1.2563881526261867e-07,1.9369850079442584e-08,1.2564211573362627e-07,2.0849329729344392e-08,7.449972749817846e-09,4.558591175651828e-08,1.654959698171865e-08,4.0935449518997306e-08,2.922566730845233e-08,2.5283664086828137e-07,7.831558086479616e-08,5.930507107620997e-09
priorregion1_spot_10,0.6394693285226822,4.729889435672874e-09,4.266288144982867e-09,2.559556540049357e-08,1.9770140013974928e-08,1.1814174039059824e-08,3.628470697236708e-08,9.74399516628921e-09,7.1863416106765495e-09,7.178638061766664e-09,4.646192031110275e-09,1.7841644606164667e-08,2.173818036688147e-09,9.008488577322282e-09,2.461819170740398e-09,1.426122647751882e-09,2.6214071802144195e-09,1.842667068929771e-09
