	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	0.87925553	1.2795979e-06	3.132241e-06	1.3020798e-06	1.6983778e-06	2.758606e-05	1.2279465e-06	3.0331e-06	6.5835695e-07	1.480139e-05	5.9639696e-08	3.1402099e-06	3.248788e-07	0.120596185	3.3985998e-05	3.2969885e-05	1.6892729e-05	6.088358e-06
priorregion1_spot_2	0.735947	2.2368441e-07	7.01766e-06	0.013488786	0.008359307	1.3320486e-06	0.1432625	0.06356691	0.013727561	2.5674655e-05	7.183029e-08	0.021600632	8.893061e-08	3.6972647e-06	1.2601419e-06	2.3648222e-06	3.596213e-06	1.7938912e-06
priorregion1_spot_3	0.36934456	4.153327e-08	0.00014296612	0.040737	5.5276637e-06	3.0381107e-06	0.50030977	0.077446036	8.0352953e-07	0.0014474313	3.1567154e-08	7.012856e-06	0.00044940697	0.01010082	5.907487e-07	2.1725118e-06	6.0204616e-07	2.1239516e-06
priorregion1_spot_4	0.32479572	3.6705917e-08	4.270706e-06	6.83022e-05	0.09338182	0.07197987	0.4707163	3.058297e-05	0.036934525	2.0654948e-06	5.453218e-08	3.018596e-05	1.9643924e-08	1.0002154e-05	3.6611075e-07	0.0020432943	9.342333e-07	1.7982217e-06
priorregion1_spot_5	0.4021112	3.2348314e-08	1.07629885e-05	0.08694902	0.00019676417	1.3031132e-05	0.45873317	2.095158e-06	2.1169337e-05	6.550509e-07	4.098972e-08	0.05185997	1.7743279e-08	0.000100776415	1.3138586e-07	4.1463758e-07	2.443413e-07	3.8492067e-07
priorregion1_spot_6	0.2892927	3.216892e-05	7.996512e-07	3.0548853e-07	1.6004777e-05	2.779403e-07	0.6699192	0.03962209	2.9998414e-06	7.28496e-08	1.4590809e-08	4.1723095e-07	0.0011079778	4.367782e-06	5.442036e-08	3.166533e-07	1.557803e-07	4.9833616e-08
priorregion1_spot_7	0.74062777	1.8401906e-06	1.0270833e-05	2.0013298e-05	7.867435e-06	1.36327335e-05	8.703322e-06	1.0577016e-05	5.5412415e-06	2.6615246e-05	9.0823285e-08	0.015539525	3.640725e-06	0.059040066	2.0181376e-05	0.09454374	0.033041406	0.057078633
priorregion1_spot_8	0.57335246	8.7588546e-08	9.487183e-06	2.2922522e-06	1.0511804e-06	3.4939245e-07	0.36667442	0.054415263	1.247575e-07	2.0947067e-07	3.12206e-08	0.005543016	3.2303326e-08	1.2159924e-07	1.4052422e-07	1.1246368e-07	7.929183e-07	9.7664504e-08
priorregion1_spot_9	0.9500056	3.4452648e-07	2.2434976e-06	1.6150822e-06	3.884888e-07	1.9792826e-06	1.7672997e-07	4.042257e-07	9.442373e-08	5.668893e-06	4.128044e-08	6.2551067e-07	1.6377973e-07	0.029922064	7.807657e-06	0.020042012	3.0340282e-06	5.7674188e-06
priorregion1_spot_10	0.97041506	2.1367994e-07	2.1636906e-07	1.1779574e-06	3.5026852e-07	3.0921507e-07	1.3601226e-07	1.9207414e-07	6.2819126e-08	0.026667323	2.9686838e-08	0.0028998663	1.2400824e-07	1.5376969e-06	7.492656e-07	5.976007e-06	5.108947e-06	1.5543709e-06
priorregion1_spot_11	0.4677316	1.0406334e-07	1.3642708e-06	0.1056746	3.379551e-06	5.238699e-06	0.37309057	1.3590201e-06	6.216663e-07	2.292673e-06	6.354319e-08	0.04441505	0.00061207166	0.008459201	3.298419e-07	7.241539e-07	4.301504e-07	8.7043736e-07
priorregion1_spot_12	0.5636013	8.087498e-08	1.2769656e-05	0.020101406	1.6911604e-06	0.00033568006	0.41593057	6.123355e-06	2.899072e-07	1.4672759e-06	2.0541611e-08	2.0316704e-06	4.1143963e-08	7.601649e-07	7.405552e-07	1.8996056e-06	2.2181785e-06	9.690548e-07
priorregion1_spot_13	0.36401513	4.953961e-08	1.8363102e-05	3.519578e-06	0.060949378	1.08830145e-05	0.56214404	0.0128527	9.706577e-07	3.6195974e-07	1.5643035e-08	9.161257e-07	3.6883296e-08	1.1844397e-06	1.5697209e-07	1.4560943e-06	4.1115538e-07	3.1501253e-07
priorregion1_spot_14	0.41228414	4.9565013e-08	2.6896491e-06	0.02000529	3.0720348e-05	0.15586038	0.41179514	6.7472265e-06	9.229894e-07	1.2419586e-06	2.7475699e-07	4.9665327e-06	2.3087773e-08	1.4610016e-06	1.3950474e-06	1.6109358e-06	7.3271235e-07	2.2452805e-06
priorregion1_spot_15	0.88183635	5.8824634e-07	0.009301962	0.0078069535	1.0316093e-05	0.026606439	9.556684e-06	1.7581982e-05	3.9425245e-06	0.053431254	1.3118878e-07	6.564668e-06	7.527707e-07	9.195791e-05	1.102837e-05	9.2440365e-05	0.010679786	0.010092593
priorregion1_spot_16	0.57283324	5.076759e-07	5.634548e-06	1.1077589e-06	4.616454e-06	0.023769457	0.33110863	0.030532848	8.79809e-07	1.5717271e-06	3.9883677e-08	1.0694334e-06	3.366006e-08	0.02020089	3.540369e-07	0.021534659	1.1516944e-06	3.4079249e-06
