	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	2.9414347e-08	8.905125e-09	0.20944084	0.022144655	6.9303354e-07	3.6355448e-07	2.1641793e-06	0.05621808	1.3388318e-07	5.13871e-07	7.748597e-09	0.008409527	1.1420094e-08	1.2955519e-05	6.050739e-07	0.70376325	4.642645e-08	6.061612e-06
priorregion1_spot_2	1.9980229e-08	1.0147329e-08	0.29915315	1.8620023e-06	3.4303157e-06	0.15857403	2.5137075e-05	0.14588608	6.484491e-07	2.8163771e-05	1.638234e-08	0.062078603	1.0104703e-08	0.0117786005	1.2563722e-06	0.3099597	2.9663996e-08	0.012509368
priorregion1_spot_3	3.7137525e-08	2.830889e-08	0.2102237	0.12186877	0.014965516	0.39410445	0.052024703	3.053571e-05	5.2113904e-07	3.3688193e-07	2.4241242e-08	4.593634e-06	1.8686693e-08	5.9742837e-07	6.949076e-07	0.20066114	2.5921649e-08	0.0061143422
priorregion1_spot_4	0.000845743	8.066271e-09	0.42384458	1.3382947e-07	1.4286293e-07	0.048878092	4.7233e-07	0.052425075	1.2347043e-07	3.379406e-07	1.2217906e-08	2.8174003e-07	8.4538785e-09	0.11657908	2.8749875e-07	0.3574253	1.0771442e-08	2.71779e-07
priorregion1_spot_5	6.9616957e-09	5.7924416e-09	0.33933616	0.13857672	1.0121205e-06	0.090049036	4.813684e-05	6.332725e-07	9.828962e-08	9.441647e-08	1.6172743e-08	7.6511407e-07	4.7094555e-09	7.636197e-06	1.2983448e-07	0.43197894	6.3039125e-09	7.1940786e-07
priorregion1_spot_6	9.096305e-09	7.64196e-09	0.1383474	0.011213941	7.3649477e-07	0.19923796	0.0037597974	3.6143598e-07	1.8819095e-07	1.7873145e-07	1.1694887e-08	5.050584e-07	7.053275e-09	1.9611667e-05	2.6394287e-07	0.6474177	1.4781756e-08	1.3828113e-06
priorregion1_spot_7	1.19185275e-08	7.954033e-09	0.32026434	0.078251585	0.008054125	0.0873651	6.5364196e-07	7.85557e-07	8.259615e-08	1.3853743e-07	1.3975981e-08	0.02138233	1.3281085e-08	2.8092595e-07	9.987034e-08	0.48468024	8.789094e-09	1.8586411e-07
priorregion1_spot_8	1.6347075e-08	1.39023e-08	0.29885897	0.09261739	0.001929019	0.22056434	9.201046e-07	1.9916529e-06	1.8598793e-07	1.8679671e-07	2.6861011e-08	0.030891443	6.160749e-08	8.82621e-07	2.1882342e-07	0.3483735	1.9333699e-08	0.0067608203
priorregion1_spot_9	7.831354e-09	5.790318e-08	0.36575457	2.0104326e-06	0.0048182434	5.3871776e-07	1.2769291e-06	0.07544243	1.3805376e-07	1.6798482e-07	6.984361e-09	9.235916e-07	9.02814e-09	5.7338293e-06	1.3001004e-06	0.55397207	9.33874e-09	5.8637585e-07
priorregion1_spot_10	6.0697736e-09	5.8422844e-09	0.34486893	0.006771134	2.4549215e-06	0.16709991	0.0026006456	2.892077e-06	9.048072e-08	5.7167725e-08	1.7990352e-08	6.097266e-07	4.72967e-09	1.1454129e-06	0.006215773	0.4724354	5.7875282e-09	9.361855e-07
priorregion1_spot_11	1.243541e-08	8.083357e-09	0.337029	0.022470767	2.550034e-06	0.020000735	0.054780167	0.008505626	1.5435462e-07	2.6764195e-07	8.729389e-09	0.00071429485	1.01560245e-08	0.011662374	1.4319315e-07	0.5448336	1.0592467e-08	2.2442293e-07
priorregion1_spot_12	8.884814e-09	1.2424914e-08	0.31840467	0.035391957	3.425237e-06	0.1546406	5.484151e-07	2.7698327e-06	1.4767431e-07	3.8247785e-07	1.6270596e-08	0.023313096	9.7212025e-09	0.005018917	3.5677726e-07	0.4564346	9.251529e-09	0.006788497
priorregion1_spot_13	7.890946e-09	0.00019673476	0.10749176	0.0085982485	7.489959e-07	0.33016354	2.494876e-06	2.797021e-07	0.0012771275	4.752485e-06	4.3246753e-09	0.02668176	5.794211e-09	1.4943597e-05	4.311204e-07	0.47491106	7.778209e-09	0.050656103
priorregion1_spot_14	6.1383525e-09	0.00013311392	3.2522257e-05	0.024925174	0.0035890741	0.46092063	6.1168676e-06	0.074065626	1.6139983e-07	5.0644232e-08	5.7155645e-09	3.9185306e-05	4.360622e-09	0.06437602	5.570224e-08	0.3719108	6.37024e-09	1.3721204e-06
