	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	7.9918205e-09	8.050315e-09	4.233984e-06	0.62694955	7.778192e-06	6.740865e-07	7.0129647e-07	5.2205206e-07	0.37303588	1.1653624e-07	6.929443e-08	2.040932e-07	5.1700932e-09	1.00948874e-07	2.6489978e-08	8.015173e-08	4.558221e-09	6.6423134e-08
priorregion1_spot_2	1.2476487e-08	1.0631724e-08	1.7480191e-06	5.657865e-07	1.2014408e-05	7.77728e-06	0.14787601	0.036839955	0.8152216	1.0571882e-07	7.157157e-09	6.394147e-07	1.9986908e-08	9.360957e-08	7.2393235e-08	1.2620383e-07	3.917537e-05	7.7882476e-08
priorregion1_spot_3	1.9505022e-08	1.4259859e-08	1.7304077e-07	0.061621707	3.350061e-06	5.8902765e-07	2.7291237e-06	7.0569274e-07	0.8833237	7.983477e-08	7.202564e-09	0.05504534	1.0829292e-08	1.6085579e-07	1.05314264e-07	1.1875038e-06	1.2120436e-08	1.1902479e-07
priorregion1_spot_4	1.0471664e-08	7.851994e-09	1.8293984e-05	0.42608276	3.2724824e-05	6.835415e-06	2.8124465e-05	2.8951185e-05	0.5737884	1.0966532e-07	5.5890412e-09	1.3026672e-05	1.0630201e-08	1.6803624e-07	7.86697e-08	2.970959e-07	6.9780572e-09	1.07642116e-07
priorregion1_spot_5	8.935304e-09	1.0432161e-08	9.617571e-06	0.35637406	2.7079926e-05	2.20284e-06	0.00039435545	0.0073452084	0.6351916	0.0006523665	6.0087983e-09	2.9395765e-06	8.071905e-09	9.302435e-08	1.3723559e-07	1.00711944e-07	5.85173e-09	2.8797965e-07
priorregion1_spot_6	1.809775e-08	1.139291e-08	1.3114604e-05	0.4357792	1.5289384e-05	5.7486245e-06	0.039457317	2.897534e-05	0.51377565	1.2450963e-07	1.417078e-08	0.010924066	1.4280138e-08	1.9741083e-07	8.624346e-08	1.8585968e-07	1.4636903e-08	1.04316115e-07
priorregion1_spot_7	1.7877674e-08	2.5192657e-08	8.4953626e-07	0.17120175	1.1455151e-05	3.3925835e-06	0.12650271	1.4079734e-05	0.7000932	1.2285017e-07	6.1575833e-09	8.269685e-06	9.952542e-08	1.0518514e-07	0.0021634568	1.9974772e-07	5.730721e-09	2.3330256e-07
priorregion1_spot_8	6.638891e-09	7.962006e-09	1.3082272e-05	0.59039783	1.15939e-05	3.3126184e-07	9.654028e-06	0.021211185	0.38835543	5.1616183e-08	6.8775363e-09	3.6017698e-07	7.506861e-09	6.202568e-08	3.8622407e-08	5.981814e-08	4.6863e-09	7.669826e-08
priorregion1_spot_9	8.907875e-09	1.1639117e-08	0.07181307	0.31810364	7.9344965e-05	3.1607833e-06	1.945604e-05	6.7804925e-05	0.60990983	1.2535494e-07	5.539833e-09	3.12657e-06	2.269989e-08	1.159722e-07	7.418787e-08	1.2909577e-07	7.527793e-09	7.841029e-08
priorregion1_spot_10	7.4283784e-09	7.572804e-09	0.0112655405	0.06396388	7.651007e-06	1.9302522e-06	0.062269226	1.5234584e-05	0.86247283	1.06618614e-07	4.036973e-09	4.2011104e-07	1.1439082e-08	6.2740185e-08	9.023151e-08	1.1984812e-07	4.1884505e-09	2.8944453e-06
priorregion1_spot_11	1.0840932e-08	9.425909e-09	4.435911e-07	0.14103273	2.0998305e-06	6.9969553e-07	5.3555286e-06	9.4293705e-07	0.854395	9.2071524e-08	6.8217836e-09	0.0026766548	7.600023e-09	1.7627978e-07	1.0494221e-07	0.0018855259	5.1923195e-09	8.9744645e-08
priorregion1_spot_12	4.4449004e-09	6.338798e-09	3.541745e-07	0.24188878	1.7285992e-06	7.1394817e-07	0.045988437	3.2935561e-06	0.7121159	4.63836e-08	3.633303e-09	4.3145633e-07	1.5507704e-08	1.01916605e-07	3.303542e-08	1.449907e-07	2.7825826e-09	5.215862e-08
priorregion1_spot_13	1.8530294e-08	1.1129998e-08	1.6887652e-05	0.43677264	0.008141193	2.042174e-05	7.592969e-05	2.4808758e-05	0.5504658	2.2805334e-07	1.0058734e-08	0.0044805193	1.3654845e-08	4.034757e-07	1.7899177e-07	7.3854625e-07	6.757311e-09	1.6168185e-07
priorregion1_spot_14	1.22517e-08	1.7501206e-08	0.020254247	0.3226652	6.97342e-06	1.0738149e-06	1.4328372e-05	0.0006030692	0.6564534	2.5679932e-07	7.53751e-09	8.277613e-07	1.2242859e-08	1.5219689e-07	1.1440027e-07	1.5940093e-07	6.1179746e-09	1.7197618e-07
priorregion1_spot_15	9.12185e-09	5.7001883e-09	2.653674e-06	0.34118262	0.12399778	1.0314661e-06	0.14032124	3.7590995e-05	0.39445552	5.085574e-08	5.993952e-09	1.1351661e-06	5.838949e-09	8.5399144e-08	4.5321002e-08	7.462717e-08	4.4877693e-09	6.2451704e-08
priorregion1_spot_16	5.8517444e-09	1.2443483e-08	5.2783967e-08	8.238101e-08	1.126947e-07	1.0893629e-07	2.7347782e-05	1.6912229e-07	0.9999718	4.0866027e-08	5.2460853e-09	1.04665446e-07	5.4251617e-09	4.891399e-08	3.852483e-08	5.7243252e-08	4.383578e-09	3.2049154e-08
priorregion1_spot_17	1.0256931e-08	4.3506048e-09	5.1291266e-07	0.2562654	9.427737e-06	6.346526e-07	0.00026042684	5.2084906e-06	0.74345267	4.5850843e-08	7.162734e-09	5.3586336e-06	6.377287e-09	4.6894176e-08	3.505663e-08	6.022215e-08	2.6363005e-09	4.3331717e-08
priorregion1_spot_18	1.0097449e-08	6.7263786e-09	1.126035e-07	7.744653e-08	1.8986049e-06	2.7232375e-06	0.17625137	8.1248545e-06	0.82373345	5.9473646e-08	1.4598691e-08	1.8908878e-06	9.0720365e-09	6.711911e-08	4.2972523e-08	7.877031e-08	4.303176e-09	7.3848376e-08
priorregion1_spot_19	1.19303e-08	8.6591845e-09	3.2481398e-06	0.123585105	0.034009073	6.2352487e-06	0.08483576	0.08333305	0.67421764	1.1541957e-07	6.735047e-09	8.825888e-06	8.429572e-09	1.3921577e-07	8.312402e-08	6.892416e-07	4.6499964e-09	9.583729e-08
priorregion1_spot_20	2.5358718e-08	1.3310048e-08	8.956293e-06	0.31158	3.2032905e-05	5.1678376e-06	0.00010198613	3.1436943e-05	0.68822813	1.438665e-07	7.992225e-09	1.1235399e-05	1.0237556e-08	3.8267822e-07	8.186145e-08	2.8487167e-07	7.553152e-09	1.5145375e-07
priorregion1_spot_21	1.320498e-08	0.00015903765	1.973695e-07	6.7290024e-08	3.2879857e-06	2.8026875e-06	0.04570374	6.2080784e-05	0.95406204	7.743144e-08	4.138884e-09	5.6261024e-06	7.209726e-09	1.0155429e-07	5.903035e-07	2.2309862e-07	4.900845e-09	6.996279e-08
priorregion1_spot_22	7.4236457e-09	2.8111364e-09	5.980632e-08	4.938674e-08	5.5256595e-07	1.0381599e-07	5.080252e-05	4.332047e-07	0.9999462	8.118418e-08	3.092825e-09	1.2680931e-06	7.2223165e-09	5.6238388e-08	5.6660554e-08	1.7897747e-07	4.659145e-09	3.293854e-08
priorregion1_spot_23	4.484148e-08	8.643478e-09	2.0317024e-05	0.31428018	6.2555715e-05	3.229137e-05	0.12114316	8.846397e-05	0.564365	1.6265156e-07	8.668945e-09	6.4206138e-06	7.288764e-09	2.3613254e-07	7.716796e-08	9.67357e-07	6.347644e-09	9.78713e-08
priorregion1_spot_24	1.0145365e-07	1.2742557e-08	0.00839929	0.49032515	4.588534e-05	0.011932578	0.024356494	1.6390848e-05	0.46489275	1.10672275e-07	6.8279715e-09	3.074177e-05	8.691273e-09	1.1389811e-07	6.2605224e-08	1.3378204e-07	8.046942e-09	7.064267e-08
priorregion1_spot_25	1.0463759e-08	7.682996e-09	3.1292635e-05	0.64801615	8.9961366e-05	2.186995e-06	0.022768723	0.014410509	0.31465393	5.6963056e-08	2.556313e-05	1.2976475e-06	8.894191e-09	7.3571734e-08	3.8458346e-08	2.0667822e-07	7.3884734e-09	9.108358e-08
priorregion1_spot_26	5.178875e-09	4.4436983e-09	8.3147115e-06	0.26553643	2.9065563e-06	0.013969965	0.107519545	0.0019255211	0.6110368	3.724104e-08	4.5325828e-09	1.9261857e-07	6.7366424e-09	4.512374e-08	3.1168838e-08	6.0919994e-08	3.79152e-09	4.8868387e-08
priorregion1_spot_27	2.2495621e-08	3.9322945e-08	3.2988842e-06	0.1327503	0.000109312816	2.3271057e-06	8.894661e-05	2.2476594e-05	0.8670203	1.0679462e-07	5.411489e-09	2.3994912e-06	6.4486114e-09	1.2128123e-07	7.459678e-08	2.0696065e-07	5.7916387e-09	8.0263504e-08
priorregion1_spot_28	1.156808e-08	1.2111235e-08	2.6486223e-06	0.16615206	9.910296e-06	1.07849555e-05	0.105590254	1.966162e-05	0.7281958	1.1201318e-07	9.475546e-09	1.7988368e-05	8.569109e-09	3.149976e-07	7.062702e-08	1.7003768e-07	6.8560073e-09	1.2074516e-07
priorregion1_spot_29	1.1376516e-08	1.6334205e-08	0.0046015345	0.11063903	0.06946199	0.018256951	9.323991e-05	8.741878e-06	0.7934733	3.4321803e-07	1.0997609e-08	0.003461227	9.94007e-09	3.2383272e-07	1.4125538e-07	2.7028539e-06	1.0555288e-08	4.2045923e-07
priorregion1_spot_30	0.00040669276	9.3783165e-05	2.956785e-07	1.6366326e-07	1.2732234e-05	4.9044287e-05	0.00043959956	6.3092984e-06	0.93713415	3.4186831e-07	2.6196261e-08	0.05276566	3.0741784e-08	7.0460637e-06	2.7430409e-07	0.009083681	1.5761504e-08	1.7021279e-07
