	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	9.2981045e-09	5.772433e-09	1.7934078e-06	0.43942657	4.455096e-05	2.3177707e-07	5.6129386e-07	0.0074441577	2.2508127e-07	0.24754724	1.8140578e-09	1.2812319e-07	5.7269984e-09	2.7928874e-07	0.2759144	5.2570414e-07	2.0681654e-09	0.029619373
priorregion1_spot_2	9.751619e-09	7.639864e-09	0.029251223	0.29207534	0.051840253	0.027822422	6.2847073e-07	8.118067e-06	5.718755e-07	0.29242504	3.878814e-09	4.1932094e-07	1.9389114e-08	1.2044452e-06	0.30636886	5.2319036e-05	3.854684e-06	0.000149708
priorregion1_spot_3	0.00016638452	1.357534e-08	3.0575065e-06	4.6201768e-07	5.789208e-06	1.5206367e-06	4.0423782e-07	0.00874127	4.7356032e-05	0.09122083	4.962773e-09	1.8645088e-06	5.8764963e-05	0.020880973	0.70800656	0.03722645	5.4699774e-09	0.13363825
priorregion1_spot_4	1.3832501e-08	9.3381365e-09	2.6729493e-05	0.4888851	3.216525e-06	1.3871983e-06	9.833252e-07	1.4063875e-06	3.6733977e-07	0.5110649	6.608819e-09	8.988479e-07	1.3198009e-08	1.1891852e-06	2.012925e-06	1.0922166e-06	4.6545e-09	1.0712568e-05
priorregion1_spot_5	4.1856737e-08	9.329711e-09	9.973316e-06	0.4278314	7.6531236e-05	2.2687457e-06	9.739742e-07	1.3039389e-06	6.6156116e-07	0.28746316	4.9122204e-09	9.630453e-07	7.383248e-09	0.012097845	0.27250582	2.3307102e-06	5.1321636e-09	6.7659007e-06
priorregion1_spot_6	1.0118343e-07	6.8296058e-09	8.4074706e-08	6.465645e-08	2.4472865e-07	1.5558945e-06	1.016027e-07	1.3282708e-07	3.6870136e-07	0.20617515	6.687642e-09	3.9713834e-07	8.999144e-09	0.040342174	0.7212342	0.00033466026	5.223165e-09	0.031910706
priorregion1_spot_7	1.424674e-08	1.4028794e-08	0.0034934368	0.5220321	0.07944648	9.448118e-07	9.172456e-07	5.6429835e-06	1.128844e-05	0.09291643	6.6040506e-09	2.2839222e-07	1.0476807e-08	4.2082178e-07	0.30209023	3.8413253e-07	1.5431674e-08	1.4744729e-06
priorregion1_spot_8	0.00072629296	6.610945e-09	4.8208925e-08	4.142189e-08	1.5073864e-07	1.7585555e-07	3.823377e-08	0.009576868	2.2750379e-07	1.2419225e-05	2.5380817e-09	1.2829749e-07	3.9709596e-09	7.3334047e-07	0.989328	6.841374e-06	2.127238e-09	0.00034796324
priorregion1_spot_9	5.333955e-09	5.761701e-09	0.116791345	0.41510564	0.0012390394	7.952493e-06	5.591084e-06	2.9131177e-05	3.7848786e-06	0.46680176	2.807422e-09	4.799193e-06	7.013583e-09	2.9125035e-06	2.4500093e-06	2.7784756e-06	3.0034946e-09	2.8654067e-06
priorregion1_spot_10	1.7510557e-08	1.4658542e-08	1.228721e-06	0.10732305	5.165731e-06	1.586789e-06	8.5987074e-07	8.840197e-07	9.406114e-07	0.41437536	3.9733954e-09	9.900731e-07	1.0883528e-08	0.0011769348	0.44486326	1.4704703e-05	7.729438e-09	0.03223502
priorregion1_spot_11	7.770314e-09	8.892063e-09	0.029798852	0.1330269	0.0915332	8.092569e-07	2.5084955e-07	9.908737e-07	1.572178e-07	0.10841854	3.997021e-09	0.0019404193	4.9262474e-09	1.6455249e-07	0.6352763	6.632361e-07	4.847459e-09	2.7369165e-06
