	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	2.0636191e-08	1.0614036e-08	0.21546172	0.7755652	0.008965595	3.4846218e-07	2.5358595e-06	3.5935384e-06	9.749597e-08	8.77527e-08	9.152585e-09	3.5569613e-07	1.3641638e-08	1.3573519e-07	6.5138536e-08	8.820073e-08	2.0258215e-08	2.7806624e-07
priorregion1_spot_2	0.00461813	2.0814602e-07	0.024977118	0.83475065	1.2150727e-05	6.071975e-07	7.751943e-07	1.2081465e-06	0.00297854	1.9235314e-07	4.7631605e-08	4.8726497e-07	3.7353182e-08	1.7904752e-07	1.2958323e-07	1.7955178e-07	0.13265926	1.7553408e-07
priorregion1_spot_3	0.0031884885	1.309204e-08	0.025422249	0.7147141	6.3726065e-07	0.0010536343	0.02286497	0.06302275	0.014503534	1.1429068e-07	1.9996845e-08	0.03153116	4.6133763e-08	1.2400852e-06	8.9036774e-08	2.5058583e-07	0.1236967	6.795629e-08
priorregion1_spot_4	0.0013952228	1.193501e-07	0.19669485	0.633661	0.00016344133	6.1315086e-07	4.037562e-06	2.3305502e-05	6.6630565e-07	3.085308e-07	8.482958e-08	7.5053704e-06	0.0029132443	4.7872607e-07	1.6536555e-07	5.0102926e-07	0.16513428	1.7171327e-07
priorregion1_spot_5	1.1247949e-07	0.0048178947	2.5763244e-05	0.87623477	3.7692444e-06	2.94843e-07	4.0218006e-07	0.03182901	0.010011123	1.320677e-07	4.7881528e-08	6.2732573e-07	1.7096552e-07	2.408028e-07	1.2151928e-07	1.3420375e-07	0.07707535	1.5319453e-07
priorregion1_spot_6	5.959395e-08	4.6773625e-08	0.13811919	0.719617	0.042484567	3.820849e-07	6.0388993e-07	1.18139715e-05	2.8645317e-07	7.314067e-08	8.046492e-09	4.4651924e-07	1.5665005e-08	6.795433e-08	2.7398125e-08	5.1940066e-08	0.09976524	4.749896e-08
priorregion1_spot_7	1.22294015e-08	1.3692856e-08	0.10582064	0.89293015	5.9754664e-05	7.3523313e-07	0.0011768155	1.0383047e-05	1.6830897e-07	1.0832693e-07	5.5527785e-08	8.8935644e-07	1.0410464e-08	9.984692e-08	6.8833124e-08	1.2386808e-07	9.041905e-09	1.3086887e-07
priorregion1_spot_8	1.4563686e-08	1.606916e-07	0.123965934	0.8760111	7.24026e-06	4.802625e-06	5.7576085e-07	7.6039396e-06	2.3318033e-07	1.23361e-07	1.6219328e-08	1.5004804e-06	2.1594694e-08	1.5574635e-07	1.2221064e-07	2.2197555e-07	6.17912e-08	1.07417755e-07
priorregion1_spot_9	0.0062014335	4.54175e-08	0.17442454	0.63326275	0.08160852	1.4534137e-07	3.3933026e-07	0.004594003	0.025320424	5.2125927e-08	1.6630288e-08	2.2775712e-06	0.0005548527	1.3814386e-07	7.9443986e-08	0.0032032928	0.0708271	9.208514e-08
priorregion1_spot_10	0.0007405527	3.8899108e-07	0.00014659166	0.85741985	2.0103806e-07	2.0633588e-07	5.2410735e-07	1.3810237e-06	9.6661815e-08	1.996525e-07	4.7409454e-08	1.9187699e-07	4.8887337e-08	7.7958276e-08	1.0118973e-07	1.1040546e-07	0.14168926	1.0739624e-07
priorregion1_spot_11	1.3056487e-08	1.0250982e-08	0.22632976	0.68249893	0.08508698	5.3208914e-06	7.387539e-06	1.808259e-05	9.994175e-08	9.731662e-08	1.4904021e-08	2.1004253e-07	0.0011743926	1.4720084e-07	9.201387e-08	1.5037543e-07	1.137418e-08	0.00487824
priorregion1_spot_12	2.0597582e-08	2.7675876e-08	0.050611693	0.7365784	1.2432559e-05	0.013985668	0.073287316	8.281065e-06	3.664201e-07	2.8009404e-07	2.9509879e-08	5.6115965e-07	5.2282836e-08	0.03390902	1.9850397e-07	1.991467e-06	0.09160334	1.964372e-07
priorregion1_spot_13	5.670459e-08	2.4462228e-08	0.26670948	0.731023	0.0015031111	3.4647712e-07	5.762248e-06	0.00010047387	2.349714e-07	7.0746445e-08	2.7265566e-08	3.9882234e-06	0.00024142202	1.2476823e-07	1.0965674e-07	8.6709875e-08	0.00041136568	1.7038295e-07
priorregion1_spot_14	1.16201795e-08	2.0612294e-08	0.12044333	0.81645656	0.063094325	1.8275975e-06	8.972443e-07	6.240173e-07	2.5431652e-07	1.0132397e-07	1.0790031e-08	8.196462e-07	1.0607907e-08	7.527954e-07	1.0581195e-07	2.3541433e-07	1.542186e-08	1.122325e-07
priorregion1_spot_15	0.00066596473	1.2156494e-08	1.8089368e-06	0.9993317	1.0043465e-07	8.2246686e-08	7.862958e-08	1.1670897e-07	4.616561e-08	2.6499864e-08	6.59464e-09	4.453065e-08	5.368224e-09	2.5205015e-08	1.8753486e-08	2.8204973e-08	5.224173e-09	3.0021745e-08
