	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	0.4860273	1.0099324e-07	0.037538514	2.0282687e-06	1.2722606e-07	8.656423e-08	8.141054e-08	2.0905065e-07	1.9058506e-07	1.7737209e-06	2.5080219e-08	0.011040275	4.515465e-08	3.797922e-07	1.6419618e-06	3.819345e-06	1.1392438e-06	0.4653823
priorregion1_spot_2	0.13726184	4.894109e-08	4.2415195e-07	4.0259897e-07	2.5643797e-07	0.018336844	0.030888313	6.594128e-07	0.010951953	0.38088477	0.14563023	6.428136e-07	8.7063455e-08	6.6081225e-06	1.4726273e-06	2.438426e-06	1.6048054e-07	0.2760329
priorregion1_spot_3	0.2577996	4.0626254e-08	7.9388116e-08	6.02667e-08	8.1263224e-08	5.160115e-08	7.994264e-08	7.3374e-08	1.1206319e-07	0.04346317	0.089961685	6.108379e-08	0.0058617517	1.9863503e-06	0.098369725	0.0386341	4.0145403e-07	0.46590695
priorregion1_spot_4	1.8309047e-08	1.4405092e-08	2.4937647e-06	8.0425497e-07	2.048052e-07	1.4499958e-07	1.4754937e-07	3.2456006e-07	2.0964356e-07	0.7060509	1.8172523e-08	2.1665063e-07	1.1773927e-08	4.7584174e-07	0.018357024	0.0068017226	1.0163049e-08	0.26878536
priorregion1_spot_5	0.18436447	9.749122e-08	1.5265519e-07	1.5602387e-07	8.1704236e-08	1.2267368e-07	6.533675e-08	1.0779065e-07	5.3960026e-05	8.680064e-06	2.5205003e-08	1.0748249e-07	1.18183765e-08	0.0060493355	0.00025354998	8.384632e-07	4.5676714e-07	0.8092678
priorregion1_spot_6	0.08777364	0.000567116	0.0034526705	2.061985e-07	6.396943e-08	9.517817e-08	9.512708e-08	6.285366e-08	8.2758e-07	0.36364934	1.522985e-08	7.3538445e-08	1.8150912e-08	2.0075036e-07	8.876278e-07	2.2891078e-07	2.7586179e-08	0.5445545
priorregion1_spot_7	0.08213793	5.0341736e-08	0.0011640997	0.022281893	3.3109444e-07	1.0648054e-06	0.028401662	9.93937e-07	1.7306333e-07	1.6328152e-06	0.2759085	5.2619016e-06	0.0005578978	2.0308664e-06	3.7870433e-07	2.3045666e-05	0.008884478	0.5806286
priorregion1_spot_8	0.38336554	1.330389e-07	6.9909606e-07	0.004543861	7.650199e-07	0.029705716	0.0059048063	3.3566337e-07	3.460709e-07	1.9124348e-06	0.26316988	1.0937748e-06	1.8726689e-07	8.4344697e-07	0.016790966	2.5558745e-06	3.6041723e-07	0.29651004
priorregion1_spot_9	2.3408669e-08	7.185602e-08	2.2041148e-07	3.1231875e-07	8.591668e-08	1.8065508e-07	9.5600605e-08	1.15632666e-07	6.2103155e-08	0.9189445	0.08103511	5.3567003e-08	5.3598352e-09	5.458896e-07	1.4363942e-06	6.8771765e-06	2.2364546e-08	1.0283222e-05
priorregion1_spot_10	0.14059293	3.5476486e-08	2.9042155e-07	0.011185119	1.5415898e-07	1.1354894e-07	1.2650145e-07	3.8356131e-07	8.521808e-08	0.40652302	3.340507e-08	2.0966328e-07	3.1437267e-08	3.106456e-07	3.2936372e-05	0.02050776	4.5712298e-08	0.42115638
