	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	1.4138654e-07	1.2793671e-08	1.8713173e-07	1.3182135e-07	7.471147e-07	1.6174583e-06	6.2108916e-07	4.1572764e-07	0.014930258	0.02102983	1.0963379e-08	2.2093491e-07	2.262108e-08	0.07075125	0.15270141	0.16079396	4.017716e-05	0.579749
priorregion1_spot_2	0.00069492083	2.1374142e-08	8.864439e-08	1.2557427e-07	1.1151778e-07	0.0024968812	1.2933619e-07	3.8688037e-07	1.055815e-06	0.033763308	0.08634393	3.694806e-07	9.879052e-07	0.03235818	0.14344983	0.15870473	9.618286e-09	0.54218495
priorregion1_spot_3	6.119553e-05	0.30638558	1.2356405e-07	3.8534003e-07	2.1642076e-07	1.3709935e-07	0.00096762285	1.4863112e-07	2.2167211e-07	2.4552921e-06	4.0745377e-08	1.3414218e-07	2.3120991e-07	0.14515147	3.4486002e-05	5.062804e-07	1.4571085e-06	0.54739356
priorregion1_spot_4	2.4753948e-08	1.2249368e-08	5.668081e-07	5.326831e-07	9.648976e-07	3.228667e-06	2.6735432e-07	6.8854143e-07	9.039683e-07	0.09417386	7.946767e-09	3.583333e-07	0.0025671062	2.4914301e-05	0.21259578	0.45431307	2.231655e-08	0.2363177
priorregion1_spot_5	0.007230782	0.38439336	5.414563e-07	7.2407033e-07	1.3871968e-06	1.0026301e-06	4.647874e-07	1.0062957e-06	0.020297464	0.1547152	1.8988112e-07	6.82681e-07	1.4568793e-07	0.006247838	0.038678557	0.17681721	0.00023977771	0.21137366
priorregion1_spot_6	0.0073610023	0.0031712821	1.0115925e-05	4.34695e-07	9.1263706e-07	6.2304016e-06	0.14644201	0.008823208	0.018629817	0.053041127	0.07866421	0.00066986075	1.9584019e-07	0.015397828	0.18769118	0.12879127	0.08968431	0.26161498
priorregion1_spot_7	1.2016296e-05	0.009086279	1.6041471e-05	6.460652e-07	7.1689834e-07	8.4344765e-07	0.026367262	6.017341e-07	3.4761533e-07	0.06450359	0.5781286	0.01576668	0.0012261457	3.1639843e-06	0.011094225	0.088035576	2.6696074e-07	0.20575707
priorregion1_spot_8	0.0012657397	3.1983753e-08	2.839255e-07	3.0092588e-07	0.0440565	5.1542415e-06	0.18100184	0.009098515	9.942971e-06	0.07088704	0.18399563	6.8790723e-07	1.9483736e-08	3.8796607e-06	1.0623098e-06	0.09041665	1.6430961e-08	0.4192567
priorregion1_spot_9	0.00032294044	9.579862e-09	1.1650506e-05	0.007748281	5.7841913e-05	0.03546431	0.15966403	0.0067587327	0.010863813	4.679904e-05	8.9844585e-09	0.0091671	2.0739085e-08	0.00012478851	0.022312108	0.38140607	5.4008757e-09	0.36605152
priorregion1_spot_10	0.0051675728	1.2321858e-07	0.0006550116	0.009017277	2.538712e-07	3.0059173e-06	2.4463213e-07	2.6310117e-05	1.7917326e-07	0.021360163	0.34507015	1.4500779e-07	5.250609e-08	0.08672612	0.0250779	9.2808654e-07	3.2532974e-08	0.5068946
priorregion1_spot_11	0.0034959367	8.654483e-09	4.0689147e-06	0.009909082	5.2900214e-06	2.0013626e-05	0.18981038	4.0947125e-05	0.025549259	0.023027772	9.944389e-09	0.05106276	1.9035879e-08	0.021213861	0.13921325	0.09564033	6.3862036e-09	0.4410071
priorregion1_spot_12	1.8118717e-06	0.43936235	5.0226373e-07	4.3272865e-07	1.6508461e-07	5.601934e-07	1.9637245e-07	7.59661e-07	2.0240944e-07	0.051930707	5.966035e-08	1.6453359e-07	3.582057e-08	0.015980145	0.13613	8.5666795e-07	1.2416777e-07	0.35659093
priorregion1_spot_13	0.0046851025	0.0008647019	4.001654e-06	0.04890176	6.0768366e-07	4.602013e-07	0.20871642	1.1550222e-06	3.0743516e-07	3.3024082e-06	0.1426853	2.85146e-07	8.551729e-08	8.705695e-07	0.17362341	8.892823e-07	0.00012141614	0.4203899
priorregion1_spot_14	1.0260105e-07	1.1440169e-08	5.9522336e-06	6.0821543e-07	1.4506799e-07	2.3957382e-06	1.5105608e-07	3.622606e-07	1.8388424e-07	1.2352154e-06	0.00022247277	1.2584381e-06	1.4597616e-08	0.18127549	7.472769e-07	7.5583257e-06	0.0006855268	0.8177958
priorregion1_spot_15	0.0008674991	0.42762223	7.127205e-07	1.08009665e-07	9.8068014e-08	1.6751919e-07	1.0564459e-07	5.5464625e-07	0.026658934	1.8087281e-05	5.8411295e-08	1.7419762e-07	0.0003543253	2.3784655e-07	0.107931904	2.5515737e-07	0.0033800285	0.43316448
priorregion1_spot_16	4.1022858e-08	3.5663885e-09	7.2991105e-07	0.053023964	2.8039452e-07	1.7328137e-05	3.3333714e-07	1.4405862e-06	0.014167139	0.3064023	5.6077356e-09	4.1219863e-07	4.6440447e-09	6.5870717e-07	2.6004314e-05	0.07086298	3.6611298e-09	0.5554964
priorregion1_spot_17	2.6096504e-07	0.23308295	8.9830297e-07	0.03444671	3.3835422e-06	9.042281e-07	3.4570797e-07	5.631791e-07	3.292141e-07	2.905281e-06	4.201402e-08	0.0031989033	6.4376586e-08	0.024478525	0.07274343	0.044582136	5.30151e-07	0.5874571
priorregion1_spot_18	1.38893e-05	0.001108006	3.3912946e-07	1.5907654e-07	3.4803023e-07	0.010385369	1.8194411e-06	1.0396449e-06	0.01322941	3.6748895e-06	0.17927666	1.1439933e-07	3.9191465e-07	0.21126108	0.09826058	3.244645e-05	0.2000177	0.28640693
priorregion1_spot_19	7.715358e-08	0.14166841	4.0141464e-07	7.362131e-06	0.09394177	0.030437237	0.16991632	1.6347882e-07	1.9667696e-07	0.070508204	1.7953502e-08	1.4349747e-06	1.8049553e-08	0.008491493	0.11576339	0.042035837	4.163919e-08	0.32722756
priorregion1_spot_20	1.3865919e-07	8.677903e-08	1.066912e-06	6.1656533e-07	1.649494e-06	1.3378526e-06	1.4437885e-06	4.0123678e-06	3.6272297e-06	0.09126106	0.17270948	2.7500585e-06	6.332052e-08	0.000110809066	0.02592651	0.39915547	1.9074248e-07	0.31081972
priorregion1_spot_21	0.0009580858	8.947096e-09	4.797442e-07	2.3224413e-07	4.9638624e-07	6.124531e-07	0.283905	3.1280524e-07	0.012513928	0.01624962	5.168908e-09	1.2441531e-07	1.0711743e-08	0.11737051	1.9820036e-05	0.41491613	5.4618234e-09	0.15406464
priorregion1_spot_22	0.002232576	1.0644136e-07	3.7060986e-06	8.676882e-07	2.414512e-06	3.1615011e-06	0.24236389	0.10081891	3.7545302e-05	1.9508903e-05	0.31353012	1.5179088e-06	1.2440776e-07	0.030774832	0.05323768	0.016617343	9.234444e-05	0.2402634
priorregion1_spot_23	0.00083488075	1.9550717e-08	3.3554312e-07	0.016860098	4.0320768e-07	1.4948339e-06	5.3877574e-07	2.9583234e-07	4.5048617e-07	0.0003174201	1.6519838e-08	4.6342768e-07	2.0718021e-08	0.17484044	0.00017924292	8.546664e-06	1.2165622e-08	0.8069553
priorregion1_spot_24	0.00068153354	0.0018532182	1.79932e-06	0.05275596	1.2179224e-06	6.221473e-07	0.1298288	5.5003165e-06	0.0053079724	0.086087205	0.14381145	0.020199776	5.207167e-08	0.030027425	0.07608487	0.18700281	5.567554e-08	0.26634976
priorregion1_spot_25	5.2484233e-07	0.13231835	3.0679897e-07	0.014017335	1.7271371e-07	1.6247108e-07	8.7804074e-07	3.350587e-07	1.2532321e-07	0.048498306	9.824316e-09	1.2541146e-07	0.0010631565	6.2047607e-06	0.08628426	4.5482471e-07	3.5895624e-08	0.7178093
priorregion1_spot_26	1.9569166e-08	1.857738e-08	1.18343e-07	9.612236e-08	1.3528619e-07	1.8159812e-07	4.521975e-07	1.1842645e-07	1.4068999e-06	9.674407e-07	1.2170679e-08	1.16202024e-07	8.409525e-08	0.03297101	0.14208706	0.49319598	9.347145e-09	0.3317423
priorregion1_spot_27	3.2887942e-07	0.44826204	8.494086e-06	0.01631058	3.798743e-06	3.2747155e-06	7.0272057e-07	1.3061051e-06	2.5170013e-07	0.15801884	1.1036972e-07	0.0049104923	8.131336e-08	0.00013167366	0.06143922	0.16989729	0.000102801	0.1409087
priorregion1_spot_28	0.0016529483	1.7947968e-08	1.8680022e-07	1.0415787e-07	9.171377e-08	1.8682391e-07	1.2597538e-07	5.51038e-07	1.0341998e-07	0.24340169	4.5093342e-09	1.8301472e-07	7.382977e-09	3.78038e-07	1.3022276e-06	1.9611733e-05	5.409368e-09	0.7549225
priorregion1_spot_29	2.6638958e-07	0.03533173	4.212129e-06	1.3698731e-06	3.192517e-06	0.019845732	0.17866178	1.1288231e-05	0.020832682	0.1365983	1.9320325e-08	3.300053e-06	2.904215e-08	2.5563659e-05	0.058428638	0.0717901	1.4935194e-08	0.47846177
priorregion1_spot_30	4.5704827e-08	1.3070985e-08	2.7178476e-07	1.0687878e-06	6.5820933e-07	2.8328557e-07	1.18511906e-07	2.0972958e-07	2.0267342e-07	0.016798045	1.2526815e-08	0.034894608	1.4978184e-08	0.07804291	1.277526e-06	0.15709972	7.64645e-09	0.7131605
priorregion1_spot_31	4.2695618e-08	3.7755925e-08	0.0073947706	4.9206125e-07	3.6823585e-07	9.080344e-07	6.0684874e-07	1.4367944e-06	2.5878626e-07	0.10820543	7.0697737e-09	6.2244976e-07	0.0011848093	8.25305e-05	4.3099685e-06	0.3503888	4.053481e-08	0.5327345
priorregion1_spot_32	0.0015565115	4.24435e-09	8.257282e-06	4.1506387e-06	0.11889078	3.9295457e-05	0.33361438	8.079376e-05	2.9423545e-06	2.6115151e-06	4.2914174e-09	3.5319212e-07	8.522232e-09	0.08210751	0.16114625	5.6105625e-07	3.5385752e-09	0.3025456
priorregion1_spot_33	3.4679797e-08	1.716546e-08	1.3445463e-06	0.00502534	0.042276926	0.05745912	0.3036983	3.374592e-06	5.162541e-05	0.05616485	9.008097e-09	0.07247061	1.2693517e-08	0.05497084	0.06847667	0.054865602	7.684884e-09	0.28453538
priorregion1_spot_34	0.0033822963	0.38331604	0.014371962	8.952267e-07	0.026777465	1.5824352e-06	0.22940202	2.9851008e-06	0.0032990815	0.003335719	0.12515064	1.0009421e-06	0.0004376697	2.3449659e-06	4.6928566e-05	0.029431928	2.3522604e-07	0.18103929
priorregion1_spot_35	0.0031317784	1.40858045e-08	2.0882901e-07	1.5212888e-06	2.079748e-07	1.8855967e-07	4.308779e-07	0.0038331489	2.0940372e-07	0.015595513	8.609031e-09	5.263786e-07	1.1255768e-08	2.4290084e-06	0.2820964	7.468229e-06	7.603373e-09	0.6953299
priorregion1_spot_36	0.0011447371	0.13302988	1.4606775e-05	3.4690443e-06	4.6409084e-05	0.00016024745	0.5149098	0.04014875	0.031123368	2.1567976e-05	3.6674155e-08	2.3998127e-05	0.00042368288	0.011065362	9.080283e-06	0.08867508	1.3770708e-07	0.17919977
priorregion1_spot_37	9.867455e-08	0.0017751805	1.1417761e-05	4.3605432e-06	9.390804e-06	0.066765204	0.21606325	1.02589165e-05	2.4856654e-06	0.101316616	0.16665356	4.5238025e-06	3.2960845e-08	4.650095e-05	0.02172913	0.01275182	2.121932e-08	0.41285604
priorregion1_spot_38	2.4363455e-06	2.0320074e-07	1.3581497e-06	0.009956354	3.2955747e-06	1.8293904e-06	0.1577616	6.0512766e-06	2.90834e-06	0.020560503	0.25888988	1.2609339e-06	7.632995e-08	0.008177762	0.10407094	1.3318972e-06	0.0003936504	0.44016856
priorregion1_spot_39	6.815796e-08	1.2564183e-08	1.7055426e-07	7.4664484e-07	1.3759951e-06	3.829135e-07	0.0156028	1.6977792e-07	5.154141e-07	0.027382359	7.083381e-09	0.0077414764	1.9737008e-08	0.08654019	0.008317077	0.11023893	0.00016296157	0.7440108
priorregion1_spot_40	1.2196395e-07	9.188297e-07	8.122861e-06	9.9601275e-06	5.855894e-06	6.650844e-06	0.69136125	6.820927e-05	2.015605e-05	1.3292524e-05	0.12270655	1.4968385e-05	9.1799386e-08	1.1504548e-06	0.0116397645	2.9067394e-07	0.007962132	0.16618061
priorregion1_spot_41	0.0049662506	0.0066100075	0.00018616399	2.8854572e-07	7.317518e-07	5.815249e-07	0.0027333857	3.6261504e-06	3.229016e-07	2.0421344e-06	0.7558516	1.3358009e-07	2.5278214e-07	1.5984764e-06	0.023178136	3.5443794e-05	2.2364372e-07	0.20642918
