	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	8.171778e-06	0.5177444	2.142191e-06	4.6884466e-06	0.27452388	0.109158725	6.1840944e-07	1.1945224e-06	0.09553587	1.7552891e-07	2.0013093e-07	2.776033e-07	3.4622545e-08	2.2489303e-07	1.7792121e-07	2.6543097e-07	0.0030188602	2.5660984e-07
priorregion1_spot_2	0.0032584995	0.5902173	4.694579e-07	2.6046993e-07	2.2848273e-07	3.7389088e-07	2.5714147e-07	3.5213677e-07	1.4662886e-07	1.1778751e-07	0.3972676	1.5626942e-07	7.093919e-08	2.0484556e-07	1.6594726e-07	1.6222688e-07	0.009253263	1.725084e-07
priorregion1_spot_3	0.0047676517	0.4077373	0.0587971	0.32391337	0.10667161	0.06932197	1.15586e-06	1.3559317e-05	0.028683824	4.8345566e-07	1.7409235e-07	2.8563306e-07	1.7063554e-08	3.0015698e-07	3.4912156e-07	3.1434323e-07	8.982622e-05	7.1502126e-07
priorregion1_spot_4	0.011600018	0.58510673	2.9493162e-06	0.078794315	0.12205355	0.057676714	0.024653656	0.09320754	1.368928e-07	5.4965544e-06	6.041048e-07	1.7575826e-07	2.1839034e-08	8.1531823e-07	0.01942837	3.0338427e-07	0.007468136	3.6516593e-07
priorregion1_spot_5	2.9213476e-07	0.6896775	6.133477e-08	6.835816e-08	5.7886762e-08	5.6912295e-08	6.5565864e-08	6.611206e-08	4.346042e-08	8.8089706e-08	0.3061512	5.441492e-08	4.809812e-08	6.099738e-08	1.04908985e-07	5.7673518e-08	0.004170013	9.179877e-08
priorregion1_spot_6	2.2011194e-07	0.32132608	1.1598822e-06	0.3218553	0.15676944	0.10433581	2.1490168e-06	1.5304021e-06	0.07113924	0.010705544	7.0304885e-08	4.5405153e-07	0.00012605774	0.012117144	5.2425764e-07	4.38974e-07	0.0016179516	8.5126527e-07
priorregion1_spot_7	9.968629e-07	0.9960556	8.15154e-08	6.109523e-08	9.6891235e-08	7.18498e-08	8.22412e-08	7.255163e-08	8.256796e-08	8.754828e-08	6.703278e-07	1.1707323e-07	5.6129792e-08	6.485788e-08	8.735063e-08	7.596691e-08	0.003941272	8.548533e-08
priorregion1_spot_8	6.06817e-07	0.38790753	2.9385017e-06	0.052971672	0.4565961	0.05952369	0.04299064	2.6635532e-06	2.5494558e-07	7.5058597e-07	2.4655333e-07	2.4617339e-07	2.5393089e-08	6.170033e-07	4.769325e-07	6.918651e-07	3.836887e-07	5.664602e-07
priorregion1_spot_9	9.3764214e-07	0.78137517	1.3297755e-07	1.4353975e-07	1.7271594e-07	1.9779652e-07	2.2028938e-07	1.6176578e-07	2.3031471e-07	2.2800734e-07	0.04327331	8.406297e-08	1.6916565e-07	1.8144716e-07	2.751109e-07	1.5495449e-07	0.17534786	1.6681768e-07
priorregion1_spot_10	2.8637699e-06	0.63744277	1.400633e-07	1.03636204e-07	1.1215667e-07	1.2340776e-07	1.2421147e-07	1.5696887e-07	1.12472236e-07	1.3252772e-07	0.3206726	1.1209445e-07	0.041877735	1.3770801e-07	1.534508e-07	1.16701436e-07	2.330853e-06	1.3959179e-07
priorregion1_spot_11	2.0196753e-06	0.7460389	1.6035054e-06	0.049325246	0.13748613	5.622044e-07	5.470173e-07	0.04893725	3.541245e-07	0.0059964275	0.0020315314	4.335652e-07	7.826678e-08	8.8921996e-07	1.1359576e-06	2.490198e-06	0.010174051	4.3238597e-07
