,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,0.03758425302803516,3.9887722680376216e-09,2.1233176781265683e-07,7.568249287714935e-07,3.199654358354565e-07,7.807209897237044e-07,2.765426970086083e-07,4.1254808849089384e-07,1.2563617133309892e-07,2.693098025474683e-07,2.2276170685842096e-08,1.745096159311288e-06,1.0535265803337097,4.085113096152782e-06,3.0727467930091735e-07,3.295105386769138e-07,4.5349092658852906e-08,1.7877912128483332e-08
priorregion1_spot_2,1.9229599601544578e-07,4.384710883265085e-09,4.929285637444991e-06,1.3341123985810557e-05,0.29615008234977724,0.040487868897616866,7.047944268379069e-06,1.1454914738351364e-05,9.682752352091483e-06,4.799389017762223e-07,0.18935071602463724,3.547458600223763e-05,0.32037016153335574,2.5654678324826818e-06,1.1906346770729216e-07,6.15586529306711e-07,3.981782836781634e-09,1.2315091808545732e-07
priorregion1_spot_3,5.4773625561210795e-05,4.766532839539651e-08,3.0308110808618952e-06,4.847611717195832e-06,0.15942427814006807,2.018241457335535e-05,7.153607725740585e-06,1.1073343421230676e-05,7.446747463291103e-06,1.0297492451627477e-06,0.10616358034312724,0.027689959015697242,0.26735930591821666,1.5204369037746802e-05,1.9616977624536958e-06,9.56834952603458e-07,1.838690177891067e-08,3.166543052657289e-07
priorregion1_spot_4,0.04378366824239493,6.691227625310604e-08,6.737882722518408e-06,0.057731424085795874,0.04839855618774891,2.141321456292644e-05,2.182761236326769e-05,3.71610247384524e-05,7.888790241850074e-06,9.535313038213644e-05,0.2749835267663002,0.01057269503362477,0.36060186177492143,1.515568683316815e-05,1.3605038532205073e-06,2.028560152211867e-06,2.5080951076006387e-07,4.434858936974707e-07
priorregion1_spot_5,0.1722886174917221,1.3442419044551457e-08,6.196537810865267e-06,0.00010269798658555374,0.41138970404863356,0.14027857184410097,2.6964179414790124e-05,1.615224327906617e-05,0.055576306954026225,5.349248937136508e-07,9.842332726606173e-09,2.5228051890735513e-05,0.2760838896036148,0.03672420177608728,7.856277989048977e-07,3.5500319313541697e-06,1.1105477648598594e-08,1.1269694539350894e-06
priorregion1_spot_6,0.04861020557582378,4.809889464496564e-08,0.00011588411944103428,2.3205853358376773e-05,0.29385271668434143,1.6929809407884023e-05,1.2541364412754774e-05,0.03261912893503904,9.156844271274169e-06,8.977809756061107e-07,3.2075268663334106e-09,0.05550488270819187,0.5126078754663468,1.120519010555654e-06,9.473130035075884e-07,3.556411030558593e-07,1.6078814990549973e-08,3.253188964436049e-07
priorregion1_spot_7,0.004613573546521366,8.665465855983713e-09,1.57296717020472e-06,3.5635906669995165e-06,0.21397077590227126,8.779636891631527e-06,2.0324476736277575e-05,8.158532682500664e-06,8.60363961692201e-06,2.2913976422955783e-07,4.414503376182211e-08,0.0077570279128849505,0.6995389342308044,3.483370153389842e-06,2.1670322780664723e-06,2.3492000948976967e-07,2.5274799497765342e-08,3.264772331021959e-05
priorregion1_spot_8,0.005158706358633936,6.1188162980840845e-09,1.9715619146154495e-05,3.11730953399092e-05,0.40877074599266056,1.869607212938718e-05,2.8298508277657677e-05,6.0084592405473813e-05,6.472192558248935e-06,3.502367093233261e-07,2.6412050102564422e-09,0.02957871286198497,0.5988167732954025,2.7424748736848416e-06,3.227715623665972e-07,5.713145725394497e-07,3.522007254730397e-08,1.7186664678092713e-07
priorregion1_spot_9,0.020047841407358647,6.3894364688010795e-09,2.9357002517826913e-06,1.054572608154558e-05,0.20366056635975838,3.186496978742071e-05,5.7523075611243256e-06,5.8415593002791866e-06,7.004909548413708e-06,4.7528894668857903e-07,3.882129639976029e-09,1.328646449110238e-05,0.40155835449695587,2.527358913084754e-06,3.339630254117765e-07,4.4609475935430964e-07,3.6610475007137216e-08,7.534213494864162e-07
priorregion1_spot_10,7.811128398316214e-06,0.0012761539372149857,8.036436192071506e-08,2.0677351102449394e-07,7.094376499594546e-08,2.0540818184144883e-07,8.438270775457113e-08,2.484604650021538e-07,1.3367020414989384e-07,7.499175538328018e-08,1.5612662362940456e-08,9.107292498811148e-07,0.8907705932855606,0.00839120214805007,1.8341566274671094e-07,3.1281296486440624e-07,2.5193205146933907e-06,6.14777952989698e-08
priorregion1_spot_11,0.0022533740382641556,1.2770935597927745e-08,2.6228595061184027e-06,3.0652377972728574e-06,0.33051667362451553,0.010374401602894068,8.21235153125599e-06,7.990955919012778e-06,2.951244405267062e-05,9.151463672196769e-07,2.1332934863060875e-09,1.4224192227629828e-05,0.3115627601742745,3.992423462477746e-05,5.299739171960027e-07,1.0319625801002987e-06,2.2499699436906446e-08,3.4815420946188174e-07
priorregion1_spot_12,5.5231891565199476e-05,2.7048720454558864e-07,3.243193049229376e-07,7.660990661406686e-07,9.633838374156768e-07,5.750923264713492e-06,1.0254733183501231e-06,1.6880920099993093e-06,8.206661988197084e-07,1.3056582702120067e-06,2.223383832600235e-09,9.3400531682164e-07,0.9504228800535202,0.0028953580418601636,2.0282309023400558e-07,2.681138511206882e-07,3.348660338815534e-05,1.5578467795762663e-07
priorregion1_spot_13,0.032918999716639516,3.596976867470403e-08,3.226273202017183e-06,1.1932574216189097e-05,0.12898655310273172,1.180940976155398e-05,0.0018920385977253319,5.212932637732592e-06,1.6975402559182843e-05,5.919360404504915e-07,0.24428957104682922,1.7823197867983254e-05,0.5054978638887405,1.707767569314456e-05,6.916812395729722e-07,1.1793449118613354e-06,3.600974523010336e-08,5.741019521110503e-07
priorregion1_spot_14,0.14059029668569564,4.033198859332288e-08,5.598259940597927e-06,2.002063529289444e-05,3.087020820657927e-06,0.02167876195162535,0.00010066490685858299,3.714224076247775e-05,6.460547774622682e-06,3.4956694435095416e-06,1.5851324860705063e-05,0.00037201322120381517,0.76538245677948,5.968844516246463e-06,7.134850136480965e-07,3.0175334245541307e-06,3.620147150940056e-08,0.0349926358088851
priorregion1_spot_15,3.2482942380340784e-08,6.660725233587074e-08,1.1856516763941728e-07,1.5909897257415648e-07,1.8919186786092726e-07,2.5805674681578243e-07,2.8574786625767956e-07,3.0716896333160547e-07,4.0875571443166343e-07,7.596317352920324e-08,0.583825308084488,4.2942079403474054e-07,0.5123330652713776,2.036838595813606e-05,1.074386393185023e-07,7.400345225505589e-08,1.2829478235332205e-08,2.947100945505099e-08
priorregion1_spot_16,0.013182908715680241,2.8077403335657902e-08,6.1204920257296175e-06,3.241217509639682e-05,5.388557951846452e-06,1.0461217743795715e-05,3.0792301913606934e-05,7.376525309155113e-06,6.075196665733529e-06,9.694297614259996e-06,0.05289419163018465,0.003990560886450112,0.38473450541496274,1.998664902203018e-05,3.7331071439439255e-06,1.583092870305336e-06,2.2443464597898813e-08,4.65933148007025e-05
priorregion1_spot_17,0.026793720666319132,8.937303563882892e-09,1.2167055365353007e-05,0.11317933611571789,0.2864975318312645,8.33548965601949e-06,1.1713304957083892e-05,1.4369324571816834e-05,4.565562994685024e-06,2.631573480016414e-07,7.8645705947622e-09,1.435704693903972e-05,0.634574118256569,7.370090997937951e-06,9.616466940087776e-07,0.0002068573739961721,2.3565779372347603e-08,6.538909957498618e-07
priorregion1_spot_18,0.05750278998166323,2.312576290464108e-08,5.442215060611488e-05,0.04338697213679552,5.5657850316492835e-05,0.0002474478242220357,0.026382131967693567,0.005749792861752212,8.990527567220852e-05,4.8659471758583095e-06,0.14084574952721596,0.00026133104256587103,0.6471715569496155,0.00020910385355819017,2.10703769880638e-06,1.953072105607134e-05,4.259805930217908e-08,1.4573488215319232e-05
priorregion1_spot_19,0.04060962069779635,1.5719483670295634e-08,6.959818870200252e-06,0.03812241796404123,0.2332683466374874,5.756192986154929e-05,1.3051784435447189e-05,0.013359230337664485,7.427944910887164e-06,3.8883063098182906e-07,6.834283938772501e-09,0.009939395636320113,0.4240456461906433,5.864874492544914e-06,6.297731687254782e-07,1.5152606920310063e-06,1.2192328879834237e-08,3.814876208707574e-07
priorregion1_spot_20,0.15306792855262757,2.543130293020113e-08,3.3087599149439484e-05,0.1021353043615818,0.2629130885004997,5.960760008747457e-05,8.670306669955608e-05,0.00030190365941962227,0.000792530263424851,3.0281872295745415e-05,4.1369430982740595e-05,0.048086825758218765,0.21877724900841714,1.1654100262603606e-05,3.205645055004425e-06,5.351931326913472e-06,1.5917539641918665e-07,0.01090665734373033
priorregion1_spot_21,2.65878521865659e-08,4.935745434586637e-09,3.007523005749136e-07,6.537468891565368e-07,0.1910437263548374,2.4475032751070107e-05,1.1090722125572938e-06,2.0629398932214825e-06,0.021853137109428645,5.2420953799980914e-08,1.4891928468152572e-09,3.336039151236037e-06,0.45062999874353404,8.922744370920555e-07,5.958904498726269e-08,3.517727449775521e-07,1.9787349647693017e-09,7.763850824460406e-08
priorregion1_spot_22,0.05276080388575792,1.95600150298958e-08,9.23654115467798e-06,1.7538632346258964e-05,0.2704756259918213,0.00028098920738557355,0.034332791715860365,1.9712688936124326e-05,1.251525582119939e-05,6.0610721448028926e-05,0.11083363108336924,0.020125035755336283,0.09948915205895902,0.0026280060526914896,2.711848537728656e-06,6.055276003280597e-06,6.519361974710592e-08,1.2427950423443693e-06
priorregion1_spot_23,1.7931126450321244e-07,2.0607048401011243e-09,1.6385391631956739e-06,1.4298757037067843e-06,0.8481607884168625,1.778205269147293e-05,7.697539376749774e-06,2.7293204038869592e-05,0.025294795259833337,2.248529234805119e-07,1.0715833831387301e-09,5.7186078083759643e-05,0.2095159187912941,3.7292880534778304e-07,3.94840471074076e-07,1.2166039269345675e-07,7.357721742984325e-09,5.133652560829205e-08
priorregion1_spot_24,0.019422033801674843,9.560610756409461e-08,1.693321264610859e-05,0.017348309978842735,0.06736173890531062,3.415301798668224e-05,0.0002191217674408108,0.06355140767991543,4.620454933501606e-06,1.0729763835115592e-05,0.07044702172279357,9.609891367290403e-06,0.37150555551052095,3.0753095188629233e-06,6.701395335539929e-07,1.2682775320627116e-06,5.5618992433892343e-08,1.1660967061288831e-06
priorregion1_spot_25,0.010292395856231451,5.584576601158631e-09,2.9659232154699575e-06,8.767594727032701e-06,0.18313844203948973,2.317379321539193e-05,7.568464775431494e-06,3.881059387822461e-06,3.348709481088008e-06,4.2704828331352477e-07,3.247270496942179e-09,3.7542179143201793e-06,0.32616926431655885,0.0033000955008901656,1.7133938925439907e-07,2.4226270284088972e-06,1.681143295684251e-08,1.3727815115771593e-07
priorregion1_spot_26,1.8844824990082997e-05,1.340958837303674e-08,6.818657311669085e-06,1.5354980496340433e-05,0.11343886442482472,1.4246925684346935e-05,0.010833193361759185,3.1173212482826786e-05,3.860582137349411e-06,9.154552515155957e-07,0.020104925986379384,1.2789549828085e-05,0.1170179732143879,1.8295987274541405e-06,2.1040829096818925e-06,4.972458185648066e-07,0.023537606280297038,3.1474562405264806e-07
priorregion1_spot_27,0.0014187338529154658,7.272232593891205e-08,5.862712259840919e-06,0.002851136866956949,0.2990817934274673,6.613814139200258e-06,3.3385064307367435e-05,1.0448273542351671e-05,9.466605342822732e-06,9.847750476410511e-07,1.451301971933106e-08,2.686209681996843e-05,0.5468782514333724,2.0364808915473986e-05,7.260818534859937e-07,3.921014666730116e-07,0.00015321964892791586,1.5526202190585536e-07
priorregion1_spot_28,0.09480097070336341,1.4344002030597381e-08,3.140247481496772e-05,0.009278820920735599,3.3938357887564053e-06,2.684761898308352e-06,3.641591902123765e-05,1.0185601786361077e-05,3.7017718682363924e-06,0.009546293970197439,9.860317407017761e-09,9.071395033970475e-05,0.5424825847148895,3.0499217018586933e-06,9.59902138220059e-07,2.132459053427738e-06,8.064010614816654e-08,7.01602266417467e-06
priorregion1_spot_29,0.010716153541579843,1.3933507574392935e-07,8.973363765107932e-06,0.09122913666069507,0.1347111791372299,0.0001949773904925678,0.04935218896716833,0.0006151515583042056,3.861185678033507e-06,7.194714271463454e-07,0.5312409490346909,1.4063662320040748e-05,0.41135943681001663,0.00013087992774671875,0.002487645915243775,9.21949609278272e-07,5.91405971306358e-08,2.1083066940263962e-06
priorregion1_spot_30,0.0020033737644553186,3.6206508724490054e-08,2.7545864304556746e-05,0.03399513047188521,0.2857424348592758,3.3503380836918954e-05,6.841234062449075e-05,0.04465648531913757,0.0004758111637784168,0.0002638450416270644,0.21209758892655373,2.519930967537221e-05,0.3023793607950211,3.825734518159152e-06,6.582964857670959e-07,1.4334271895677376e-06,0.06372559443116188,3.1666021698129044e-07
priorregion1_spot_31,0.004843452991917729,2.544905619572546e-08,3.54650532017331e-06,0.03492253981530666,0.16136222556233407,9.748502770889902e-06,3.177621874783654e-05,1.5689814154029592e-05,5.0352793186903e-05,5.624735564424555e-07,0.22642922103405,0.00028989469137741253,0.21368003860116003,1.2900216404432285e-06,2.805262724336899e-07,8.637867466632089e-07,2.0746144979710834e-08,6.96963066815215e-08
