,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,3.988585149272694e-06,1.0768093287944793,4.024288642767715e-07,3.4204444432361925e-07,0.16610351651906968,0.02278252309188247,1.7514746616598132e-06,1.0807201533680202e-06,3.655102882476058e-05,1.3083037018191134e-07,1.8840561732957897e-08,1.978415514258813e-06,3.336336948933649e-08,7.292761722510477e-07,1.054259318067352e-07,9.976271329037446e-08,4.725827973395269e-09,7.834976294418538e-08
priorregion1_spot_2,0.00012822280259570107,0.6619083255529404,1.7610617533136975e-07,1.285462452926822e-07,4.635932683072497e-07,9.001649829087911e-07,4.390628703276889e-07,1.0040397810939795e-07,9.299846759347474e-08,9.804360212584129e-09,0.29213914871215824,6.223173407704507e-08,3.5125274280289895e-07,3.443738023634069e-08,3.683133638077152e-08,2.6270762099045443e-08,1.0356656465759784e-08,1.821354755904281e-08
priorregion1_spot_3,2.0765916985965305e-07,1.059711617231369,1.6787051754363348e-05,0.05692096613347531,0.14275054782629013,0.000288796061067842,3.985028388342471e-06,1.9378014826543223e-06,1.6763309190537258e-06,1.628352976013048e-07,1.6897335619603383e-08,9.329947124570026e-06,3.741036174176316e-08,3.0841988404972656e-06,7.577398442037975e-08,2.93134326057043e-07,1.0639896963482444e-08,1.859229563194731e-07
priorregion1_spot_4,1.2468790053787873e-07,1.1270651340484619,3.4728258697214194e-06,1.8040817167275236e-06,0.1087723158299923,3.098128618148621e-05,0.00022145412585814484,3.933722041438159e-06,5.457293900690274e-06,8.49285238473385e-06,2.69079867720734e-08,1.0605256989038025e-06,7.513765609701296e-08,7.5078791951455065e-06,1.586808230058523e-06,3.458868235384216e-07,6.622425186009196e-09,2.8361285586697704e-07
priorregion1_spot_5,6.096216136342037e-08,0.9312510043382645,4.66008001964724e-08,5.637458553309216e-08,7.032298796616487e-08,4.050980546566053e-08,3.173441651682651e-08,2.440522566260484e-08,2.9755194219660554e-08,1.6212095488299384e-08,0.22228112071752548,1.8622256714451167e-08,6.360758209034146e-09,1.8568516324535268e-08,1.9159147957026337e-08,8.127139938807205e-09,1.663217313874199e-09,6.2803907852071464e-09
priorregion1_spot_6,1.730189879367572e-07,0.8788950473070144,3.3755691788428525e-06,0.06365494914352894,0.16718631759285926,5.947980589553481e-05,1.8674748616831493e-06,3.1679837661613417e-06,4.339608744885482e-06,3.4857509831454084e-06,1.4469555598140005e-08,2.0519467398116833e-06,8.419965382699956e-08,0.001953937771031633,8.671950070038293e-07,7.606361890566405e-07,7.977021754257408e-09,2.446699909341988e-07
priorregion1_spot_7,7.531955481532294e-09,1.02780779004097,4.249810214851379e-09,1.075424846952444e-08,4.390266772347218e-09,8.618642199920147e-09,3.550776150884616e-09,3.0082334290248982e-09,2.384749342443371e-09,1.7240649963223832e-09,6.927704232495558e-09,4.316488211308923e-09,3.561772476956549e-09,4.305430278961353e-09,2.2499251906005213e-09,2.1231979729918748e-09,2.7315687378681737e-09,1.0536804651017917e-09
priorregion1_spot_8,5.872557746755547e-08,0.8796150237321854,6.683463254830713e-07,2.05971052764653e-06,0.20809327587485313,2.4957541995718204e-06,5.844661200171687e-06,9.518191973256763e-07,1.5782694561039533e-06,1.667024179141663e-07,1.6459223495246536e-08,2.6644252784535644e-06,3.9486185343662326e-08,1.8286270346834499e-06,8.9453983207477e-07,1.4248746253997525e-07,4.816329002288457e-09,4.0067630106932486e-05
priorregion1_spot_9,3.088496738357095e-08,0.6023205518722534,5.073284654599775e-07,6.728083917550976e-07,1.6855136024673812e-07,5.3981126484359265e-06,9.331878231932933e-07,1.1893907242210845e-06,2.540478007517777e-07,8.605033947617358e-08,0.05567311234772205,2.448833569701492e-07,8.96643772563266e-09,1.2408346137249284e-07,2.9293160430654554e-08,5.321381699729955e-08,0.05074031129479409,3.703581974434656e-08
priorregion1_spot_10,2.381325510114607e-08,1.183734929561615,9.145030865909123e-09,7.608270835568476e-09,1.8851823480048325e-08,1.6120839596567294e-08,1.0978269937567121e-08,1.289206852383984e-08,7.49141808586984e-09,6.15082818011814e-09,0.21945986971259118,7.948678115710096e-09,0.0027463693055324256,8.252998062729945e-09,1.109116705144686e-08,3.5624670324807546e-09,5.585705276089926e-09,3.0126301231447884e-09
