	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	9.094892e-08	3.1762113e-08	7.902364e-07	3.800136e-07	0.00015972872	0.06737085	1.5577489e-06	1.0720919e-06	0.031043353	0.107781984	1.6816907e-08	3.779507e-06	1.0276276e-08	0.14606182	0.11818498	0.14157723	1.6715886e-08	0.38781235
priorregion1_spot_2	8.187382e-08	5.107105e-05	0.04257433	0.015095166	1.4480408e-05	0.055079516	3.1605314e-06	0.03036931	0.0010313551	0.015814241	0.04991978	0.040731467	0.00018036763	0.07779564	0.19619018	0.17433926	2.272156e-08	0.30081058
priorregion1_spot_3	0.0005534178	0.2026208	0.03633736	0.041851673	0.0439092	7.3836816e-07	5.8253346e-07	0.009135734	1.9619372e-07	1.0858197e-05	6.3023876e-08	1.3909931e-07	0.00056542805	0.19660145	2.5031989e-06	3.3455018e-07	0.0036965124	0.46471292
priorregion1_spot_4	5.69089e-08	1.5416331e-08	3.0350986e-05	0.035599895	2.7354056e-06	0.061054472	5.24448e-07	1.2470013e-06	0.012309206	0.12781122	1.3717237e-08	0.011933643	0.0016102707	0.05515415	0.15903382	0.39961627	1.492099e-08	0.13584201
priorregion1_spot_5	0.005179126	0.19553086	0.07173709	2.9870985e-06	9.625445e-07	2.8156976e-06	6.2800115e-07	8.5154886e-07	0.07808717	0.19864103	3.619406e-07	0.042200375	2.0471346e-08	0.057636824	0.041584097	0.1777485	3.780794e-07	0.131646
priorregion1_spot_6	0.012510579	9.5107964e-08	0.013851285	0.03742162	0.04497381	5.570013e-05	0.129437	4.9798335e-05	0.05627368	0.023314053	0.031071173	0.009771937	7.319386e-08	0.08102139	0.15895551	0.20041664	0.07169	0.12918569
priorregion1_spot_7	2.6681573e-07	0.0029499538	0.0332864	1.42351e-06	1.0910662e-06	0.0076750037	1.3050011e-05	0.014036121	2.7349603e-07	0.04082579	0.40280953	0.18385814	7.466906e-05	0.025626883	0.039057918	0.12441334	6.09308e-07	0.12536947
priorregion1_spot_8	0.012053203	4.614948e-08	1.4926059e-06	5.626919e-07	0.14850634	1.2686301e-05	0.09346173	0.036984973	5.6167073e-07	0.0037249487	0.12842363	0.059463717	9.470282e-09	0.029104562	2.0318237e-06	0.19626823	3.7411876e-08	0.29199117
priorregion1_spot_9	6.444566e-08	1.0244589e-08	0.00028258748	7.723578e-06	0.072769865	0.13286571	0.13274871	2.6864369e-05	0.01903582	0.012957574	1.3559304e-08	0.00022653198	1.12634595e-08	0.056937683	1.2476312e-05	0.28171027	1.0594017e-08	0.29041806
priorregion1_spot_10	0.010851605	6.087742e-08	0.00230427	0.044903565	3.3085402e-07	2.0724049e-06	4.1212144e-07	0.113393426	1.4510039e-07	0.11496364	0.19890091	0.014150579	3.482902e-08	0.17193443	0.09404816	1.1295145e-06	6.458038e-08	0.23454523
priorregion1_spot_11	0.00076529075	1.1686844e-08	1.5845636e-06	0.04808097	0.0029053153	0.053503923	0.27837843	9.256688e-05	4.435483e-06	0.06579311	4.3984276e-08	6.2669037e-06	1.843032e-08	0.014458417	0.021758657	0.18284073	1.0854782e-08	0.33141017
priorregion1_spot_12	0.0010984906	0.25696945	0.0009360242	0.14820082	7.905472e-07	5.4299215e-07	1.0537366e-06	0.05337618	4.1996344e-07	0.073880374	3.7329087e-08	0.01180089	1.1559387e-08	0.06469551	0.1402688	9.2177976e-07	2.4398233e-07	0.24876943
priorregion1_spot_13	8.6718096e-08	1.5437388e-05	0.03406828	0.083663255	2.4155017e-06	4.8345146e-06	0.22350727	5.747127e-07	2.2633431e-07	1.5350867e-06	0.09697647	7.6105636e-07	2.0553912e-08	0.07364776	0.14586619	3.4278692e-06	3.968964e-08	0.34224138
priorregion1_spot_14	2.542206e-07	2.1177511e-08	0.065431796	0.013337894	7.703634e-07	0.07995971	0.006744066	1.4431536e-06	8.0041154e-08	1.3565322e-05	0.00025863323	0.07007552	7.966545e-09	0.18726172	1.5994799e-06	0.018940495	1.3229997e-08	0.5579724
priorregion1_spot_15	2.8273308e-07	0.20275861	0.09294953	1.4973652e-07	1.3501892e-07	1.7487517e-07	2.6322914e-07	7.9610203e-07	0.095731266	0.12118595	2.5276808e-08	0.0296666	0.0004774122	0.0130936885	0.25348064	1.1275746e-06	9.564319e-08	0.1906532
priorregion1_spot_16	0.009410141	1.0439127e-08	2.4980196e-07	0.07462604	2.9284797e-07	0.06652204	0.015336865	1.7998163e-06	1.3824008e-07	0.17239806	0.0010702043	0.02938653	1.1980118e-08	0.047518685	4.181709e-05	0.11194352	1.53667e-08	0.47174364
priorregion1_spot_17	0.005283024	0.09746851	5.667663e-06	0.0125686275	4.0778955e-06	4.975179e-07	1.8407915e-06	0.14766979	5.889309e-07	0.062173262	8.170344e-08	0.059701327	3.9255617e-08	0.12839474	0.08591154	0.07240553	0.0017366105	0.32667434
priorregion1_spot_18	0.011963161	1.7144932e-07	2.4600166e-07	4.5045175e-07	2.8483455e-06	3.5828427e-06	1.8312967e-07	2.9102065e-07	0.098568365	1.1283261e-05	0.09572813	1.4264137e-07	2.6812975e-07	0.3061634	0.16115174	5.261033e-07	0.15518312	0.17122209
priorregion1_spot_19	0.0010322691	0.05388279	3.9573893e-06	1.046454e-06	0.17361839	0.16830564	0.07125874	5.953935e-05	2.6825353e-07	0.09143051	3.6772615e-08	4.118699e-07	2.6385578e-08	0.06436388	0.086607024	0.05253721	0.00227942	0.23461893
priorregion1_spot_20	1.3318486e-07	4.1578485e-08	1.1381095e-06	3.839233e-06	1.3844007e-05	0.11248036	4.905122e-06	0.03511769	3.1244713e-06	0.032641105	0.106677435	0.054470878	1.4785185e-08	3.6044623e-06	0.051547315	0.36069253	3.248661e-08	0.24634199
priorregion1_spot_21	2.4462705e-07	1.4584741e-08	1.6705449e-06	4.9868106e-07	0.038226064	0.051163405	0.3000549	1.0026239e-06	0.025058331	8.4638054e-07	3.1285357e-08	5.028188e-07	9.880983e-09	0.18389595	9.283466e-05	0.27011132	1.5312118e-08	0.13139243
priorregion1_spot_22	0.013246906	7.7103614e-08	0.018795429	3.1776324e-06	1.4169357e-05	0.022198033	0.27354473	0.11908917	3.3753572e-06	0.028480094	0.19396377	0.007689577	2.8334181e-08	0.052384928	0.017942155	0.08555979	1.1889801e-07	0.16708444
priorregion1_spot_23	0.011914917	3.7779973e-08	1.3442369e-06	0.07883039	2.132359e-06	0.024506543	1.181429e-06	9.96207e-07	3.6431553e-07	0.082916975	4.1828965e-08	5.283005e-07	1.7637335e-08	0.21302123	2.950081e-06	0.1173947	2.7210373e-08	0.47140566
priorregion1_spot_24	3.5502498e-07	2.230417e-08	0.029290093	0.071572654	5.8604473e-07	1.051434e-06	0.16532914	0.00011324576	0.02271391	0.109146856	0.087875575	3.396299e-07	2.092344e-08	0.11163839	0.09197203	0.15181191	2.8516231e-08	0.15853387
priorregion1_spot_25	0.006617953	0.082122795	0.096909665	0.005442072	4.068602e-07	5.296083e-07	9.357833e-07	6.7510696e-06	3.4370902e-07	0.17363667	7.2463204e-09	1.0016818e-06	0.00084636733	0.09234369	0.07505352	2.3065165e-06	1.6364924e-08	0.4670149
priorregion1_spot_26	0.00016568121	2.0734783e-08	7.6793924e-07	1.522196e-07	3.9287124e-07	0.003335012	2.8767556e-07	4.939547e-06	4.918282e-07	0.07692759	2.866087e-08	3.802484e-07	2.5802452e-08	0.083039306	0.16065781	0.4872933	1.8386794e-08	0.18857381
priorregion1_spot_27	1.3349239e-05	0.45141056	5.8442055e-07	0.034826063	1.9145202e-06	0.010340586	1.0514518e-06	1.4593445e-06	5.3248203e-07	0.15393609	2.7337512e-07	2.5217464e-06	1.9350043e-08	2.7516694e-06	0.08062631	0.18191716	0.00015857072	0.08676015
priorregion1_spot_28	9.545814e-08	3.1764653e-08	7.4667e-07	5.659205e-05	3.686907e-07	1.4805239e-06	7.975521e-07	0.020763371	1.5167616e-07	0.21155487	1.08080265e-08	0.01422491	6.0735035e-09	1.6006234e-06	2.2603751e-06	0.16155145	1.7381838e-08	0.5918413
priorregion1_spot_29	0.00096545485	0.024052355	0.025018595	3.882048e-06	4.2419992e-06	0.05996973	0.18768623	0.087027766	0.017949756	0.08467674	5.29904e-08	7.195589e-06	1.912535e-08	0.013724536	0.07291727	0.08317326	3.4049982e-08	0.34282282
