,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,4.5931243342067775e-08,4.143089160635327e-09,5.942670640024518e-07,2.905867518165906e-07,2.341612514555891e-06,2.3113655174711313e-06,1.1971011986133817e-06,1.1401230381125061e-06,0.006862460169941187,1.2263677172086317e-05,2.216011252276218e-09,8.773080395485522e-07,3.1478214346236656e-08,0.03289751913398504,0.029298637434840204,0.011593817407265306,4.658578101057742e-09,0.8999628156423568
priorregion1_spot_2,5.679349868614737e-07,1.3221826478115872e-08,1.5796174977822376e-06,4.8470762521901635e-06,1.6728838204471687e-06,1.6260499160125617e-05,2.4759011466812813e-06,2.459959966927272e-06,2.8288191856518096e-06,0.015900649968534707,0.10615728087723256,4.610393807524816e-06,7.410959348419511e-08,0.00019519956476869992,0.02540154168382287,0.06655117981135845,3.0210332457869526e-08,0.8313307791948319
priorregion1_spot_3,0.0006459904805524274,0.25051800161600113,1.7678503567708505e-07,1.2934967116962073e-06,8.420721854918157e-07,1.0000293002576655e-06,7.031086681763555e-07,4.524419324525297e-07,2.5117372501881615e-07,8.910568203646109e-06,2.1224128010643994e-09,8.0189972777589e-07,1.1094506149333941e-07,0.03283136244863272,4.4219915071153086e-05,2.57011911344307e-06,7.902493557310209e-08,0.5219519585371017
priorregion1_spot_4,4.13510701235964e-08,1.7997354773147124e-09,6.456980213442876e-06,3.83639168148875e-06,6.038981860001514e-06,2.34594353059947e-05,2.98344655220717e-06,4.688213266490493e-06,4.124672955185815e-06,0.04597858488559723,2.2968689394886613e-09,4.37055898601102e-06,0.0013929270207881927,0.007705755066126585,0.10195696838200093,0.27383344173431395,2.675666344043037e-09,0.4967943608760834
priorregion1_spot_5,2.851582776202122e-05,0.41678024381399154,2.011548156133358e-06,3.760396566576674e-06,2.819297390033171e-06,3.5314111983097976e-06,7.200402677653984e-07,8.454973931293353e-06,0.0015396822942420842,0.06685758717358112,9.334085548928784e-09,3.108910550508881e-06,7.258547718436149e-08,0.019585230201482774,0.0025187651976011694,0.13612537756562235,1.0488168662448061e-07,0.4690949246287346
priorregion1_spot_6,0.00014924098795745524,0.0006026815943187103,1.0244999975839167e-05,1.0250560217173188e-05,1.6712305477994963e-05,0.00010479782831680495,0.10938400588929653,1.1410034949221882e-05,0.0003864239100948908,0.011036182846873998,0.10326294861733913,1.2983946089661914e-05,1.6306793284570637e-07,0.0003186064990586601,0.08463738560676574,0.03021189449355006,0.09722870923578739,0.5324284613132477
priorregion1_spot_7,0.0005519538739463315,0.0021207477431744335,4.639267672246206e-06,6.0823050080216494e-05,8.430061052422389e-06,5.827978611705476e-06,1.6157658410520526e-05,2.9425625257317733e-06,1.051436453280985e-06,5.260236939648167e-05,0.6679749369621277,0.021503094304352998,8.583148701291066e-06,0.0006351855117827654,0.00019980469951406122,0.00024222333522629926,2.362438875636031e-08,0.45298445820808414
priorregion1_spot_8,7.308653891868744e-07,5.6934085446158645e-09,2.3273231477105585e-06,3.247184395149816e-06,4.569676948449342e-05,1.856428252722253e-05,0.1210388783365488,1.2311606860748725e-05,0.000680088935769163,2.5585814910300545e-05,0.2018045037984848,1.701331320873578e-05,2.0195540439971184e-08,0.00010797215363709257,0.00023161878416431137,0.0005868555686902254,3.325929276432049e-09,0.6156433403491974
priorregion1_spot_9,9.186161769036971e-08,6.218997361528978e-09,1.1757528727684986e-05,6.070629769965308e-05,2.2767838800064055e-05,0.00014164576714392751,0.19439740031957625,1.801861362764612e-05,7.962631889313343e-06,4.0777637877909e-05,5.0868976808615685e-09,2.0603195025614696e-05,3.062204783077504e-08,8.798479648248758e-05,0.00018191252238466407,0.26213985234498977,3.3240699970349397e-09,0.8529099196195603
priorregion1_spot_10,2.1407832537079234e-05,1.1406022011328788e-07,2.9723129273406816e-06,9.2503224095708e-06,1.3204164815761034e-06,1.20708861231833e-05,5.446979048429058e-06,8.861210199029302e-06,1.3721433276714378e-06,0.00021359537131502296,0.2706814408302307,2.3468542622140374e-06,3.03607371243686e-08,0.02086227349936962,0.00014506511215586215,6.9949264343449615e-06,1.5868388381079512e-09,0.5002346843481064
