,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,5.1622017593899725e-08,3.5244208773654863e-09,0.02323522074148059,0.13137853518128395,1.5100345626706257e-05,2.8736775766446955e-05,2.105617340930621e-06,1.3144396189090912e-05,3.7684756193812065e-06,6.052917882470865e-07,3.6312477691424764e-09,2.5549483552822496e-06,7.138007229734456e-09,0.06316378861665725,1.58850805576094e-07,0.14516210034489632,2.6689731580376027e-08,8.866066671942008e-08
priorregion1_spot_2,7.70706787278641e-09,3.0320822963503245e-09,2.3366578787431537e-07,0.8109114021062851,6.191756192208686e-08,7.731533919752565e-08,9.700782079846704e-08,7.672483768317307e-08,2.1798333804667894e-08,1.4513026824758415e-08,7.604796170568307e-09,4.657996957035948e-08,1.1122952059405834e-09,2.552925257859329e-08,9.188912164503905e-09,2.9366987508439024e-08,4.164069741796617e-10,8.811432117283857e-09
priorregion1_spot_3,1.1834985222947126e-07,7.1369592902215124e-09,0.00466884314082563,0.5030497223138809,1.4908476350683487e-05,9.23984840483172e-05,1.1099945186288097e-05,5.0981811727979225e-05,1.679539752785786e-06,2.5571876676622198e-06,1.7016322839680243e-08,1.892966993182199e-05,1.4307946827329943e-07,9.937259528669529e-06,2.405295688845399e-07,0.3245268642902374,2.2970362167917815e-09,1.438976958922922e-07
priorregion1_spot_4,0.0004843293863814324,8.759361547205912e-09,2.8380430831020933e-05,0.38207486718893047,0.02577018886804581,1.8477977937436664e-05,3.7391912201201195e-06,2.3360085742751837e-05,0.007093165954574942,2.0021641830680894e-06,8.65931619742355e-09,6.475797599705403e-05,1.1328541349442391e-08,2.250624368116405e-06,9.97375653355448e-07,0.23702108189463614,8.575862064930107e-09,1.0758965174773038e-06
priorregion1_spot_5,6.341537037712896e-08,1.3710158519586458e-08,0.10593867339193822,0.26568582355976106,0.04419720936566591,6.113933050073683e-05,1.9694468664965826e-05,7.175542805271107e-06,7.721229076196323e-06,6.041815481694357e-06,1.5128641539519096e-08,8.952997904998484e-06,3.6590938456981806e-08,0.03087332723662257,7.175306336648646e-06,0.12826325446367265,3.0824784169602993e-09,1.0736725585047679e-06
priorregion1_spot_6,1.8270533352904295e-08,6.8432636002313534e-09,5.093893219054735e-06,0.8942437946796418,0.117747712880373,0.04678533039987087,8.095400835372858e-06,6.5668716615618905e-06,4.646617094294925e-06,1.513191470792208e-07,2.4490506067564866e-09,1.4049939727556193e-05,1.0726910115721468e-08,0.0001314809007453732,2.2042283376322303e-07,5.03857933153995e-07,8.391574435329119e-10,2.1237849789912393e-08
priorregion1_spot_7,1.373289876482886e-07,5.730345509213919e-09,0.06513524912297726,0.4549506902694702,0.12124387174844742,7.182344029388333e-06,4.629403838407598e-06,0.010903489217162133,3.6860387353954144e-06,2.3707526793259605e-06,3.989729724374058e-09,1.5235362207022263e-05,1.803897466956528e-08,3.7686891232624477e-06,3.188435471201956e-07,0.24952579736709596,3.3355989437211525e-08,1.219475507241441e-07
priorregion1_spot_8,9.538552205867746e-08,6.417954045900843e-06,0.017567514814436438,0.31769263297319417,2.122983441950055e-05,7.7662788953603e-06,6.727583581778163e-06,1.4264775654737604e-05,3.0788873232268093e-06,6.995483067839814e-06,4.930334562835982e-09,0.008937658416107297,2.5405869585881646e-08,1.3885016642234406e-05,1.72646374494434e-06,0.28285650461912154,3.391439629130133e-09,4.928340672449849e-07
priorregion1_spot_9,8.534401665372117e-08,7.706835836174264e-09,0.024266928248107434,0.21754028573632242,2.8812617529183626e-05,6.610710370296147e-05,5.947937847849971e-06,1.0809818604684551e-05,9.987686098611448e-06,1.0768989170628628e-06,5.038402739465654e-09,7.630295331182425e-05,6.791996893298347e-05,1.4227306837710784e-05,4.2346367905565786e-07,0.20332642793655395,2.057755221773761e-09,3.0389313820933244e-07
priorregion1_spot_10,3.4509111856095843e-06,6.8838287292649625e-09,0.0004724819504190236,0.17543897181749343,6.3942594579202705e-06,9.724557748995722e-05,5.9695733853004645e-06,5.5902350504766224e-05,3.299840159343148e-06,4.093150055268779e-05,1.562942770760856e-08,2.1896787643527206e-06,1.0446532705543631e-08,0.01871493086218834,3.2628815489488265e-07,0.29833353906869886,9.725979062125134e-08,4.385341171087021e-07
