,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,5.437606915847937e-07,0.14742584824562074,1.2485189517974505e-05,1.688340207692818e-05,9.154297322311324e-06,9.221027266903549e-06,8.018766311579385e-06,0.17891323566436768,0.33136342018842696,4.2522615899542877e-07,4.93110501320615e-09,0.008515848964452743,4.0176217908083345e-08,2.2722534367858318e-06,2.035423001700565e-07,2.827595992016541e-07,3.874555165594984e-08,1.9884844206785602e-07
priorregion1_spot_2,1.1884803186035243e-07,3.818465419413997e-08,3.4682750992942604e-06,3.597477752919076e-05,1.0239109224130516e-05,1.2138135787154172e-06,0.013945967750623822,0.26142390072345734,0.08358682058751583,0.12431121841073037,1.1789471177081627e-09,3.518655421430594e-06,4.2084716822543555e-09,4.306760715167002e-07,3.4648830791184084e-07,8.86345510764386e-08,1.8384296529561085e-09,1.1648961191212948e-07
priorregion1_spot_3,6.853259776562483e-07,0.036259202845394606,5.6454124887750374e-06,0.0007311899797059596,0.27719148993492126,9.98012537820614e-06,3.342747877468355e-05,0.20289226472377778,1.8107578580384145e-05,0.15696694999933242,7.611742303126335e-09,4.2233702333760445e-05,4.030191487203183e-08,5.74574623897206e-06,1.5927879019272951e-06,4.5402275219430524e-07,1.627126424708081e-08,0.00030338199285324664
priorregion1_spot_4,2.141704875668893e-07,0.3558989018201828,1.3417556783679174e-05,0.010396995954215525,0.0690500408411026,4.649293714464875e-06,4.171384662186029e-05,0.06355881206691265,0.1437226392328739,0.12328935451805591,4.36307976414696e-09,2.183289516324294e-05,3.4147010730123386e-08,2.264667398321762e-06,3.812133059000189e-07,7.137733888384901e-07,3.4965288264743326e-08,1.9305170653183268e-07
priorregion1_spot_5,2.037656457787307e-07,0.28987888246774673,0.0001107499145291513,0.136736411601305,0.061101938411593434,8.382791202166118e-05,3.573960366338724e-05,0.19154244512319565,0.10870398506522178,6.866183298370743e-07,7.69180656945423e-09,0.012988613452762365,1.8530054379795047e-08,4.960830256095506e-06,4.846814377401644e-07,9.029558242446001e-07,2.2655369757984547e-08,3.967813228200612e-07
priorregion1_spot_6,2.495529130897012e-07,0.6592855095863343,2.4851090893207586e-05,9.896700430545024e-06,6.6521507051220395e-06,0.013125343434512616,3.756014837108523e-06,0.4636553436517716,1.9358325880602932e-05,1.5861159567975848e-07,3.5283202026725748e-09,3.7345253531384517e-06,4.7642204492603923e-07,9.094442475543474e-07,2.2223418056910306e-07,1.8455096864045118e-07,4.449791916272262e-07,5.7333692282668384e-08
priorregion1_spot_7,9.921864467798971e-08,0.09202291369438172,1.1648528152363724e-05,0.05938785877078771,0.07888366021215916,2.825622323143762e-05,0.07693062052130699,0.10703931227326394,0.22924978658556938,1.0772479193121854e-07,8.594972111808375e-09,2.578068301772874e-06,2.722066643201515e-08,1.4145821182864893e-06,2.920045872656374e-07,1.5081149484785783e-07,4.67186722641344e-09,7.866182727411798e-08
priorregion1_spot_8,8.189042830508698e-08,0.15451174080371854,1.9741632115710676e-06,5.233324804976291e-06,3.5371249509807965e-06,0.018323135562241077,2.7523928747541507e-05,0.4918378353118897,0.0016587811056524514,1.46799897748906e-07,5.003076730680789e-09,5.638991501655255e-06,1.155497004745598e-08,5.664505147251476e-06,1.6032160203849342e-07,1.3164588494873896e-07,9.983131166180217e-09,7.43292972060772e-08
priorregion1_spot_9,2.6501365084641294e-07,0.16093903556466105,5.2419369421841114e-05,7.556342170573771e-05,0.20263729467988012,0.00040684127598069605,0.000287457462400198,0.14142164960503578,0.10392922535538673,0.11954432502388954,9.053261997848948e-08,8.738415126572364e-05,5.174481092495853e-08,5.3454526550922315e-06,0.056581024639308454,1.6881948738500796e-06,2.8916604577489126e-08,5.270195242701448e-06
priorregion1_spot_10,2.7622369600521776e-07,0.13827795460820197,0.05109823942184449,0.00016124884059536272,0.00011708950296451805,5.410341418610188e-06,1.5241025994328084e-05,0.23033680841326712,0.2597345784306526,0.09306983053684234,5.203015374100062e-09,4.5302190483198504e-05,2.6796461316536125e-08,2.206222404765868e-06,1.3041341787811692e-06,1.284586136307553e-06,1.6327301466390057e-08,1.3466343432355642e-06
