	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	7.367346e-07	5.2220543e-08	0.41251567	0.034162592	8.500673e-05	0.046175025	0.024433892	0.028721686	0.002427997	1.7827422e-06	0.11395207	3.2114954e-07	0.13433737	6.838954e-07	3.4312262e-07	0.055942267	0.09022587	0.057016674
priorregion1_spot_2	0.0053618564	6.262217e-08	0.026643928	4.1344683e-07	1.3411667e-06	0.25827402	0.04402876	0.04430504	3.5509115e-07	9.4280045e-07	0.17526133	2.424687e-06	0.42338336	3.311772e-07	2.3421941e-07	0.014849507	1.4858791e-06	0.007884613
priorregion1_spot_3	0.01649413	9.083739e-08	0.4001693	1.5540919e-06	4.128085e-07	1.0442259e-06	3.6813053e-06	7.4338066e-05	0.013598254	5.198538e-08	0.16962513	1.2293015e-07	2.9640173e-08	1.709354e-07	9.0042256e-08	0.3243705	0.07566087	1.8171929e-07
priorregion1_spot_4	1.231031e-08	2.1861778e-08	0.44912654	1.9398237e-07	3.452499e-07	0.19119145	2.0563443e-06	0.030939773	5.359524e-07	0.024243634	2.2925828e-08	3.023193e-07	7.420832e-09	1.8549474e-07	0.07498104	0.029938469	1.4018996e-08	0.19957544
priorregion1_spot_5	4.732715e-08	3.656509e-08	0.28636473	1.04894355e-07	2.1701267e-07	0.3831443	3.85947e-07	0.008780612	2.3430849e-07	1.0901491e-07	0.14533961	1.0835085e-07	0.00032325234	1.1863597e-07	5.511961e-08	0.17604603	4.0433807e-08	7.245783e-08
priorregion1_spot_6	4.0923604e-07	2.3235586e-07	0.32789695	2.124178e-06	4.317591e-06	0.14120804	2.9317205e-06	2.6545742e-05	1.2130185e-06	1.1695976e-07	0.3645327	4.5017111e-07	0.011485617	2.1185033e-07	1.14622146e-07	0.0056755706	0.14916234	1.5427169e-07
priorregion1_spot_7	2.3033003e-08	1.7563096e-08	0.5524578	1.799949e-06	0.023895344	0.23967111	0.0062136	1.8566682e-06	1.4185113e-07	4.2978176e-08	0.16758563	0.010172239	1.1843965e-08	8.647211e-08	4.4725105e-08	3.5641685e-07	3.3380992e-08	6.3316065e-08
priorregion1_spot_8	1.7993536e-07	1.3835085e-08	0.20343937	0.016572526	5.781932e-07	1.9090442e-07	1.3468318e-07	2.9991697e-06	6.57221e-08	4.190149e-07	0.06358116	1.446536e-07	0.12776497	0.018034782	1.4641979e-06	0.060754593	4.6294936e-08	0.5098463
priorregion1_spot_9	8.3573684e-07	0.0003604916	5.140598e-07	1.9064078e-07	1.3837499e-07	0.13685109	2.4626047e-07	1.9735832e-07	9.627859e-08	0.06483596	0.23076907	1.2858752e-07	1.04326325e-07	3.037482e-07	5.181693e-06	2.6410603e-06	1.1427345e-05	0.5671614
priorregion1_spot_10	6.915419e-08	5.998383e-08	0.07166915	4.5885176e-07	7.168922e-07	0.15538044	0.047301576	0.11325177	3.9557253e-07	0.017833414	0.26297256	0.039955374	6.865995e-08	3.7279034e-07	8.1904983e-07	0.011181533	2.5968683e-07	0.28045097
priorregion1_spot_11	4.9732808e-08	1.6743563e-08	0.50231355	0.0061158417	1.312807e-06	0.03403494	4.2432166e-06	5.411837e-06	4.193624e-07	9.204574e-08	0.20785472	1.1941821e-05	0.2496392	2.5704253e-07	5.543713e-08	4.4870254e-07	7.232225e-07	1.6804917e-05
priorregion1_spot_12	2.402633e-07	3.7175826e-07	0.064242244	5.098379e-07	8.98469e-07	0.35121122	2.4986227e-06	0.11520301	9.720501e-07	1.2068227e-06	0.46709296	6.669135e-07	0.00052926666	3.5283034e-07	2.6732718e-07	1.8925225e-06	0.0017111716	1.8053117e-07
priorregion1_spot_13	0.0010219311	2.9406841e-08	0.61773205	9.132231e-06	4.3748396e-06	0.12153812	8.494818e-06	0.06452461	2.2665893e-07	6.311584e-07	0.090110585	1.394324e-07	2.4355417e-08	0.011751017	0.011725366	0.008760011	2.4556035e-08	0.07281332
priorregion1_spot_14	2.359202e-08	2.4121173e-08	0.008743018	4.2158746e-07	2.6140862e-07	0.19136606	2.489507e-07	2.501351e-07	3.4533008e-07	0.053226855	0.2118656	1.5974763e-07	1.26563275e-08	3.8585358e-07	0.26161474	3.5165913e-06	5.7408677e-08	0.27317792
priorregion1_spot_15	6.69529e-08	1.7918179e-08	0.215588	1.4597153e-07	2.276831e-07	1.7872506e-05	1.7000023e-07	4.9465706e-07	0.009344559	9.1454564e-07	3.8094466e-08	1.12064335e-07	0.43605754	2.4784367e-07	8.275487e-07	0.019899547	8.9108266e-07	0.3190883
priorregion1_spot_16	7.8883704e-07	8.9454375e-07	0.03170843	7.0056166e-07	2.466494e-07	4.6690963e-07	9.47717e-08	2.1003012e-07	3.2511488e-07	0.061342563	0.26989666	6.946062e-07	2.4529642e-08	0.016694827	0.08599753	5.931297e-05	2.7783663e-06	0.5342934
priorregion1_spot_17	3.335262e-08	6.451655e-08	1.6426177e-06	1.3843176e-07	3.8188946e-07	0.011217157	1.9728833e-07	2.2776942e-07	0.025476461	1.2991358e-06	0.43616316	3.2623637e-07	2.6614302e-08	0.0057307202	0.25288156	2.6932566e-06	9.511963e-07	0.2685229
priorregion1_spot_18	3.8781405e-08	3.0710165e-08	6.827249e-08	1.722225e-07	1.6331514e-07	0.0037182816	7.6048806e-08	6.793904e-08	1.252602e-07	3.3670094e-07	0.21402766	0.003485905	0.002902782	2.1513291e-05	1.5905879e-07	0.7426868	0.033155195	6.1846976e-07
priorregion1_spot_19	1.2312343e-08	1.3676721e-08	0.8581561	2.3165523e-05	4.239032e-06	0.0290624	0.009833997	3.36306e-05	9.890697e-08	5.571869e-08	0.09498999	2.478533e-07	0.007895701	1.192715e-07	5.0484626e-08	7.1236585e-08	2.0130631e-08	6.438167e-08
priorregion1_spot_20	1.5528505e-08	3.401481e-08	0.6040467	0.084526494	4.0210343e-05	0.05567	2.9225455e-07	3.4666243e-06	0.0300659	0.0145994015	1.4674973e-08	1.9804351e-07	9.039931e-09	5.9375856e-07	0.021785483	0.065061815	1.3257115e-08	0.12419936
priorregion1_spot_21	1.7917632e-08	1.9127429e-08	2.4024379e-05	6.506244e-07	2.1500762e-07	1.0030639e-05	8.4514994e-08	1.0392727e-06	3.9208385e-07	0.0062632198	0.00081916037	5.88678e-07	0.39840606	3.7959134e-07	2.5984734e-06	0.16111389	2.7295604e-07	0.43335733
priorregion1_spot_22	0.017559126	3.1974043e-08	0.25214782	0.021777254	1.2952887e-06	0.18732299	0.033238832	1.6043082e-06	3.015372e-07	2.2364961e-07	0.15835409	4.3399916e-07	0.264252	1.9937e-07	1.8920595e-07	0.057207715	0.008135617	3.279427e-07
priorregion1_spot_23	2.3866845e-08	1.1686235e-08	0.45589662	2.1317496e-06	0.020636635	0.0832086	3.1804425e-06	0.04602964	2.1143036e-07	0.019293062	6.648793e-08	1.5104325e-06	1.7461916e-07	6.4219495e-07	0.04710449	1.2454451e-06	1.6566165e-08	0.32782176
priorregion1_spot_24	0.025548901	1.6645616e-07	0.0042957924	1.0243762e-06	9.1140043e-07	1.4837048e-06	0.04604033	1.0164468e-06	7.0875694e-06	0.03093	0.51202786	3.0922405e-07	0.0028399497	9.6378035e-06	1.2845859e-05	0.015836798	0.002669043	0.35977685
priorregion1_spot_25	4.2449244e-08	1.2072309e-08	0.2485754	0.068160444	2.8287405e-07	7.4413755e-08	1.6628314e-07	0.0027946692	1.9863977e-07	0.038234312	0.061181966	3.4487758e-07	0.21791407	1.2440515e-07	0.017813772	0.30524695	1.4346105e-07	0.040076997
priorregion1_spot_26	0.0514696	8.660484e-08	0.2775272	3.4470995e-05	0.031384874	0.023899635	1.0025085e-06	2.632188e-06	1.8055444e-07	2.8146658e-07	0.3444058	0.015016719	7.421173e-08	2.4300945e-07	2.159901e-07	3.1165249e-07	4.4159387e-06	0.25625223
priorregion1_spot_27	0.0789376	4.9357435e-08	0.36244413	3.1721171e-07	1.6988149e-07	5.6481836e-06	2.6880767e-07	9.899283e-07	1.3181872e-07	0.03919025	0.21266408	5.3881183e-07	0.0072030188	5.405468e-07	2.1631442e-07	2.1148637e-06	0.00034739196	0.2992025
priorregion1_spot_28	2.9169993e-08	0.0018243247	0.12379925	4.6051656e-07	2.789501e-07	1.2296363e-06	5.725348e-07	0.084855065	3.9624922e-07	0.029072654	0.18101646	5.995838e-07	0.0086357985	4.3176317e-07	1.8044164e-05	0.093064375	8.636462e-08	0.47770995
priorregion1_spot_29	1.2435801e-07	0.00023464084	0.354078	0.009165276	3.4685509e-06	0.19039972	1.3131769e-06	0.048239045	4.946127e-07	3.0037583e-07	0.1381131	5.549074e-07	0.11862248	3.1122067e-07	1.9165861e-07	0.04895223	0.0049930825	0.08719558
priorregion1_spot_30	0.006904556	8.462858e-08	0.45025516	2.5752547e-06	5.701963e-07	0.04882237	1.1414664e-06	7.234152e-05	9.177767e-08	4.9795887e-07	0.28604037	1.1965674e-05	3.9021266e-08	1.3884885e-07	1.7288001e-07	0.048237678	1.8063965e-07	0.15965006
priorregion1_spot_31	0.022326665	0.0028950532	0.4984882	9.182515e-07	5.2327283e-07	0.13558957	0.04375561	2.5247118e-06	1.6012739e-07	2.9019461e-06	0.16529642	0.005324129	0.006400277	3.536681e-07	0.049061	7.728185e-06	6.648191e-08	0.0708479
priorregion1_spot_32	3.309657e-08	6.041026e-08	6.5434435e-08	7.616827e-08	7.237733e-08	1.1615385e-07	7.846596e-08	7.905724e-08	5.077196e-08	9.635477e-06	0.1673662	1.398068e-07	1.2785753e-08	1.2006748e-06	0.0013548664	0.44625083	2.8967793e-08	0.38501644
priorregion1_spot_33	2.8368206e-08	1.0339779e-06	0.473619	7.3011925e-06	3.0428808e-07	3.2733544e-07	4.4791477e-07	2.1395148e-05	1.1681348e-07	1.579209e-06	0.25585285	9.142891e-07	1.4173251e-07	1.2614404e-07	0.0997408	1.7761799e-07	1.6722169e-06	0.1707518
priorregion1_spot_34	0.0092710545	6.9479974e-08	0.18224217	2.5614966e-06	3.2043883e-07	2.9062646e-06	4.5780604e-07	6.6985695e-07	1.1030531e-07	3.6206805e-07	0.22793709	3.4553716e-07	0.21702744	0.009328557	5.6823984e-07	3.4504012e-06	2.0721823e-06	0.3541797
priorregion1_spot_35	3.294113e-08	4.4027843e-08	0.06582667	2.9232747e-06	4.157995e-07	0.52920026	0.036154386	4.084639e-06	1.943555e-07	1.02623e-07	0.36881012	2.3405978e-07	5.284778e-08	7.3829185e-08	7.89446e-08	1.267788e-07	1.3333553e-07	7.933706e-08
priorregion1_spot_36	0.033012915	1.7793808e-07	0.24838044	0.1617115	1.5537279e-06	0.050139554	0.009709356	8.02203e-06	5.1371563e-07	1.11726436e-07	4.937451e-07	4.2026994e-07	0.4765337	2.3485336e-06	7.6134555e-08	0.019548709	0.0009499502	1.4768163e-07
priorregion1_spot_37	6.6170753e-07	1.9400903e-07	7.177086e-07	0.0028274998	1.0018903e-06	6.467048e-07	1.0023098e-06	7.539633e-07	4.528307e-07	4.5226446e-07	0.30590588	8.456877e-07	0.69125307	4.5426364e-07	3.4863592e-07	6.84946e-07	3.7369175e-06	1.5608324e-06
priorregion1_spot_38	1.3271041e-07	5.631062e-08	0.39959556	0.01241093	4.7432883e-07	0.113661945	0.057249267	2.0881446e-06	1.6494998e-07	1.122448e-06	0.06553879	3.526091e-07	0.10363464	7.9255915e-06	1.6393897e-06	0.012346852	0.0043329387	0.23121516
priorregion1_spot_39	3.419855e-08	1.2875106e-08	0.60616344	8.126444e-06	3.9877014e-07	4.980633e-07	2.930876e-07	1.654173e-05	1.1695153e-07	1.0747553e-06	2.4138451e-08	2.111008e-07	1.1885382e-08	2.175416e-07	0.27533662	2.5150035e-07	3.242542e-08	0.11847217
priorregion1_spot_40	2.2633015e-08	6.541396e-08	0.5700111	0.07068599	2.0923144e-05	7.745945e-06	3.542328e-06	6.3316947e-06	3.0020112e-07	2.0358041e-07	0.16696107	3.1775969e-07	0.19230096	2.79943e-07	4.7557638e-08	7.214459e-07	2.9276939e-07	6.182707e-08
priorregion1_spot_41	0.039264668	0.000120063785	0.097964786	5.6703398e-06	7.4988304e-07	0.29329813	1.7236665e-05	3.85005e-06	0.037774637	0.08760217	0.107445076	2.6348954e-07	0.00047707066	1.5154881e-06	6.4709536e-07	0.03546651	7.344e-08	0.30055684
priorregion1_spot_42	1.2410355e-08	8.241185e-09	0.44526592	5.5092664e-07	6.2107705e-07	0.1021543	0.034758158	3.1901218e-06	0.0047091306	9.876559e-07	9.284033e-09	1.4026709e-06	5.857111e-09	4.425525e-07	2.0469285e-07	0.05600831	1.501624e-08	0.35709676
