	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	2.4916286e-08	1.2235443e-08	5.699343e-07	0.023390822	2.7256551e-06	0.61470264	3.1496418e-07	2.0526282e-07	1.952961e-07	5.3104497e-08	1.1847243e-08	0.010298678	0.35160333	5.974228e-08	2.3970307e-08	5.5334112e-08	2.1119561e-07	5.665837e-08
priorregion1_spot_2	2.925254e-08	7.8658786e-08	0.01064861	3.413385e-05	0.08799428	0.8668181	0.00011641992	5.659308e-06	0.034379236	3.5687188e-07	2.278928e-08	1.8839046e-06	1.9886821e-08	4.9431935e-07	1.3533118e-07	5.1441384e-07	1.0159286e-08	1.8521744e-07
priorregion1_spot_3	1.8066913e-08	1.2090522e-08	5.3232434e-06	2.6659e-06	2.545149e-06	0.912156	0.07622026	0.00814142	0.0034704953	1.2527443e-07	7.908302e-09	7.7331805e-07	7.868265e-09	1.2327814e-07	6.870443e-08	1.1497898e-07	6.465837e-09	6.067209e-08
priorregion1_spot_4	0.0035006255	2.3580753e-08	0.01984334	0.026701676	4.611883e-05	0.58448094	0.017270628	0.0059787626	5.087025e-06	6.652287e-07	2.1713545e-08	3.4305514e-05	0.3421328	2.670592e-06	3.262155e-07	1.1781694e-06	8.018174e-08	7.573924e-07
priorregion1_spot_5	1.26869955e-08	8.217305e-09	1.1453401e-05	3.2943248e-07	7.638369e-05	0.7577897	0.00010853418	0.02388493	0.022894617	1.6820388e-07	6.0948775e-09	4.3282e-07	0.19328713	0.0019459315	6.850994e-08	2.036742e-07	6.007187e-09	7.153581e-08
priorregion1_spot_6	0.034955688	3.9541284e-08	1.0815791e-06	1.309487e-07	1.3985589e-07	0.6791595	2.1830629e-06	3.709344e-07	6.0407774e-07	0.009898043	2.120311e-08	2.8524744e-07	0.27575922	2.3776832e-07	9.472732e-07	5.45077e-07	2.0419263e-07	0.00022067809
priorregion1_spot_7	6.6570635e-08	2.9486852e-08	9.593814e-07	2.6969536e-07	3.1450745e-07	0.49175638	4.5463023e-07	2.8373037e-07	2.3375036e-07	8.6721045e-08	1.3890326e-08	0.0015799716	0.5066604	8.70871e-08	5.6800463e-08	9.3623264e-08	1.866385e-07	7.3309195e-08
priorregion1_spot_8	0.001286889	9.070386e-08	6.726568e-07	1.6819065e-05	2.9495178e-07	0.24529266	4.4496795e-07	3.2015086e-07	2.7911776e-07	3.7155627e-07	1.9121799e-07	0.024054846	0.72934365	3.3626497e-07	2.256935e-07	2.5149868e-07	7.053277e-07	8.428188e-07
priorregion1_spot_9	1.7332589e-08	1.272055e-08	1.0854951e-06	2.102809e-07	3.781576e-07	0.7802287	4.7769714e-07	2.3858485e-07	3.5460806e-07	1.1464058e-07	8.615237e-09	1.1506258e-07	0.21976802	1.1576712e-07	4.8252755e-08	1.0711517e-07	2.3715087e-08	5.4632004e-08
priorregion1_spot_10	3.129674e-08	1.8331612e-08	2.2361974e-06	3.7824123e-07	2.0168036e-06	0.6661494	0.0011308895	8.357096e-06	0.008133894	1.2178455e-07	1.37295935e-08	1.2447322e-06	0.32457095	1.18914905e-07	6.256387e-08	1.18791576e-07	8.3275594e-08	6.350809e-08
priorregion1_spot_11	0.004479576	2.7337828e-08	4.051493e-07	0.08042611	3.448146e-07	0.37202173	1.6590119e-06	2.8634327e-07	1.3950262e-07	1.8547385e-06	2.3282999e-08	0.0097248	0.53331316	2.002563e-07	4.8844936e-07	9.7689735e-08	2.8391272e-05	6.049446e-07
priorregion1_spot_12	4.1795207e-08	1.19331265e-08	2.6004827e-07	1.3625461e-07	2.6761882e-07	0.6679844	6.443445e-06	3.9045656e-07	2.5855254e-06	7.5816324e-08	9.147361e-09	3.4895453e-07	0.33200458	9.381162e-08	5.0470366e-08	2.5115114e-07	4.7672554e-08	7.395213e-08
priorregion1_spot_13	0.034406833	7.228468e-08	0.00041668682	3.4280142e-06	5.208418e-06	0.59435004	5.3809938e-05	0.07890765	0.00057494186	4.6266427e-07	4.4751957e-08	8.170403e-06	0.27412915	2.8871918e-07	4.0766426e-07	2.163139e-06	1.0758726e-07	0.017140582
priorregion1_spot_14	0.02686452	2.1621512e-08	0.032725506	2.5394414e-07	5.455548e-07	0.8044062	2.9746192e-07	9.84452e-06	1.5876098e-07	4.6612676e-08	6.6888384e-09	9.792821e-08	0.13599212	4.9308724e-08	4.4946876e-08	2.2457455e-07	3.9608828e-08	6.182898e-08
priorregion1_spot_15	0.0019884892	2.9179567e-08	2.2939319e-06	0.010822749	0.001106193	0.5016664	0.009576481	3.3087057e-05	2.0769852e-05	2.2508743e-07	3.0148975e-08	2.760633e-06	0.47477907	4.1995645e-07	2.3501207e-07	2.8400993e-07	2.2535849e-07	2.626651e-07
