,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,7.586309784812785e-08,0.3096817851066589,3.666794953005593e-07,1.8682582947349147e-07,1.9306455740775163e-07,3.6942848140597563e-07,2.0170846255496146e-07,2.9285665874567713e-07,3.784622677471816e-07,1.2512800040553884e-07,0.0003334296852699481,1.258291192129946e-07,0.1727343752980232,0.08110655844211578,4.096843557732655e-08,1.560815185541742e-07,2.921794539645362e-09,7.072279792907921e-08
priorregion1_spot_2,2.5824509464200674e-08,0.12423524297773839,1.1166117337779725e-05,2.160075257506833e-06,2.9874547522013016e-06,1.023728682412184e-05,6.7841918053090925e-06,2.247833608635119e-05,7.150115902732068e-06,1.0234646424578386e-06,9.70621399920546e-10,2.825374804160674e-05,1.3230897399907349e-08,1.8377979017714095e-06,0.10614025071263314,9.942458518708008e-07,7.538155988306984e-09,0.26863493025302887
priorregion1_spot_3,2.0854624764865546e-07,0.13084861189126967,6.77910061313014e-06,1.2704545224551112e-05,9.685045824880945e-06,2.0759288054250648e-05,0.00015602191269863396,1.0554260825301753e-05,2.1929039303358876e-05,8.145330667730377e-07,0.44907823503017424,7.564336738141719e-05,2.5284967819061424e-06,4.627595808415208e-06,2.0499601305346005e-05,5.612465827198321e-07,1.2726721138278666e-06,0.19912758618593215
priorregion1_spot_4,0.06544319838285446,3.6856712881672143e-07,4.769556335304515e-06,1.2792047925813678e-06,1.781356746732854e-06,3.799714977503754e-06,3.587053186038247e-06,4.295188209653134e-05,0.021461594291031363,1.6597801163698024e-06,0.3484581932425499,5.701480472453114e-06,0.6594960629940033,5.848902628713404e-06,6.160190469017834e-06,2.829554023264791e-06,0.03241265583783388,0.03617657162249088
priorregion1_spot_5,0.029418633691966536,0.1347021482884884,8.948778777266853e-05,8.321096129293438e-06,1.53363983372401e-05,4.652666430047248e-05,2.2842611724627207e-05,0.0007523867418058217,0.013975212909281255,3.3536868431838227e-05,1.374247275975904e-08,8.130754686135333e-05,0.111736448854208,1.5117345765247591e-05,0.056900336779654025,0.0005977671913569792,6.147870720951687e-07,0.3561153218150139
priorregion1_spot_6,4.1870520703923827e-07,2.566192591757499e-08,8.515955887560267e-05,6.56413578781212e-06,1.7474838023190385e-05,1.8845032718672888e-05,3.612167893152218e-05,0.004900227836333215,4.40555751993088e-05,0.007334042154252529,0.28561656773090366,8.603077048974228e-06,0.19592754766345025,7.622650355187944e-06,2.3548290414510125e-06,1.7311246722329088e-06,0.04598634447902441,0.11412501521408558
priorregion1_spot_7,0.005823056143708528,0.3271697133779526,1.3047540107891112e-06,5.148925509956825e-07,2.9650963426774986e-07,0.03668372686952353,0.011779713397845627,1.7302130459029286e-06,4.129679382458562e-07,7.373782082709112e-08,0.3858316048979759,3.1229801180643333e-07,4.318684901249981e-07,2.3661671519903393e-07,9.332046175813957e-08,6.352721229063717e-08,2.3459704845407717e-08,9.973989811840056e-08
priorregion1_spot_8,1.9834620161418573e-06,0.09606881476938725,1.926734967128141e-05,4.5471457951862255e-06,8.733425102036562e-06,4.184760268799438e-06,7.264206601576007e-06,3.839210094156443e-05,3.225453360755637e-06,3.192806002516591e-06,0.27907151728868484,9.48688280004717e-06,0.19006578400731086,0.08232933692634106,0.04118001908063888,5.77552916638524e-06,1.2406639626760807e-08,0.10551459491252899
priorregion1_spot_9,0.00032473951432621107,0.2072004295885563,1.8490830825612647e-05,8.325007584062404e-05,2.0332405347289752e-05,0.00040989163826452566,0.007166655338369309,2.5373281368956674e-05,3.9721066423226147e-05,0.005567118502222002,0.10372543819248677,0.0002270923367177602,0.05920141711831093,0.05795763190835714,0.0001537334654130973,7.009949604253052e-06,5.2790125693036324e-08,0.17862986028194427
priorregion1_spot_10,0.012361999601125717,0.017203762847930192,0.00014512085035676137,4.306211831135443e-05,8.895411156117918e-06,2.6926531973003875e-06,6.9692126999143514e-06,3.505683216644684e-05,2.3054096800478874e-06,1.5158353289734804e-05,0.6705191284418106,6.0693328123306856e-05,5.549936563653546e-08,0.025254412554204464,2.4966343153209893e-05,2.234607165974012e-06,4.87696533824078e-08,0.36581769883632664
