,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,1.7463001142914436e-07,1.2264658844074462e-08,0.6628872692584991,2.0741175194416425e-05,3.8914573815418406e-05,3.933536336262478e-05,1.068413785105804e-05,0.00033559930307092145,2.822906162691652e-06,8.355006866622717e-06,8.096551074032733e-09,8.078554492385594e-06,3.9214392622000105e-08,6.032518012943911e-06,0.3088492453098297,1.007373214179097e-06,0.23012921363115313,0.00022139306020108054
priorregion1_spot_2,6.255026676171838e-07,2.405625200481154e-05,1.378734799573067e-06,8.895050041246578e-06,1.3219194158864412e-06,2.683557511318213e-06,3.830248328995367e-06,2.5266269858548185e-06,7.850732060887823e-07,8.939171266320047e-06,7.1315139793526334e-09,0.08029233701527119,2.9199387974188084e-08,2.4229543441833817e-06,0.41155255436897276,1.4053921233880828e-06,0.13971293419599534,0.001606305898167193
priorregion1_spot_3,2.617662414650113e-06,3.7218920390102994e-08,0.2911349549889565,3.285340590082342e-05,0.00027518927818164234,0.0007271792390383781,2.946097638414358e-05,5.010762179153972e-05,0.00011113334403489716,2.0596921058313458e-05,3.628065456950936e-08,0.1629716232419014,4.4013773390361174e-07,0.0001228609537065495,0.28925735205411907,0.001251575950300321,7.473547682934623e-08,0.023201720137149096
priorregion1_spot_4,1.6435136203085678e-07,6.858804617593251e-08,1.2730748085232336e-05,5.1659523023772635e-06,7.063887483127473e-06,0.0007714388688327744,1.3792399431622473e-05,1.9050704850087642e-06,1.5807038550974538e-06,7.008943498476583e-06,8.246465332817364e-09,0.22563977912068367,1.3208480975634984e-08,2.8648495913330407e-06,0.1400722108781338,1.1744059349894089e-06,0.2641559407114983,3.89550012869222e-07
priorregion1_spot_5,3.1095469665842757e-07,2.4280486154992788e-08,1.2653275234697503e-06,3.4099856293323683e-06,2.2304145204543603e-06,5.9108248478878526e-06,3.0596716555919556e-06,2.9669545369870322e-06,9.549764286020945e-07,1.9338314018568783e-06,6.703821364695273e-09,0.1795885093510151,0.0013025717984419317,1.5937491184558896e-06,0.2806032598018646,1.2613123658411496e-06,0.2846349596977234,0.01793282022699714
priorregion1_spot_6,0.00010648634342942387,7.20134221143809e-09,0.07180803604423999,1.4551004460372498e-05,4.274120674381265e-05,6.816622844780795e-05,5.649083186654025e-06,1.213985588037758e-05,2.8286295446378064e-06,4.691140907198133e-06,7.795577383618026e-09,0.24725710451602936,3.578681673221951e-09,5.4198834959606755e-06,0.09537386000156403,2.629143602916884e-06,4.203397607760451e-09,9.239461223842228e-06
priorregion1_spot_7,0.0006357881648000331,0.0005595811497187241,0.17681908681988717,9.976357387131429e-06,1.0554123900874402e-05,3.629633883974748e-05,0.011314937798306345,2.7029297052649787e-05,6.89538478582108e-06,1.260940564407065e-06,7.003429702834297e-09,0.2248234458267689,6.199680520069251e-08,2.45497154764962e-06,5.609427330455219e-06,8.677428411374422e-07,0.4149691730737686,7.570501679765585e-07
priorregion1_spot_8,5.831166595271498e-06,8.145667393932855e-08,0.322595751285553,1.9500787311699243e-05,6.317060183391733e-06,3.738455518487172e-06,4.435540063241206e-06,0.0037499897764064374,1.2608306349193298e-06,2.271525943342567e-06,4.3004600769336326e-09,2.1378073597588808e-06,3.8752061470859195e-08,7.344174882746301e-05,0.2178500346839428,4.648656158678932e-06,0.18437812477350235,8.106514741257344e-07
priorregion1_spot_9,4.0688402975774806e-07,3.285622636184371e-08,0.5222156822681427,0.01758854975923896,1.0971687015626231e-05,1.3916213492848329e-05,5.959801501376205e-06,6.571284102392384e-05,2.7083303052677366e-06,2.8234413434802263e-06,7.929310363863352e-09,1.858342566265492e-05,4.129404320707408e-08,8.960228387877579e-06,1.298900673418757e-06,7.203552740975283e-06,0.5039876908063888,1.5251417471517925e-05
priorregion1_spot_10,1.6038769558690547e-06,2.915254214030938e-07,0.05865043215453625,6.745480163772299e-06,8.375835932383781e-05,0.0005322995275491849,7.113980541362253e-06,1.2421315250321643e-05,0.0004019233238068409,4.412006524034951e-06,2.7081759945701833e-08,0.05106646232306958,6.23403593635885e-08,3.703464722093486e-06,0.33121095746755597,6.16777622326481e-06,0.04566944334656,0.014944984996691345
