	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	0.00074699416	1.5007208e-08	2.638356e-06	4.6693398e-07	2.8290899e-07	5.0961503e-06	4.7448108e-07	0.0054958137	1.6170297e-07	7.007782e-05	9.9034665e-09	0.012581401	9.4128065e-09	0.055925183	0.020846259	0.560628	1.9901318e-08	0.34369707
priorregion1_spot_2	0.6227778	1.4575319e-07	3.0041656e-07	0.04381954	0.028850656	1.487514e-06	1.3428074e-06	4.4142448e-07	0.0021288153	5.351368e-05	3.151107e-08	0.025922343	7.968852e-08	0.004682893	2.5957968e-06	0.06076407	3.4769953e-06	0.2109906
priorregion1_spot_3	0.18094942	2.6051906e-08	0.0937717	0.33878228	0.018031346	2.5969499e-07	3.2000577e-07	0.008074255	1.0468993e-07	3.3264146e-07	1.1856343e-08	0.0023898885	7.757682e-09	0.042252917	3.3347365e-07	0.14592247	2.4683155e-07	0.16982417
priorregion1_spot_4	0.08456086	1.26848185e-08	0.061452404	0.26403046	5.131732e-07	5.2127916e-06	4.3344637e-05	0.0064441585	2.8976226e-07	0.033487145	1.0347967e-08	0.00086740847	9.181967e-09	0.14868705	3.3383074e-06	0.40040794	5.1933924e-08	9.7725015e-06
priorregion1_spot_5	0.24587277	9.549679e-08	0.032622937	0.34608138	3.9469708e-07	3.7619796e-07	4.073459e-07	2.7955954e-07	1.252324e-07	2.1724752e-07	1.7357063e-08	4.57747e-06	1.1797223e-08	2.0476167e-05	0.15573135	3.2853237e-07	2.5214928e-07	0.2196639
priorregion1_spot_6	0.26067692	2.7148525e-08	6.398976e-08	8.4556476e-08	9.948254e-08	4.9137066e-07	8.6081876e-08	8.921191e-08	0.000119763434	0.02257055	2.2770147e-08	0.0025092615	1.9065082e-08	7.942979e-05	9.885646e-06	0.3349325	5.573633e-07	0.37910017
priorregion1_spot_7	1.0410164e-07	1.0413156e-08	0.053537946	0.4272347	7.009732e-07	8.820741e-08	2.7511024e-07	5.492643e-07	4.8676227e-08	4.201611e-07	3.85854e-09	2.3452459e-07	1.2170914e-08	0.0060229246	0.07360526	0.2788948	5.9820393e-09	0.16070195
priorregion1_spot_8	0.29046288	3.3716187e-08	5.525776e-08	4.4188592e-08	6.00682e-08	2.945293e-06	5.0368907e-08	5.662866e-08	5.6431137e-08	1.940393e-06	1.0680589e-08	4.723869e-07	1.676319e-08	0.14892934	5.878212e-06	0.043010622	1.4630434e-07	0.51758534
priorregion1_spot_9	0.227737	1.4193884e-08	1.4996871e-07	0.3066252	3.6117055e-07	4.7550486e-07	9.2921533e-07	1.9811588e-07	1.2850087e-07	8.142306e-06	3.255739e-08	8.8201443e-07	2.1825803e-08	0.056671403	2.3402529e-06	0.17976926	2.0523929e-07	0.22918327
priorregion1_spot_10	1.7553533e-05	6.7221926e-08	0.006554096	1.7743689e-07	7.528584e-08	1.1574425e-07	1.5862703e-07	1.8781628e-07	6.516598e-08	0.09078684	7.199954e-05	3.7796333e-06	1.6720034e-07	1.3950257e-05	0.085057266	0.069504485	2.5016329e-08	0.74798894
priorregion1_spot_11	6.723506e-09	5.1831015e-09	2.869265e-07	0.13181894	0.024605708	3.4854708e-07	0.0028298346	0.00019199931	2.8774782e-06	0.003633896	6.132498e-09	9.157537e-08	1.0685945e-08	0.013587434	0.27392	0.5151845	7.2935165e-09	0.0342239
