,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,3.988939436538885e-08,3.4097701551161215e-08,2.9044566645097807e-06,1.0489378155398299e-06,0.33778817057609556,7.427347168231791e-06,7.242883816616086e-06,2.9624670901284846e-06,3.3427503353777864e-06,8.00416323443187e-08,1.836130969490313e-09,5.229593944022781e-06,2.8563744169929356e-08,1.0266498975397553e-06,9.44157676485702e-08,3.6385302450980825e-07,0.4895169034600258,8.340555908148417e-08
priorregion1_spot_2,5.710002639602863e-08,8.91118787649248e-08,4.279514155314246e-06,7.877486459619831e-05,0.4072556838393211,4.002737091468589e-06,5.603350905403204e-06,2.5650625843809395e-06,2.2800697024649707e-06,2.3162345712535172e-07,4.060755998125388e-09,5.8991467540181485e-06,4.0978828685922513e-08,1.9472556346045166e-06,1.326712101956673e-07,3.5986466286885846e-07,0.44786839932203293,1.5497503909500665e-06
priorregion1_spot_3,4.2999851501690504e-08,5.407469156892832e-08,2.936582927759446e-06,1.078192890417995e-05,0.29340335726737976,2.7466506480777754e-06,2.3203509954328186e-06,3.056283139812877e-06,1.4981710194206244e-06,1.0987977070442413e-07,3.162623352093164e-09,6.89190042635346e-07,0.0001165360226877965,6.318793964510405e-07,3.828774211456221e-07,1.3526070645752953e-07,0.5763331830501557,5.586510933852651e-08
priorregion1_spot_4,1.4531523646610366e-07,7.078078567701596e-08,1.9287924601485427e-06,6.036951367605071e-06,0.8870352596044541,2.1276684674376156e-05,8.046042676141952e-05,2.186418405472068e-05,3.2427367659693115e-05,2.566822615790443e-07,6.009990102029406e-05,6.521964096464216e-05,5.3728076032655285e-08,5.094850598652557e-06,1.8523047131679957e-07,3.913736748017982e-07,0.12262215875089168,1.4902939184935347e-07
priorregion1_spot_5,0.0019158291805069893,1.3981020003939195e-07,1.658805075521741e-06,1.1478899887151782e-05,0.26528331488370893,3.0852842655804123e-06,1.8203995387011675e-05,4.206165995128686e-05,7.695423346376628e-06,6.542472789305976e-07,6.477158431827945e-09,2.9898237607994817e-05,1.2562518850245397e-05,1.0700742052449643e-06,1.5991744362509052e-06,3.1158235600514674e-07,0.9488149255514144,1.813741505429789e-07
priorregion1_spot_6,9.362796369316585e-08,8.911916848930445e-09,5.478245071799393e-07,1.825109563924343e-06,0.06186779234558344,6.05240219897496e-07,1.018581963307952e-06,2.278969304825296e-06,5.877918965779827e-07,7.846101262032337e-08,1.576277097736778e-09,2.0210103457429796e-06,3.0522044980330067e-08,5.053225379469951e-07,4.13048383052228e-05,1.3384349841771837e-07,0.40697145611047747,1.989389465961722e-06
priorregion1_spot_7,9.075468199171155e-08,3.678912648297228e-07,2.0759470089615206e-06,0.011479620728641747,0.046631913445889954,2.8067772632311974e-06,1.249627223387506e-06,7.555457045782533e-07,1.229211511599715e-06,1.1634287169215441e-07,8.032105380806342e-09,2.155356139610376e-06,2.4121409758492973e-08,1.9850154671985364e-06,4.7278951313955987e-07,1.7366946906349768e-06,0.5337277948856354,3.385207875794549e-07
priorregion1_spot_8,3.989868559983734e-07,1.622023866332256e-08,1.1297585672309653e-06,1.0433827469569225e-06,0.4140897735953331,1.205305619578212e-06,2.823607042046206e-06,3.7922741967122426e-06,1.3041037959737879e-06,1.1456724458014378e-07,3.3683504874204577e-09,4.95016881814081e-06,4.76074385247216e-08,8.587221827838221e-07,1.4245308008753454e-07,2.78405549636318e-07,0.6131071656942368,4.279741432355877e-08
priorregion1_spot_9,0.000738144904607907,8.621755514468533e-05,2.558602761837392e-06,2.378538147240761e-06,0.45800728648900985,3.6313461350800938e-06,3.351493014633888e-05,6.985139907556004e-06,1.7357972694753698e-06,2.624372839932221e-07,3.234204650652828e-05,7.247092730722215e-06,2.6126051100305858e-08,8.522526144361109e-07,1.9911699595809297e-07,5.995626139565501e-07,0.49025093466043473,9.030621122008142e-08
priorregion1_spot_10,2.3253564318537203e-08,6.386745008057915e-06,6.39115551592795e-09,9.53036392026263e-09,7.34930822865465e-09,1.7677384622771796e-08,7.725344275399948e-09,1.7314226763431862e-08,4.06348237280696e-09,2.595294834595308e-09,1.0738735789495025e-09,5.862923413424427e-09,1.8111753021798907e-07,8.919860849943007e-09,8.562041120541155e-09,5.500126687429942e-09,0.6942883431911469,2.1214046186379678e-09
priorregion1_spot_11,7.442990401784756e-08,2.7957658499389028e-08,5.82048628530174e-06,2.2505408537654147e-06,0.3624727204442024,0.03186919037252665,9.730005376695772e-06,5.7403830396651756e-05,0.014398876950144768,3.813722798895469e-07,5.188552720802875e-09,5.576869307333255e-06,1.6272268155148594e-08,6.632634426750884e-06,4.3705083498934986e-07,5.634494840478511e-07,0.22929084226489066,2.3660030947780797e-07
priorregion1_spot_12,1.7806555092647615e-07,2.499951738954565e-08,2.2603205820814766e-06,0.028726280946284533,0.1617894671857357,8.611673229097505e-06,4.6216027385526106e-06,1.6772955973465288e-06,1.8707464164435805e-06,1.9390195831192615e-07,2.7272525571220293e-09,2.495777607691707e-06,8.272075255888466e-08,3.7282496350599105e-06,6.257579315160911e-07,5.226195241903042e-07,0.7636529773473739,1.018303500188722e-07
priorregion1_spot_13,4.588175550601648e-09,4.48235142336273e-09,2.1564216012848196e-08,1.0985824339115879e-08,1.5235054107165524e-08,3.352104496201492e-08,1.1491493268067644e-08,5.2890835045005255e-09,9.690433966369484e-09,9.401350808957432e-09,5.520363344224678e-09,1.615839231305927e-08,2.6867161717625268e-09,3.014927356659314e-08,6.459066237418654e-09,1.086013581286238e-08,1.0516028106212616,4.192717906192911e-09
priorregion1_spot_14,4.4700555150711803e-07,1.0055519839013982e-08,9.835574587668819e-07,5.603333619319528e-07,0.08718784302473069,1.7692931351120935e-06,6.505520616428841e-07,4.754398378281621e-06,2.807518660574715e-06,7.700123632048418e-08,4.907604567172541e-09,1.147923245525817e-06,0.0001112785736040678,4.322896685948763e-07,9.444352961907043e-08,5.143604084878462e-07,0.4025163784623146,1.0748458194598244e-07
priorregion1_spot_15,5.168541328259836e-09,1.1071352612468389e-09,7.488503683816816e-09,3.932529146766228e-09,7.0334826851592425e-09,1.665948268225748e-08,9.415011570368394e-09,8.146324370628123e-09,5.927101542901881e-09,2.031382889677858e-09,3.88270177120731e-10,6.6709250345908816e-09,3.753942889872519e-09,5.817123982509998e-09,4.380766194245211e-09,2.041195013013919e-09,0.7837674975395202,7.892342734905355e-09
priorregion1_spot_16,2.06459187523933e-08,8.053799849250254e-09,6.244341420824639e-07,2.3590480466850752e-07,0.08408729620277881,2.8621691399166593e-06,1.3994744733736298e-06,1.0602500708500884e-06,8.646865308037378e-06,1.5489273508251244e-07,1.5138315490048633e-09,7.186556075566841e-07,1.7355421899623027e-08,7.947465888946681e-07,7.192152622792492e-07,4.5008028166648727e-07,0.2806287333369255,8.518410190561098e-08
priorregion1_spot_17,6.901655865476643e-07,1.868704650576092e-07,2.643586725525893e-07,3.59385217052477e-07,0.06071139220148325,7.979920553680131e-07,1.4049518767933478e-06,2.715625839755376e-07,6.680271098957747e-07,7.489127646920223e-08,7.451573413863599e-10,2.2749353263407103e-07,7.98811382992426e-05,2.8860497707228206e-07,4.900858847634027e-08,8.009853154078428e-08,0.34155669063329697,2.5390344493558814e-08
priorregion1_spot_18,9.349354513688013e-07,4.679731926415798e-08,1.7206799043378853e-06,9.071532218740685e-07,0.193373541533947,0.00011903660961252173,1.3778467291558627e-05,1.0165651247007193e-06,3.281868293925072e-06,9.850174649272958e-08,2.4654455366146525e-09,6.59808290492947e-07,7.196802886966225e-09,9.73165424511535e-07,1.6440651151583554e-07,1.3743823146228354e-07,0.6142475038766861,5.5905175067039186e-08
priorregion1_spot_19,7.984483962886202e-09,6.3240986891699436e-09,1.3752473861927684e-07,6.386343116560056e-08,1.1522460958701685e-07,7.27193062743936e-07,1.3027573899648815e-07,1.3166000840669766e-07,1.1427795882923421e-07,1.898048473947256e-08,2.615452021625942e-09,1.523085813914804e-07,9.73465109410654e-08,3.4606816683435683e-07,2.0562536029444802e-08,4.278305247851222e-08,0.6819097459316253,1.6235814115361792e-08
priorregion1_spot_20,2.721599727806279e-07,1.4139248660782757e-08,2.0499553670561e-06,1.089133966161171e-05,0.23965515643358232,2.4645993789818024e-06,2.882466860683053e-05,0.04690251294523478,9.823979439715914e-07,1.5059504647751966e-07,5.250112833365961e-09,3.160740777730098e-06,0.0009114659333135933,1.3592688219432605e-06,1.0207363523306868e-07,3.7534429395691406e-07,0.5081907778978347,1.0641528582766569e-07
priorregion1_spot_21,8.008311198182128e-07,2.943136383493084e-08,4.444753869847773e-07,1.2408288739607089e-06,0.13833649083971977,7.039444199108404e-07,9.937375182289545e-07,8.363945852352117e-07,3.3668382684481914e-06,1.2181700412838836e-07,4.210998572062863e-09,1.6070155254510608e-06,5.639504472298995e-08,5.052946107753087e-07,7.78658552746947e-08,1.485983382565337e-07,0.37171733230352405,2.497472442186677e-08
priorregion1_spot_22,8.943739828737308e-08,1.18111389113551e-08,1.9836958244923153e-06,1.7930818728473242e-06,0.1278282694518566,1.198956448433819e-06,1.8215280476852059e-06,0.007451797812245786,4.4115494972629683e-07,5.5193425652078074e-08,1.8832202357543794e-07,2.3918356873764427e-06,3.46764133851707e-08,4.617071567736275e-07,6.953095414985456e-08,1.1333412075487105e-07,0.5436172872781754,7.767928629220932e-08
priorregion1_spot_23,2.851065929121432e-07,8.988890840555542e-08,2.944406091387464e-07,2.726045067902305e-07,0.2399168111383915,1.671447392936898e-06,5.814610261722919e-07,5.636948259279961e-07,2.8409081437530404e-06,1.017155380367285e-07,4.955149535135206e-09,2.0585847892107264e-06,1.7731640689078178e-08,7.450306611644919e-07,1.102398123009607e-07,0.00017623890889808535,0.47528225928545,1.4639028407259504e-07
priorregion1_spot_24,8.910294155839439e-08,5.015355046822378e-08,1.6634071471344216e-06,0.023101890832185747,0.033117932640016085,2.55908846611419e-06,3.3493185242150504e-06,6.0482063190647765e-06,1.3914621149524466e-05,1.1440656884076361e-07,7.128458245908577e-09,4.242160594003508e-06,2.981156139725272e-08,1.0117905731021894e-05,4.924100608150184e-07,1.4457689985647448e-06,0.6908017665147781,5.866113241381753e-07
priorregion1_spot_25,1.3462385561879842e-08,1.3817492705570089e-08,9.669350387042642e-09,1.2283081618491567e-08,1.9516151805731852e-08,2.0207876172406716e-08,2.1241130543359076e-08,9.82866232845936e-09,1.3365337592219361e-08,3.962614236741047e-09,1.5692129373690026e-09,2.2675674582472992e-08,1.345531119856247e-09,1.613129221311738e-08,1.1953015199850372e-08,1.8892221032018595e-08,0.6692413568496705,4.091495564573222e-09
priorregion1_spot_26,3.309170786280902e-08,3.788066393894951e-08,9.210344728671771e-07,6.096933844901287e-07,0.37840763628482815,0.0003727461880771443,2.1178233396312864e-06,8.311629471791094e-07,5.958202081046692e-07,7.966262174363692e-08,1.5045735490826218e-09,2.29002380365273e-06,4.3440726585686214e-05,3.5253585565442337e-06,1.1435975935114585e-07,1.4951957041375863e-07,0.32960068881511684,2.913259722348016e-08
priorregion1_spot_27,1.4850602312321825e-07,2.027293257711449e-08,3.745962516177315e-07,7.420202700814117e-06,0.07673116475343705,8.168697689825422e-07,2.33192175755903e-06,1.916114706546068e-06,4.2158200699304874e-07,1.1243106214919863e-07,2.5206274401057273e-09,1.158694931291393e-05,0.0001744235669320915,1.5301951066248877e-07,1.9174996594983896e-07,1.2191226375080078e-07,0.40534099489450454,6.226948023879686e-08
priorregion1_spot_28,4.244367701744523e-09,1.1591889226281184e-08,3.812724513885257e-09,5.3368443220236376e-09,4.559037769524821e-09,9.772835118937451e-09,1.1684386880261854e-08,1.944018046540208e-09,4.086038485340282e-09,3.4718242392095532e-09,1.0733988919930936e-09,1.8068767992929227e-08,3.0320603028322073e-09,7.982914351778451e-09,2.2727420390111773e-09,2.4306723633849004e-09,0.8182493329048157,6.78391820496671e-09
priorregion1_spot_29,6.6927043018694125e-09,3.5140373721986867e-09,4.711955998715211e-08,3.2353457513067955e-08,2.381626131864323e-08,3.79965543473304e-08,8.519007224094823e-08,3.0967754938160395e-08,5.816846848638591e-09,3.865927777901846e-09,9.775334985917539e-10,1.481565988115108e-07,1.3310620217144022e-09,2.684852475454137e-07,2.1944940886697855e-08,1.5403875952557655e-08,0.8118844896554946,6.8654858464967106e-09
priorregion1_spot_30,3.73270386822e-09,5.478421161164705e-09,8.596004663630196e-09,3.834071193864475e-09,1.6374977551691926e-08,1.6460388341243973e-08,6.472766655996055e-09,2.8424877784871684e-09,6.410404140844151e-09,2.6656513330003414e-09,5.559943339061846e-10,6.352452097679873e-09,1.6395850843675675e-09,1.9583908983378255e-08,3.077074361979015e-09,1.0009297835011923e-08,0.5307548761367799,6.827378218332569e-09
priorregion1_spot_31,9.379144287890996e-08,1.9784920901599894e-08,1.046424893047515e-06,0.035767586529254915,0.076618517562747,1.0667491210369917e-06,1.1579859062749167e-06,7.457525128984344e-07,3.315701619044376e-07,3.7327608914949904e-08,2.4372520113224994e-09,4.4906931009336407e-07,3.143245104197946e-08,1.8262464038798498e-07,6.217315124956713e-08,5.767457675887045e-08,0.2403739921748638,3.7894273319238895e-08
priorregion1_spot_32,6.688608920057959e-07,2.676418038305428e-08,6.123324851614598e-06,0.011735709756612778,0.22436467558145523,2.2805343746767907e-06,1.5374857912320295e-05,2.244518118459382e-05,1.9924115713365607e-05,1.1972150332439924e-05,8.74166916631225e-09,0.00432143765501678,0.0003112499340204522,1.4647342140960973e-06,4.81560306297979e-07,2.709107732812299e-07,0.5616973459720611,1.1040678202789423e-07
priorregion1_spot_33,2.9000085106645206e-07,6.217169854494386e-08,4.72910959103956e-07,6.259928431973094e-06,0.11580593176186085,4.030426930512477e-06,1.0332048759664757e-06,7.493787364865058e-07,8.666870371598635e-07,5.453257722365379e-06,4.576117684784719e-09,3.470980834663351e-06,1.0627602904378367e-07,6.625945461564697e-05,2.8056481653493394e-07,8.036628372565247e-07,0.9066490978002548,2.1502356943869928e-07
priorregion1_spot_34,2.0501548263496262e-07,2.0199593198100275e-08,1.0176325849897695e-05,0.0002548991033108905,0.2701331898570061,2.8981077434764303e-06,2.0975668121536733e-06,8.807219319351135e-06,1.9642752135951014e-06,2.557571519901103e-07,1.0225896529547643e-08,2.936399164354953e-06,2.956679864496437e-07,1.1469823562038073e-06,1.1606396590480018e-07,3.3788300441983664e-07,0.5162226676940919,1.0064932247644266e-07
priorregion1_spot_35,1.7168439736536814e-08,0.00023194718887680212,4.2262274391191565e-08,1.4195465114497098e-08,3.118489075859543e-08,2.4693580602530582e-08,2.9718619742880036e-08,3.425574952586886e-08,1.2748235578285971e-08,6.381056882887038e-09,2.476077720636739e-09,1.8953975455815452e-08,3.0079417001616093e-07,2.6026089638975235e-08,6.6326496295232595e-09,6.397622165366102e-09,0.5845373213291167,5.3506379993351054e-09
priorregion1_spot_36,1.0429052501592651e-07,3.1616058038252956e-08,4.3163929177580943e-07,0.013718716194853186,0.033720362931489944,1.1302182485906089e-06,9.015350087793196e-07,5.743667145452492e-07,3.2200179163055513e-07,1.2565399245545453e-07,3.5671291032102205e-09,7.039762039084963e-07,6.785287176569455e-09,6.608379720773883e-07,3.734043943381949e-07,1.8182341960937267e-07,0.5999851197004319,1.4582239842297896e-07
priorregion1_spot_37,7.041094960413829e-08,2.827534721916436e-08,1.0578816898032528e-06,3.321515151810672e-07,0.04901213534176349,3.179386897045334e-06,1.2277500388790941e-06,2.0382812408570315e-06,0.0006905371730681509,7.569998459189265e-08,2.5113764934303622e-08,1.3685323722256727e-06,1.67099869941012e-08,5.219846599402445e-07,1.188853634204179e-07,1.9624194251832706e-07,0.9531248986721039,5.6248435953421e-08
priorregion1_spot_38,1.2623858971494434e-07,2.8476536613197827e-07,1.820688902398615e-06,2.9037724516456366e-06,0.1150370828807354,2.05020346584206e-06,3.0969796739555023e-06,8.154096320822646e-07,6.73227219749606e-07,4.49279063730046e-08,1.504711977240447e-09,1.241439366594932e-06,2.3363975856227626e-06,7.864928818435146e-07,4.018450976417398e-08,8.85492017488332e-08,0.7235117614269257,3.061826081562913e-08
priorregion1_spot_39,2.711704771840574e-09,3.7913730155381135e-09,5.487554766148151e-09,4.644228090988634e-09,1.5698026523125465e-08,1.927103365773064e-08,7.010224889469897e-09,5.168535888167014e-09,6.007374619976247e-09,2.987014791067111e-09,1.203239846647719e-09,1.0083879775635298e-08,1.872608051955993e-09,8.526572337075322e-09,4.087003313557603e-09,5.60050370523868e-09,0.9644683599472046,2.7465500207490835e-09
priorregion1_spot_40,1.1634902641333155e-08,2.4483119442919593e-08,1.179544337759353e-07,7.132958330657857e-08,8.46499318640781e-08,3.315888136512513e-07,5.546434920233879e-08,2.274086137177278e-08,2.1240552250390014e-08,7.526335554786103e-09,0.0006439058721298351,1.3324988614726863e-07,1.5781717799256968e-08,1.280896569255674e-07,1.3887434358039741e-08,1.6666357360861638e-08,0.8681622505187989,1.3159676726104409e-08
priorregion1_spot_41,4.989181690007172e-08,1.0471165756698043e-08,3.95955651129043e-06,5.024408153531113e-07,0.03556727021932602,1.0942150481696444e-06,1.2754984027196771e-06,4.1311184395453894e-05,7.7441325458949e-07,3.4958750205760226e-08,4.751345983322608e-08,6.254817861872653e-07,2.320065952687856e-08,4.5356304099186675e-07,5.718946578525675e-08,1.6711818844328264e-07,0.629583215713501,7.620544579367561e-06
priorregion1_spot_42,7.689843386060602e-07,1.156918159495035e-07,1.3312022929312663e-06,3.3438456171097643e-06,0.36142990887165066,2.849911129487737e-06,4.890256536782544e-06,3.2557381587139392e-06,8.474233169408763e-07,1.5004535924845186e-07,1.881785077761933e-09,2.7104391028842657e-05,1.134965539328903e-08,2.29398522151314e-06,8.675613898390111e-08,2.1789047366382874e-07,0.566202425956726,1.0125300278218675e-07
priorregion1_spot_43,1.3557511095996237e-07,4.732998746703743e-07,4.465290885491413e-06,0.017787209060043097,0.1194213967770338,2.6879517577071964e-06,3.10418139633839e-05,0.011644454114139079,3.6911799611516472e-06,2.0713667723271103e-07,3.697183448281294e-08,2.1722414885516627e-06,1.3425005604972284e-07,1.1614385130087613e-06,4.5067733509540633e-07,2.3573070961901976e-07,0.7326136201620101,1.5683693348478301e-07
priorregion1_spot_44,2.6791572338424885e-07,1.301718192792123e-07,6.597432076205223e-07,7.432124959905195e-07,0.06517774648964406,8.07606960506746e-07,1.1014896927008523e-06,9.690221645541896e-07,1.0597797199807248e-06,2.783374412729245e-07,7.188639949973208e-09,9.627849863136363e-07,1.2121935899500613e-08,1.8701642943597111e-06,9.527963804600861e-08,4.3122276736085043e-07,0.35551727265119554,3.2937412299816063e-07
priorregion1_spot_45,9.574989068283913e-09,1.0788706550357573e-08,1.0576260001116112e-08,1.4650935264981515e-08,1.4558756999960567e-08,2.264455503109275e-08,1.4715636309503566e-08,1.315006290525389e-08,5.954424175946826e-09,3.7803471797381865e-09,2.148461297757365e-09,8.817879670885987e-09,1.0898004998427524e-09,1.762453933906727e-08,5.496664945425778e-09,6.124109530603051e-09,1.1304051280021667,6.2073006512619605e-09
priorregion1_spot_46,2.6153801169215282e-08,1.6366111488252957e-08,3.8937733535249216e-07,1.23494453987405e-06,0.09354629032313824,1.0072528584714747e-05,1.801921865762779e-06,4.355694386504183e-07,1.6125360070873287e-05,1.441438044480492e-07,3.3868287951932535e-09,1.4373862131833449e-05,3.5026890898848253e-08,2.2298414137367217e-06,1.5483581563557892e-07,3.042385884555188e-07,0.6171310096979141,6.07162558452501e-08
priorregion1_spot_47,2.666959213470932e-08,1.0667785907969574e-07,4.3527589923542107e-07,3.779846352358618e-07,0.05279303025454282,4.879552960801447e-07,8.039525170033813e-07,8.27567805572471e-07,5.701834965066155e-07,2.500036115904436e-08,6.519285422612598e-09,7.96664878066622e-07,2.8747713187726736e-08,3.125970366113506e-07,4.729578204631935e-08,1.1257073033732469e-07,0.4429539680480957,6.660246647527401e-08
priorregion1_spot_48,2.0084218519400565e-07,4.535094042523724e-08,1.7747960612268798e-06,0.02910628942772746,0.187882462143898,9.095462883124129e-06,3.816216985796928e-06,3.718480400038971e-06,6.6454969953611e-07,1.9698026179071352e-07,3.464928277630008e-09,2.812715683830902e-06,3.2750638183642877e-06,2.1247709469207623e-06,6.014193161263393e-08,4.041508546492878e-07,0.6518726468086242,6.963663921055741e-08
priorregion1_spot_49,1.499379965252956e-06,3.296750623604794e-08,9.645153539850071e-07,4.088436639904103e-07,0.042894120886921884,3.028428545803763e-06,1.8116678234036955e-06,6.972494418278075e-07,2.2255300677898057e-06,3.8896190623916026e-08,2.0778247455943703e-09,6.201100200087239e-06,1.3520747410566969e-08,7.51352936845251e-07,7.149059655375822e-08,1.6863113714293834e-07,0.5827009588479996,4.8368981886426364e-08
priorregion1_spot_50,1.01343768488249e-08,4.096149885945976e-09,5.212320242087287e-09,6.520449602476219e-09,5.1173947079874434e-09,1.0669746863811726e-08,6.95638600056725e-09,1.0022613894378198e-08,4.332714698129791e-09,1.5376691642199348e-09,1.152429995876503e-09,6.342086300570316e-09,1.891582250834745e-08,5.86063733098996e-09,1.853410674934608e-09,1.6698533666925643e-09,0.7298264116048813,2.2263789145604562e-09
priorregion1_spot_51,4.922282492714203e-08,1.1422401247074276e-08,6.476521718923323e-07,4.611565586287725e-07,0.1325827941298485,5.581537379839574e-06,3.490743586098688e-06,3.196524460236105e-07,1.0540552750626375e-06,6.493349111735824e-08,2.5017582450104214e-09,1.2105346172575082e-06,1.166250530815205e-07,5.71852311281873e-07,5.678157197763766e-08,1.2684092567383235e-07,0.39726445674896244,2.761413417928793e-08
priorregion1_spot_52,2.9988910021927495e-08,2.6507814254728147e-08,4.840538645112246e-06,2.376628854108276e-05,0.1358411334455013,4.383505552141287e-06,2.468673744715488e-06,4.741355860460317e-06,3.719002393154369e-06,5.746053339805712e-08,6.295602505979048e-09,7.967540113895666e-07,0.0001083608774933964,1.7320928634489977e-06,6.494753449715064e-07,0.00023585303424624726,0.6982797145843506,4.484057413378651e-07
priorregion1_spot_53,2.8450559739212624e-07,8.939414186670546e-09,4.221032639861733e-07,9.568553849703676e-07,0.05504572857171297,4.540229312510746e-07,0.003793755453079939,4.18066679230833e-06,1.3497536485829187e-06,3.8221170051144786e-08,3.783981590288477e-08,6.554417041115812e-07,1.3093708872702338e-08,2.021445915545428e-07,4.215407365393277e-08,3.7952841402955074e-08,0.2736978858709335,7.703870359421218e-08
priorregion1_spot_54,1.0483416756912333e-08,3.380679380882157e-08,4.814714316125901e-09,3.11441704647919e-09,3.588499530859935e-09,1.2594554332778785e-08,2.6080924642180037e-09,4.505520911912697e-09,3.770254575208299e-09,2.0691850899368094e-09,1.0221194390869216e-09,4.662956021306286e-09,0.00032167600584216417,4.309608336861004e-09,2.470833337930856e-09,2.89080084314719e-09,0.7546077221632004,1.6538229952178796e-09
priorregion1_spot_55,2.148876134810962e-08,1.2991443743004539e-08,9.506637859146849e-08,7.966724737684674e-08,4.3086083323373717e-08,9.145075523520064e-08,2.5571567796589538e-08,4.751492479471154e-08,1.0802030470102863e-08,8.032760101528426e-09,2.1140245376471967e-08,4.1747885326515184e-08,6.402811036920754e-09,1.77983142002347e-08,9.552050350691843e-09,9.077778528876479e-09,0.9774417906999588,1.2049070763353598e-08
priorregion1_spot_56,1.8581547023277525e-09,2.78177605395058e-09,2.1241107006630954e-08,2.003103354297764e-08,3.5190355340830596e-08,3.5968154676879755e-08,1.4561240346822047e-08,4.2513679154865263e-08,1.9424812780499677e-08,9.145306467672755e-09,3.864046735913008e-08,1.4588802788040312e-08,3.121146940898711e-09,1.3832111589451303e-08,5.618837661813814e-09,5.826637528016932e-09,0.8005244046449661,1.3497432327369552e-08
