,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,3.927670970682584e-08,5.46061607042958e-09,0.5373467743396759,0.0921842746436596,0.00011101373165729455,6.39493275230052e-05,2.4797283003863416e-05,0.3727142453193665,3.9091638655008865e-06,4.823595318725893e-07,2.2288933365643973e-09,1.966693880603998e-05,1.2552028172407858e-08,1.113751645789307e-05,3.577205532678818e-07,0.004347688006237149,2.470928939235506e-09,3.112781314484892e-07
priorregion1_spot_2,0.004052596702240408,9.833136527248598e-09,0.21177770793437958,5.9848971432074904e-05,8.796503743724316e-06,9.00464965525316e-06,1.6872034029802305e-05,0.2229909583926201,2.6078818791575033e-06,0.0006486352474894374,5.194350038983942e-09,0.02509149322286248,0.1989816479384899,1.3716749026571052e-05,2.2968514372223583e-06,2.571801542217145e-06,1.0773945025022159e-08,2.9326578328436883e-06
priorregion1_spot_3,1.0810088681978414e-07,2.5547702842132484e-09,0.23044461756944656,1.3457795012072894e-05,3.614425604610005e-05,0.031117021944373845,2.238295428469428e-05,0.3386240392923355,2.4432182817690774e-05,1.1914560332115797e-06,6.753598458253407e-09,3.844039874820738e-05,0.1828359082341194,4.944097327097552e-06,7.154852227131414e-07,5.580507206559559e-07,2.3381471314642975e-09,4.585226818676347e-07
priorregion1_spot_4,5.4315444941721585e-08,7.802668022804937e-09,0.0846228811889887,3.2315233397639534e-06,6.4715693042671775e-06,0.011914302501827479,1.063212575900252e-05,0.4088461801409721,0.00011387599988665897,0.00020271530374884605,3.1916160270206725e-09,3.6433813988878686e-06,0.17447487711906431,1.956599078312138e-06,1.2610113770961106e-07,3.7387913351949467e-07,4.06304911937383e-09,9.456290896991958e-08
priorregion1_spot_5,3.1704360381468176e-08,8.213050017857881e-10,0.18216011673212051,2.591330724044383e-06,2.01915222532989e-05,0.00011749026671168395,9.375118315801955e-06,0.3969560205936432,0.02534801010042429,3.9403938245641257e-07,5.1572891068829564e-09,1.1971386720688319e-05,7.282851921530665e-09,5.41514807537169e-06,3.4364243930440356e-07,8.969326898977671e-07,1.3137367305127157e-09,9.533444682574554e-08
priorregion1_spot_6,1.2074076857970795e-05,3.040228735429196e-08,0.16444414854049683,0.0027326851850375533,2.2408588847611103e-05,0.046639414876699446,0.001369127375073731,0.0001263725142052863,1.881906828202773e-05,2.9284788865879826e-06,4.0449321829783e-07,0.00023017130661173726,0.6041564017534257,0.004261589446105062,4.325433042140504e-06,1.1643588140941575e-05,2.6084765636369417e-08,2.1771396404801635e-05
priorregion1_spot_7,2.950538146251347e-07,3.2841016461837575e-09,0.1538821488618851,0.00014097858947934583,1.2083999081369257e-05,2.1485178058355815e-05,7.51711668272037e-06,0.4350193962454796,6.737001456258441e-07,2.216070242866408e-07,2.4432565082221912e-09,1.3040496151006663e-05,0.5596757620573044,9.758677606441779e-06,1.5769597752068876e-07,2.185767407070216e-07,2.0180797832836106e-06,1.2950941723488542e-07
priorregion1_spot_8,7.262997598900256e-08,4.662756047935091e-09,0.17182884365320206,7.440314971063346e-06,5.571332121689921e-06,0.009295654436573387,1.8708927018451505e-05,0.2164490669965744,2.2929897113499465e-06,2.120740063560334e-07,1.5081588200516194e-09,6.860872713332356e-06,0.11803208626806735,1.1002950657257315e-06,8.226082712781136e-08,1.3195387253972514e-07,3.502551781942033e-09,4.899594863161384e-08
priorregion1_spot_9,9.791550269255823e-07,5.019177362619588e-09,0.09003327563405038,0.04736193586140871,1.2970387206223676e-05,1.757231821102323e-05,5.917670569033362e-06,0.2353524066507816,0.0019702901015989484,1.0862762792385187e-06,6.5614150779325095e-09,1.4325110942081665e-05,0.21471603065729142,1.4633258388130344e-05,4.8312453373000615e-06,1.0686483756217058e-05,7.917180910865795e-09,1.0416167128823872e-06
priorregion1_spot_10,1.4310730875877203e-07,2.055867764916286e-09,0.20832504704594612,2.8152237337053518e-05,9.646957232689602e-06,3.005225039487414e-06,6.227326844054915e-06,0.39223784655332566,1.4644889517967386e-06,1.0110542092434116e-07,2.2414861078345893e-09,9.24382056837203e-06,0.08186656050384045,9.945891292773013e-07,2.259223649048181e-07,1.2253644037230061e-07,5.520624091204242e-09,9.174781503418217e-08
