	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	1.3001207e-08	5.917772e-05	0.53394926	0.085049264	0.00601032	8.451005e-06	0.00043164598	0.36950967	4.296046e-06	9.093282e-08	6.066014e-09	1.861399e-06	0.00041650288	1.9318568e-07	1.3059395e-07	0.0045590247	1.2588795e-08	6.990779e-08
priorregion1_spot_2	0.005128105	1.5053295e-08	0.4117699	5.3565036e-06	1.7557512e-06	6.114857e-07	3.0203225e-06	0.39206818	2.2002914e-07	0.014088467	1.583459e-08	2.1661964e-07	0.16039284	4.6469992e-07	1.7284684e-07	1.6594395e-05	0.016503258	2.0832029e-05
priorregion1_spot_3	1.3404639e-08	1.3693186e-08	0.3301584	1.0354343e-05	1.3232521e-05	0.026180757	1.2914094e-06	0.44824117	6.9823545e-07	3.6583535e-07	9.389946e-09	8.6246854e-07	0.16756487	1.9037584e-07	1.9718686e-07	0.008258471	1.1761255e-07	0.019569093
priorregion1_spot_4	3.5713768e-08	6.06931e-08	0.20087059	2.9453972e-06	8.336534e-06	5.6463514e-06	4.7863296e-06	0.53381425	0.028524116	3.6636413e-07	1.2493471e-06	1.0682991e-06	0.22762218	4.45522e-07	9.845207e-08	2.319907e-07	0.009143382	2.2590213e-07
priorregion1_spot_5	2.5160947e-08	5.3765273e-08	0.2753216	1.6630918e-06	5.8630685e-06	0.0037022461	1.1954085e-05	0.72081363	0.0001414136	1.2728839e-07	1.42335175e-08	3.0422206e-07	1.3498676e-08	1.6012851e-07	1.04964336e-07	5.894176e-07	6.410989e-08	1.8364246e-07
priorregion1_spot_6	5.225502e-07	3.6038557e-08	0.24560998	0.010974167	3.3353543e-05	0.0068315156	5.5912624e-06	0.03289831	2.1594018e-07	6.267248e-07	0.0013310141	7.4201785e-07	0.64539117	0.054116074	3.1987835e-07	6.630196e-07	0.0028028009	2.8240315e-06
priorregion1_spot_7	3.2390528e-08	1.6407471e-08	0.14176638	2.9124747e-05	0.023589808	0.013764089	1.893516e-05	0.35278854	5.9661926e-07	1.6534905e-07	4.00145e-08	9.840074e-06	0.4481397	3.482938e-07	8.466089e-08	2.238429e-07	0.019892033	1.3352125e-07
priorregion1_spot_8	1.9258183e-08	2.8011737e-08	0.27480936	5.702999e-07	2.210416e-06	0.0038737468	1.5979019e-06	0.52509606	3.3450266e-07	4.242868e-08	1.3648058e-08	1.9876666e-07	0.19621547	9.055044e-08	5.499672e-08	7.562377e-08	1.1360484e-07	4.5735057e-08
priorregion1_spot_9	0.011683502	1.825876e-08	0.124645226	0.0736699	2.6788484e-06	1.0542517e-06	7.0257096e-07	0.50891215	0.014418268	1.2427795e-07	7.402107e-08	8.156559e-07	0.25522926	3.5957333e-07	0.011435562	1.156863e-07	9.528735e-08	1.5708197e-07
priorregion1_spot_10	2.2325397e-08	1.6115548e-08	0.2661067	0.028144548	1.3172165e-05	7.065175e-07	0.03316408	0.5861621	4.0969186e-07	1.2753269e-07	1.42981476e-08	5.438579e-07	0.0864067	1.0715442e-07	1.6453777e-07	1.9311992e-07	5.234735e-08	3.2165445e-07
