	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	1.0604223e-08	3.3445733e-08	0.16246071	0.012801474	2.1118355e-07	1.1752918e-07	6.2998873e-07	0.090483904	8.915999e-08	1.4077672e-07	2.7607325e-09	5.378893e-08	4.9706217e-09	7.544872e-08	0.58285975	7.1219155e-08	2.331524e-09	0.15139273
priorregion1_spot_2	8.439365e-09	1.1132675e-08	8.749936e-08	4.138066e-08	1.366912e-07	1.3655817e-07	1.520285e-07	6.842704e-08	2.44878e-07	0.006887155	6.3157066e-09	0.0031263407	2.3375607e-08	1.0925708e-06	0.989982	3.914984e-07	7.292185e-09	2.117663e-06
priorregion1_spot_3	2.6492383e-08	1.1720217e-08	7.2668837e-07	5.0349524e-07	0.096108325	1.7668237e-06	6.2349704e-07	0.10508403	6.1449583e-07	3.7908026e-07	9.142326e-09	0.00707487	1.8073312e-08	0.015374208	0.7763495	6.3978484e-07	6.022419e-09	3.7932045e-06
priorregion1_spot_4	4.525019e-08	1.370531e-08	0.2839538	1.092858e-05	1.5700108e-06	8.190452e-07	3.6840179e-06	0.20123649	7.707856e-07	4.5172604e-07	5.5429132e-09	2.3805812e-07	1.6034072e-08	1.8520005e-07	0.51478636	2.693564e-07	8.013209e-09	4.4579374e-06
priorregion1_spot_5	1.798026e-08	7.1420216e-09	0.13494897	0.051084805	3.16538e-07	2.537533e-07	1.4401806e-07	5.662628e-07	1.3677317e-07	3.4204008e-06	4.5805435e-09	2.3324839e-07	1.7451164e-08	1.6214734e-06	0.4573131	0.08701661	2.2431632e-08	0.26962987
priorregion1_spot_6	1.5016596e-08	8.890925e-09	2.9234458e-08	6.115139e-08	6.22408e-08	5.1780926e-08	6.641781e-08	4.8353744e-08	6.2018316e-08	2.9241264e-07	4.7162345e-09	5.8855854e-08	6.8108346e-09	1.5316749e-07	0.7932577	5.4717003e-07	6.7921864e-09	0.20674089
priorregion1_spot_7	2.1027724e-08	9.259138e-09	0.35260713	0.0047057616	3.947309e-05	7.917872e-06	8.771193e-06	0.39360616	4.1372396e-06	3.0054634e-06	4.3712998e-09	4.3713723e-07	7.2205357e-09	4.0775373e-07	0.2490158	2.7537487e-07	3.99839e-09	7.4467334e-07
priorregion1_spot_8	0.00074599014	1.3819188e-08	2.7266833e-07	1.584943e-07	1.7886899e-07	1.9126372e-07	4.9598583e-07	0.23643523	9.1339706e-07	1.6407338e-06	8.853025e-09	1.1087157e-07	1.0267553e-08	4.181612e-07	0.7515052	4.583117e-07	7.130484e-09	0.011308757
priorregion1_spot_9	3.6210167e-08	1.21953505e-08	3.3814104e-07	1.2298882e-06	1.6142371e-06	3.3800012e-07	7.8399336e-07	3.4453782e-07	4.2296367e-07	5.132018e-06	1.1181951e-08	3.5410469e-07	2.7420326e-08	1.2942993e-06	0.27098933	4.4759214e-05	8.733007e-08	0.7289539
priorregion1_spot_10	1.8864679e-08	5.8787233e-09	0.0050160643	1.8357504e-07	4.0513254e-07	8.5469827e-07	0.44929677	9.236011e-06	9.711254e-07	0.07266187	2.352166e-09	9.742187e-08	5.2137015e-09	2.4472902e-07	0.45928156	1.2572183e-07	1.9281727e-09	0.013731547
priorregion1_spot_11	1.2297212e-08	8.118042e-09	0.37927333	9.622231e-06	1.9094819e-06	2.2514103e-06	1.84708e-06	0.16390431	3.7688602e-07	3.0308863e-07	3.956631e-09	9.6572045e-08	6.809946e-09	1.785946e-07	0.4568049	2.3873014e-07	4.065087e-09	6.088925e-07
priorregion1_spot_12	1.8392349e-08	2.2525466e-08	0.27114588	2.0621907e-05	1.4947632e-06	1.7065004e-05	0.12188537	9.397571e-06	1.9325348e-06	1.2671208e-06	8.935242e-09	3.3778582e-07	1.43200065e-08	3.4560532e-07	0.50207126	0.006795164	7.792625e-09	0.09804983
priorregion1_spot_13	2.6308673e-08	1.1301819e-08	1.2839297e-07	1.0134741e-07	1.466855e-07	1.8506822e-07	1.7010781e-07	1.3871487e-07	1.65487e-07	4.697789e-06	9.8107105e-09	1.3671013e-07	0.000497287	2.5153258e-05	0.76889354	0.11965269	7.836133e-09	0.11092541
priorregion1_spot_14	1.23158745e-08	1.3928216e-08	1.9586713e-07	8.387437e-08	1.5526999e-07	1.3404197e-07	8.517976e-08	2.715804e-07	8.9440896e-08	4.7329877e-06	4.468053e-09	1.0458301e-07	8.396673e-09	0.014387601	0.830927	1.5203161e-05	5.776346e-09	0.15466431
priorregion1_spot_15	3.127969e-08	2.4635689e-08	0.1503984	3.3752443e-07	5.281334e-07	4.6518232e-07	1.8921955e-06	0.21737939	3.2905405e-07	0.025162267	6.486992e-09	2.1769038e-07	1.7922217e-08	3.6135827e-07	0.5888776	2.9788947e-07	6.4502435e-09	0.018177882
priorregion1_spot_16	3.5393416e-08	3.604172e-08	0.27361095	2.6051068e-05	9.13257e-06	4.0488817e-06	1.641491e-06	0.21250404	3.3914807e-06	1.3652264e-06	1.3968942e-08	5.0001245e-07	1.441628e-08	1.8488785e-05	0.3637778	0.04786895	1.3322611e-08	0.10217351
priorregion1_spot_17	1.2751612e-08	8.426617e-09	0.13690753	0.05401603	1.1961811e-06	0.020487566	0.24233693	0.094587736	4.011652e-07	0.0064786444	4.0173234e-09	7.798219e-07	8.013451e-09	6.394914e-07	0.30092418	0.106742546	3.8076484e-09	0.037515804
priorregion1_spot_18	0.00035296706	1.7483403e-08	1.3252252e-06	1.1141876e-06	1.958762e-06	3.932842e-07	0.008335502	0.44496182	3.4454783e-07	0.049878884	8.943622e-09	5.40282e-07	2.4630749e-08	0.008708882	0.19015704	7.569055e-07	7.1149358e-09	0.29759845
priorregion1_spot_19	2.5261963e-08	3.9459575e-08	0.6981877	2.4310659e-05	0.0062990226	3.2474761e-06	1.6220005e-06	8.288542e-05	6.165559e-07	6.196616e-07	5.8743517e-09	4.004628e-07	2.3540457e-08	1.318867e-07	0.2953986	2.2896481e-07	8.154849e-09	4.9808557e-07
priorregion1_spot_20	1.8029711e-08	5.8936536e-09	1.5520489e-07	1.7579708e-07	2.3991954e-06	3.7764218e-07	1.5803886e-07	1.3823886e-07	1.6693569e-07	7.4394186e-05	5.604639e-09	0.0026515496	9.679771e-09	0.0449785	0.8073542	5.204004e-07	5.3129283e-09	0.14493722
