,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,4.9256194500912895e-08,0.05815600585192442,3.1526135785497905e-06,2.6336828909734326e-06,4.392205414660567e-06,4.9218696858588375e-06,1.7908400707256078e-06,3.5224379303144814e-06,0.36239843964576723,7.480823072114619e-08,1.3940356646813259e-09,8.222793326240209e-07,6.880537362086159e-09,2.0997988059434647e-07,3.155925050180031e-08,8.70651749806939e-08,1.7834784982184716e-09,4.417877068618737e-08
priorregion1_spot_2,4.661772639025231e-08,0.07790630646049976,7.2527535166955205e-06,0.0015438978734891862,5.8579856840879074e-06,2.468393563503923e-06,5.484027610691555e-06,0.02045601699501276,0.3694669231772423,1.0638288507891503e-07,1.2909098234814566e-09,1.9357138000941634e-06,9.136136913667772e-09,3.832047397622773e-07,3.974743147949767e-08,3.0750799879797346e-07,2.0145026258244774e-09,3.7667867758273136e-08
priorregion1_spot_3,0.00011834229590022006,0.272007492184639,1.7744256297191899e-06,4.098165914001584e-06,5.233579940977507e-06,0.026092104520648716,2.1456385002238677e-05,9.793292520043907e-07,0.13271782994270326,1.3801505218680177e-07,7.185021644318113e-09,2.795956049794768e-06,6.046373997037336e-08,1.1369421656581836e-06,9.205266664480406e-08,2.5305362498784235e-07,2.366422968691495e-08,4.700680147351477e-08
priorregion1_spot_4,9.86394695701165e-08,0.37098243534564973,7.309655728704457e-07,1.6686813523847377e-06,2.0299126390455056e-06,1.7388556170772062e-05,8.713394208825775e-06,1.329603861677242e-06,0.3351167023181915,1.6658029551308572e-07,1.945975824924062e-09,1.2051481519392837e-06,1.446547606143156e-08,4.819189243221446e-07,3.398585857183889e-08,1.7965687248988615e-07,2.57744717790942e-09,2.9325120465273356e-08
priorregion1_spot_5,2.3288122807940682e-08,0.3499643757939339,2.5120992717120313e-07,4.96689965245878e-07,8.495752467752027e-07,8.218091181788623e-07,9.971152053367406e-07,3.5382382890247754e-07,0.34103042781353,1.0405369259558485e-07,1.620866885154726e-09,1.2186430865313015e-06,6.157289900166063e-09,5.219584949145428e-07,4.692755659618797e-08,6.530377838487311e-08,7.829143416904218e-10,1.846938628702333e-08
priorregion1_spot_6,3.296834218957656e-08,0.13906347379088402,9.426877170426453e-07,1.9679508000081115e-06,1.0321384843337e-05,0.0021886666072532535,4.825629707738699e-06,1.3973388604426872e-06,0.4792541489005089,6.624919315356694e-08,3.283381511121064e-09,7.169629355985308e-07,6.4017560141849125e-09,2.0480059177430123e-07,7.67612682750496e-08,2.215798680538228e-07,1.0655702009643165e-08,5.1606659390301957e-08
priorregion1_spot_7,2.5274418025134084e-08,0.1506714902818203,2.7721925289370122e-05,3.5890601907340166e-06,0.00018786663931678053,0.00035527959262253716,2.8754899449268124e-05,0.030118942074477673,0.632660087943077,3.162082862218085e-07,3.4753245947705126e-09,2.2267567055678227e-05,1.719600817295941e-08,1.107807497646718e-06,7.340408228628803e-05,4.514392728083294e-07,9.269167433600957e-09,1.0755143939888966e-07
priorregion1_spot_8,3.482403414523105e-08,0.1165232814848423,4.439134204403673e-06,0.013888591900467873,8.96012420525949e-06,2.691262534426642e-06,2.5438238662900406e-05,0.01273273965343833,0.4945403873920441,1.1232430452423615e-07,1.848163738715769e-09,4.977997082278307e-06,1.039825385795723e-08,5.103181052845685e-07,5.248112131539529e-08,2.2522060945107116e-07,4.930727537377778e-09,5.86887271225578e-08
priorregion1_spot_9,5.207181438890985e-05,0.6681977540254593,7.704464444202587e-08,7.628758460498375e-08,1.238280219695298e-07,1.0360422280086824e-07,3.083498736344837e-08,6.656756497136486e-08,4.447874797364193e-08,1.4915771018308987e-08,1.3572857116006533e-09,2.982412823371306e-08,0.0010839292488526552,6.628884356985055e-08,1.972144036965773e-09,2.9032587178789984e-08,2.4705762324828135e-09,8.133126438991668e-09
priorregion1_spot_10,5.818325909956457e-08,0.15902637913823126,2.3577990077683355e-06,1.3894541552872401e-06,1.06095387309324e-05,3.712577461101319e-06,4.136010920774425e-05,2.8404192903508375e-06,0.38073756694793703,4.320285000858349e-07,1.7171536748072925e-09,2.508259501610155e-06,2.0061567163054407e-08,8.652958103994025e-06,6.791841720144021e-08,8.55967173265526e-06,1.242414754409893e-09,6.17700097294005e-08
priorregion1_spot_11,3.29732849024822e-08,0.1369996540248394,8.494321036778274e-06,1.4454977963396231e-05,1.1306482110740036e-05,1.2008411476926995e-05,9.505267144049867e-06,5.032330068388546e-06,0.5076551407575608,3.842221651950695e-08,2.2708894653611365e-09,1.8983573056630122e-06,1.6025545157560828e-08,4.5237148356136463e-07,3.1412151457743674e-08,1.327021216468438e-07,2.2563769697114824e-08,3.4362195933113074e-08
priorregion1_spot_12,2.728160382048373e-08,0.03832603134214878,1.6138599576720483e-07,3.854836364780568e-07,5.568718876247659e-07,5.012834776607633e-07,1.7925654162809224e-06,1.392572067970832e-06,0.1686486802995205,2.042510232058703e-08,2.589304137767812e-09,4.0439674080516853e-07,8.667325657185643e-09,1.4976703042179906e-07,7.71410132216488e-08,1.4043356344473068e-07,3.6260098812412886e-09,1.5780635465034724e-08
priorregion1_spot_13,1.3346821674531385e-07,0.22427637279033663,3.296152374332451e-06,0.00036770762671949346,7.145419772314199e-06,6.238935884539387e-06,0.021278924867510797,9.035311359184562e-06,0.3189835578203202,1.615588239189947e-07,2.910817942236577e-09,4.335087623985601e-07,1.2846479924277791e-08,1.7885589898014587e-06,3.870909868197714e-08,3.078394712474619e-07,1.7278159791800363e-08,8.627535272864862e-08
priorregion1_spot_14,2.4659276931515706e-07,0.2464224576950073,1.3782634732706358e-05,0.0037985975621268155,1.9485215852910186e-05,0.02710328744724393,4.111282737540023e-06,4.006380072496541e-06,0.444573275744915,2.1143732311657005e-07,5.497188237946205e-09,7.451598821717198e-06,7.671850283941238e-08,7.978949838616245e-07,1.6919567372042365e-06,6.837895938360816e-07,2.2831631429909296e-08,3.7741241243338663e-07
priorregion1_spot_15,1.9567928433161796e-07,0.22265812754631042,9.097571648908343e-07,1.4377230058926217e-06,2.713289973144129e-06,3.491983318326675e-06,7.950736858219898e-07,6.203854326258806e-07,0.25631081610918044,3.683658235331678e-07,8.787047089953148e-09,2.736865371844033e-06,3.569029090044752e-08,2.7582524694480527e-06,4.823764747641235e-08,3.7913213475349043e-07,3.6989180252078314e-08,1.4139910931021404e-07
priorregion1_spot_16,2.7973525096314234e-08,0.3239916518330574,3.588733633819175e-07,4.2153051111881727e-07,1.0886612528793196e-06,2.4253973833765485e-06,7.734418574045775e-07,8.385424450807478e-07,0.11533821187913418,7.874613281444453e-08,4.463173119972908e-09,6.521472187159816e-07,2.754017058848035e-08,4.6132551574373797e-07,3.24654594763274e-08,9.89036305298896e-08,2.387852593432882e-09,2.0790462063047248e-08
priorregion1_spot_17,5.138415248850947e-09,1.981643182880078e-09,1.8301951669741358e-07,1.0710826430226916e-07,1.4864223317090365e-06,7.874512107264309e-07,1.4590375428724657e-06,6.489370349527235e-07,0.31083669811487197,5.218107617110946e-08,6.545310515804203e-10,5.785626854049043e-07,7.351954822709672e-09,4.3726857654746717e-07,1.4781854229539704e-08,3.009387029351274e-07,4.1066358230645865e-10,1.5788585816522983e-08
priorregion1_spot_18,0.0006677797791780904,0.1600871816277504,2.1025606838520616e-05,1.1289412123005605e-05,1.570027798152296e-05,0.2267090640962124,0.020110002346336843,1.4715716906721356e-05,0.28868215531110764,3.733212921019913e-07,7.2380611282341075e-09,2.0770206106135447e-06,8.648540961075923e-06,1.0017677595897112e-06,1.4759791540086552e-07,4.859245535726588e-07,3.549515614764687e-08,4.5449031631505943e-07
priorregion1_spot_19,1.0172458644319707e-07,0.2420744590461254,3.498154478620563e-06,0.003560901596210897,4.2972515529982045e-06,9.719946774566779e-06,2.0503881728473063e-06,6.806188230257249e-06,0.22574582174420355,9.770759379534865e-06,8.856018229863595e-09,2.0429217329365203e-06,3.270419881573616e-08,1.4032539229447141e-05,1.2494287091158187e-06,7.903244124918274e-07,1.1515484521495979e-08,5.254086681816262e-06
priorregion1_spot_20,4.239151394358487e-08,0.0995990801602602,3.864181360313524e-06,1.2075680160705815e-06,4.879145740233071e-06,0.04474670998752117,2.3946631927174166e-06,4.251754558026733e-06,0.21361833065748215,7.36541419854575e-08,3.130139747398176e-09,9.857336578988906e-07,1.1493029461462357e-08,6.020544731200063e-07,6.210249132720947e-08,1.5070910066583565e-07,2.0720619775538293e-09,4.044126633573342e-08
priorregion1_spot_21,5.5938664189625346e-08,0.0817925777286291,6.45538789285638e-06,3.0324197996378644e-05,1.258638676517876e-05,5.095219216855185e-06,1.5594119031447917e-05,1.138925308623584e-05,0.35215788781642915,1.5605970631327185e-07,2.9712020066519074e-09,5.0033425395668025e-06,8.193719347460161e-09,2.847550533147114e-07,6.258195384134524e-08,3.6410040280543406e-07,1.910257430015605e-09,6.335061399909137e-08
priorregion1_spot_22,2.368426649468347e-07,1.0564898371696472,7.084153168079866e-07,0.007168558100238443,4.1739170058008314e-07,4.462145489014801e-06,0.02321932893246412,3.0843824418980146e-07,2.2573159625949306e-07,7.326892692560706e-08,2.4738367354615323e-09,8.153943412025911e-07,6.387482933689626e-08,3.166207022786694e-07,2.587249223751087e-08,7.40757343464793e-08,1.860664777808552e-08,4.033796265900946e-08
priorregion1_spot_23,6.427072420933655e-08,0.4865664094686508,2.7072285683971133e-05,6.339410538203083e-06,2.7969813686468115e-06,0.0021033283439464865,1.6583557953708806e-05,0.007756427046842874,0.12179246582090855,3.658659082361737e-07,7.870036844437326e-09,9.864755213584432e-07,4.5977072105074515e-08,8.608861861603146e-07,5.211663083315444e-08,8.189726585783319e-08,2.067309357034475e-09,8.822012667053514e-08
priorregion1_spot_24,5.3625548090963095e-08,0.6482538253068924,7.871638956657989e-07,4.002489686172339e-06,3.5118727623739687e-06,2.7334318201610592e-05,1.2284753438507323e-05,7.436132506200012e-07,0.46283475458621975,4.961098767353178e-08,4.6146431786908694e-09,1.3356286501675642e-06,1.611497509657056e-05,5.445927968139585e-07,3.8037564031867536e-08,1.0432831096807153e-07,1.766902096855816e-09,3.321381196741413e-08
priorregion1_spot_25,8.78963324346671e-09,3.1146859424957543e-09,6.985863677755333e-07,1.0923357422143455e-06,3.0350928113875856e-06,0.18283848613500597,2.716851540753851e-05,3.221956274046534e-06,0.5765096336603164,9.653906438700233e-08,2.654529485113244e-09,2.4786618155303584e-06,1.4494478994819816e-08,2.407066510556888e-07,8.969957647764206e-08,3.37128705041323e-07,1.391726490995726e-10,1.799107289812696e-08
priorregion1_spot_26,3.015352021407125e-07,0.11192098893225193,0.00015608869362040422,9.866590926321805e-06,2.3987626173038736e-05,0.024667172506451607,2.093819057336077e-05,0.033473103865981096,0.3197849869728089,2.40136979101635e-07,7.593777828773797e-09,2.0384114009175392e-06,7.144240434797667e-08,2.5014025368363953e-06,1.1400763781921342e-07,3.3574942079894756e-07,1.4948896120969835e-08,1.6913478759761352e-07
priorregion1_spot_27,0.0017155579407699406,0.2715737342834473,7.088767489449312e-07,9.198911840258007e-07,4.23723843141488e-06,2.6939539452541794e-06,3.1004971219772416e-06,3.398208173166495e-06,0.26683185696601863,2.9135485846154557e-07,7.832127124629552e-09,0.01102221105247736,2.439712805113459e-08,1.8280714527918463e-06,1.2361652395043167e-07,7.538931612316446e-07,1.3423094591402673e-08,2.987482702110356e-07
priorregion1_spot_28,2.3474825709968173e-07,0.24261150956153868,2.2305711922854247e-06,5.1194670959375795e-06,2.6681046529120066e-05,8.685050561325626e-05,4.479818903746491e-06,1.755148508664206e-06,0.4842986807227135,2.7594138742870203e-07,3.795391290140061e-09,3.8078704619692872e-06,2.7561212778692836e-08,5.944111512690143e-06,8.09027245196603e-08,1.9226163487928717e-07,4.801302133650154e-09,6.715197713447197e-08
