,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,6.157584131472049e-08,7.648343958166492e-09,1.4951979835586827e-06,1.6034950192533872e-06,0.3974206015467644,3.159359057463007e-05,7.966414386828546e-06,2.3385175609291764e-06,1.6426975344074892e-05,4.6142191933995496e-07,1.5704267497529403e-09,0.01562829501926899,6.156457987849251e-09,4.159398145020533e-06,2.2906008894096886e-07,0.00015507093921769411,2.852250435836368e-09,1.6555286705965954e-07
priorregion1_spot_2,5.6419344929281594e-08,7.604508445169246e-09,3.733918867965258e-06,2.6246733455081997e-06,0.33290425688028336,2.9473036011040677e-05,0.1672946810722351,0.35169233232736585,1.2852868439949817e-05,4.634842127870798e-07,2.6304329825421746e-09,0.00389238044153899,1.2097284454171132e-07,1.592788999005279e-06,2.2981964775681263e-07,3.917874749959083e-07,3.375207313638384e-09,1.4918145296860533e-07
priorregion1_spot_3,6.506673528861029e-08,1.110800629255948e-08,1.0459152508701664e-05,0.015415632538497448,0.2121170572936535,0.00011566108041733969,0.19752126783132554,0.2586470067501068,1.1141055256302935e-05,6.029567344967292e-07,4.241241158275955e-09,4.247754859534326e-05,1.3633605885843282e-05,6.411178469534208e-06,4.539454508289964e-07,7.565070944792752e-07,4.386054075489199e-09,4.864007962623873e-07
priorregion1_spot_4,7.70884401646299e-08,7.142233182655389e-09,0.0013064072292763742,1.4364469552674564e-05,0.1422672562301159,0.030876026861369612,0.25390135794878005,0.12206201441586018,4.9950433458434416e-05,3.979492220196335e-07,4.8985812073354396e-09,1.0732644977906602e-05,1.8946645052864144e-08,4.3804208416986515e-06,1.6646728795421955e-07,4.044554344773133e-07,3.6082965171324587e-09,2.934929213438409e-07
priorregion1_spot_5,2.0918282146453747e-07,9.445180921829888e-08,2.1607644703180996e-05,7.91915608715499e-06,0.11184312105178833,0.013301848759874701,0.14772318825125696,0.19836493581533432,0.027170906402170656,9.417478338491493e-07,7.435469617789181e-09,6.515275599667804e-05,4.001560185429298e-07,4.981750635124627e-06,1.917450726978132e-05,4.6917189592932125e-06,1.0829049790217482e-08,2.146634562905092e-06
priorregion1_spot_6,1.1683527304739981e-06,1.1930169607765609e-08,0.022638524044305088,8.951607669587247e-05,0.5889125794172286,9.22633167647291e-05,0.04322510082274675,0.12031030133366585,0.01476665330119431,7.997811707127767e-07,7.994249395792961e-09,0.0005900473479414359,3.1362775665400025e-08,6.06866658472427e-06,6.610163467257734e-07,1.329267809069279e-06,5.6769708578485735e-08,5.605538575537139e-07
priorregion1_spot_7,7.095989751348952e-08,1.0400216643446927e-08,2.9267843910929517e-05,1.951189706232981e-05,0.2162759430706501,8.72319840709679e-05,0.194818913936615,0.15781646147370337,3.806730874202913e-05,5.566221346953172e-07,8.873253642960322e-09,3.9095561442081815e-05,1.2792316983478715e-08,4.0243098055725575e-06,4.16626447474755e-07,2.3137770952530445e-07,1.2963773654561808e-08,3.6106527829815603e-07
priorregion1_spot_8,1.4330650657257138e-07,3.4109504332135997e-09,0.14659786969423294,1.3654232304816105e-06,4.431134038895834e-05,1.2682682017839397e-05,0.3904950976371765,0.0633918035775423,5.694231276720529e-06,7.404149528156269e-07,1.5725189143722674e-06,2.263552578369854e-05,3.1096613817283016e-08,9.282846860969585e-07,3.019079969135419e-07,2.8379684664514575e-07,5.7557345112257964e-09,1.514959123483095e-07
priorregion1_spot_9,1.636680970307225e-07,1.1366699119719214e-07,7.051525841461626e-07,2.5314098252238183e-06,7.872645983297844e-06,1.2699474200417174e-05,0.15402878895401956,0.249611447006464,0.009337092610076071,9.531819927133256e-07,7.296787996047272e-09,1.6028978552640184e-05,1.7270934105084736e-08,0.00012913476894027553,4.912772760690131e-06,8.726922430923878e-07,8.916979766127042e-07,4.808327389582701e-07
priorregion1_spot_10,2.598826824851131e-07,1.0996856588008086e-06,0.05301538780331612,4.12267703723046e-05,0.5233415007591248,0.0009165622497675941,0.0260692797601223,0.2949666872620582,4.4519878792925736e-05,1.1608456247813592e-06,3.238754853196469e-09,2.766699417406926e-05,2.8139087682177432e-08,0.0011340558470692486,7.57435259401973e-07,7.229393730767698e-07,7.204623853063198e-09,8.586117758113688e-07
