	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	2.712889e-08	0.08992631	3.015279e-06	0.029967502	7.399175e-07	0.028858487	0.00014313623	1.6725622e-05	0.8510832	1.2455152e-07	1.6290741e-08	2.2277837e-07	9.357935e-09	1.3703307e-07	8.585918e-08	1.9727362e-07	1.9009166e-08	8.0847485e-08
priorregion1_spot_2	7.750964e-09	0.09144093	3.663236e-06	3.9691943e-07	5.66928e-07	1.4111016e-07	0.0771228	0.14116009	0.6902708	6.1483554e-08	1.5092551e-08	2.5115907e-07	5.0524402e-09	9.103996e-08	6.755852e-08	1.1637412e-07	1.7465952e-08	7.0502615e-08
priorregion1_spot_3	0.0026917493	0.44334528	2.3752866e-06	0.011310144	5.668984e-07	0.07864501	0.051345367	1.7741859e-06	0.4049955	1.8699116e-07	0.0013542759	1.2604738e-07	1.31502755e-08	9.1813455e-08	1.18458054e-07	7.853617e-08	0.006307248	1.17019034e-07
priorregion1_spot_4	1.2778102e-07	0.34376857	1.2116478e-05	0.006694429	9.530086e-06	0.035249528	0.074029975	1.4671958e-05	0.5402164	3.6335365e-07	5.566302e-08	2.7035344e-06	1.1388902e-08	6.7422843e-07	8.120871e-08	3.3103186e-07	2.6036992e-07	1.4556217e-07
priorregion1_spot_5	5.346831e-08	0.35302868	4.025376e-06	5.76567e-07	2.0172167e-05	5.393943e-06	0.00013933082	1.607685e-05	0.6467702	5.0165556e-07	5.3587353e-08	9.440952e-07	9.85524e-09	1.3467105e-05	9.1257945e-08	1.8049144e-07	3.025495e-07	9.82498e-08
priorregion1_spot_6	2.3816417e-08	0.14711705	5.424339e-07	6.054886e-07	0.065187134	9.4413e-06	0.049521387	0.00024132457	0.7379215	7.550744e-08	3.382849e-08	5.129397e-07	5.4485843e-09	8.6739995e-08	8.282881e-08	1.5666177e-07	2.6063805e-08	8.178674e-08
priorregion1_spot_7	2.4387468e-08	0.109138645	4.1723392e-06	1.6596806e-06	0.055963095	6.2243193e-06	0.10046437	0.099971555	0.55285823	1.933297e-07	2.9074913e-08	0.07871812	1.4199908e-08	2.378246e-07	1.7503716e-07	2.2407864e-06	0.0028707313	1.7676662e-07
priorregion1_spot_8	1.2134777e-08	0.1043755	2.6176212e-06	0.026632143	3.1888903e-06	2.9250207e-06	0.17830856	0.02084792	0.66982186	6.4171735e-07	6.377515e-08	3.6218134e-06	1.9925293e-08	1.9971435e-07	1.5445563e-07	3.0338597e-07	3.2567623e-08	1.7650075e-07
priorregion1_spot_9	3.6303416e-07	0.85271716	2.5424715e-06	8.1119094e-07	1.9362867e-06	0.00026147673	9.495893e-07	1.8743825e-06	8.78351e-07	0.024951331	1.8390087e-06	1.7858351e-06	4.5208726e-08	0.024659608	2.4413243e-06	5.0215203e-06	0.06630626	0.03108391
priorregion1_spot_10	0.0045845597	0.12786189	1.3767645e-07	1.4374096e-07	4.3251125e-06	0.011860359	0.10902236	2.0577905e-05	0.74433637	7.3249375e-08	1.4075883e-08	6.8803814e-07	1.4943755e-08	9.479138e-08	8.047635e-08	0.0023081808	4.5831626e-08	6.897012e-08
priorregion1_spot_11	2.1306155e-08	0.11988824	2.5050554e-07	0.01950803	1.689559e-05	0.059753854	0.07245116	6.6863984e-05	0.7236115	3.2619134e-08	1.7076658e-08	3.7495744e-07	3.375174e-09	6.711437e-08	3.3440884e-08	8.006882e-08	0.0047025112	5.2704184e-08
