	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	6.8146164e-08	1.8575902e-08	0.52939767	0.0011025507	9.649187e-08	1.08344864e-07	4.9771838e-08	4.3235727e-07	3.7525762e-08	1.8629697e-07	3.9132595e-09	4.1140826e-08	1.586766e-08	5.0411582e-08	1.76712e-07	5.7187513e-08	5.7191185e-09	0.4694985
priorregion1_spot_2	3.4460566e-08	5.380583e-08	5.2687307e-07	2.2653676e-07	2.2979798e-07	2.7481855e-07	1.3642685e-07	1.9364127e-07	0.002812442	0.039986685	0.00020769297	2.7532198e-05	0.0025410233	0.029605744	0.033454373	0.044147797	1.6018484e-08	0.84721506
priorregion1_spot_3	1.2613017e-07	2.5198146e-08	0.6442466	1.3198228e-05	2.9411094e-06	1.354424e-06	1.1118393e-06	1.7110908e-05	5.179869e-07	3.4903437e-06	6.064442e-09	7.026943e-07	7.7170675e-08	2.6602044e-07	2.5422664e-06	9.930578e-07	0.00081694947	0.35489196
priorregion1_spot_4	1.918398e-08	6.3923777e-09	9.612926e-08	2.2853781e-07	9.6622074e-08	1.03563465e-07	8.6885706e-08	1.431823e-07	7.7488956e-08	3.5169527e-05	5.4686875e-08	3.2053293e-07	1.1600389e-08	0.0042140465	0.005811851	2.2664212e-06	2.997034e-08	0.9899354
priorregion1_spot_5	1.1575685e-07	2.0589441e-08	0.26174012	1.8497718e-05	1.5404486e-05	0.0028951599	0.0031368332	0.066134304	0.102078944	7.668302e-06	1.428444e-08	0.0027295903	4.8483482e-08	1.3011359e-06	4.3237983e-06	2.3199398e-06	0.00018090617	0.56105447
priorregion1_spot_6	1.3504373e-08	7.503834e-09	0.6649837	0.04720396	2.6033051e-06	2.7061253e-06	7.9777743e-07	1.4920318e-05	2.4762744e-07	4.4034977e-07	8.059118e-09	3.5581985e-07	2.8526655e-08	2.478344e-07	1.3319226e-07	1.6099241e-07	7.153062e-09	0.28778964
priorregion1_spot_7	4.5603475e-08	1.1601953e-08	0.811206	2.0160365e-05	2.3707655e-06	1.0324935e-05	2.4789647e-06	9.925227e-06	3.0814164e-07	5.371461e-07	6.380897e-09	2.6199325e-07	2.235902e-08	9.802569e-08	6.9913824e-07	9.5141424e-08	6.8468133e-09	0.18874675
priorregion1_spot_8	3.449159e-08	1.512075e-08	2.0616092e-07	4.2488256e-07	3.630909e-07	1.8069298e-07	5.8976747e-07	4.9626988e-06	5.4120983e-07	0.0058127353	5.055378e-09	8.420366e-07	3.653865e-08	3.544671e-06	9.30484e-05	2.8055687e-05	7.53407e-09	0.99405444
priorregion1_spot_9	1.2626201e-08	1.9662652e-08	0.30861318	0.04156484	9.56997e-07	5.4236654e-07	4.1895905e-07	0.018736023	1.3051704e-07	1.8352133e-06	5.958336e-09	2.8840995e-07	1.4404246e-08	1.8941995e-07	0.009722468	0.0025933697	1.5857339e-08	0.61876565
priorregion1_spot_10	9.8276374e-08	2.7179711e-08	0.33042136	4.5725892e-07	4.0832649e-07	1.0478033e-06	6.6673243e-07	2.0163998e-06	0.0951257	0.00029810658	1.1355708e-08	2.3091089e-07	1.9630534e-08	2.8114079e-07	1.4616526e-06	2.791475e-07	8.241702e-09	0.5741479
priorregion1_spot_11	4.169264e-08	1.1077222e-08	0.7991202	1.1248059e-06	5.891045e-07	1.7491649e-06	9.572236e-07	3.0989282e-05	3.4296272e-07	0.0060021444	7.748519e-09	3.124099e-07	1.2700787e-08	5.2560995e-07	3.5346247e-07	1.6909115e-07	7.0156956e-09	0.19484052
priorregion1_spot_12	8.137891e-09	5.296605e-09	0.2770592	0.014640231	5.341872e-07	1.7989147e-07	8.033063e-07	0.03021376	0.13881698	5.6714425e-06	3.397284e-09	1.4018643e-07	4.7343587e-09	1.0909287e-07	0.0011190685	4.792635e-07	5.816083e-09	0.53814286
priorregion1_spot_13	1.0429374e-08	1.1674518e-08	0.86898804	0.00020998079	2.5792822e-05	0.07512687	7.0285846e-06	0.0556393	2.2882862e-06	1.2803936e-07	6.6126966e-09	1.6200879e-07	1.4230793e-08	9.576957e-08	6.334428e-08	1.5633974e-07	6.3401293e-09	5.7084396e-08
priorregion1_spot_14	0.00044396025	1.1156154e-08	0.54046524	2.2057357e-05	0.03310398	2.0266705e-06	1.7117375e-06	0.04038808	6.391266e-07	2.6248538e-06	1.2538666e-08	1.0880757e-06	1.8444998e-08	0.011272769	1.2995362e-06	7.291156e-07	8.635011e-09	0.37429368
priorregion1_spot_15	7.555892e-08	3.885211e-08	0.3473745	2.1880265e-05	6.0712146e-06	2.1982594e-05	2.2131746e-06	0.017356317	0.17689317	4.319932e-06	7.836532e-09	6.709415e-07	1.9422671e-08	9.0832003e-07	3.129832e-06	0.0050390176	1.04913465e-08	0.4532757
priorregion1_spot_16	6.430526e-08	9.416946e-09	0.3330508	1.8599661e-06	2.8153553e-07	7.238484e-07	0.009045918	1.923601e-06	1.8831295e-07	1.1871791e-05	5.428719e-09	1.722092e-06	1.3171772e-08	1.7209624e-07	4.3763744e-06	2.1610595e-07	6.4725008e-09	0.6578798
priorregion1_spot_17	8.525612e-08	2.3389859e-08	0.30540696	2.1595715e-05	1.8616648e-06	1.5147574e-06	1.0383673e-06	2.0141533e-05	3.79237e-05	0.00075214636	1.3324704e-08	1.816993e-06	2.1427468e-08	1.9083043e-06	0.021792145	2.9657567e-06	1.5833404e-08	0.67195785
priorregion1_spot_18	5.0957645e-08	1.0681182e-08	0.62093526	0.00041798854	4.2012e-06	1.7592054e-05	0.0002826186	0.00015187067	1.2910222e-06	2.926055e-06	7.141846e-09	1.3785336e-06	1.4641335e-08	1.895501e-06	6.1730015e-07	0.003477108	8.304895e-09	0.3747052
priorregion1_spot_19	1.4493877e-08	5.9836855e-09	0.10526806	4.1108703e-07	0.015829235	9.875398e-07	1.5219145e-07	0.012104299	1.6800453e-07	3.273062e-06	6.40438e-09	1.0816102e-06	1.7855196e-08	4.554136e-05	2.7950684e-05	1.7625615e-06	0.00013221391	0.8665848
priorregion1_spot_20	6.376596e-08	2.5132104e-08	0.2988172	9.107843e-07	9.360577e-07	1.0777227e-06	1.3139439e-06	0.018823884	0.010008682	5.051343e-06	1.1662388e-08	4.0861812e-07	3.650003e-08	3.3990338e-07	0.03594381	3.458029e-07	6.2823126e-08	0.6363958
priorregion1_spot_21	1.168174e-07	5.9152074e-09	0.31107178	5.039927e-06	3.2833987e-07	0.0143853575	2.785142e-07	4.2742846e-07	1.247154e-07	1.0883731e-05	4.643547e-09	5.5259744e-07	1.0571123e-08	4.6812076e-07	1.301969e-06	4.127464e-07	2.994242e-07	0.6745226
priorregion1_spot_22	4.8384322e-08	1.4214744e-08	0.69024545	1.880641e-06	5.8444266e-07	7.353002e-07	9.262375e-07	0.062528096	0.08197595	0.006048905	1.0511707e-08	0.020239701	9.710668e-09	3.86632e-07	7.676692e-07	0.006016592	9.075212e-09	0.13293989
priorregion1_spot_23	4.5591744e-08	9.577267e-09	0.57480586	3.3588242e-06	7.739791e-07	2.7464555e-06	3.3991788e-07	1.4941561e-05	9.1179345e-08	3.719955e-06	4.0134394e-09	9.266344e-08	4.043091e-08	1.4780188e-07	0.0368642	1.4790834e-07	5.379196e-09	0.38830352
priorregion1_spot_24	4.572987e-08	4.9466747e-05	0.6848812	0.024337046	6.045982e-06	1.8852768e-05	8.7934626e-05	2.0950118e-05	0.08574568	8.0725323e-07	1.06797685e-07	1.3013847e-06	1.9985888e-08	4.261867e-07	4.321089e-07	3.6350198e-07	1.31263e-08	0.20484933
priorregion1_spot_25	1.500433e-08	7.1280364e-09	0.7215993	0.052898966	7.3471474e-06	1.5224135e-06	1.3957329e-06	0.021851188	0.009676214	3.1065923e-07	4.566775e-09	2.9420463e-07	6.7539165e-09	7.593928e-08	0.07233846	1.4509803e-07	3.818869e-09	0.1216248
priorregion1_spot_26	7.842582e-08	1.7040586e-08	0.43675455	0.05183947	4.528944e-05	1.9354968e-05	7.0175935e-05	0.071630105	0.2032894	1.9458407e-06	7.231452e-09	3.1858374e-06	3.0216754e-08	6.681069e-07	1.2391981e-06	9.867274e-06	5.7730754e-09	0.2363347
priorregion1_spot_27	9.686794e-09	8.179417e-09	0.66789997	4.9162772e-05	1.1886409e-06	2.3141126e-06	2.484573e-07	1.2678154e-05	0.0028425797	7.17705e-07	3.6499117e-09	6.058666e-08	6.3265464e-09	7.697758e-07	0.0066695213	2.052851e-07	5.049503e-09	0.32252046
