	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	0.26730448	8.447498e-08	0.06053807	0.00017757108	7.141106e-07	0.20631036	1.2958793e-06	0.07031409	0.14094834	6.903821e-06	7.837278e-08	5.2115665e-06	7.93796e-08	5.289081e-06	5.369395e-07	1.7850953e-06	0.2543839	1.1978789e-06
priorregion1_spot_2	6.594204e-09	1.7185032e-08	7.1302265e-06	5.6011606e-07	9.241716e-06	0.35645437	0.2097187	0.4338073	1.0483825e-06	9.983375e-08	2.0846699e-08	4.9913643e-07	6.95769e-08	1.4417195e-07	9.167463e-08	4.394397e-07	5.8956817e-09	1.3651459e-07
priorregion1_spot_3	0.24240611	3.204465e-08	3.3001709e-06	2.1994747e-07	7.369188e-07	1.1511037e-06	0.10895365	0.5013476	4.0292507e-05	4.6614435e-08	2.7006017e-08	3.406454e-07	6.261363e-08	6.5088166e-08	6.798514e-08	6.991614e-08	0.14724615	5.75203e-08
priorregion1_spot_4	0.124023765	1.4103456e-07	5.453193e-07	3.4657614e-07	5.523665e-07	0.5316671	0.052710537	0.0050956924	0.00017478276	8.4569035e-07	1.56114e-07	9.628584e-07	5.2328062e-08	5.07317e-07	5.601555e-08	8.180426e-06	0.28631565	9.6104564e-08
priorregion1_spot_5	0.008192097	5.3990718e-08	0.007791322	5.1118417e-07	0.004761226	0.78357184	2.1753902e-05	8.4273626e-07	7.390788e-07	5.1654787e-08	6.716828e-08	3.4823731e-06	5.865095e-08	1.4366384e-07	4.282508e-08	1.6364166e-07	0.19565547	4.5259124e-08
priorregion1_spot_6	1.5874512e-07	6.475619e-08	5.592252e-06	4.0815658e-07	8.253022e-07	3.3994763e-07	3.300404e-06	0.5030898	0.12696885	1.2726504e-07	4.824292e-08	2.184338e-07	0.21723925	1.4347809e-07	1.2475999e-07	1.3223094e-07	0.15269043	1.18521946e-07
priorregion1_spot_7	0.25672954	0.0024700675	6.7740066e-06	9.109633e-07	1.9472373e-06	1.00010055e-07	5.046472e-07	0.44626215	4.652542e-07	3.6531486e-07	3.07946e-08	2.5406794e-07	1.3558707e-07	5.311729e-08	8.873672e-08	5.7140397e-08	0.2945265	6.782042e-08
priorregion1_spot_8	0.113849826	1.2045723e-07	0.10587977	9.889387e-07	4.276941e-06	0.13900827	4.3225995e-05	0.4895795	0.035965487	1.5803657e-07	7.819292e-08	3.1825853e-06	5.3316914e-08	4.468955e-07	1.0977775e-07	4.2345945e-07	0.115663886	1.3004296e-07
priorregion1_spot_9	0.28652015	1.8514307e-08	1.2852864e-06	3.5327835e-06	4.3406158e-06	0.3874244	0.0585022	0.26019236	0.0073178974	2.782184e-07	2.1648443e-08	2.9751316e-05	2.4412614e-08	2.7297306e-06	1.8795319e-07	4.1252963e-07	1.3071002e-07	2.951723e-07
priorregion1_spot_10	0.3631604	1.3387317e-08	9.764147e-06	0.08290592	1.2917454e-06	1.0079684e-06	0.048870258	0.49563414	1.456846e-07	9.165597e-07	1.0638214e-08	0.009415618	1.5088283e-08	2.0094511e-07	8.229821e-08	1.0472176e-07	1.0546692e-07	7.755264e-08
priorregion1_spot_11	0.145938	6.5404414e-08	1.9468328e-06	2.4382157e-06	6.211078e-07	5.3892893e-07	5.158677e-07	0.35721874	0.19700839	1.028893e-06	3.8305654e-08	4.4151437e-07	5.8169945e-08	2.7079628e-07	1.1709344e-07	1.7338809e-06	0.29982504	6.904443e-08
priorregion1_spot_12	0.06063934	2.3363134e-07	4.965165e-07	3.220842e-07	9.26875e-06	0.24289761	0.09761555	0.2269009	0.025530186	1.5881584e-07	3.4177695e-08	0.042349458	0.001190826	1.1519941e-07	6.759855e-08	7.9708116e-07	0.30286443	7.428874e-08
priorregion1_spot_13	0.22231066	1.0036854e-08	1.4392635e-05	9.780667e-07	1.3900224e-05	0.54025716	0.23700066	3.084997e-06	8.054355e-07	1.6865532e-07	1.1385582e-08	1.4866169e-05	0.00036962712	1.1627621e-05	1.0701668e-07	1.8476059e-06	9.6142685e-08	1.0837452e-07
priorregion1_spot_14	0.0017677897	4.0764924e-08	0.022049377	1.7430554e-07	5.439769e-07	0.66275525	0.066017985	2.4952431e-05	3.22558e-07	5.306439e-08	1.7222044e-08	8.865318e-06	4.4238757e-08	7.2736e-08	5.0208424e-08	1.049681e-07	0.24737428	4.8132293e-08
priorregion1_spot_15	0.36971813	1.136195e-07	0.04004239	1.3829711e-07	2.719293e-07	0.30489716	4.909017e-07	7.279519e-05	5.3973913e-06	1.04656564e-07	4.259991e-08	1.2069869e-07	0.14353691	1.5947016e-07	1.254407e-07	2.8185875e-06	0.14172274	5.8999372e-08
