,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,1.8445340401740396e-07,6.411532389449804e-08,9.836706880150815e-08,7.602164586728577e-08,1.2027794262792214e-07,1.4071005551841154e-07,1.6340332180675433e-07,4.245224705101691e-08,1.72901343020726e-08,1.3304528465596376e-07,6.28854497364273e-09,8.744720162212618e-06,1.7875165880809618e-07,5.544304446658543e-08,1.014688276512743e-07,3.57786300142493e-08,1.3216794252395632,3.89896600339057e-08
priorregion1_spot_2,1.5348721618124728e-07,5.2175705889112577e-08,3.187455138231599e-06,2.2042651153242336e-06,1.3107782535826117e-06,5.628390977108211e-06,6.79262020639726e-06,2.0153764126007443e-06,0.1931009143590927,2.108203659645369e-07,4.410514105046559e-08,5.466103573326109e-07,0.00011665726342471317,4.486476939291606e-07,5.304512633586e-08,6.557539222740162e-08,1.2210563719272614,5.917214931372428e-08
priorregion1_spot_3,1.115312993071882e-08,1.5130819974729093e-08,1.2258400738929254e-08,6.448557843263813e-09,1.2232060786487865e-08,1.4484131183323256e-08,1.1649878706165852e-08,2.0052223792532685e-08,1.2151011086203312e-08,3.828681660600353e-09,3.766488787526612e-09,3.58234973907301e-09,1.108182905440458e-08,3.036666851308212e-09,4.195343250579243e-09,4.87575158025777e-09,0.8469457298517227,5.467308406004179e-09
priorregion1_spot_4,1.9273392304341998e-08,5.944471812568964e-08,1.3709655855009828e-08,8.645843241339436e-09,1.17892148487897e-08,1.7613917524528234e-08,1.4650481849898256e-08,6.912855265994722e-09,1.3361223460961469e-08,2.227902314189123e-07,3.6286854077083327e-09,1.6289488780074633e-08,1.6929666024623204e-08,8.841192888908722e-09,1.0626031388127899e-08,2.4565909040319414e-08,1.5121945261955263,9.09283692784868e-09
priorregion1_spot_5,3.499872160972473e-08,1.1765076157743696e-08,1.8945601532038837e-09,5.113397261169439e-09,3.2129039650996568e-09,1.855167832687244e-08,9.14374727045697e-09,4.878179171718955e-09,5.286146076421972e-09,3.3190828752083235e-09,2.6577165801455745e-09,9.568288072969724e-09,9.68523456990056e-09,2.8358457138111247e-09,4.813797427338784e-09,3.4311954721921723e-09,1.0228986024856568,1.1754085593729257e-09
priorregion1_spot_6,1.5700086120062906e-08,1.8625565267882393e-08,1.701310492485675e-09,6.657123940989608e-09,5.902428523718584e-09,4.3752749423475746e-09,6.107529659793443e-09,2.738398374724227e-09,3.281102356478272e-09,5.657900992162014e-09,6.093866877776577e-09,6.9760013765574065e-09,2.2041075542489354e-08,4.964832500675698e-09,5.34172939214983e-09,2.2678842803713907e-09,1.2714204370975495,3.740254383988174e-09
priorregion1_spot_7,1.3855622071901054e-08,2.7893758947072912e-08,3.3092073303819803e-09,7.822289216363744e-09,9.757236263396863e-09,6.193478174765234e-09,5.832329263988357e-09,1.968919560724203e-09,2.6331240410293335e-09,3.762685696351298e-09,4.387631902247336e-09,5.534102731630242e-09,3.9158797093818976e-08,4.36407567860897e-09,2.1238921177335612e-09,1.8168962889753007e-09,1.2881258070468902,3.0183875288081207e-09
priorregion1_spot_8,1.5904018102474993e-08,1.9919797811240872e-08,4.987368495967814e-09,3.432905770761608e-09,3.5120133690114134e-09,7.99781822991008e-09,1.8657098810326296e-09,2.967201995218716e-09,2.3922254177577433e-09,3.974453708366354e-08,3.323019204248823e-09,4.96096790314482e-09,5.74516407780834e-09,3.2080681111601453e-09,9.063144945642421e-09,3.3790769515817945e-09,1.1446980297565459,4.583367108068614e-09
priorregion1_spot_9,1.0184963663562032e-07,2.101638642670878e-07,1.0065120591207234e-06,3.79902856195713e-07,2.6984630210336034e-07,1.4641108293744765e-06,4.96132477678657e-07,9.913286930895993e-07,3.6355617822891877e-07,0.19152151867747308,5.175786288447172e-09,2.8374286458188197e-07,2.276456694261242e-08,2.1879056149032295e-07,1.1627822189552717e-07,1.9259191077480864e-07,0.5987843304872512,6.259578597678228e-08
priorregion1_spot_10,6.513808479269302e-08,1.0300468566981638e-07,4.647289927106613e-07,9.14202641411066e-07,7.323810450543534e-07,1.2388472384827765e-06,1.8109338668637067e-06,7.949669878826172e-07,1.6514066828676733e-06,0.07357186749577523,1.2277169396668343e-07,6.227952303561324e-06,1.302737175024049e-07,0.006934042600914837,0.030018308106809853,4.7066441766219214e-07,0.7926851272583008,8.01996526433868e-07
priorregion1_spot_11,0.36842500418424606,2.7572465910452593e-08,2.1596687318492514e-07,1.3859173364494382e-07,2.2008001820950088e-07,5.485050081688314e-07,2.714358871003242e-07,3.5742905595270714e-07,1.7080649357126275e-07,0.4241346299648285,4.508292161808925e-09,1.272740355773294e-07,1.2541904581553354e-07,1.5771392952501627e-06,1.1639775756577821e-07,2.1902391793560129e-07,0.6850863665342332,6.859427514882555e-08
priorregion1_spot_12,1.6505946831557593e-09,5.547753967327652e-09,2.0613507567546208e-09,2.1234258018587583e-09,4.015299515103266e-09,7.1755406505502604e-09,3.5160973910208786e-09,3.873485876493278e-09,8.212094143589256e-10,1.9316507837707775e-09,3.3368017349211245e-09,1.8182078898032478e-09,5.206645536937061e-09,3.2055030629862814e-09,2.3323446507461658e-09,2.512677166333077e-09,0.5511926859617233,2.0040070380922262e-09
priorregion1_spot_13,1.1451212167739868,1.0112667814610178e-05,6.065347157857559e-08,9.613578626499476e-08,7.307593570260453e-08,1.1795306313899802e-07,1.4308467086721066e-07,4.154689179358684e-07,2.2680258595642045e-07,8.887293319048695e-08,1.3894995642971254e-08,3.828908177183621e-07,2.174509191377183e-07,3.340229319803712e-08,8.420372274997589e-08,2.7122352985742284e-08,0.6900889039039613,1.026879159482519e-08
