	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	1.2008252e-08	9.101277e-09	0.09103353	0.20238766	8.202035e-06	0.007748949	3.3209332e-07	1.65514e-06	0.43001273	0.058152676	6.5874812e-09	2.675798e-07	6.7366788e-09	1.999748e-07	0.0547038	0.019644178	1.0162913e-08	0.13630581
priorregion1_spot_2	6.8455823e-09	1.7551715e-08	0.036637142	1.9965562e-06	1.299144e-05	1.2300782e-06	0.00027156464	0.19172594	0.77134854	1.02678015e-07	8.333754e-09	2.018562e-07	9.15336e-09	8.4548e-08	8.328748e-08	9.383329e-08	1.0641012e-08	9.424034e-08
priorregion1_spot_3	5.8735882e-08	8.105808e-09	1.2224999e-06	0.14644307	2.2048866e-07	3.3970954e-07	2.0494276e-07	0.012505027	0.1652478	0.03992182	6.054856e-09	1.7863496e-07	9.1868175e-09	0.020509224	0.2142774	0.4010917	1.0228441e-08	1.7566989e-06
priorregion1_spot_4	0.0015922241	1.8788015e-08	7.4263454e-07	0.19082066	6.1222304e-06	2.34171e-07	0.014848888	2.4391293e-06	0.52222735	2.8822424e-07	8.01363e-09	1.0820275e-07	5.169245e-09	1.3898735e-07	0.101691216	0.1688089	1.6341241e-08	6.533745e-07
priorregion1_spot_5	6.8946413e-09	1.5135848e-08	2.9980853e-07	0.16383418	9.162018e-06	9.0174694e-07	1.069017e-06	0.011564455	0.2794291	0.041022863	7.5144214e-08	1.1469588e-07	6.401868e-09	0.085592575	0.12074859	0.20596011	0.00046235637	0.09137408
priorregion1_spot_6	1.9156479e-08	2.4325908e-07	6.264054e-06	0.013755982	0.039335154	7.338641e-07	6.680863e-07	0.0884062	0.29631764	6.3695124e-06	1.6962336e-08	0.007816855	0.0001500881	2.86315e-07	0.26880315	9.1074e-07	2.3818911e-08	0.28539938
priorregion1_spot_7	1.3136474e-08	1.2986563e-08	0.0002978442	0.0704982	1.670939e-06	0.04611151	0.04470557	3.769854e-06	0.51545906	0.01930813	9.738668e-09	2.5286832e-07	1.1287669e-08	2.3655365e-07	1.5670136e-07	0.303613	1.1435078e-08	5.7608025e-07
priorregion1_spot_8	0.00087169086	2.1044533e-08	1.4780181e-06	0.15199982	1.222209e-06	0.0073368642	1.8767294e-07	1.6573975e-07	0.42199898	0.022948701	1.53095e-08	1.3710938e-07	1.2808903e-08	9.001634e-07	0.38690278	0.007935557	2.3307436e-08	1.4387715e-06
priorregion1_spot_9	2.4040334e-08	7.8372215e-09	2.3135554e-07	0.12849149	5.738639e-07	1.1723693e-06	2.2675503e-07	1.7966372e-07	1.4088113e-07	0.010174751	9.367704e-09	2.0115584e-07	1.04618145e-08	2.1381682e-05	0.42612863	0.2922503	1.4015236e-08	0.14293067
priorregion1_spot_10	1.0657832e-08	7.3525657e-09	1.680323e-06	1.5738787e-07	3.4124228e-06	3.5226444e-07	0.049445964	0.15399843	0.5328325	0.010798593	8.346362e-09	2.3774002e-07	6.4893593e-09	1.00199244e-07	0.25291738	1.3122819e-07	7.927578e-09	1.1413892e-06
priorregion1_spot_11	2.6838201e-08	1.8475266e-08	2.029388e-07	2.07039e-07	2.0938332e-07	5.699703e-06	1.523431e-07	2.0655875e-07	1.02425474e-07	0.00014594132	1.5419648e-08	9.3455185e-07	1.2626234e-08	0.10092395	0.3522239	0.45734686	2.3214737e-08	0.08935152
