,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,2.5268643000231354e-08,3.4635676660066396e-09,0.00036775771004613487,0.03723267782479525,0.6184747040271759,0.014967571757733823,0.007621316146105528,0.005095140147022903,0.08706124909222127,4.602486356475311e-07,1.1385272369324186e-08,1.771150446074898e-05,1.332655543251349e-07,6.712287245136395e-07,3.028343712685455e-07,3.649484355605637e-07,8.97868453648698e-06,1.7560252913995102e-07
priorregion1_spot_2,1.1476562944423563e-08,3.6806027225999573e-09,9.966230436475598e-06,7.633254135726021e-05,0.8803088724613191,3.0216651794034988e-05,6.0558829682122456e-05,0.11556973978877068,5.049845894973259e-05,2.1741206879255515e-07,2.8221536552131e-09,9.078414950636217e-05,4.008449838721618e-09,4.619248187509584e-07,8.359452507988863e-08,1.1707601998978136e-07,5.586676982138884e-10,2.6484430382112126e-08
priorregion1_spot_3,2.1754774959248378e-08,1.8719134520228663e-09,1.5782199898239924e-05,0.0010664310539141297,0.5654501914978027,9.868370107142254e-05,5.125640764163109e-05,0.00015703085591667332,0.1485285885632038,2.860062423337695e-07,1.4739760789694858e-08,9.157053818853456e-06,9.190286265337023e-09,3.4723465915931227e-07,1.5947127494087e-07,1.4045988763200513e-07,1.9984054966393217e-09,1.4246963786490596e-07
priorregion1_spot_4,1.9180394694728873e-08,1.9401732331836284e-09,0.0031375114689581097,0.0006883329915581271,0.3716165333986282,0.2269955910742283,0.02928416281938553,0.03484400827437639,0.16471935138106347,4.979009929684253e-07,3.140054227745992e-09,6.6228567220605324e-06,2.3068369991996467e-09,4.556910937481007e-07,2.8115518944105136e-07,3.37888403123543e-07,9.395561217928618e-10,1.2633721055976823e-07
priorregion1_spot_5,3.997607738170928e-08,1.2031323803896045e-08,2.237367307316163e-05,0.0008068102819379419,0.3775805428624153,0.02626954661682248,0.1447303593158722,0.06590123660862446,8.406051392739755e-06,1.5226703737880597e-07,8.935494921757938e-09,4.1868095104291575e-05,2.5453595320357182e-08,2.2266729615694203e-06,3.502788871401208e-07,8.148199299284898e-07,0.08864218443632126,3.7210296568446214e-07
priorregion1_spot_6,1.630472006297623e-08,2.5892955557438313e-09,1.4176839158608345e-05,6.712850263284054e-05,0.9639259189367294,0.015948463790118692,0.2857257902622223,6.062913562345784e-05,0.0002042335268924944,1.3349675711538112e-07,4.657134722307889e-09,1.10863044483267e-05,1.2999600018659408e-08,1.4778402146475857e-06,8.479874153977107e-08,4.392303182498836e-07,3.9314285826819175e-09,5.416041339856292e-08
priorregion1_spot_7,1.8674933333073798e-08,4.44262802101747e-09,4.325230838730931e-05,0.23933272063732147,0.5165439248085022,4.3117991663166325e-05,0.1268121585249901,0.04493777193129063,4.563846323435427e-06,3.263380392581894e-07,4.8563753729524716e-08,0.0004457205388462171,2.541319057414171e-08,1.6081152125480003e-06,6.245867638199343e-07,1.171106060837701e-06,1.6302156180536543e-09,3.0335657470459414e-07
priorregion1_spot_8,1.7580073219392035e-08,3.216544208761718e-09,0.00010049781121779233,0.00018490698785171846,0.8640904754400254,0.11329911872744561,0.1391928717494011,0.0014920164947398006,0.020606264378875493,2.967465704273309e-07,1.2901866852654823e-09,2.001236462092493e-05,4.966150091156862e-09,2.0356916365926736e-06,2.8861616527819935e-07,5.072988670917767e-07,3.039548646111001e-09,3.53567804722843e-07
priorregion1_spot_9,6.32265434319379e-07,1.226059794134926e-05,3.292987476015696e-05,0.035736980475485326,0.3130858972668648,0.00011509317882882897,0.1520274505019188,0.06493176333606243,1.578260698806844e-05,9.992052731888635e-08,2.516471997449088e-09,0.00014542747085215523,2.3566724571821854e-08,3.957868003112708e-07,4.500868527657077e-07,3.3801354533125054e-07,0.09407597370445728,9.408255934317822e-08
priorregion1_spot_10,1.2930977399960852e-08,1.519822967477325e-09,6.7572803118309824e-06,5.808655841974542e-05,0.8287974685430527,2.780786044240813e-05,4.8985209650709295e-05,0.00016980372965917921,1.3940295184511342e-05,1.7050701899279376e-07,1.2191251508308914e-09,0.014954394707456232,1.4478453058686113e-08,3.435208611790586e-07,1.3046670233052282e-07,4.482619317514036e-07,5.154450144484457e-10,4.6705524425760815e-08
priorregion1_spot_11,2.5929475189201418e-08,6.475325964316881e-09,1.2781914620063617e-05,0.07535272687673569,0.8792960196733475,0.0014537975541315973,0.4192059114575386,0.0002527798977098428,2.7731781483453232e-05,1.1226921259321898e-07,2.845861191147492e-09,2.999764808464534e-06,9.293581832992005e-08,9.554851828852407e-07,1.0683729421145927e-07,3.9460682188519064e-07,1.3005538701538201e-09,1.339078949058603e-07
priorregion1_spot_12,4.125048053538194e-06,1.0221291901757469e-08,5.826406122650951e-05,0.02260603168979287,0.8423742979764939,0.0051860245643183586,0.00015865927052800545,0.00018280294898431748,0.014628336858004331,4.5187407096136665e-07,0.00123676786897704,3.37327626766637e-05,0.0008777774462942034,1.962329349680658e-06,3.8183706010386235e-07,1.6579710120367967e-06,0.20554775074124337,6.436281125843379e-07
priorregion1_spot_13,4.263171038410008e-09,1.362261758952599e-09,7.1359413595928345e-06,0.040393359772861,0.32087845802307124,8.811450643406714e-05,0.02658225642517209,0.00014682228938909248,0.13319531977176666,1.0044211897763944e-07,1.4391335900754143e-09,1.937220832815001e-06,9.919823718007592e-09,3.066766538495358e-07,2.1181557841032372e-07,2.7668602911035126e-07,2.0937995226510968e-09,1.260841578698546e-07
priorregion1_spot_14,2.4927316744083336e-08,7.592120843114005e-09,8.997637523862067e-05,0.1695440076291561,0.6417670905590057,0.09311258830130101,8.825209006317891e-05,0.0038091820199042557,3.675612333609024e-05,8.517794157114624e-07,6.867950852473825e-09,0.0032383288373239337,1.639738485437193e-07,1.2632414438940034e-06,3.3938331398530865e-07,7.017428089284295e-07,6.084123397158692e-05,2.34851683700299e-07
priorregion1_spot_15,2.832769652627576e-07,2.101831917400432e-08,0.00015242771478369833,0.00039899442199384797,0.7982791930437088,0.0011959130817558617,2.8483867026807278e-05,0.00205644320230931,0.17846229076385497,1.0096291759964516e-06,4.476099313421855e-09,0.0025549820624291898,1.5102700814395576e-07,0.0015182484523393214,9.479051925609383e-07,4.68966619848743e-07,1.006435188521948e-08,6.403486878525655e-07
