	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	0.04064297	1.7238413e-08	0.087517954	1.684359e-06	0.029503357	0.27281582	0.06557117	0.11374958	2.1897417e-06	0.029928522	3.941837e-08	0.051895097	0.1048576	5.447009e-05	0.12769076	2.9017183e-06	0.057286795	0.01847911
priorregion1_spot_2	0.081489645	9.5754915e-09	0.08463848	1.5606913e-06	6.2882436e-06	0.19900694	0.05949874	0.01877781	0.20316741	7.371264e-06	2.6907902e-08	1.4904915e-05	0.11578918	0.011760671	0.18520474	0.040629715	1.6305984e-06	4.877949e-06
priorregion1_spot_3	0.08323242	1.0261517e-08	0.08528093	1.7008819e-07	2.1777203e-07	0.21519434	5.498233e-07	1.4660428e-05	0.11824845	0.029878082	1.3214117e-08	3.2458794e-07	0.09700125	0.23251857	0.133521	0.0015868766	0.003521587	5.996904e-07
priorregion1_spot_4	0.065757625	2.1514394e-08	0.12796581	1.2823178e-07	1.2577269e-06	1.3161747e-06	7.7244886e-07	0.10110072	0.26113653	7.69792e-05	8.975813e-09	3.6049732e-07	0.1322908	7.5350545e-07	0.24391685	0.06774936	3.3743667e-08	7.0745585e-07
priorregion1_spot_5	0.018170658	3.0770178e-08	0.11947999	0.038485743	0.015479149	0.1646678	1.1568697e-05	9.3929346e-05	0.066826046	0.08216139	1.0458837e-07	6.048721e-06	0.16682631	0.1984821	0.118613616	5.6866647e-05	0.010630876	7.837364e-06
priorregion1_spot_6	0.00025486853	1.3003188e-07	0.062732354	0.22313234	1.6493157e-05	0.038882643	0.20346804	6.9486814e-05	8.860852e-06	1.4212144e-05	1.5994907e-07	1.24393755e-05	0.2384362	0.0704285	7.849358e-06	5.08584e-06	0.015566369	0.14696395
priorregion1_spot_7	0.045853313	3.4511764e-08	0.15191518	0.06849284	0.03679148	0.03958845	0.05361957	0.11831625	0.11043274	0.06527589	7.371949e-08	7.746564e-06	0.13168426	3.8357153e-05	0.13727611	4.6572873e-06	0.025319096	0.015383889
priorregion1_spot_8	0.007063363	1.0326843e-07	0.07164704	0.098482	0.011949788	0.21168151	0.0011198266	0.15932275	2.7615875e-05	9.275279e-06	0.0018558617	0.064579196	0.20729156	0.109887235	0.029885203	6.522049e-06	0.02516703	2.4035351e-05
priorregion1_spot_9	0.05005385	5.394093e-07	0.08995208	0.055345967	0.043819748	0.074000955	0.056058366	0.088153295	0.08372334	0.06131552	4.5425773e-07	0.027312448	0.13468571	0.06133504	0.054805733	0.03440814	0.02956714	0.05546163
priorregion1_spot_10	0.08741139	1.5223333e-07	0.021524841	0.13715962	0.048236012	0.028664267	0.13978681	0.13268462	2.1074373e-05	0.0096270805	3.7665578e-07	0.014914791	0.10540675	0.080378465	0.039333507	0.00088707684	0.020949086	0.13301413
priorregion1_spot_11	0.0395652	2.0219228e-07	0.13850486	0.19456095	0.0016745692	0.034265224	0.13552114	0.09873524	5.8996816e-06	0.03918991	3.4622477e-07	2.5374386e-05	0.17158939	0.059852462	2.5369394e-05	1.7371478e-05	0.0023415582	0.08412494
priorregion1_spot_12	0.027872153	1.3215214e-08	0.020215586	0.022165505	0.02780693	0.12766191	0.02589665	0.10191511	0.12993434	0.0363102	7.417701e-08	9.466988e-06	0.14312282	0.0922628	0.10038237	0.042497907	0.014092086	0.087854005
priorregion1_spot_13	0.04474474	2.3411687e-08	0.059796296	0.1961435	3.1577852e-05	2.8714998e-05	0.16280372	0.06620675	0.06550304	0.17782868	1.163466e-07	2.2818213e-05	0.17253503	3.056276e-05	0.052023955	1.359925e-06	0.0022790958	2.004218e-05
priorregion1_spot_14	0.117944956	1.987163e-08	3.6231484e-06	0.121658154	1.056979e-05	0.024326619	0.077233	0.19631225	0.27156866	0.046720643	2.2333593e-08	4.0628996e-07	0.04973981	1.0237899e-06	0.0024883691	5.1269913e-06	0.013335063	0.078651726
priorregion1_spot_15	1.6793916e-07	4.8547626e-08	0.21831557	0.20458663	1.977733e-05	4.714624e-06	1.7707589e-05	0.015255726	0.24769016	1.6186279e-05	1.9680235e-07	9.821241e-06	0.22013646	1.6644903e-05	0.09392918	2.4696539e-07	5.227823e-07	3.9040435e-07
priorregion1_spot_16	0.048314527	3.2598102e-08	0.06909168	0.009388401	3.9728875e-05	0.16423865	0.10883657	0.1791517	0.07964653	1.962064e-05	4.6570836e-08	6.9387347e-06	0.16828983	5.5863525e-06	0.13578945	0.03419495	0.0029798087	5.8982005e-06
priorregion1_spot_17	0.06367829	5.4216105e-08	0.0047527626	3.4723947e-05	2.3322737e-06	0.124253854	0.04409873	0.14529471	0.14789233	0.026012046	6.858296e-08	9.111022e-06	0.12839593	2.3373432e-05	0.15715517	0.021920372	9.3226924e-07	0.13647524
priorregion1_spot_18	0.005182228	4.4816794e-08	2.2915925e-05	0.20312735	0.043395683	0.181435	0.12170281	0.02734611	5.35273e-05	2.7730204e-05	3.5000076e-07	3.504247e-06	0.21741448	0.018077573	0.07355126	4.661195e-06	0.03276833	0.07588631
priorregion1_spot_19	0.083412305	1.6079072e-08	0.054776926	0.034664445	9.017567e-06	0.083458	7.615255e-06	0.1274662	0.06870449	0.002207504	3.4739372e-08	4.730738e-06	0.10317196	0.11397797	0.23390436	0.086142555	0.007870965	0.0002208981
