	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	2.561776e-07	1.4323706e-07	1.7512544e-06	0.081383154	0.08310438	0.05884617	1.484932e-06	8.5782483e-07	0.083264336	8.622518e-07	8.2711544e-08	0.0059593315	9.360914e-08	0.060107164	1.7419583e-07	0.3278048	0.2995245	4.491834e-07
priorregion1_spot_2	1.5011794e-08	1.3845484e-08	3.2554584e-07	0.242191	1.0151847e-06	0.07808851	8.138338e-07	2.4410653e-07	1.2184613e-07	6.6724283e-07	1.4128271e-08	0.035725396	5.140585e-08	1.7833994e-05	3.029497e-07	0.6201642	1.5737614e-08	0.023809439
priorregion1_spot_3	3.1294044e-07	7.411119e-08	1.385527e-06	0.01677722	0.5920038	1.0211454e-06	0.002734572	7.8015603e-07	0.00050421886	0.0027887416	4.531576e-08	0.07536161	4.5702893e-07	1.06282205e-05	2.2547956e-06	0.07517173	0.23464021	9.411009e-07
priorregion1_spot_4	2.121745e-06	4.907436e-07	0.0019258192	1.1168062e-07	1.0217647e-07	5.0767807e-07	6.928612e-08	1.7523045e-07	2.5394908e-07	6.582553e-07	1.4157295e-07	1.3823822e-07	1.7224733e-07	0.060003232	5.031325e-07	0.41976526	0.47779703	0.04050321
priorregion1_spot_5	0.004039314	1.2417341e-07	0.016008744	7.612656e-06	0.317753	5.2714745e-07	1.642232e-07	2.544896e-07	0.058333434	7.8279476e-07	6.4698725e-08	4.862485e-07	6.86374e-08	0.07240646	4.6675876e-07	0.19508651	0.33636135	6.094589e-07
priorregion1_spot_6	0.014536793	3.3330622e-08	1.7531333e-07	1.7100302e-06	0.4232546	2.0371299e-05	5.9252085e-07	2.5997028e-07	2.9070267e-07	0.012606949	2.6095993e-08	5.294616e-07	3.7863302e-08	9.4850316e-07	5.970488e-07	0.38797387	0.16160041	1.6609346e-06
priorregion1_spot_7	0.016004363	0.0062187826	2.620919e-07	2.1171145e-07	0.23595138	0.00019863946	1.7790387e-07	1.17054455e-07	1.2084491e-06	0.0073368237	6.931672e-08	0.05915731	6.100604e-08	0.056490924	3.7344904e-07	0.24191825	0.37271252	0.0040085493
priorregion1_spot_8	2.6228e-07	5.9685924e-08	2.68734e-07	0.00066088483	0.30172268	1.976899e-06	2.796622e-07	1.6306045e-07	0.10055929	1.0423841e-07	1.9426672e-08	0.016103163	1.4702915e-08	1.1042838e-06	4.09815e-08	0.42008957	0.16086008	1.1941495e-07
priorregion1_spot_9	8.052533e-07	5.918807e-07	2.047614e-06	0.16069305	0.36466026	2.7994741e-07	1.7419376e-07	0.14451773	0.038426828	9.0207344e-08	1.9693804e-08	9.93988e-07	3.4525584e-08	1.2969659e-07	6.37539e-08	1.1015958e-07	0.29169682	4.2425196e-08
priorregion1_spot_10	1.5956091e-07	1.7991114e-06	0.022019789	1.8643696e-07	3.601633e-07	3.3659506e-07	3.5393063e-07	1.5864082e-07	0.004442369	0.013872058	1.8104174e-08	0.011903162	2.2669504e-08	5.2471296e-07	4.2248692e-07	0.70711774	0.24063987	6.6150943e-07
priorregion1_spot_11	0.0028149937	7.163748e-07	1.092191e-05	0.012274608	0.3639496	3.4806e-07	2.6314484e-07	2.5141702e-07	3.173551e-07	2.0097043e-07	2.1979429e-07	1.5284135e-07	0.0007456526	1.2050019e-06	3.3343156e-07	0.22418037	0.39601964	1.657668e-07
priorregion1_spot_12	0.012068783	3.281701e-08	0.083766684	0.015973547	0.42166924	8.266855e-07	3.184378e-07	7.8734456e-07	0.00063473044	4.5106555e-07	3.0179937e-08	0.0011816676	1.7851749e-08	0.0059248735	1.970676e-07	0.32627523	0.13250247	1.3651791e-07
priorregion1_spot_13	0.020019952	0.010910191	4.2988054e-07	8.338088e-07	4.3452067e-07	1.1850502e-07	1.5742334e-07	1.8292789e-07	7.232466e-06	3.4359172e-07	0.0016080337	0.022363996	3.9821134e-07	6.712624e-07	2.0680666e-07	4.9818823e-07	0.9450748	1.156333e-05
priorregion1_spot_14	0.0028337294	0.0011559005	1.3546453e-06	0.04108067	0.2258066	2.724926e-07	2.99067e-07	1.5888038e-05	0.006699334	0.025426066	2.4974695e-05	1.0084433e-06	4.6534048e-08	0.027673656	2.3453417e-07	0.3491115	0.32016745	1.0006385e-06
priorregion1_spot_15	1.9939401e-08	1.1732529e-08	0.04454196	0.061623476	0.49797678	2.284552e-07	0.010674338	0.17296866	1.3476435e-07	0.054411203	6.196444e-09	2.691943e-06	3.2490983e-09	8.500918e-08	6.6927925e-08	0.15780038	6.910239e-09	4.9440736e-08
priorregion1_spot_16	0.0013095832	8.395515e-08	0.047828313	0.014201026	0.20607996	2.0089744e-06	0.043314412	1.4723039e-06	0.0091395695	2.6922962e-07	5.236531e-08	2.410811e-07	4.677999e-08	0.013558237	6.537122e-08	0.36349353	0.30107105	8.016019e-08
priorregion1_spot_17	0.0026384268	0.0005184612	3.9866302e-07	5.0818535e-06	0.36026892	7.154184e-07	1.9610721e-07	2.4594286e-07	0.05655565	2.0470875e-07	2.150703e-08	5.056203e-07	2.5239972e-08	1.3472636e-06	0.0040084757	0.36004728	0.21595383	2.654324e-07
priorregion1_spot_18	0.00459928	0.006674048	8.011456e-08	3.9272345e-07	1.09080304e-07	1.9660004e-07	4.2563923e-07	9.3848705e-08	0.010278721	7.754575e-06	7.719475e-08	8.8132515e-07	2.3764575e-07	0.043119937	4.7021666e-07	0.4845815	0.38809752	0.06263828
priorregion1_spot_19	4.8255268e-05	0.0068498324	2.9023715e-07	0.045593485	0.12763658	1.7794495e-07	7.8491794e-05	0.027003191	1.912382e-07	0.0042279284	4.0789075e-08	4.93154e-07	4.475941e-08	0.022784887	5.336756e-07	0.6207961	0.14497417	5.371794e-06
priorregion1_spot_20	4.4094034e-07	6.2194495e-08	2.9277956e-07	0.0012684211	0.20678587	0.07322906	0.014264738	1.9731661e-07	2.2893056e-07	7.929699e-07	6.5857836e-07	0.01680167	9.5558555e-08	5.9680533e-06	2.2055856e-07	0.39731562	0.23157898	0.058746703
priorregion1_spot_21	0.012182777	0.008779875	2.5484235e-07	0.059299894	0.2876111	2.5304298e-06	7.5474907e-07	3.519616e-07	1.7976416e-06	1.7821714e-06	7.349474e-08	1.7164913e-06	7.9659024e-08	0.0077110953	8.0054136e-08	0.32557344	0.29883203	4.0348152e-07
priorregion1_spot_22	0.0020251023	0.0046449834	5.3861727e-06	0.0065718964	0.5944817	3.182585e-06	0.08415923	0.0049890387	0.016770432	2.682101e-07	5.5075327e-07	0.046531335	3.6382488e-08	0.040075187	1.1303366e-06	2.7321832e-07	0.19974017	1.4917967e-07
priorregion1_spot_23	0.0057463855	5.333375e-07	6.9001857e-07	7.932125e-07	0.32762307	0.008498887	7.3745235e-07	4.388049e-07	0.0142585365	0.0033380955	0.0007555623	5.2867136e-07	7.6691975e-08	0.009467266	0.00697855	0.30957475	0.31375283	2.2019565e-06
priorregion1_spot_24	2.5353208e-07	4.0049065e-07	1.2743632e-07	1.0290576e-07	0.24220635	8.778818e-08	0.02225442	4.771507e-07	0.04537452	2.1164993e-07	2.3325298e-07	4.7392073e-06	7.667345e-08	0.0023894082	1.3908154e-07	0.37903133	0.308737	9.487979e-08
priorregion1_spot_25	2.9489806e-06	3.597953e-06	0.0150964325	0.07925418	0.11316808	0.049048945	2.3560117e-06	7.738354e-06	0.01642477	4.7617837e-07	2.6366772e-07	1.0495941e-06	5.8918164e-07	0.06905245	2.591734e-07	1.1824171e-06	0.6579334	1.3287602e-06
priorregion1_spot_26	4.4712667e-07	3.9082576e-07	3.2170706e-07	0.0041934024	2.2452731e-07	5.48974e-07	2.199207e-07	2.681816e-07	0.0148322135	1.6174745e-05	3.194905e-07	2.1698789e-07	6.642658e-08	0.1189099	9.0146905e-06	0.55971235	0.30222833	9.551346e-05
priorregion1_spot_27	0.008580261	0.004156102	1.8630742e-05	0.18854883	0.18103288	8.000359e-07	2.9261943e-07	9.910244e-06	7.7094444e-07	1.8873824e-06	6.505724e-08	0.014884625	3.213621e-08	2.669748e-07	2.6359393e-07	0.4141604	0.17356403	0.015039991
priorregion1_spot_28	1.8741268e-06	0.00018375168	0.06349454	0.012421295	0.13813648	3.7860493e-06	1.0207001e-06	4.837458e-07	0.038067605	1.1615247e-05	3.8158955e-08	0.057077445	1.3623998e-07	0.01063006	0.022504902	0.25965667	0.39780644	1.8271156e-06
priorregion1_spot_29	8.953504e-09	4.376056e-09	1.5185516e-07	1.8418626e-07	0.41686282	4.296579e-06	1.97217e-07	1.9959764e-07	0.017953712	7.3873457e-06	1.123986e-08	0.015695887	1.3431747e-08	0.005710325	1.226195e-07	0.54376465	6.524806e-09	1.0267663e-07
priorregion1_spot_30	6.466884e-09	2.2641169e-08	2.2344616e-07	0.2533547	2.6323505e-06	0.048622675	1.057002e-07	1.2373722e-07	5.9058e-08	0.023595747	5.740418e-09	1.3283878e-06	2.4049716e-09	0.1448061	1.2489932e-07	0.5296137	9.440131e-09	2.4449841e-06
priorregion1_spot_31	0.0031460645	0.0027408963	0.010443249	2.6218837e-07	0.050430685	1.0396665e-06	6.4011766e-07	1.404292e-06	5.7129876e-07	0.015938101	4.1794004e-07	0.035665825	5.202999e-07	0.04107337	1.4490566e-06	0.2127282	0.6063698	0.021457482
priorregion1_spot_32	1.6739052e-07	0.0033130394	0.00075965584	9.0402176e-07	0.20058809	6.2723353e-07	0.09058494	7.72719e-06	6.447923e-07	0.022334293	4.9641177e-08	7.655648e-07	3.2392965e-08	5.961601e-07	0.0021692351	0.5115545	0.1686843	4.5246432e-07
priorregion1_spot_33	1.1263925e-08	1.7574646e-08	0.10360686	0.028368901	0.61669356	0.0035894304	0.13128187	0.09859085	0.017864026	1.2904415e-07	1.7492727e-08	1.9791682e-06	2.5353165e-08	5.8504304e-07	1.9869316e-07	1.3741749e-06	1.5711398e-08	1.692906e-07
priorregion1_spot_34	2.0990943e-07	2.7732668e-07	1.8835021e-06	0.019781193	0.2360054	4.472327e-07	4.063946e-07	0.06637926	1.7781462e-06	2.6204904e-07	4.695889e-08	5.0160594e-07	0.0005867548	0.059463736	1.2217666e-07	0.24174461	0.37602875	4.351619e-06
priorregion1_spot_35	0.016735522	7.264847e-08	0.034956828	5.172429e-07	2.9446608e-06	0.05770152	7.69576e-07	4.6492508e-07	1.2293124e-06	3.063625e-05	2.3764168e-08	7.1920437e-07	5.7537957e-08	0.06058745	0.0008133794	0.60474646	0.19240269	0.03201866
priorregion1_spot_36	4.164049e-07	0.001781355	9.4751135e-07	0.00018062923	0.25935766	1.5542919e-05	1.5805416e-06	0.00832201	1.638454e-06	7.411898e-07	2.8598437e-08	0.020815061	5.1728613e-08	0.0554458	2.0058644e-07	0.42890823	0.22516778	3.898197e-07
priorregion1_spot_37	1.3258139e-07	2.5245666e-07	0.03284892	0.014370727	0.09891251	0.027174937	0.049782533	2.3526518e-06	0.00020215678	0.015777163	2.4039412e-08	0.010058378	2.6199382e-08	8.62147e-05	2.1004691e-06	0.58228713	0.16424854	0.0042458707
priorregion1_spot_38	0.006199089	9.3098855e-08	3.6716483e-07	0.011091443	0.47707444	0.14475505	1.5352255e-07	2.0638534e-07	1.368075e-07	1.0381643e-07	3.8636692e-08	9.852594e-07	0.0007301042	4.4740715e-05	7.2288884e-08	0.29219937	0.06790348	1.8201848e-07
priorregion1_spot_39	0.0014889874	7.017452e-08	0.0033073789	0.27965835	0.3089886	1.7290894e-07	8.022346e-08	2.2302602e-07	9.718815e-08	0.036661003	1.881509e-08	0.05070606	3.4009002e-08	1.9064996e-06	2.1326953e-07	0.13428356	0.18490194	1.3122342e-06
priorregion1_spot_40	0.03377033	4.4610985e-08	0.026138082	2.2008298e-07	2.4891818e-07	4.271766e-07	5.6746813e-07	1.9964573e-06	1.9128757e-07	7.071274e-07	2.1655058e-08	0.0028348004	6.040488e-08	2.192662e-06	3.7107125e-07	0.65854317	0.27870637	2.1870501e-07
priorregion1_spot_41	0.063588366	2.084523e-06	4.967924e-07	6.9393127e-06	0.1651507	0.0053466773	4.546086e-07	3.6120983e-07	0.092834786	4.9970396e-07	4.6319886e-07	0.0024046104	4.3559695e-07	3.1355394e-05	2.531628e-07	6.190142e-07	0.6706299	9.456652e-07
priorregion1_spot_42	1.8851752e-07	4.7731092e-08	3.7777502e-07	3.6691355e-07	0.49715853	6.5209355e-07	4.0100056e-07	5.5249006e-07	6.0123995e-07	1.4496287e-07	7.336661e-08	6.0679946e-07	0.0010142254	0.092269145	9.8083284e-08	0.21604815	0.19350462	1.2384999e-06
priorregion1_spot_43	0.0049603432	0.012348893	1.9256964e-07	0.0018445762	3.9175717e-07	1.352153e-06	2.8494102e-07	1.7355718e-07	2.6111388e-07	0.023169719	4.4753325e-08	0.013103599	4.4564484e-08	0.055531394	9.771719e-06	0.6175873	0.15110856	0.120333046
priorregion1_spot_44	0.0035044786	1.1699031e-07	3.6637687e-07	0.1206449	0.5398951	2.8345858e-07	5.884826e-07	3.207569e-07	0.048669	2.1245262e-07	4.0403236e-08	1.0113387e-05	2.0942778e-07	6.2378325e-07	1.0268388e-07	0.13196799	0.15530531	1.6631232e-07
priorregion1_spot_45	4.3621554e-07	0.0007371883	9.250317e-06	0.16322733	0.31878898	3.8232315e-06	0.04221274	0.2656445	2.10836e-06	1.7869553e-07	0.0019260378	7.485701e-06	2.8563015e-08	8.648996e-07	1.8952967e-07	0.00019658287	0.20442267	0.0028195432
priorregion1_spot_46	1.5714991e-07	6.16511e-08	0.074427396	0.10002854	0.23864898	0.04230279	3.996753e-07	3.387246e-07	2.0574272e-07	0.006560024	2.331218e-08	0.075414	3.9110404e-08	1.5619107e-06	1.5235277e-07	0.30769747	0.15491764	2.4391184e-07
priorregion1_spot_47	0.00524792	2.9984175e-08	1.4990503e-07	1.0069673e-07	0.078866266	0.03496732	2.005592e-07	1.227803e-07	0.016694594	2.1356509e-05	0.001545597	0.023765795	3.9730864e-08	0.049125444	6.5096566e-07	0.6576201	0.13214171	2.645733e-06
priorregion1_spot_48	2.2832007e-08	1.4881655e-08	1.0742375e-06	0.04705484	0.5144303	2.1018738e-07	1.752708e-06	1.5352256e-06	1.540316e-07	0.027738618	6.589371e-08	0.040399864	1.7676443e-08	6.461774e-06	0.03818295	0.33218077	1.7615676e-08	1.3574448e-06
priorregion1_spot_49	2.5137913e-07	1.8897081e-06	0.016424855	3.3554798e-07	0.31332317	0.0011378467	4.8855236e-07	4.7284036e-07	5.3113513e-07	2.0584166e-07	2.2851232e-07	0.009780942	2.0195692e-08	0.043996353	9.3664056e-08	0.40144956	0.21388252	1.5675319e-07
priorregion1_spot_50	0.00064547046	3.2917308e-07	5.679316e-07	1.6605327e-06	0.39609015	2.7518803e-07	6.137715e-07	0.046407353	7.9447966e-07	7.0819937e-07	8.283565e-08	2.1950727e-06	9.25019e-08	0.10409612	1.4634601e-07	0.13844019	0.31431305	2.0411275e-07
priorregion1_spot_51	0.0009899228	0.0074096825	1.0714105e-06	0.07356346	0.24780577	0.005389314	2.9464877e-07	4.6836703e-07	3.254723e-07	0.024198867	4.3963986e-08	4.144446e-06	1.5878076e-07	0.033344496	0.026030073	0.29300457	0.28825635	1.0955075e-06
priorregion1_spot_52	5.9849947e-07	3.7034218e-07	3.3221354e-06	0.03199971	0.5251202	0.010810298	2.3159826e-06	6.5860813e-06	5.3190706e-06	4.2343655e-07	9.886093e-08	0.011396373	6.4357366e-08	0.020223709	2.4617145e-07	0.17316122	0.22726862	4.4918033e-07
priorregion1_spot_53	0.0025003839	1.5609824e-07	5.7366155e-06	0.045334786	0.012832733	0.04014763	1.0000757e-06	1.3490578e-06	1.1625451e-06	4.3637678e-07	3.923898e-08	6.283657e-06	5.9745496e-08	0.019098245	2.3031798e-07	0.6144826	0.265587	2.1666246e-07
priorregion1_spot_54	0.05559008	0.0386643	7.4897457e-07	5.737013e-07	6.8232305e-07	7.8296324e-07	4.2169495e-07	7.124545e-07	5.108693e-05	0.012937726	0.006473555	1.6950964e-06	7.3874446e-07	0.037474316	1.0151317e-06	2.684997e-06	0.84879684	2.0594082e-06
priorregion1_spot_55	3.5763867e-07	0.00032117122	3.0679558e-07	0.0577786	0.36025122	6.4543565e-07	4.5156983e-07	2.7351984e-07	0.023643272	1.3051232e-06	8.287519e-08	7.895991e-05	4.6195495e-08	0.16033733	1.6902932e-07	0.22787175	0.16971391	1.6420182e-07
priorregion1_spot_56	6.962269e-08	2.6731596e-08	0.0011551433	0.15808818	0.68452424	1.0519461e-05	1.3312032e-06	3.3832441e-06	4.2433257e-07	5.2587097e-08	4.626882e-08	3.9101164e-06	6.337477e-07	1.2765432e-07	6.5055204e-08	1.452924e-07	0.15621154	8.946826e-08
priorregion1_spot_57	1.7412682e-06	0.005446969	0.032771632	0.06680402	0.3078118	2.0587524e-07	3.9811536e-07	0.039904766	2.7415172e-07	3.503593e-07	4.4986756e-08	0.018944971	5.3346387e-08	0.01781848	0.046909798	0.09941239	0.36416882	3.2356686e-06
priorregion1_spot_58	1.0878188e-07	6.7973235e-07	5.901042e-07	0.022100212	0.35023826	5.451895e-07	2.1235762e-06	5.1054343e-07	1.35271e-07	1.5229372e-07	2.0237025e-08	7.583884e-07	2.9256648e-07	0.05807882	1.6631786e-07	0.45652318	0.113053076	3.836181e-07
priorregion1_spot_59	0.010076511	0.00694423	0.005117737	9.3896915e-07	2.0134995e-07	1.0245264e-07	1.6743967e-07	1.4164376e-06	1.21403e-06	6.123678e-07	0.0033479002	2.3790082e-07	2.5142212e-08	7.72252e-05	1.9210488e-07	0.6762196	0.29147923	0.0067324215
priorregion1_spot_60	8.618375e-09	1.0359413e-08	0.06784161	2.1771299e-05	0.846733	1.080418e-05	0.022197979	0.050609022	1.8126664e-06	1.1995729e-07	5.081333e-08	0.008306515	7.788052e-09	1.7630832e-07	1.0093097e-07	0.004276989	7.2661828e-09	8.740309e-08
priorregion1_spot_61	1.515477e-07	7.977513e-08	0.002115329	0.11197091	0.32006848	2.2229558e-07	4.3502746e-07	0.038231675	1.7766457e-07	0.028611884	9.102517e-07	0.052872557	1.7755562e-08	0.09311975	1.4904786e-07	0.16787952	0.18512772	8.543393e-08
priorregion1_spot_62	0.03651924	7.865882e-06	4.64278e-07	2.8504817e-07	3.3387994e-07	1.1629644e-06	3.1440555e-07	4.0126184e-07	2.7085498e-06	1.4183356e-06	6.32524e-07	8.090524e-07	8.526702e-07	0.06748158	2.319252e-06	4.1653388e-05	0.89159745	0.004340514
priorregion1_spot_63	0.0024617433	2.5923193e-06	0.0145668285	6.3023617e-06	0.16030423	1.0561005e-06	1.8762727e-05	0.05235508	0.04742406	4.5168283e-05	6.5341574e-08	0.013526531	5.090932e-08	0.19675304	6.4849614e-06	0.37719247	0.12678026	0.008555239
priorregion1_spot_64	1.5021667e-06	3.043454e-07	0.04707495	1.2623849e-07	1.2340546e-06	0.0041243355	0.00026783047	1.6885765e-07	7.2890316e-07	1.0906347e-06	1.5909161e-07	0.022475412	1.7049355e-07	8.261819e-06	3.380818e-07	0.50521195	0.42083085	5.7386285e-07
