	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	0.030078145	5.6577786e-08	0.36220393	0.034819152	4.8608814e-07	3.4330304e-07	3.2485517e-05	5.3993965e-05	0.5084418	1.7271537e-07	0.00018768576	1.1254766e-07	0.049872283	4.6673554e-07	0.014308037	2.8131134e-07	2.9423434e-08	6.659866e-07
priorregion1_spot_2	8.844817e-09	2.97732e-08	0.26170376	9.764998e-08	3.0178475e-07	1.0718697e-06	2.097789e-06	0.034557585	0.5164947	1.2493597e-07	5.955463e-09	1.3077747e-07	0.1579033	9.5588e-08	7.253651e-08	0.029336646	5.1260534e-09	8.1079016e-08
priorregion1_spot_3	6.528704e-09	5.9412337e-09	6.0477255e-08	0.0070763323	5.045819e-07	2.3022264e-07	1.4629156e-06	6.7628326e-07	0.3930048	1.9566717e-07	7.795309e-09	0.006108121	1.4000431e-08	0.00015433785	1.00309116e-07	0.5936529	3.255494e-09	1.4340526e-07
priorregion1_spot_4	0.00032013396	3.8062684e-08	0.46072516	0.01647336	4.1688704e-06	1.060743e-06	1.036962e-06	0.021128215	4.677861e-07	0.004891989	1.4697709e-08	1.7508098e-07	0.4964538	5.661684e-08	5.0059032e-08	6.121254e-08	2.5061635e-08	5.7430057e-08
priorregion1_spot_5	8.433441e-08	1.3680237e-08	0.3562066	1.0304527e-06	2.7022784e-06	0.0051988517	5.126636e-07	1.111389e-06	0.11629472	4.8819794e-07	1.0279924e-08	0.014919829	0.10618728	0.08385391	1.446709e-07	0.3152807	1.0165533e-07	0.0020519712
priorregion1_spot_6	8.168499e-09	3.8479615e-09	0.21707603	0.015849097	7.501562e-07	8.328945e-07	4.0054218e-07	0.032441463	0.32365137	3.5592514e-06	2.8212337e-09	2.6489153e-07	7.1876487e-09	1.0246068e-06	8.3794696e-08	0.41097507	1.9324264e-09	9.874129e-08
priorregion1_spot_7	5.2685056e-08	9.146738e-09	0.7182582	2.6008689e-05	3.8376166e-07	1.0630188e-06	0.017675128	2.1372924e-05	0.15516645	1.4862428e-07	4.590931e-09	1.0760448e-07	9.912879e-09	2.4538215e-07	1.546317e-07	0.1088502	5.3635243e-09	2.860904e-07
priorregion1_spot_8	4.7018087e-08	1.8951821e-08	0.27694267	0.10425832	4.337253e-06	4.6607993e-06	0.02434374	2.2089348e-06	0.32857943	1.1933243e-07	1.6620369e-08	2.9014515e-07	0.25936836	2.9495854e-07	1.3646188e-07	0.006495459	3.6159744e-08	1.10776085e-07
priorregion1_spot_9	1.7611827e-08	5.1810356e-09	0.42563155	2.8353153e-07	2.33759e-06	6.40752e-06	6.7975197e-06	2.8470844e-05	0.33544052	2.776786e-07	3.72557e-09	8.419168e-07	8.095343e-09	1.2336754e-07	1.251297e-07	0.23886698	1.4611501e-05	6.7902585e-07
priorregion1_spot_10	4.1730658e-08	6.439978e-08	0.16982853	0.029009027	6.4857995e-05	2.332205e-06	0.008193423	0.04227129	0.15687093	0.011984208	2.5087147e-08	1.377259e-06	0.19454306	2.4865294e-06	3.6369582e-07	0.3872276	3.250332e-08	3.1264835e-07
priorregion1_spot_11	1.7612978e-08	0.00023958381	0.5237212	3.73169e-07	3.4334326e-07	1.4674848e-06	5.6748627e-07	1.5944452e-05	0.14524555	0.010559093	5.21578e-09	1.7534953e-07	0.00028182587	6.9934067e-06	1.2644243e-07	0.31992656	7.747208e-09	1.6392501e-07
priorregion1_spot_12	0.001017814	0.000371918	0.14714931	3.8699997e-07	7.9822394e-07	0.011767067	1.1421959e-06	1.0412622e-06	6.760601e-07	9.373651e-06	2.201729e-08	4.6477584e-07	3.2841633e-08	0.10479298	8.172905e-07	0.7346868	0.00019791166	1.4470429e-06
priorregion1_spot_13	0.03598565	1.910505e-07	1.8191608e-07	2.136797e-07	3.8258185e-07	3.1300075e-07	4.4530162e-07	2.3822122e-07	0.51944166	4.2078656e-07	2.1326263e-08	1.2151818e-06	0.053708326	4.57333e-07	1.15465696e-07	0.39085954	4.9756647e-08	4.4097007e-07
priorregion1_spot_14	0.0006132897	1.3936281e-08	0.42380688	8.842232e-07	2.9780472e-06	2.6317898e-06	1.4937874e-06	7.5478742e-06	0.09404374	0.0005126667	1.4209116e-08	1.2135517e-06	2.5505837e-08	6.2472786e-06	3.3158142e-07	0.48099887	2.0383247e-08	1.1762284e-06
priorregion1_spot_15	2.6837665e-08	8.142781e-09	0.066022865	1.7289592e-07	1.6394189e-06	2.021376e-06	3.0312141e-05	0.06159367	0.5527807	2.5512136e-07	1.3936353e-08	0.014150758	0.15994655	3.296947e-07	1.5707782e-07	0.14547026	4.5884477e-08	2.0919413e-07
