	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	6.526949e-06	0.00022660439	2.4051576e-07	0.0027972942	0.22240251	2.3876999e-07	4.5871192e-07	3.068985e-07	0.022772603	3.1644706e-07	6.6528e-08	3.1766297e-06	3.20637e-07	0.0387817	1.6381658e-07	0.330676	0.3823309	5.7707797e-07
priorregion1_spot_2	2.644055e-08	1.1976344e-08	2.4015068e-07	0.20098965	0.0759588	0.029861474	0.009475821	3.2364338e-07	1.698012e-07	5.0732393e-07	9.485009e-09	2.3160366e-07	0.00017344441	1.058972e-05	2.4717735e-07	0.6835275	7.859459e-09	9.109619e-07
priorregion1_spot_3	2.964789e-07	0.0013759166	7.156519e-07	4.643584e-05	0.5627121	5.389166e-07	0.0148894135	5.6714657e-07	2.2498148e-06	4.5746916e-07	7.571981e-08	4.0735786e-06	0.00023425074	0.014534486	3.0353033e-07	0.05420953	0.35198832	2.3075575e-07
priorregion1_spot_4	0.0008476178	0.0034597877	4.5284548e-08	2.925896e-08	5.2122267e-08	5.680947e-08	5.5182014e-08	4.3185608e-08	9.421891e-08	1.5062919e-07	0.00025606932	6.861674e-08	8.4934464e-07	0.00023858585	3.352849e-07	0.35306117	0.6421339	1.1704284e-06
priorregion1_spot_5	5.264274e-07	0.0043967273	8.024941e-07	0.0048734974	0.28427094	1.3510955e-06	1.5778625e-07	2.6336693e-07	0.020885749	0.005289265	6.981099e-08	1.5263085e-07	6.864718e-07	0.032965273	0.0025579769	0.1840293	0.46072704	3.252889e-07
priorregion1_spot_6	0.01001254	1.1892344e-07	1.3967785e-07	4.5955142e-07	0.39722863	1.0825579e-05	2.54094e-07	1.9233902e-07	0.016720908	0.0010399977	2.2994396e-08	6.688357e-07	1.6881175e-07	7.431668e-07	8.9473815e-07	0.37303895	0.20194416	2.7001704e-07
priorregion1_spot_7	0.0056979773	0.0006817362	5.5483525e-07	2.5412058e-07	0.21588504	0.004770917	1.9204091e-07	1.3310728e-07	1.2326647e-05	0.0067042373	5.7887483e-08	0.00083475636	0.0006085132	0.07374606	2.084092e-07	0.21059528	0.48045978	2.0038322e-06
priorregion1_spot_8	1.2329504e-07	0.0014655818	1.9208065e-07	2.1431108e-06	0.31912914	2.1937723e-07	3.0918514e-07	1.826467e-07	0.045859654	1.3617324e-07	2.734718e-08	2.29698e-07	2.5486872e-07	2.7255046e-06	1.3619622e-07	0.3910381	0.23529904	0.007201708
priorregion1_spot_9	4.815928e-07	8.736382e-07	5.8867323e-07	0.17212322	0.36265656	9.415024e-08	1.1968672e-07	0.06504538	7.651103e-06	3.5164057e-08	1.10479256e-07	5.1129167e-08	8.518598e-06	5.27792e-08	2.8276373e-08	4.5822112e-08	0.40015608	6.2350644e-08
priorregion1_spot_10	8.282731e-08	0.002910661	1.2210356e-07	5.7189887e-08	1.2680482e-07	1.3019994e-07	1.2136924e-07	6.909143e-08	2.0881367e-07	3.5662677e-07	2.47651e-08	4.2968378e-07	2.9583612e-07	3.6849624e-06	1.085655e-07	0.60369694	0.39338636	2.0920177e-07
priorregion1_spot_11	3.958917e-06	0.0021547193	2.0760103e-07	0.0005419781	0.29901296	1.5837853e-07	1.5270126e-07	1.3507302e-07	4.973511e-07	1.04110036e-07	0.00076831103	1.3900095e-07	0.0044275434	2.096691e-07	2.5066646e-07	0.14278933	0.5502992	1.01775484e-07
priorregion1_spot_12	0.0063063176	3.4593933e-07	2.0611833e-06	4.708561e-06	0.49521488	6.850825e-07	2.3045368e-07	1.7870246e-06	0.007051099	2.676647e-07	4.713082e-08	9.147921e-07	4.8180205e-08	0.04205713	3.1816646e-07	0.25114128	0.19821762	1.7088182e-07
priorregion1_spot_13	0.014723919	0.0011611826	5.0673894e-08	7.915309e-08	4.3802753e-08	3.1456835e-08	3.5800294e-08	3.829523e-08	4.3770387e-07	8.782858e-08	3.0193482e-06	1.04822476e-07	0.0035755925	6.509995e-08	7.073386e-08	7.0258345e-08	0.980535	1.4887799e-07
priorregion1_spot_14	8.251191e-05	0.0021489926	2.0575852e-07	1.0130558e-06	0.21143267	1.5058136e-07	2.1181239e-07	3.51577e-07	2.7913454e-06	4.6820458e-07	0.00041544368	3.600819e-07	1.083485e-06	0.001649825	1.9214387e-07	0.32791406	0.45634925	4.0602845e-07
priorregion1_spot_15	9.140913e-09	4.1453195e-08	3.4453155e-05	0.01118752	0.5833059	3.9784018e-07	1.785148e-05	0.1495137	2.708873e-07	1.7282954e-07	2.8059985e-09	1.5070851e-06	4.5770343e-09	1.0257313e-07	5.980946e-08	0.25593787	3.599906e-09	4.9993037e-08
priorregion1_spot_16	0.0034144337	0.0013275591	5.674705e-07	0.03028531	0.24969217	2.1302378e-07	0.0032790815	3.6474896e-06	7.026605e-07	3.170991e-07	7.307209e-08	4.0614634e-07	1.7617566e-07	6.6998774e-07	0.0036390866	0.3505769	0.35777843	1.4732237e-07
priorregion1_spot_17	0.00018837662	0.000637432	1.5578055e-06	4.3984164e-07	0.3041802	8.5025766e-07	1.8999735e-06	1.6053463e-06	0.048731934	1.13000276e-07	3.1092867e-08	8.7268916e-08	2.075021e-07	3.276667e-06	0.007042568	0.3615301	0.27767923	1.4048442e-07
priorregion1_spot_18	0.0047109434	0.010126744	6.839357e-08	9.3459484e-08	5.8095054e-08	8.427095e-08	0.0020490014	5.918592e-08	3.7246835e-07	0.005064102	6.00034e-08	6.641378e-07	3.6028998e-06	0.055210438	4.6660116e-07	0.43283725	0.48999003	5.9518175e-06
priorregion1_spot_19	0.0018281062	0.0012377428	2.491777e-07	0.0094959615	0.086050116	2.2563343e-07	0.00021009971	0.052792758	6.5117354e-07	5.4458187e-06	2.779416e-08	6.8102577e-07	6.331051e-08	0.0011703233	1.1344083e-06	0.6767575	0.170319	0.0001298776
priorregion1_spot_20	4.3518054e-07	1.6395722e-07	2.7124645e-07	5.412655e-07	0.22257704	0.0128811	6.901506e-07	1.7865267e-07	5.081198e-07	5.6952746e-07	0.00094482943	0.009755756	0.00071473327	0.05937329	2.9386553e-07	0.3843619	0.3093831	4.5439374e-06
priorregion1_spot_21	0.005041111	0.0103168655	6.4206324e-07	0.07199879	0.25666472	6.122578e-07	2.1600972e-07	3.0356256e-07	3.1086424e-06	2.3122308e-07	5.605822e-07	4.8623843e-07	6.527512e-07	2.3947003e-05	1.4907316e-07	0.27112177	0.38482538	4.7607023e-07
priorregion1_spot_22	2.9103808e-06	0.014132649	1.9304073e-06	0.0019391811	0.6559352	2.139833e-06	0.0002631859	9.640429e-06	0.01318206	1.0589876e-07	9.830716e-08	1.1622335e-05	6.122812e-05	1.3762941e-06	1.1734177e-07	3.023673e-07	0.31445605	1.210101e-07
priorregion1_spot_23	4.3906343e-06	0.0011177352	3.1390906e-07	7.8246563e-07	0.25516808	1.1406039e-06	2.3862555e-07	3.5655816e-07	0.004331401	2.8035117e-07	2.6892576e-07	1.7190769e-07	6.116135e-07	2.4312065e-05	2.5709215e-07	0.29089618	0.44845307	4.2610347e-07
priorregion1_spot_24	7.4181145e-07	0.00737602	1.0335392e-07	1.2417719e-07	0.19961601	9.252734e-08	2.5947614e-07	2.3224095e-07	0.00356519	1.4905103e-07	0.0010986815	2.2128967e-07	3.214335e-07	6.6521116e-06	2.0721185e-07	0.34003097	0.4483035	5.2470426e-07
priorregion1_spot_25	0.022952795	0.043425858	9.162e-07	0.063437946	0.18198997	1.3204764e-05	7.5838085e-07	1.2741764e-06	0.02448177	3.190042e-07	6.381775e-05	5.8864225e-07	5.696853e-07	0.04915565	1.9094915e-07	4.157608e-06	0.6144695	6.499204e-07
priorregion1_spot_26	1.4841504e-06	1.0247445e-06	6.465617e-08	8.059591e-08	9.609942e-08	1.1721944e-07	1.2435592e-07	9.722719e-08	3.0038507e-07	7.3583633e-06	0.0013873379	6.614461e-07	1.2011698e-05	0.13058397	2.8145037e-06	0.44433272	0.4236627	7.041079e-06
priorregion1_spot_27	0.004099446	3.3265e-06	4.2399466e-07	0.16450499	0.18193035	3.9483285e-07	4.2318473e-07	5.425173e-07	8.62789e-07	6.2078817e-07	2.5832765e-08	7.474943e-07	2.0974079e-07	1.7279289e-06	3.628672e-07	0.38261172	0.2668428	1.0508585e-06
priorregion1_spot_28	1.4503685e-05	0.0095992815	3.3214312e-07	3.1395746e-07	0.23054539	4.9001727e-07	2.1459766e-07	3.5070622e-07	0.008897684	4.5785498e-07	1.4964844e-07	1.5284515e-06	1.980112e-06	1.1146611e-05	9.632737e-07	0.23569438	0.5152304	3.7484918e-07
priorregion1_spot_29	8.074311e-09	7.188664e-09	9.707276e-08	1.1500261e-07	0.4742974	1.3650545e-06	1.8352648e-07	1.4788979e-07	2.7861714e-07	3.1690627e-07	7.039169e-09	3.8607755e-07	1.0127868e-08	0.035119805	1.0408702e-07	0.4905798	3.5841305e-09	9.119721e-08
priorregion1_spot_30	8.920327e-09	5.964738e-09	1.3095364e-07	0.23297638	0.017368454	0.019920437	1.07201025e-07	1.336474e-07	1.3794119e-07	1.078148e-06	3.1108023e-09	2.4728251e-07	3.433317e-09	0.16647162	8.1647684e-08	0.5632608	2.872548e-09	3.2242303e-07
priorregion1_spot_31	0.01009261	0.00506681	5.4013276e-07	7.863244e-07	0.053157527	4.0926966e-07	9.790226e-07	7.533423e-07	7.8257744e-07	1.2965874e-06	0.0005957618	8.109864e-07	0.00041760446	0.083859585	4.5779947e-07	0.13783005	0.7089684	4.7790177e-06
priorregion1_spot_32	1.2485818e-07	0.002406454	4.9159854e-07	1.0960996e-06	0.20058316	1.5756007e-06	0.03213589	5.058066e-06	2.8738166e-05	6.032937e-07	6.0513926e-08	0.009874835	1.1945534e-07	1.2881529e-06	4.0343178e-07	0.47534606	0.27961367	2.9428074e-07
priorregion1_spot_33	1.3493175e-08	1.4210807e-08	0.013764185	0.0004332346	0.7288743	0.041216813	0.07341973	0.13614006	0.0061103473	2.0714455e-07	1.0814027e-08	1.2911601e-06	1.696482e-08	3.436521e-06	1.3696067e-07	3.5920846e-05	7.944361e-09	2.505362e-07
priorregion1_spot_34	0.001847608	0.018109249	2.6422208e-07	0.004433183	0.31994215	2.3743681e-07	9.3766903e-07	0.02356599	0.0072648483	1.10775105e-07	1.1513566e-07	1.4726272e-07	4.2176694e-07	0.0328036	8.981349e-08	0.21580622	0.3762241	7.9931226e-07
priorregion1_spot_35	0.021333976	0.0017595241	0.011448772	5.0202516e-07	7.326856e-05	0.033073757	5.4494643e-07	6.4513864e-07	0.026259467	3.4910313e-06	1.9996207e-07	3.1178078e-07	2.4606632e-07	0.04177377	0.022986522	0.6549118	0.18636145	1.1746144e-05
priorregion1_spot_36	2.262703e-07	0.0043025655	3.1088325e-07	5.6220534e-07	0.23432474	1.9234086e-07	2.8940568e-07	3.3904118e-07	0.0078100273	8.474388e-07	4.048353e-08	1.7826827e-07	2.2410049e-07	0.023122838	2.5330968e-07	0.4282045	0.30223083	1.0600526e-06
priorregion1_spot_37	1.569761e-07	1.2421154e-06	9.789777e-06	4.7703435e-07	0.16953264	5.0591184e-06	1.3624292e-06	2.2067566e-06	0.017166575	2.2118927e-06	3.6282888e-08	1.2618411e-06	2.9583722e-07	7.726873e-05	1.0538704e-06	0.5679297	0.2452668	1.938968e-06
