	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	0.2453359	5.42687e-08	7.159801e-06	9.038126e-07	0.016138112	1.3421864e-06	1.2029884e-06	9.861869e-05	2.10441e-07	4.6128484e-06	1.4975225e-07	4.9806386e-07	1.7578269e-07	0.39683598	0.18290602	0.15866756	6.3816276e-07	7.8275656e-07
priorregion1_spot_2	0.9093642	4.0723924e-07	1.4950116e-07	1.5923047e-07	1.1053213e-07	1.6652972e-07	1.4350653e-07	1.2145878e-07	8.8365994e-08	2.4351863e-07	0.026577713	5.3932575e-07	3.6614912e-07	0.04813276	2.3588542e-07	8.055418e-07	0.01592148	2.7594155e-07
priorregion1_spot_3	0.78195	2.631044e-07	1.3955828e-06	8.6486466e-07	6.6021335e-07	1.4844002e-06	5.726234e-07	6.8888363e-07	3.0311637e-07	1.01666e-06	0.07959538	1.5868876e-05	9.0055636e-08	1.7727745e-06	0.057885278	0.00014345198	4.3935626e-05	0.080356926
priorregion1_spot_4	0.326934	3.9806444e-08	6.02816e-07	3.9580414e-07	0.5534293	6.462176e-07	2.5351494e-06	7.2292573e-06	0.021953722	9.616296e-07	7.305082e-08	1.6327386e-06	3.402305e-08	7.688591e-07	0.097666405	5.3576616e-07	7.415358e-07	5.41622e-07
priorregion1_spot_5	0.9584016	1.5026363e-07	9.173875e-08	1.9585798e-07	1.0877105e-07	9.854383e-08	1.4138713e-07	1.12051715e-07	5.5299797e-08	3.898733e-07	0.041512586	2.0734804e-07	1.4211115e-07	2.0292093e-07	1.801842e-07	1.5560627e-07	8.333299e-05	2.3933532e-07
priorregion1_spot_6	0.8678074	3.205769e-07	1.4491354e-06	1.1202726e-06	2.5659197e-06	0.052850626	8.896592e-07	4.5151783e-06	3.1999414e-07	6.2861375e-07	0.026569968	1.205578e-06	1.6592105e-07	1.2172118e-06	0.05234247	2.2983445e-06	0.00040941234	3.440621e-06
priorregion1_spot_7	0.20988898	3.503663e-08	1.4821324e-05	0.13702507	0.44949222	0.030013451	0.0001392282	0.16750224	9.481482e-07	3.5612598e-07	0.005913966	4.391747e-06	1.783624e-08	4.444264e-07	8.453738e-07	8.71154e-07	1.4277038e-06	7.6093323e-07
priorregion1_spot_8	0.8589059	1.991086e-06	5.6961164e-07	3.8893864e-07	2.3816689e-07	2.9063534e-07	3.4629358e-07	2.6411354e-07	1.6090485e-07	4.4881452e-07	0.02246298	0.018418722	5.1199316e-07	1.502771e-06	1.1158145e-06	7.2130126e-07	0.057401475	0.042802483
priorregion1_spot_9	0.71812195	3.1835208e-07	5.26859e-07	9.551048e-07	9.227749e-07	1.0934321e-05	0.021417256	3.9687342e-07	2.7754783e-07	1.2129722e-06	0.123286895	7.406435e-07	2.6728554e-07	0.08051429	3.607807e-06	1.3865981e-06	0.0007925622	0.055845473
priorregion1_spot_10	0.95462877	6.806628e-07	5.6615573e-07	4.9086424e-07	4.833041e-07	5.8265243e-07	4.877337e-07	4.1622596e-07	2.3043283e-07	1.915623e-06	0.04507078	7.353827e-07	4.2938922e-07	1.0226743e-06	9.0310675e-07	1.153875e-06	0.0002856912	4.7704966e-06
priorregion1_spot_11	0.11865887	3.936995e-08	1.7497799e-06	1.5035614e-06	5.0490785e-06	0.1572564	1.4521517e-06	1.4967585e-06	7.154446e-07	0.0003511665	0.014417919	7.768575e-06	1.7737937e-08	0.42475727	0.00022438224	0.23106451	3.4727833e-05	0.053214915
priorregion1_spot_12	0.89204407	1.866638e-07	7.2895364e-07	5.6879194e-06	1.0288382e-05	4.478983e-06	2.575588e-06	0.03548377	6.079959e-07	1.0033302e-06	0.04029251	4.664923e-06	0.00069084775	3.768934e-06	0.031364087	5.625152e-05	3.3311408e-05	1.2064872e-06
priorregion1_spot_13	0.9438746	3.2887795e-07	9.602842e-07	6.381705e-07	6.853903e-07	7.086508e-07	5.378526e-07	1.383567e-06	1.3134728e-07	4.129018e-07	0.02438826	1.11519e-06	1.9178918e-07	0.03163962	7.73452e-06	4.9834623e-05	3.1966447e-05	8.4610764e-07
priorregion1_spot_14	0.34320396	8.0868844e-08	9.1275575e-07	1.2186273e-05	0.5611897	6.999699e-07	9.859502e-06	0.00042262019	2.6641973e-07	1.8398945e-06	0.010260801	1.5178551e-06	3.3844398e-08	0.05225455	0.032636475	1.0528379e-06	1.3884511e-06	2.0898517e-06
priorregion1_spot_15	0.8998803	5.4034126e-07	3.650937e-07	5.171862e-07	1.7985771e-07	2.9933156e-07	2.1877013e-07	2.907172e-07	8.289306e-08	3.5123471e-06	0.074918866	2.0201831e-07	1.3302488e-07	2.1442771e-07	3.1752467e-07	3.880867e-07	1.4488722e-05	0.025179226
priorregion1_spot_16	0.8732609	9.565578e-07	1.8591595e-07	1.3131331e-07	1.2905873e-07	2.0962699e-07	1.5859442e-07	1.5133384e-07	1.3259523e-07	4.592317e-07	0.110552534	1.6734339e-07	8.4797097e-07	6.991748e-07	1.2453648e-06	6.064769e-07	0.014834789	0.0013456277
priorregion1_spot_17	0.36680713	1.4599563e-07	1.1476856e-06	0.03160295	0.35515124	0.06883926	0.01211499	4.0469407e-05	2.0135509e-07	5.423061e-07	0.030465556	0.033034768	1.0520948e-07	0.10140346	4.7862745e-06	1.6963246e-06	0.00052912603	2.4531864e-06
priorregion1_spot_18	0.629703	2.5101624e-06	2.849208e-07	3.9277285e-07	3.37295e-07	3.1987895e-07	2.6149073e-07	3.1645615e-07	1.8238914e-07	2.2214153e-06	0.114499964	4.536234e-07	0.0009137131	0.051252026	1.6292325e-06	1.8675266e-06	0.20332277	0.00029781752
priorregion1_spot_19	0.72395986	2.0556814e-07	1.8087691e-07	1.7402324e-07	2.642573e-07	3.104163e-07	1.8737047e-07	1.8690807e-07	1.14472215e-07	2.547809e-07	0.053089693	6.30022e-07	0.009144199	0.04456709	5.533637e-07	1.2573115e-06	0.014473839	0.15476108
priorregion1_spot_20	0.9102405	1.3580748e-07	7.2795433e-07	3.3924692e-07	4.5519909e-07	5.7246564e-07	4.0718854e-07	6.6897996e-07	3.3074528e-07	1.7267935e-06	3.1511481e-06	4.262352e-06	2.2448177e-07	0.066718414	4.8449107e-05	1.0447807e-05	3.525474e-05	0.02293402
priorregion1_spot_21	0.33242616	8.2932004e-08	0.011256873	6.9575267e-06	0.085798316	2.7483632e-06	6.4434187e-07	2.8415218e-06	1.6874328e-07	6.8572905e-07	0.014619091	1.7450744e-06	7.1173176e-08	0.5211574	0.034625147	9.659051e-05	3.3307942e-06	1.3116997e-06
priorregion1_spot_22	0.88499707	6.0466533e-07	1.1568069e-07	2.1620465e-07	1.2908619e-07	1.4820061e-07	1.05866945e-07	1.4146697e-07	8.675649e-08	3.656789e-06	0.060941324	1.7776296e-07	1.8365981e-07	1.1905204e-06	3.9301693e-07	5.863741e-07	0.054052792	8.5658104e-07
