,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,0.00028066656086593865,0.6559582024812698,1.8540682503953576e-05,0.013418986462056637,1.8061538867186755e-05,0.006715092482045293,1.8542787711339773e-05,0.06424105428159237,5.213549138716189e-06,8.739548974290302e-07,4.4338762927509384e-05,3.2041753115663598e-06,1.891515850616088e-07,0.1962385855615139,5.467889593546715e-07,1.7926445821103698e-06,6.11832746244545e-08,2.0872037680419454e-07
priorregion1_spot_2,2.4413398932665587e-06,0.21252082735300065,1.974017395696137e-05,1.5824838828848443e-05,0.02609477983787656,8.95547241270833e-06,2.4141905578289878e-05,0.08140143752098083,3.426825924179866e-06,4.772198863634003e-07,3.492276312577759e-09,1.8213582336557012e-06,1.0769032527946365e-07,0.3814906507730484,2.6292030241847897e-07,1.3285327952416993e-06,1.1499919283508577e-08,1.505667349022133e-07
priorregion1_spot_3,1.9483632414107887e-07,0.1591791197657585,2.392360174781061e-05,1.3351296229302535e-05,0.03374265320599079,4.716134799309658e-06,2.218689924120554e-05,0.18809320852160455,1.5384452763100853e-05,4.146264154769597e-06,6.423690002144156e-09,1.3136981579009444e-05,3.176446007273626e-05,0.3407104715704918,1.2912357419736508e-06,2.403002536084387e-05,4.5766432776872546e-08,4.174158220848768e-07
priorregion1_spot_4,2.3135882454283776e-08,0.24067161455750466,2.0645004951802548e-05,9.609015023670509e-06,6.9201151973175e-06,7.0986708124110015e-06,8.111710911862248e-07,0.2827943071722985,4.980448557034834e-06,0.0009534275450278074,1.7966098719846002e-09,1.1171560686307202e-06,5.731668983877114e-09,2.2348837319441376e-05,4.802468993148068e-06,8.663507173878315e-07,5.968031668857066e-09,5.518476598354027e-07
priorregion1_spot_5,4.1053993413697756e-07,0.17442587539553642,1.4516585088131252e-05,1.0840418553925703e-05,1.655486903473502e-05,0.01724418066442013,3.182006639690371e-05,0.04627288673073053,0.00205409760819748,4.079638051734946e-06,2.075140388413388e-08,6.108737466092862e-06,1.5834552442584026e-07,0.3977733567357063,1.7009903331199895e-06,0.06839213371276855,4.9647110422768044e-08,1.123126730817603e-06
priorregion1_spot_6,4.665403992021311e-08,2.378821140069931e-09,5.078011963632889e-06,1.970704886389285e-06,2.2294679411061223e-06,8.016539936761548e-07,4.935430501973314e-06,1.5184464155026945e-05,1.257999804238352e-06,5.143064504409267e-06,7.093425602455739e-09,0.0258328203111887,2.3306170771064675e-08,0.9295699656009674,1.8107989134819037e-07,0.0003004469035658986,1.340062496524297e-08,1.6471184949296005e-07
priorregion1_spot_7,4.014817456265973e-08,3.760615563397352e-09,1.3710952407564036e-05,4.7337996511487285e-05,9.273544537791166e-06,6.60978455471195e-06,6.529331440106035e-05,0.4570003569126129,1.9041606810787927e-05,2.2178333097144784e-06,3.654396907304403e-09,4.1138703636534046e-05,4.334025272001441e-09,0.37296798527240754,5.63789944862947e-07,5.9559110241025335e-06,1.130428167739339e-09,2.6555186849464013e-07
priorregion1_spot_8,8.170779182137267e-08,0.19081505686044692,0.00010274984779243824,3.094387029705104e-05,2.4680790102138416e-05,5.87844986057462e-06,5.899949542254035e-06,0.6874426692724228,1.6436561736554724e-06,7.30507274511183e-06,1.7218915218109032e-05,1.3499359010893389e-05,1.8333446227813964e-08,0.09596757143735886,1.2208903456212284e-06,1.6875664698545734e-06,5.0560804654153916e-09,3.0688176764215316e-07
priorregion1_spot_9,2.8436331263037577e-07,0.20394541397690774,4.0311703742190737e-05,0.014223266672343016,2.983966642204905e-05,0.044178086705505853,1.6924169358389918e-05,0.3857033923268318,6.10793191299308e-05,4.2300716086174364e-05,1.4794581915111849e-08,0.00010423974126752,4.87222180822755e-07,0.15278450176119804,4.936028608426569e-06,4.174347395746736e-05,3.095176506207055e-08,2.427505694413412e-06
priorregion1_spot_10,2.813416074332054e-07,0.3155866160988808,0.0002817349639371969,0.011390245147049427,9.21481937439239e-06,0.018162340950220825,4.18171000546863e-06,0.20944133624434472,0.02226318959146738,6.229685652670014e-07,4.510930162737736e-09,2.3444104044756386e-06,1.989784959732788e-06,0.000136438496701885,4.901380577848613e-07,2.1349851408558613e-06,6.420828424502646e-09,1.7825014992922662e-07
