	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	0.12886253	2.3542846e-08	3.5514833e-07	7.4761334e-07	4.4358694e-07	5.23932e-07	7.1725435e-07	5.0078603e-07	3.020608e-07	1.9401743e-06	4.8138457e-08	0.48187643	1.883637e-08	1.6476531e-06	2.705438e-06	0.0391933	5.6316242e-08	0.35005778
priorregion1_spot_2	4.5741118e-09	3.6709398e-09	1.2988043e-07	0.07506773	0.09599166	0.0053397245	2.9040455e-05	6.261616e-07	3.8733546e-07	9.309811e-08	8.578493e-09	0.73680425	3.7300505e-09	0.083448194	4.679004e-08	0.003317517	3.5059564e-09	5.8875753e-07
priorregion1_spot_3	0.31557426	2.1875707e-08	9.946947e-07	5.336122e-07	2.1449281e-07	0.29358098	0.041004464	1.3334501e-06	1.3676681e-07	5.8927185e-07	1.2952585e-08	0.10913807	0.00052395597	1.3296918e-06	5.0269585e-07	2.64829e-07	1.6394615e-07	0.24017216
priorregion1_spot_4	0.08247604	1.9783032e-08	2.267682e-06	0.01991308	2.7530543e-05	0.12389953	3.8680635e-05	0.056797635	3.0884794e-07	4.414184e-06	1.410071e-08	0.53898525	2.2158703e-08	0.069358654	0.02015505	1.0097938e-05	5.579723e-08	0.08833134
priorregion1_spot_5	0.0005162557	1.3132269e-08	1.1240419e-07	3.0723186e-07	0.004433433	0.1339281	3.470329e-07	3.4029406e-07	7.55215e-08	1.7921602e-06	0.07427718	0.36549038	9.537228e-09	0.022355214	0.007814269	0.017937763	1.8162279e-08	0.37324446
priorregion1_spot_6	0.00560947	1.2195949e-07	0.0058571887	0.031253632	7.146088e-07	3.1343083e-07	1.8744902e-07	4.6699708e-07	6.652111e-08	1.0012155e-06	0.15082759	0.30381986	7.995119e-09	7.908262e-07	0.03771378	0.0024570725	2.62337e-08	0.46245766
priorregion1_spot_7	0.12739263	5.6063076e-08	4.1244954e-07	1.460099e-07	5.274875e-07	0.140482	6.998314e-06	0.011464765	1.0178296e-06	8.042092e-07	2.9417274e-08	0.32461154	1.6479307e-08	3.684117e-06	0.015200453	0.03828366	7.323049e-08	0.34255123
priorregion1_spot_8	1.2845897e-08	0.00022084879	6.531727e-08	7.423863e-08	4.5069464e-07	1.6538114e-07	9.79695e-08	1.3387167e-07	1.2836264e-07	1.9506417e-07	0.0011693117	0.6979514	6.8535257e-09	1.1699724e-05	1.8340543e-07	0.13573769	1.6876513e-08	0.16490752
priorregion1_spot_9	0.13503501	5.751152e-08	9.3268504e-08	1.7669531e-07	1.1987416e-07	5.039135e-07	6.442675e-08	6.1488244e-08	1.05856884e-07	0.06513784	0.23128396	3.5821256e-07	1.8462053e-08	1.896292e-05	1.6597849e-05	0.0116468	4.1300822e-07	0.5568588
priorregion1_spot_10	1.4589121e-08	9.073814e-09	0.0034917588	4.233478e-07	7.5929984e-07	4.7530993e-06	7.531575e-08	2.2100478e-06	6.7572245e-08	2.6053377e-07	2.9186895e-08	0.28577948	0.00022889649	0.1551775	1.112658e-05	1.8198256e-05	1.2574537e-08	0.5552845
priorregion1_spot_11	3.4781294e-08	4.5851763e-08	1.062706e-06	1.3778571e-06	1.2422339e-06	0.52342254	0.008706772	1.3140897e-06	2.433122e-07	1.3861543e-07	0.46785212	5.5679357e-07	2.367015e-08	2.8074508e-06	1.15517786e-07	9.254556e-06	8.945314e-08	2.0055306e-07
priorregion1_spot_12	0.15378848	1.4498498e-07	1.1995375e-06	5.2396954e-06	3.8981793e-06	0.004658378	9.423626e-07	0.013180125	6.664275e-07	3.635855e-06	0.27101395	0.14735518	7.374782e-08	0.0580142	1.2716729e-06	0.037833996	0.009063925	0.30507475
priorregion1_spot_13	0.19795895	0.0017982816	8.863718e-08	2.1178141e-07	4.216812e-07	2.4080515e-07	1.4248602e-07	1.4710147e-07	1.0829167e-07	5.091191e-07	0.08464372	0.49597245	5.899251e-08	0.00709819	0.025460094	0.07125966	5.5220386e-07	0.1158061
priorregion1_spot_14	3.6028247e-05	6.192149e-08	3.6916492e-07	6.1974504e-07	0.0068221553	0.3465208	2.0617808e-06	1.0970215e-06	1.4948284e-07	0.020709416	0.13199085	0.22435154	0.0003949832	2.9575592e-06	0.043310706	0.03660407	2.0347805e-08	0.18925206
priorregion1_spot_15	0.1974482	8.1424065e-07	1.4313767e-07	2.331647e-06	4.0351833e-07	0.1854524	1.930257e-07	3.2114488e-07	8.1606636e-08	0.017401852	0.101596646	0.17441125	0.002247119	0.024552664	7.682531e-07	0.021251928	1.0128599e-07	0.27563283
priorregion1_spot_16	2.393342e-08	2.9116501e-08	3.4844932e-05	7.4787835e-07	0.024588523	0.67626405	1.4728303e-07	2.608154e-07	0.010149754	0.0049001356	1.928775e-08	0.0045053	7.95537e-09	0.025323488	4.2903173e-07	0.06609965	1.9153868e-08	0.1881326
priorregion1_spot_17	0.10650928	3.949517e-08	0.0144138215	7.7761763e-07	1.4711107e-06	0.15443131	7.774939e-07	2.0228613e-06	4.975731e-07	0.047482133	3.050575e-08	5.9788437e-07	1.9901774e-08	6.366231e-05	0.12215892	5.7395628e-05	5.890946e-08	0.5548772
priorregion1_spot_18	0.044632204	2.90393e-08	0.0072957436	0.06008338	2.7673318e-07	0.2364944	2.7455323e-07	0.0065250252	8.048687e-08	3.825896e-07	0.0696277	9.941658e-07	2.286215e-08	0.0079276925	1.7407732e-06	2.6974792e-06	3.4444156e-08	0.5674073
priorregion1_spot_19	9.651894e-08	1.0744762e-07	1.439252e-07	1.8481351e-06	3.2057471e-06	0.24607567	0.0052593458	2.491954e-07	2.2954517e-07	9.524967e-08	0.26014718	0.48173937	2.2921299e-08	0.0067637498	5.57981e-08	8.263632e-06	4.659897e-08	2.913014e-07
priorregion1_spot_20	0.32098278	4.5292385e-08	2.583554e-06	2.5210423e-07	2.3415468e-07	0.36960444	4.506043e-07	3.3064712e-06	0.0038510978	2.3516857e-06	0.1180335	0.009476482	9.397601e-05	7.070137e-06	1.329267e-06	0.035169423	6.5109003e-07	0.14276999
priorregion1_spot_21	0.39325	5.2701772e-08	2.1215888e-07	0.084793255	4.338748e-07	0.13385147	4.402729e-07	2.0893232e-07	1.04167036e-07	5.60812e-07	1.7873043e-08	0.2417464	2.5427456e-08	0.0175514	2.1010901e-07	6.0802213e-06	8.526187e-07	0.12879844
priorregion1_spot_22	4.4923343e-08	2.9425124e-08	2.4167315e-05	0.0041578175	7.935867e-06	0.40868416	0.0041843415	0.039615415	2.1741839e-07	0.011696911	0.13421081	0.01848557	1.631651e-08	2.975704e-05	7.4694476e-06	2.8893135e-06	2.4361238e-08	0.37889245
priorregion1_spot_23	0.002420679	8.271168e-09	2.95264e-07	0.037233673	2.1748487e-07	1.1279261e-07	1.1676898e-07	3.6337022e-07	5.215852e-08	0.039465904	1.4276686e-08	0.23672336	7.1124537e-09	1.554862e-06	2.174586e-05	0.014939751	1.0490141e-08	0.66919214
priorregion1_spot_24	0.12390231	2.390949e-08	7.2174615e-08	9.0836615e-08	1.0820564e-07	2.638736e-07	1.1919158e-07	8.3084906e-08	1.071752e-06	1.4474771e-05	0.0033872253	0.2715909	1.1570844e-08	0.09757934	1.5407437e-06	1.1256891e-05	5.664984e-08	0.50351113
