	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	0.61256504	6.1683625e-07	1.1412224e-07	1.2751586e-07	1.8010667e-07	3.3621254e-07	1.2483683e-07	1.343507e-07	1.3309725e-07	5.88313e-07	0.3224636	1.0453775e-06	1.1792812e-06	2.3480125e-06	1.1708464e-06	3.824787e-06	0.056567162	0.008392316
priorregion1_spot_2	0.28372484	4.5132694e-08	8.7968516e-08	9.941828e-07	1.4899838e-07	1.216192e-07	7.2403886e-08	1.1080302e-07	1.10908516e-07	2.6499547e-06	4.069681e-08	0.24697915	2.2144366e-08	0.018514521	0.45077312	1.5795517e-06	8.8504294e-08	2.3254945e-06
priorregion1_spot_3	0.23193942	8.15354e-08	0.007061912	9.470019e-07	0.034837946	2.1775801e-07	1.8904136e-07	4.0447642e-07	6.114808e-08	9.0353616e-08	0.23351665	0.33789045	3.5300822e-08	0.15454015	0.00020727611	3.859698e-06	3.2012048e-07	7.087466e-08
priorregion1_spot_4	0.22160853	2.9575805e-08	2.0402108e-07	0.032978937	1.3095296e-06	2.474774e-07	8.5179397e-07	2.0757902e-07	8.1336836e-08	6.544944e-07	3.0024484e-08	0.116588615	1.5596257e-08	0.45140082	0.17725527	2.9481673e-06	8.214091e-08	0.0001612856
priorregion1_spot_5	0.06844062	1.6868977e-08	2.982053e-07	5.2776954e-07	2.8474093e-07	5.366799e-07	1.3864145e-07	1.3847443e-07	1.1173259e-07	9.135077e-06	1.4533043e-08	0.2781573	1.0531821e-08	0.14449246	0.49633962	2.4221401e-05	4.3031964e-08	0.01253457
priorregion1_spot_6	0.120056204	9.349162e-08	3.517785e-06	5.5826104e-07	4.6934374e-06	1.6238768e-06	0.01177598	0.008741635	5.6824234e-07	5.289684e-07	0.3073827	0.19995852	5.1673545e-08	0.20937333	0.14269279	4.789265e-06	2.359056e-07	2.2265947e-06
priorregion1_spot_7	0.13842681	7.269793e-08	1.757637e-07	1.5767309e-07	2.5784666e-07	3.222391e-07	2.4193668e-07	2.5511315e-07	1.2692114e-07	5.034181e-07	0.3044852	0.096735336	5.966006e-08	0.13966468	0.29619953	0.024480393	2.6757455e-06	3.1736038e-06
priorregion1_spot_8	0.36934042	3.9270466e-07	2.2230395e-07	0.002766931	3.9100587e-07	1.4351025e-07	0.0016922401	1.7734473e-07	4.9881436e-07	9.5396545e-06	0.15865009	2.1095887e-07	5.2059928e-08	0.20167318	0.26585808	3.7975901e-06	5.5872897e-07	3.05487e-06
priorregion1_spot_9	0.95086205	0.0021920458	6.09899e-08	8.7623526e-08	7.81914e-08	1.4629837e-06	7.486759e-08	1.06953415e-07	6.03961e-08	6.5116507e-07	0.016232565	2.2093005e-07	1.0048323e-05	0.01805044	0.003574928	3.5123155e-06	0.0090541355	1.7413708e-05
priorregion1_spot_10	0.17985909	3.0608643e-08	9.332296e-08	1.2050855e-07	1.6605209e-07	2.1310919e-07	0.008296044	2.1720892e-07	6.475283e-07	3.1488992e-07	0.078034185	0.22480538	9.099761e-09	0.2669094	0.16962315	0.072469994	8.0034454e-08	8.129603e-07
priorregion1_spot_11	3.981251e-08	2.9004383e-08	5.1863594e-07	7.358385e-07	0.0054107695	0.01776581	0.010086421	7.368715e-07	6.079457e-08	8.296272e-06	0.08509948	0.1345257	3.5883676e-08	4.374323e-06	0.6444839	3.6700258e-06	1.0727532e-08	0.10260938
priorregion1_spot_12	1.0016149e-08	1.4589521e-08	5.618954e-07	2.1486328e-06	1.65135e-06	2.9983212e-07	2.8688964e-07	2.8146215e-07	1.4026307e-07	3.7240696e-07	0.11342085	0.51433986	1.6905505e-08	0.21264446	0.15957674	1.150734e-05	1.3630482e-08	7.76768e-07
priorregion1_spot_13	0.14748731	6.8029394e-08	3.725356e-08	5.0942504e-08	4.9968047e-08	7.6088476e-08	6.2671106e-08	5.3584156e-08	1.5628245e-07	1.0284205e-06	0.31330258	5.7219818e-08	3.6025323e-08	2.0136105e-07	0.5392026	1.121042e-06	3.345432e-06	1.1128918e-06
priorregion1_spot_14	2.5134005e-08	4.3666596e-08	0.027798377	6.5664227e-07	3.7796124e-07	0.039334692	8.314993e-07	3.4798632e-07	1.6147158e-07	8.231038e-07	0.3419176	0.3634116	2.681956e-08	0.2275281	2.3142125e-07	4.4993044e-06	2.6129744e-08	1.6492867e-06
priorregion1_spot_15	0.16777381	9.7993606e-08	8.39568e-08	6.8239007e-07	1.06715824e-07	1.6850817e-06	0.0013799717	9.2846236e-08	1.2714231e-07	5.421662e-07	0.30132833	2.6919406e-07	3.543783e-08	0.5294614	3.8845573e-07	4.8707057e-05	1.4940731e-07	3.4782852e-06
priorregion1_spot_16	0.18465103	0.0044443524	1.0137884e-07	0.00020030193	1.0292337e-06	7.060916e-07	0.022599498	9.942418e-08	1.6634505e-07	1.752093e-07	0.19730666	0.15854502	6.43281e-08	0.25801367	6.923235e-08	0.068561114	0.10567576	2.7240006e-07
priorregion1_spot_17	0.042676415	1.3255756e-07	3.529986e-08	6.8129545e-08	7.2269835e-08	4.5002242e-08	4.9957023e-08	6.197066e-08	3.0275473e-08	4.7831617e-07	0.2861033	5.8178713e-08	2.5609852e-08	0.49611053	0.17508987	1.7199884e-05	2.1246534e-07	1.484541e-06
priorregion1_spot_18	0.12051378	3.767775e-08	1.0827321e-06	2.72561e-07	1.7217423e-07	8.8165257e-07	2.732384e-07	1.2638783e-07	1.0361131e-07	3.639545e-07	0.11866721	0.16078342	1.9609297e-08	0.2875051	0.21525714	0.09726666	3.633383e-08	3.4257334e-06
priorregion1_spot_19	1.8894886e-08	1.9013393e-07	3.4659894e-07	2.45884e-06	0.0006107574	5.873215e-07	4.718091e-07	7.1175106e-07	2.8143148e-07	1.0066831e-07	0.27972457	0.7196578	2.4144157e-08	2.2442731e-07	7.837693e-08	1.3640986e-06	2.159539e-08	1.3134328e-07
priorregion1_spot_20	0.15791254	1.2746035e-07	9.12612e-08	8.7584475e-08	1.2123405e-07	7.2653904e-07	1.3056221e-07	1.4434151e-07	8.579852e-08	0.06473174	0.22595084	1.5148545e-07	3.7148116e-08	0.27123523	0.21439801	3.3637894e-05	1.1598443e-07	0.06573623
priorregion1_spot_21	2.7781962e-08	4.6032463e-07	7.268167e-08	9.920041e-08	9.2872874e-08	9.294853e-08	4.2453213e-08	6.8280094e-08	3.1899038e-08	3.3440148e-07	0.41929466	1.5250237e-07	7.665161e-08	0.58060044	1.0950609e-07	0.000102140235	5.2952828e-08	9.868949e-07
priorregion1_spot_22	0.36183706	4.6022834e-08	3.8655628e-07	7.9164965e-06	0.017569045	7.7782704e-07	1.8541873e-07	2.0653829e-07	9.358741e-08	9.4692706e-07	9.753559e-08	0.23611492	2.131338e-08	0.22987208	0.1545796	1.5519585e-05	2.5703056e-07	8.446667e-07
priorregion1_spot_23	0.05258912	4.7062084e-08	4.4727204e-07	4.635656e-06	2.6151318e-07	2.6662266e-07	3.1627448e-07	3.4568066e-07	1.4934012e-07	3.4123877e-06	0.13764101	0.32904664	2.9024363e-08	0.10424573	0.3764642	8.904168e-07	6.261585e-08	2.4742285e-06
priorregion1_spot_24	0.028202396	2.7908204e-08	9.7455235e-08	5.025528e-07	0.030412916	2.0742411e-07	1.7247245e-07	1.6052519e-07	7.913492e-08	7.9906596e-07	0.19138241	0.1327309	1.8428807e-08	0.4973996	0.057643596	0.039843164	1.5052048e-08	0.022382997
priorregion1_spot_25	0.17005304	0.0007714574	3.0801576e-07	0.0022338328	3.243598e-07	0.014984903	1.9503673e-07	1.1801274e-07	1.1704414e-07	9.287458e-06	3.4898246e-08	0.030030482	2.6015796e-08	0.600961	0.059417218	0.09867606	1.5636748e-07	0.022861462
