	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	7.556976e-08	0.3472824	4.3287713e-07	7.332518e-08	5.964852e-07	1.1311801e-07	7.009328e-08	2.2988517e-07	5.890643e-08	5.4109887e-07	5.7654088e-08	1.0949491e-07	1.024964e-08	1.2521225e-07	1.6766523e-07	0.65271467	5.224545e-08	1.5114269e-07
priorregion1_spot_2	1.56684e-08	4.126585e-08	1.9202692e-07	1.5293982e-07	3.6550247e-07	0.0038924327	4.2362217e-07	2.4577486e-07	4.3725942e-07	0.020368736	4.824649e-07	2.8684535e-05	2.1790004e-08	0.4722455	4.7651978e-05	0.5034094	1.3056558e-08	5.2494615e-06
priorregion1_spot_3	8.341242e-09	1.45645895e-08	5.3307016e-08	5.3421424e-08	5.5881195e-08	1.6581853e-06	5.7533658e-08	4.17389e-08	4.953896e-08	2.6293e-06	5.820662e-09	6.726391e-08	7.2533455e-09	0.4192783	1.3968108e-07	0.55833596	5.347711e-09	0.022380862
priorregion1_spot_4	1.1239353e-08	0.06787701	3.8488193e-07	2.331611e-07	1.3066266e-07	1.2718968e-06	0.017566212	3.6784942e-07	1.9010002e-07	3.082826e-07	4.0426073e-08	5.248558e-07	1.2947942e-08	0.6301958	1.6896865e-07	0.28435722	1.124289e-08	2.177089e-07
priorregion1_spot_5	6.741177e-08	0.17308782	0.0044344207	2.1094127e-05	5.220488e-07	6.4779204e-07	1.4901129e-06	3.810948e-07	1.6653571e-07	5.9570884e-06	2.9620093e-08	2.5832364e-07	1.0289052e-07	0.38112432	1.9152813e-07	0.4413221	6.384482e-08	3.1149014e-07
priorregion1_spot_6	7.504485e-08	0.10255005	1.3342378e-07	2.0984287e-07	1.4092203e-07	3.1511515e-06	1.563696e-07	1.2646048e-07	8.835311e-08	0.06348194	2.7669927e-08	3.1763537e-07	1.1858163e-08	0.6626202	1.5712794e-07	0.17134058	2.2929794e-06	2.906292e-07
priorregion1_spot_7	5.7974415e-08	0.19934192	5.688743e-08	6.303488e-08	9.1208456e-08	1.2908936e-07	7.343532e-08	6.273538e-08	6.360808e-08	1.3017664e-07	4.9082644e-08	2.0355488e-07	5.6073567e-08	0.8002494	6.104269e-08	6.737475e-05	0.00034008123	7.4870684e-08
priorregion1_spot_8	5.293669e-07	0.34837347	4.5140005e-06	7.2367544e-07	3.7006433e-07	0.035476148	0.026681632	3.7727503e-05	2.2001933e-07	1.8962185e-06	4.9373742e-08	4.271906e-06	5.6571626e-08	0.23986588	5.2635556e-07	0.32068595	0.011925285	0.016940732
priorregion1_spot_9	5.174646e-09	1.1994276e-08	0.008320812	3.238199e-07	1.2934468e-07	2.549051e-07	9.24701e-08	4.928493e-07	6.691367e-08	1.7631934e-06	0.00097187306	1.9433594e-06	1.0729905e-08	0.86595064	3.0312017e-07	0.12475108	4.8510302e-09	1.812578e-07
priorregion1_spot_10	0.0019161563	0.25216416	1.771337e-07	2.9604514e-06	1.6327714e-07	2.207618e-07	1.0706609e-07	1.448091e-07	9.3375036e-08	5.7405796e-06	6.493113e-08	1.2270883e-06	1.4622805e-08	0.74590224	1.2169906e-07	5.830833e-06	2.7405792e-07	3.709704e-07
priorregion1_spot_11	1.1089169e-07	0.108030714	1.9375621e-07	1.3588641e-07	1.6636031e-07	3.758735e-07	1.589883e-07	2.0729267e-07	1.28403e-07	1.5792052e-06	3.2195427e-08	1.2030457e-06	1.9008432e-08	0.32778633	2.0197884e-07	0.5582237	0.0059545697	1.5120993e-07
priorregion1_spot_12	5.0759223e-08	0.3912906	4.6757197e-08	3.4487687e-08	4.298457e-08	1.1591659e-07	4.280776e-08	3.6249656e-08	2.657459e-08	5.1218544e-06	5.197235e-08	3.3757157e-08	8.718282e-09	0.30556214	1.4238307e-07	0.29686502	0.006276542	5.471258e-08
priorregion1_spot_13	4.2115577e-08	0.14154918	1.3503231e-06	0.012934208	7.052509e-07	0.0008488454	1.2727206e-06	0.0068893163	1.6735838e-07	0.022991875	3.155429e-08	2.1268988e-07	1.4060315e-08	0.5584658	1.5512725e-07	0.2563149	1.980682e-08	1.8764092e-06
priorregion1_spot_14	3.949112e-08	0.2598046	2.977454e-07	4.229532e-07	1.9077139e-07	4.2476688e-05	6.6448015e-06	1.906848e-07	7.880029e-08	0.018514017	3.2572252e-08	1.070406e-07	6.2900554e-08	0.5444315	9.732056e-08	0.17719902	5.4030437e-08	2.0690487e-07
priorregion1_spot_15	0.003073674	0.37640992	1.2916948e-07	1.5780851e-07	1.12280254e-07	0.0017612302	1.5610411e-07	8.781121e-08	8.825802e-08	1.174493e-06	5.151085e-08	1.4976031e-07	1.3297768e-08	0.56943345	1.68229e-07	0.04931932	5.460417e-08	1.8117066e-07
priorregion1_spot_16	1.993667e-08	0.040811356	7.423308e-08	7.3760766e-08	7.658604e-08	3.576751e-05	8.935601e-08	6.122955e-08	7.921851e-07	1.1145254e-06	1.3299298e-08	2.0252354e-07	9.637994e-09	0.9567883	9.376052e-08	0.00013191061	0.0022298708	1.803489e-07
priorregion1_spot_17	8.417715e-09	1.0141913e-08	2.1487712e-07	4.448984e-07	1.648983e-07	1.8145205e-06	1.9516249e-07	1.8532722e-07	9.654733e-08	4.0816468e-07	1.2185858e-08	1.2074606e-06	9.436918e-09	0.6303692	9.823686e-08	0.36962584	5.737976e-09	1.6069305e-07
priorregion1_spot_18	5.290744e-08	1.1257133e-08	2.0740276e-07	6.51965e-06	1.5366373e-06	3.2306678e-05	4.906557e-07	1.6882805e-07	1.7658624e-07	1.366731e-06	9.693897e-09	1.2720767e-06	1.0306599e-08	0.5165474	7.6164326e-08	0.47856116	0.000116996394	0.0047303145
priorregion1_spot_19	0.0017533835	7.541847e-09	6.5566866e-08	4.3422645e-08	5.3596963e-08	2.6351842e-07	6.8572525e-08	4.3983125e-08	5.98326e-08	9.61298e-07	7.527907e-09	1.8198222e-07	6.9357675e-09	0.5824931	1.1520725e-07	0.4157514	9.111539e-09	1.5929183e-07
priorregion1_spot_20	4.4872753e-08	0.2797101	8.995416e-08	6.87665e-08	1.1710983e-07	3.345468e-07	7.197104e-08	8.73743e-08	1.376909e-07	2.9362076e-05	3.1958454e-08	6.6616465e-08	9.8321795e-09	0.21200828	7.35516e-08	0.50825095	4.329296e-08	1.00283096e-07
priorregion1_spot_21	1.5551974e-08	0.003782323	1.16084095e-07	1.6292319e-07	1.515545e-07	1.6322878e-07	0.012073401	6.672108e-08	1.04692056e-07	1.0655468e-06	1.10095435e-08	2.1395925e-07	8.131117e-09	0.25649866	1.5602643e-07	0.7276429	1.0540605e-08	5.115969e-07
priorregion1_spot_22	7.808402e-08	0.3970259	0.09706293	0.015494043	2.2409019e-07	5.645572e-08	5.073736e-07	2.685662e-07	5.448237e-08	0.0063663726	6.08256e-08	4.938869e-07	1.0684477e-08	3.4273785e-07	0.0069125374	0.47713605	8.887506e-08	1.212753e-07
priorregion1_spot_23	2.4500844e-08	0.19392395	1.5429131e-07	1.14972295e-07	6.0274246e-08	1.1500025e-07	7.265084e-08	7.928029e-08	5.571179e-08	4.2396795e-07	1.1160026e-08	1.232632e-07	1.15060494e-08	0.40889615	8.642999e-08	0.39717832	2.2469909e-08	1.6806597e-07
priorregion1_spot_24	3.8003934e-06	0.25775155	9.798678e-08	8.617413e-08	1.1864383e-07	0.013780697	2.5578444e-07	2.2139484e-07	2.5037028e-07	8.522486e-07	1.0087124e-07	2.9298403e-07	6.493387e-08	0.62214166	1.5975924e-07	0.106315464	3.992723e-06	2.9970616e-07
priorregion1_spot_25	1.667461e-07	0.31212923	0.0014556963	3.701221e-07	4.817017e-07	3.7649525e-06	3.6516826e-07	6.204401e-07	1.4038851e-07	1.1082171e-05	5.476203e-08	1.4614744e-07	1.821176e-08	0.334546	3.4741052e-07	0.35185125	6.1391255e-08	1.7830746e-07
priorregion1_spot_26	3.3247343e-08	0.31265134	1.5954951e-07	3.5873137e-07	2.0761775e-07	1.7585393e-07	1.3647795e-07	1.0514005e-07	0.001682607	4.5191408e-07	0.0011219906	1.01080516e-07	2.0723572e-08	0.40171194	1.6021507e-07	0.28283006	4.910228e-08	1.2996793e-07
priorregion1_spot_27	0.0034772789	0.4067565	9.8284644e-08	1.0449385e-07	1.1542998e-07	1.4645482e-07	2.5773826e-07	1.4578582e-07	1.05994935e-07	3.8367525e-05	1.2178382e-06	1.5233779e-07	1.7217181e-07	0.28200307	1.7333772e-07	0.30698398	0.000737903	1.6650371e-07
priorregion1_spot_28	8.768967e-08	0.28821823	3.9834666e-07	3.9303487e-07	3.839149e-06	7.178416e-07	1.5857946e-06	7.1273615e-07	9.2912495e-07	2.0796168e-05	6.280245e-08	2.5141887e-07	2.4661821e-08	0.6936223	3.116008e-07	0.014151533	7.558538e-08	0.0039778394
priorregion1_spot_29	4.2551616e-08	0.18025656	7.6595214e-08	6.935623e-08	1.0277758e-07	1.07371584e-07	1.07324794e-07	9.970187e-08	0.0025391213	3.892694e-06	4.665355e-08	2.104839e-07	1.4209303e-08	0.0768631	1.8790142e-07	0.7372567	0.0030792917	3.0429493e-07
priorregion1_spot_30	7.049532e-08	0.33492923	9.94877e-08	6.643762e-08	5.7221932e-08	0.06282777	2.3422604e-07	1.1922205e-07	1.0430263e-07	2.8125553e-06	5.913227e-08	4.5314056e-07	9.361287e-09	0.335467	1.16857144e-07	0.26216564	0.00030055144	0.004305527
priorregion1_spot_31	5.9941875e-08	0.2782876	4.597156e-08	4.661964e-08	8.980461e-08	3.5415442e-07	9.642223e-08	8.143535e-08	1.0796331e-07	0.015312751	3.0155125e-08	2.171377e-07	0.0022896226	0.022270674	3.7962613e-07	0.68183696	1.5250923e-07	7.7636577e-07
priorregion1_spot_32	0.00047605045	0.14573188	1.1134919e-06	1.3911887e-06	2.8041896e-07	4.8255624e-06	1.0665359e-06	6.0759635e-07	4.7497213e-07	2.1925728e-06	7.992831e-08	2.6654243e-06	3.518383e-08	0.27552179	2.2335676e-07	0.5697681	8.1611304e-08	0.008487174
priorregion1_spot_33	1.4491008e-07	0.40035787	3.2865276e-07	7.9349695e-07	1.6863537e-07	0.0021846702	0.038538497	4.5006118e-07	1.2960278e-07	1.0136919e-07	1.2835652e-07	1.5268387e-07	1.3410707e-08	0.23560353	1.5428105e-07	0.3169339	1.3612828e-07	0.006378803
priorregion1_spot_34	5.7025964e-08	0.306436	2.6616834e-07	2.516027e-07	1.2407607e-07	1.9186855e-06	1.7505378e-07	1.8670733e-07	1.6567029e-07	0.011971168	7.761455e-08	3.3105187e-07	5.0253817e-08	0.45929152	3.2570483e-07	0.22229667	5.0737352e-08	6.7948724e-07
priorregion1_spot_35	4.504019e-08	0.34165046	1.1137561e-07	1.8638696e-07	1.3938559e-07	7.0301076e-07	9.4664436e-08	1.5092078e-07	8.777246e-08	0.012646366	5.5658983e-08	1.6892139e-07	1.6502826e-08	0.48850632	1.3713296e-07	0.13907848	5.712525e-08	0.01811646
priorregion1_spot_36	0.0028761164	0.15778315	4.938448e-07	2.3288433e-07	1.6584092e-07	2.2209137e-07	9.405395e-08	1.5421615e-07	1.0130613e-07	4.8699735e-06	3.6255084e-08	1.3535808e-07	1.4817315e-08	0.3268737	3.53321e-07	0.51246	1.9611615e-08	1.9475634e-07
priorregion1_spot_37	1.11224686e-07	0.6347238	1.0431341e-07	1.5094083e-07	1.2899538e-07	1.5362296e-07	1.3141995e-07	8.924046e-08	1.8533626e-07	4.8525305e-07	8.299918e-08	2.3336298e-07	1.5523094e-08	0.14509113	3.5324254e-07	0.22017503	6.431375e-06	1.4671344e-06
priorregion1_spot_38	7.004023e-07	0.61492974	2.1251337e-07	2.3931278e-07	1.6044305e-07	4.4832977e-06	0.0045256447	2.8183902e-07	2.294965e-06	0.032519348	2.0304914e-07	3.6031486e-07	2.0361854e-08	0.1394167	7.764895e-07	0.20859723	5.2056856e-07	1.1219287e-06
priorregion1_spot_39	6.0289615e-08	0.23971382	1.8719881e-07	3.1869538e-07	9.220442e-08	1.2640676e-07	2.1716016e-07	8.739347e-08	6.044373e-08	0.00026676775	2.5239927e-08	1.4017336e-06	1.1627115e-08	0.441039	1.0100548e-07	0.31897756	3.289122e-08	1.8892862e-07
priorregion1_spot_40	2.1604931e-08	0.00049848226	1.7020355e-07	2.6625608e-07	4.7672833e-07	1.07057385e-05	7.549106e-07	1.8345848e-07	1.1211694e-07	1.5232359e-05	1.4908174e-08	7.763708e-06	1.6605751e-08	0.546082	2.6483113e-07	0.4533827	1.0047769e-08	8.1599495e-07
priorregion1_spot_41	0.0009545917	2.928456e-08	1.5708285e-07	2.1894351e-07	1.6069247e-07	3.866329e-06	1.6182078e-07	1.3378464e-07	1.5048272e-07	2.9623625e-06	3.062046e-08	4.603299e-07	2.7402294e-08	0.42803252	3.7373584e-07	0.5593272	0.00019660275	0.011480304
priorregion1_spot_42	9.610959e-09	0.00033335618	1.3148266e-07	1.6052485e-07	1.2728113e-07	5.88815e-05	2.0920469e-07	1.63095e-07	1.3669185e-07	1.0370029e-05	9.550282e-09	2.2728162e-07	1.0265576e-08	0.6266185	2.07566e-07	0.37297505	5.1521996e-09	2.4432163e-06
priorregion1_spot_43	4.0575534e-07	0.2630705	6.5573765e-08	7.614058e-08	6.5217726e-08	4.3683198e-07	0.01335755	2.398731e-07	2.0021221e-07	1.6916991e-07	4.566867e-08	2.8302313e-07	6.689483e-09	0.41201156	0.004985183	0.30546343	0.0011094944	2.9249506e-07
priorregion1_spot_44	5.859042e-08	0.19271182	1.3157243e-07	8.92355e-08	2.214749e-07	2.8578995e-07	1.1038222e-07	1.2482303e-07	9.597693e-08	3.634666e-07	2.1024292e-08	7.868231e-08	8.4376826e-09	0.2860612	1.794298e-07	0.52122426	4.561206e-08	9.1760296e-07
priorregion1_spot_45	7.422391e-07	0.5146686	4.0226137e-06	0.003202086	2.1596153e-07	3.1559694e-07	1.7788075e-07	3.198408e-07	1.0454305e-07	0.020341108	2.6175724e-07	0.008007216	3.2621124e-08	0.24682437	4.5884406e-07	0.17458773	1.951707e-07	0.032362003
priorregion1_spot_46	0.0036725162	0.14959325	3.2720143e-07	3.0072684e-07	2.9952844e-07	3.4139075e-06	2.3715147e-07	3.2650385e-07	1.1714426e-07	1.0052851e-06	1.3040308e-07	3.1679807e-07	1.853091e-08	0.71138334	3.4552707e-07	0.122432895	9.275404e-05	0.012818436
priorregion1_spot_47	9.563564e-08	0.53448236	1.3605191e-07	1.2837019e-07	1.0879134e-07	1.2228949e-07	2.2011906e-07	2.1115974e-07	1.0081797e-07	5.1718445e-07	0.002761235	7.693344e-07	1.527481e-07	0.1683409	7.459626e-08	0.29441255	1.260863e-07	2.4086708e-07
priorregion1_spot_48	7.430066e-08	0.39295658	2.6147876e-07	3.3723197e-07	2.072037e-07	2.6824202e-06	0.008465006	3.4626026e-07	4.5027855e-07	0.028947521	5.112479e-08	3.4456912e-07	1.5159182e-08	0.29217863	1.7802607e-07	0.27744672	1.2670915e-07	5.871747e-07
priorregion1_spot_49	0.0009839709	0.32368937	0.03958394	1.0119898e-06	6.6676756e-07	0.014045358	2.6810497e-07	5.861185e-07	1.3807295e-07	5.3955882e-06	4.504119e-08	0.0134092625	1.3069162e-08	0.33386698	1.4833175e-07	0.27441123	1.2406976e-07	1.6015288e-06
priorregion1_spot_50	1.2640062e-06	0.32305503	1.6425068e-07	3.731656e-07	1.9277694e-07	2.680694e-07	1.6786547e-07	1.03722215e-07	1.04092024e-07	9.43045e-07	1.3149285e-07	0.009252662	1.1695481e-08	0.068961166	1.6395583e-07	0.59872675	4.9995015e-07	1.4432572e-07
priorregion1_spot_51	5.262217e-08	0.20596303	5.037018e-08	6.542736e-08	5.100924e-08	5.013804e-07	5.53907e-08	4.6348667e-08	4.3766693e-08	3.1411494e-07	2.945374e-08	5.2566797e-08	1.2096409e-08	0.79403526	7.102937e-08	1.8627237e-07	2.7766351e-08	7.7591835e-08
priorregion1_spot_52	1.6067782e-08	0.0007985866	1.4301463e-07	1.602701e-07	6.702432e-07	0.0009119313	0.009765373	2.0430788e-07	1.7007184e-07	8.565217e-07	1.2886903e-08	1.2738507e-06	1.0996328e-08	0.72049636	1.01346565e-07	0.26802394	6.4188708e-09	2.1467423e-07
priorregion1_spot_53	0.003934578	0.32607144	7.1680965e-08	1.0803269e-07	7.8953676e-08	1.329783e-06	9.5948025e-08	6.8653286e-08	6.977605e-08	1.4047162e-06	1.9228062e-07	1.4273716e-07	1.5069338e-08	0.5708652	2.14348e-07	0.098070145	0.0010546728	1.564667e-07
priorregion1_spot_54	0.0020697615	0.48073286	8.436483e-08	1.08814916e-07	2.2340141e-07	2.5659492e-07	1.7634822e-07	1.0989911e-07	1.2498538e-07	1.3855147e-07	1.659749e-07	0.002130826	2.946619e-08	0.51291364	1.7204057e-07	3.1210106e-06	0.0021480916	1.813994e-07
