,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,3.335033511575603e-08,7.304675886388169e-09,6.181304615893169e-06,0.2469453640282154,8.55589801176393e-06,8.798038506938611e-05,6.331748863885878e-06,3.0512656508108194e-06,0.15738158375024797,4.1857974792947066e-07,1.0488383672679904e-08,4.267077820259147e-05,1.8712238691875883e-08,3.4003838095486572e-06,1.6831971336728204e-07,7.378936061286368e-07,2.056311920739518e-09,1.1863845799098271e-07
priorregion1_spot_2,1.994468377120029e-08,2.4744540283450076e-08,3.3755038771232646e-06,5.865484376954555e-06,2.383192361321562e-06,2.4567524064877947e-06,6.991207646933617e-06,0.002106338506564498,0.643334898352623,6.181635576751887e-08,8.273411483683549e-10,3.4043425785057484e-07,5.25554819663654e-09,6.627396267333554e-08,1.734188579405327e-08,1.702380814094795e-08,3.3236465912800385e-09,2.003815842144263e-08
priorregion1_spot_3,5.9411082631299904e-08,3.5495048233968877e-09,4.446001142355272e-07,0.04592116717249155,4.7975069492167675e-06,5.445112037705259e-06,5.573767850819422e-07,2.3172347823674507e-06,0.45277084708213805,8.198443843809856e-08,2.012490585290294e-09,0.061508727818727495,5.131404923197636e-09,1.2177166240689986e-06,9.972507371003303e-08,1.0382462505731382e-06,5.443690165307658e-09,1.1404356179411934e-07
priorregion1_spot_4,2.5240301049223036e-08,5.873442066040013e-09,1.910370258428884e-06,0.42440416365861894,3.5551177006709626e-06,9.46552659115696e-06,2.0480911643971924e-06,7.699562729612808e-06,0.49473365694284444,1.0264939547255382e-07,1.913534053432642e-09,1.631797340451158e-05,3.584254635313756e-08,1.0827830124071624e-06,5.069822748282604e-08,2.3594913756141978e-07,1.4083334776149316e-09,8.795658814619855e-08
priorregion1_spot_5,2.8517893202462123e-08,8.400664297525396e-09,2.6592305175654474e-06,0.3188348814845085,5.233785873315356e-06,4.09931471949676e-06,9.698769736132817e-06,1.8937313325295693e-05,0.4579110205173492,3.116819044635122e-07,3.6445028439580086e-09,1.224483276018873e-05,1.601587662491966e-08,3.3698064214604536e-07,3.412535633628977e-07,2.701434965501903e-07,5.149289949990532e-09,1.7573093771261486e-07
priorregion1_spot_6,3.719709713578822e-08,6.471287017362215e-09,1.9423015714892245e-06,0.31365296691656114,1.3660422246175587e-05,1.4985856068960857e-05,0.00010261235365760513,9.510054451311589e-06,0.3486398935317993,7.983726000304616e-08,5.357593035881791e-09,0.01161817517131567,8.61397380091944e-09,8.956051061659309e-07,9.706027341849221e-08,2.453549967640356e-07,2.2287307288593186e-08,3.466737492630045e-08
priorregion1_spot_7,1.5222400804759674e-06,2.4254733776984952e-08,1.1636918998192413e-06,0.13334879875183106,0.0011515379941556604,4.502987540035975e-05,0.05019804518669844,3.7379803507064936e-05,0.3894473105669022,6.867357967621502e-07,2.9881836116629756e-09,3.714142949320376e-05,1.9993384867689203e-07,9.204885600411217e-07,3.760282252187608e-05,6.469555586363642e-07,4.775273132473501e-09,5.728677166416674e-07
priorregion1_spot_8,2.0613406359615283e-08,3.0781465598650473e-09,7.341925288528728e-06,0.35364357680082326,6.1215182313389965e-06,4.291489062779874e-06,1.6391929511883065e-05,0.00012188325563329272,0.24224859401583673,1.2089921455071818e-07,1.9018810692994496e-09,9.33967294258764e-07,7.423319425825526e-09,1.061771307320214e-07,6.07965299082025e-07,1.202741390926576e-07,2.9138962798214154e-09,4.453912723079157e-08
priorregion1_spot_9,2.2538918109660248e-08,5.168745165207157e-09,0.027015173528343442,0.29750439524650574,4.197919643047499e-05,2.856264984529844e-06,3.5911913641939464e-06,0.046259655430912976,0.41613997668027874,1.1916809832257513e-07,8.546778257345623e-10,9.436473163759729e-07,8.782529636874872e-09,4.982390748864418e-07,7.904513950052206e-08,1.5581293482114235e-07,2.3127193937710898e-09,3.544953539602602e-08
priorregion1_spot_10,1.75291138937439e-08,4.884392090787059e-09,6.198070536811429e-06,0.06080070678144693,7.4688007543954885e-06,1.0110857738254709e-05,2.7358889201423154e-05,1.4159038073557895e-05,0.41506456732749936,1.3025490162021924e-07,3.125085523691951e-09,2.9307941304068664e-06,1.0000673844601238e-08,1.9730729050593254e-07,2.3301609317627483e-07,4.0131592697889574e-07,1.6739979014079869e-09,1.6109799005903372e-07
priorregion1_spot_11,2.5499664779715664e-08,8.67007119431662e-09,2.2464180915449114e-06,0.1113173708319664,4.114282182854368e-06,5.7648469010018745e-06,1.6252258660642836e-06,2.3181236429081763e-06,0.4195730790495873,2.6542471260881943e-07,4.101423911606616e-09,0.00847080652602017,3.872827547546365e-09,1.3268793679799273e-06,1.9771365771248385e-07,8.77499128364434e-06,1.3241718943568516e-09,1.0768380782621989e-07
priorregion1_spot_12,7.710123961501835e-09,5.061948260554061e-09,6.268537191544966e-07,0.15747239962220191,1.7803492937673582e-06,3.467181613814319e-06,6.060855184841785e-06,1.955434152023372e-06,0.3872929200530052,8.906457971136207e-08,2.340062366101847e-09,1.8566099583949836e-06,1.3748966321003309e-08,1.119433189700203e-07,4.0698291137175604e-08,2.1462280059836304e-07,4.029794475890469e-09,3.545563256324158e-08
priorregion1_spot_13,3.9713746247116435e-08,8.493521974628494e-09,5.498035557138792e-06,0.3866480112075806,2.2602484023082073e-05,7.54711658373708e-05,6.36199472410226e-06,8.555650965718088e-05,0.48424436450004577,2.238778279206599e-07,1.5885355753031408e-09,2.785477463476127e-05,1.3721185521120564e-08,1.727807301676876e-06,6.315041929383369e-07,1.1420407815876393e-06,3.1421801716113864e-09,0.001945662609068677
priorregion1_spot_14,2.0625410002139687e-08,3.6225302091352776e-09,7.0620010319544235e-06,0.2578225195407867,1.526752168956591e-06,1.4147906654216059e-06,8.170238317006806e-07,4.0509992322768086e-05,0.3771667912602425,1.43931023899313e-07,1.1022726509324344e-09,1.0583174741896074e-06,5.1553847857377386e-09,1.3905452362905636e-07,4.995838356336435e-08,6.775534941994011e-08,1.3827023304102682e-09,3.426862225097694e-08
priorregion1_spot_15,3.2063204002952267e-08,1.6092764010267047e-08,3.0858784157317138e-06,0.24840683192014695,2.7917745319427924e-05,8.920167692849647e-06,0.06225843764841557,9.96756475615257e-06,0.2770290940999985,1.2352414557881275e-07,4.361979111244807e-09,5.809464892081451e-06,7.583378924813644e-09,6.941230878965143e-07,1.037814547544258e-06,1.7587197262969314e-07,3.4102064727647984e-09,1.0445773099831968e-07
priorregion1_spot_16,4.149107857287505e-09,3.6447820539464714e-09,1.0576579789756126e-07,2.0630156782885933e-07,2.2644869375199052e-07,8.709284514907268e-07,4.877258277247165e-07,6.601283104146205e-07,0.264484229683876,1.361037806901777e-08,2.279776423197433e-09,6.798060411483675e-07,3.1341253370342772e-09,6.882064269575494e-08,2.2549998490717374e-08,7.087176356890268e-08,1.2849679820181592e-09,7.045573524600002e-09
priorregion1_spot_17,1.8034781401610192e-08,2.5852638918522075e-09,7.396408250315291e-07,0.17936985418200493,2.804770406328317e-06,2.0176814132355505e-06,8.450123368675122e-06,4.780229733114538e-06,0.4402070328593254,3.745511776287459e-08,1.4603615039465721e-09,2.27787475068908e-06,1.0763191360396718e-08,1.6066660037949987e-07,4.577913959025182e-08,9.555419886453365e-08,1.5972707156919343e-09,1.3805777765441008e-08
priorregion1_spot_18,1.362483592615149e-08,2.7024899984517965e-09,8.207401805293559e-07,3.087345419316989e-06,6.380169224939891e-07,3.631441563811677e-06,4.2323079105699436e-05,2.459644429109176e-06,0.6388144463300706,5.1686657087657294e-08,9.327409822290633e-09,1.8823592938588262e-06,3.997193331883863e-09,7.426551462685893e-08,3.914283244199623e-08,4.943625171449639e-08,7.387813111270351e-10,3.845541627356398e-08
priorregion1_spot_19,1.2788679049080543e-08,4.411411924643005e-09,9.079352196295077e-07,0.154788725823164,1.386756921419874e-05,1.889995894543972e-06,9.917081160892848e-06,3.613948156271362e-05,0.6922916203737259,7.808859905367172e-08,2.0916318121955157e-09,4.385294596431777e-06,3.815459725942105e-09,4.571670686459584e-08,4.060374063641348e-08,2.471603266940292e-07,1.7529060758469942e-09,5.924199619755655e-08
priorregion1_spot_20,1.3397583620289311e-08,3.5087338146055915e-09,1.092429175741927e-06,0.2756654739379883,3.794000235757267e-06,4.233935305819614e-06,1.7273244282023372e-06,2.105743988067843e-06,0.5354030221700669,4.1001566231102517e-08,3.7458196544548636e-09,2.335244550977223e-06,5.922319656903597e-09,3.8611808861332975e-07,4.512637818976373e-08,1.641788493600416e-07,5.206713060701418e-10,3.4938582338384096e-08
priorregion1_spot_21,1.975762859984798e-08,1.3249280925720086e-07,5.304294376173858e-07,3.284948832060763e-07,2.313266634246247e-06,9.233302648681275e-07,1.6629092613129615e-06,9.731654427014292e-06,0.5878958374261857,6.21456976546142e-08,1.1748514050502478e-09,1.0516926181480814e-06,1.9064821388248276e-09,1.9563223645491236e-07,6.829332193092342e-08,9.099112503463404e-08,2.11791966187036e-09,4.966717543908317e-08
priorregion1_spot_22,1.1839800473367747e-08,3.2819731266009454e-09,7.288384097137168e-07,1.0660711780019483e-06,2.820962117766612e-06,1.0004257433138264e-06,3.554546324835429e-07,1.4423191828427663e-06,0.4586783245205879,3.0268795967458575e-07,7.746905200667342e-10,3.7238041727505336e-06,4.497416350446315e-09,3.1859842408721306e-07,6.494427395864478e-08,2.464501037025002e-07,5.770586786191245e-10,6.089806490194861e-08
priorregion1_spot_23,9.479019027480718e-08,6.0248095623549606e-09,2.5270043579439514e-06,0.3254097819328308,3.712643456310616e-06,8.948314325607499e-06,0.038782715983688834,4.539087740340619e-06,0.5849741488695145,5.693652287419582e-08,1.6015603898633658e-09,9.832722469127475e-07,4.10193845556961e-09,1.1964827919541677e-07,4.579792030057206e-08,1.315379570598907e-07,3.5575463686043918e-09,8.178378640977257e-09
priorregion1_spot_24,7.834994994482258e-06,1.94715000567669e-08,2.5361719963257204e-05,0.3922331616282463,8.82402100614854e-06,0.00020334371729404668,9.353260138595942e-05,1.968060869330657e-05,0.390682877600193,1.0505684464590105e-07,4.632822148131766e-09,7.528685091529041e-06,1.930137925043596e-08,5.52311900037239e-07,9.128539133484991e-08,3.860843122538427e-07,8.462593914515536e-09,9.43375955131387e-08
priorregion1_spot_25,3.665783676609635e-08,9.271707313018851e-09,0.0007105692144250499,0.48694645166397094,1.255125762327225e-05,2.9235987403808392e-05,0.0018870527332182974,0.00012729504887829535,0.2279619760811329,2.259400488924257e-07,6.364992714225082e-07,1.1174131896041217e-05,1.7965111798190494e-08,9.586017711171734e-07,2.455969607240149e-07,1.3198284648296977e-06,1.343202216119721e-08,1.859456830288764e-07
