	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	1.19622925e-08	5.7040513e-08	2.444473e-06	0.5987684	3.535648e-06	0.008657453	3.731789e-07	7.1695797e-07	0.39256588	1.8590494e-07	7.740864e-09	2.16902e-07	9.646115e-09	3.5326184e-07	5.8138248e-08	1.8241221e-07	7.0371753e-09	1.0092415e-07
priorregion1_spot_2	5.78816e-09	1.999642e-08	1.9592308e-06	6.5537637e-07	1.0915805e-05	8.4413495e-07	0.12740374	0.12938465	0.7431954	1.6650738e-07	1.02288675e-08	8.169741e-07	3.5880667e-08	1.9951163e-07	1.0513156e-07	2.3614645e-07	7.260768e-09	1.8589517e-07
priorregion1_spot_3	1.271506e-08	1.5389139e-08	2.8011718e-07	0.05167382	2.8092136e-06	1.3923326e-06	4.372833e-06	9.489781e-07	0.79975444	1.4518858e-07	8.832914e-09	0.14856075	1.1235267e-08	3.0745443e-07	1.082301e-07	4.4278016e-07	6.3870713e-09	1.9854346e-07
priorregion1_spot_4	6.5173493e-09	1.6727533e-08	1.8373876e-05	0.4039555	8.2822065e-05	6.940622e-07	0.00020467948	0.038929712	0.5568057	9.726563e-08	1.13257e-08	1.7647412e-06	7.547801e-09	1.9296175e-07	6.183765e-08	1.9249639e-07	6.949284e-09	1.0665577e-07
priorregion1_spot_5	7.841533e-09	1.3758136e-08	4.732288e-06	0.3517845	1.839617e-05	3.5742522e-07	0.01885252	0.0074876146	0.6191289	0.0006815473	1.2162736e-08	0.0020400186	9.102419e-09	9.6544184e-08	7.2968055e-07	1.3476932e-07	7.2690103e-09	3.6744194e-07
priorregion1_spot_6	1.1433421e-08	2.3257293e-08	1.768159e-06	0.46897757	7.839649e-06	1.643653e-06	0.052816786	9.0835865e-06	0.47818142	1.2022606e-07	1.7433127e-08	3.1367645e-06	1.4005873e-08	2.6717038e-07	1.04603615e-07	1.5805135e-07	1.4524272e-08	1.0876407e-07
priorregion1_spot_7	1.354678e-08	8.053128e-08	3.4638478e-07	0.18174256	0.000117123294	4.491263e-07	0.15606432	0.0002005326	0.64318836	2.1988214e-07	9.965595e-09	0.012406898	1.5494487e-08	1.6861507e-07	0.0062782927	2.1353303e-07	7.2729027e-09	3.6341592e-07
priorregion1_spot_8	7.2459936e-09	1.5661865e-08	5.266942e-06	0.5104246	2.0113255e-06	1.507378e-07	2.2939457e-05	0.08065013	0.40889442	6.216874e-08	2.3562109e-08	1.422371e-07	9.16647e-09	8.30875e-08	3.3490526e-08	1.00100344e-07	4.7209845e-09	6.4874804e-08
priorregion1_spot_9	6.794111e-09	1.9257284e-08	0.11567667	0.29521006	0.02161314	3.2422855e-07	6.978425e-06	0.00010548879	0.56738615	1.04608006e-07	9.0884615e-09	6.6204865e-07	6.9524674e-08	1.3462778e-07	8.2727496e-08	1.13087395e-07	7.46815e-09	7.822409e-08
priorregion1_spot_10	6.870991e-09	2.649839e-08	2.943377e-07	0.090467066	8.727343e-06	3.3995838e-07	0.06805794	0.024290422	0.8139279	1.1643618e-07	1.38671e-08	1.9462537e-07	1.1256214e-08	1.1239029e-07	1.1940739e-07	1.10958844e-07	5.4417812e-09	0.0032467968
priorregion1_spot_11	1.0878031e-08	1.2973201e-08	4.8255635e-07	0.15631126	2.4885933e-06	7.312269e-07	2.6660562e-05	3.673891e-06	0.7730384	1.6569292e-07	7.440379e-09	0.070614316	7.77194e-09	1.1382384e-06	1.5029852e-07	3.338062e-07	5.3308553e-09	1.876716e-07
priorregion1_spot_12	2.154873e-09	8.745228e-09	1.6408426e-07	0.2441593	1.1757091e-06	4.785419e-07	0.00019840802	2.9286482e-06	0.75563675	6.134121e-08	4.1884833e-09	2.1749389e-07	4.8860707e-09	1.4282082e-07	3.9780694e-08	1.653751e-07	2.527315e-09	5.8758157e-08
priorregion1_spot_13	1.043186e-08	1.4057797e-08	0.0069342703	0.40482798	0.0009250354	0.059688747	1.7339666e-05	5.7727902e-05	0.49712858	2.6276726e-07	1.6853399e-08	2.4337137e-06	1.3141303e-08	0.0064603235	1.786862e-07	0.023956833	6.624576e-09	2.2633924e-07
priorregion1_spot_14	8.691112e-09	2.342898e-08	1.9116236e-05	0.31897166	4.305542e-06	1.797667e-07	4.401143e-06	0.07591119	0.60508823	1.5147678e-07	1.1873016e-08	2.0181218e-07	1.4428051e-08	9.999831e-08	7.680766e-08	1.2133376e-07	7.631756e-09	1.4482518e-07
priorregion1_spot_15	5.854592e-09	8.855492e-09	6.577033e-07	0.38746774	0.12799878	2.114821e-05	0.13455737	1.685143e-05	0.349936	5.40109e-08	1.0733225e-08	6.528449e-07	8.292785e-09	2.135087e-07	6.255161e-08	2.697422e-07	4.3238653e-09	1.0992768e-07
priorregion1_spot_16	9.282079e-09	1.2835987e-08	1.8688365e-07	2.1382054e-07	2.1555634e-07	2.5757413e-07	0.004909667	3.314729e-07	0.9950877	1.928632e-07	1.2670097e-08	5.359207e-07	1.4030684e-08	1.9590293e-07	1.1768368e-07	3.3376787e-07	7.5676105e-09	9.012383e-08
priorregion1_spot_17	6.641928e-09	5.7169864e-09	1.853787e-07	0.22642417	1.0422186e-05	1.6168718e-07	0.00034110455	5.6940207e-06	0.77317923	6.2174855e-08	4.819385e-08	3.8718073e-05	5.856352e-09	4.269672e-08	3.254844e-08	6.3066516e-08	2.8675986e-09	3.3748837e-08
priorregion1_spot_18	9.579109e-09	2.0229386e-08	3.5113428e-07	5.310193e-07	5.293782e-06	1.6709308e-06	0.22376832	8.644334e-05	0.77512914	2.441097e-07	0.0010063928	7.0765924e-07	2.8505465e-08	3.6823093e-07	7.443127e-08	2.6710916e-07	5.5780607e-09	2.3850149e-07
priorregion1_spot_19	7.718206e-09	3.2080536e-08	3.3449476e-06	0.04951881	0.1304219	2.1295466e-06	0.13912652	0.08816739	0.5924009	2.3169291e-07	1.3141877e-08	1.1798952e-05	1.6155036e-08	2.7337842e-07	1.5328561e-07	0.0003463993	5.7224354e-09	1.14687076e-07
priorregion1_spot_20	1.5272352e-08	2.1973554e-08	1.3921438e-05	0.3708079	1.7292246e-05	0.008661671	0.00015389021	2.981432e-05	0.62030876	1.6723129e-07	1.934902e-08	4.5822712e-06	1.4710901e-08	1.1365266e-06	1.0637558e-07	5.6138225e-07	8.739066e-09	2.411812e-07
priorregion1_spot_21	4.2368615e-09	1.2892876e-08	3.6487253e-07	1.3533987e-07	8.912654e-06	2.3560276e-06	0.12571934	0.0011439325	0.85916317	1.691854e-07	5.976624e-09	3.5891499e-06	8.4075245e-09	8.2034535e-07	9.452594e-08	0.013956966	5.7235905e-09	1.219392e-07
priorregion1_spot_22	8.213221e-09	7.831162e-09	1.8547055e-07	1.6018905e-07	5.7251937e-06	2.1802377e-07	0.00036864137	8.492505e-06	0.95857364	1.698828e-07	5.310274e-09	4.058968e-06	1.3764064e-08	2.9252914e-07	1.0550311e-07	0.041038204	7.311842e-09	6.483449e-08
