,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,3.175873963812137e-08,0.06429705023765564,9.316760588262695e-06,5.783821575278125e-06,6.2988909348860035e-06,8.289041488751536e-06,4.720014476333745e-06,0.08219332471489907,8.23268851490866e-06,4.166174312558724e-06,3.179490504212623e-09,1.9517878286023916e-06,1.4591200780955663e-08,0.24463948681950567,4.830639838360185e-07,0.19850292354822158,6.4436344482388115e-09,3.1879469446494114e-07
priorregion1_spot_2,1.695951254987449e-08,0.3385127276182175,8.70435695787819e-07,2.327247955236089e-06,2.8818962391596868e-06,1.6395057059526154e-06,3.309482372060302e-06,9.6113287213484e-07,0.006319031841121614,9.938346579474457e-07,2.567529078234543e-09,1.1028033497950673e-06,1.1972827040906967e-08,6.40017287878436e-07,6.543013228110795e-06,0.4826318770647049,6.831329280032606e-09,4.593709022060466e-07
priorregion1_spot_3,1.2650258653934543e-07,0.3834334835410118,2.083383435547148e-06,1.20660302854958e-05,5.078071444586385e-05,1.5441981486219446e-05,2.067291734419996e-06,4.932994556838822e-06,3.064227166760247e-05,1.989950951610808e-05,6.889177717184225e-09,1.8519971888508736e-06,1.538239224885274e-08,0.14989895671606066,1.014100314478128e-06,0.09461177289485931,4.935113162574113e-09,3.5422641104787543e-07
priorregion1_spot_4,1.1055365192191859e-07,0.10410360470414161,0.07852924279868602,9.140796919382412e-06,1.962795222425484e-05,7.099388244569127e-06,2.038330812865752e-05,0.09405710361897945,2.7785547331404812e-06,5.339034419193922e-06,1.515837069199222e-08,1.7212629791174548e-05,4.225371217358998e-08,0.17366365119814872,3.663846229073898e-07,0.34885567277669904,1.3584202429584025e-08,1.9808122928566262e-07
priorregion1_spot_5,5.299835130756492e-08,0.23213549926877022,6.319033286672493e-06,6.485160747615738e-06,2.8029714849253653e-05,8.957516956797918e-06,1.1938225134144886e-05,0.1213119737803936,1.0252458332615788e-05,4.04351362703892e-06,1.0581657239328024e-08,3.5458986303638084e-06,1.9399746342685377e-08,0.36080737262964246,3.2898251731694474e-07,9.053684952959884e-05,1.285883017843048e-08,3.074195277008585e-07
priorregion1_spot_6,1.9324160760447742e-07,0.32138586342334746,3.930346520064632e-06,1.0548278078204021e-05,2.2185549642017578e-05,6.2301578509504915e-06,7.913027548056562e-06,0.054787913151085374,3.858211039187154e-06,2.0506550640675413e-06,4.698809874525978e-09,1.0430095107949457e-05,9.616243890064879e-09,0.16480794847011568,3.1904306752039707e-07,0.09683356098830699,8.585964739182828e-09,9.641679866945197e-07
priorregion1_spot_7,5.1962814673345295e-08,0.5760777950286865,1.850300378691827e-06,8.551480050300598e-07,1.886052467625632e-06,2.274355142617424e-06,1.7617466994579444e-06,0.05821739677339792,1.5737344540411869e-06,5.043441547059046e-07,2.2179097114438665e-09,1.3121308199970374e-06,6.857463552556453e-09,0.23226837515830995,1.1508366881685106e-07,0.08123093321919442,1.3400687226550191e-08,1.871970063405115e-07
priorregion1_spot_8,3.653286402283129e-08,0.4744123041629791,5.253125777926471e-06,1.1033097007384641e-05,5.7215152082790155e-06,2.145195799130306e-06,3.440979639890429e-06,0.21735102459788325,1.298101524298545e-05,1.7020567440795277e-06,3.2562690877036005e-09,1.27491234138688e-06,1.59194201820867e-08,0.3224566251039505,1.539557160867844e-07,1.4067119820992956e-06,3.294635364525789e-09,2.588122924862546e-07
priorregion1_spot_9,1.008338987418256e-07,1.8018910197259431e-09,3.1993737707125548e-06,1.2041328716350108e-06,1.1964418945353829e-06,5.537985174441929e-07,2.3492461423302304e-06,0.0027525252895429734,9.053541390358077e-07,2.910352020535356e-06,3.5611367854571083e-09,1.3528183615107994e-06,2.2110991348966995e-08,2.16554473126962e-06,5.426376787909248e-07,0.6000449180603028,2.1925518178811385e-09,3.018793620412908e-07
priorregion1_spot_10,8.694153272870153e-08,0.1736038312315941,4.913361249236914e-06,3.08620623400202e-05,2.0783661238965578e-05,9.207307493852568e-06,2.3688338478677907e-05,0.320606854557991,5.7378434576094156e-06,4.9000200760929145e-06,2.1557047613640636e-08,4.855741894971289e-06,1.7105249483506672e-08,0.10123413950204849,7.447211771705042e-07,0.1907360538840294,1.1465649008002291e-08,5.897137242527606e-07
