	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	0.0068295086	0.5343098	0.038541067	7.3822235e-07	0.1944221	0.14877439	8.2814495e-07	5.6357876e-06	0.07709429	1.434554e-07	1.5247942e-07	2.2301435e-07	3.813421e-08	2.7589417e-07	1.6633402e-07	2.4762483e-07	2.0218664e-05	2.4165544e-07
priorregion1_spot_2	3.2554036e-07	0.62516093	3.1183492e-07	1.7260876e-07	1.7825339e-07	1.8694239e-07	1.6858253e-07	2.3348227e-07	1.2433001e-07	1.09552225e-07	0.37483582	1.4946906e-07	7.2787536e-08	1.65815e-07	1.9839014e-07	1.7558176e-07	3.9423415e-07	1.7753898e-07
priorregion1_spot_3	6.19952e-06	0.47026345	0.1749806	0.14507702	0.1432242	0.065628216	1.7282837e-06	3.6437834e-06	0.0008126435	2.9398487e-07	8.965204e-08	2.7084965e-07	1.5978761e-08	3.5936307e-07	2.625761e-07	2.8073578e-07	2.0220553e-07	4.667164e-07
priorregion1_spot_4	0.023438377	0.6037058	0.057887718	0.0037882775	0.14521457	0.015953839	0.05535822	0.06664779	1.2133296e-07	0.020579953	6.218378e-07	1.1294797e-07	2.2318547e-08	5.9411457e-07	0.0032848543	4.6065261e-07	0.0041380795	5.7021566e-07
priorregion1_spot_5	2.774531e-07	0.7364289	7.341232e-08	7.903821e-08	6.6585365e-08	6.181236e-08	7.429772e-08	7.457458e-08	4.8494275e-08	1.0327626e-07	0.26356933	7.192213e-08	3.3730494e-08	6.4386384e-08	1.416756e-07	6.789461e-08	4.0354266e-07	1.1257933e-07
priorregion1_spot_6	1.03085505e-07	0.36268345	0.028168062	0.23980145	0.192549	0.080934145	4.406587e-06	1.9423576e-06	0.056459047	2.3056111e-07	3.9885407e-08	2.9286184e-07	5.4699687e-08	0.011711926	1.2458697e-06	0.0027105084	7.142297e-08	0.024973907
priorregion1_spot_7	9.292995e-07	0.99876755	7.919745e-08	5.5412816e-08	9.203945e-08	6.454458e-08	7.781554e-08	7.328832e-08	5.9180564e-08	9.179375e-08	4.0986592e-07	8.986075e-08	0.00059197267	5.3819466e-08	9.162259e-08	6.617971e-08	0.0006378566	8.265081e-08
priorregion1_spot_8	8.636062e-07	0.42708573	0.0396898	0.00013124016	0.51035935	0.017455678	2.5667774e-05	3.640915e-06	3.0627413e-07	2.9010837e-07	2.2092027e-07	1.8237698e-07	2.553378e-08	5.025503e-07	2.861711e-07	6.0139115e-07	0.0052452893	4.6783828e-07
priorregion1_spot_9	1.9100335e-05	0.7602629	6.2301005e-08	6.648472e-08	1.0195916e-07	1.02203416e-07	1.2738974e-07	7.975346e-08	9.647687e-08	1.2677154e-07	0.040918905	4.05932e-08	1.2186156e-07	9.496837e-08	1.5840811e-07	9.091457e-08	0.1987976	8.8351186e-08
priorregion1_spot_10	1.3738287e-06	0.7054881	1.2061074e-07	8.9743274e-08	9.435753e-08	9.840892e-08	1.06829226e-07	1.2621976e-07	8.9926786e-08	1.1062091e-07	0.26991066	1.0358593e-07	0.02459798	1.002194e-07	1.41273e-07	9.7865076e-08	5.562024e-07	1.2965474e-07
