,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,1.7872510493788243e-08,5.47704046560682e-09,1.8209675488378708e-06,0.01920152623206377,1.6446978952444626e-05,0.3290821984410286,1.7511520923108036e-06,2.992379677380086e-06,1.355062278207697e-06,9.57603823792397e-08,1.1253063458838143e-08,5.066930270913872e-06,0.17875369638204575,3.477972299492649e-07,1.1903004768498703e-07,0.00013688761391676964,1.0124959626267582e-08,6.646159711465316e-08
priorregion1_spot_2,1.756863152735377e-08,1.56966817321802e-08,5.370860299080959e-06,6.218860585249788e-06,3.8072062011451633e-06,0.9279908448457719,4.018992376586539e-06,3.0733163271179365e-06,3.3414884455851287e-06,2.5266383261168814e-07,1.8380292898800833e-09,1.0687888243410271e-05,4.36894171951252e-09,1.5451019351075956e-06,1.2002953937439996e-07,9.160796679452689e-07,4.021748312155183e-09,1.3160268750311845e-07
priorregion1_spot_3,5.6183013974475673e-08,9.176630078044924e-09,3.805571418524778e-06,3.5081664009339875e-06,4.159781587986799e-06,0.6743464648723603,0.042064561322331426,0.01353254085406661,1.7883744874325202e-06,5.866491477490856e-07,6.300675048365179e-09,7.376672488135228e-06,1.0049362497710489e-08,4.65464015633188e-06,3.650564707413651e-07,6.962855763958943e-07,1.4486789601253492e-09,8.751381201932417e-08
priorregion1_spot_4,7.769290810699658e-08,1.5990369739427025e-08,1.4982697439336335e-05,0.02282976880669594,2.49018178692495e-05,0.8308061510324478,1.6396203409385635e-05,1.4965021000534763e-05,2.2581712755709306e-06,1.4277122147632328e-06,4.771915351753364e-09,5.431844647318939e-06,0.482931686937809,2.403437565590139e-05,9.977014542528196e-07,1.8752063169813485e-06,4.025485811354201e-09,3.21716380824455e-07
priorregion1_spot_5,5.721653373313984e-08,2.428848000501916e-09,1.4867399556806048e-06,4.468148020464469e-07,2.520803468541999e-06,0.9235092997550964,3.8693621718266515e-06,1.5856485151743983e-05,7.168906995502768e-06,1.8289975258767297e-07,2.02814250949146e-09,1.7187061757795164e-06,0.1797061190009117,4.128781006329519e-06,1.0637102825228339e-07,3.8380547380256767e-07,3.5042351687053508e-09,5.1660395961050654e-08
priorregion1_spot_6,6.356049452733714e-05,8.064646750405304e-09,5.443516351988364e-06,2.2284223291535456e-06,8.175377706720612e-06,0.36548001766204835,8.433622679149267e-06,0.007143590040504932,1.4258655073717821e-05,5.799688324259478e-06,4.766835393077429e-09,2.736602186814707e-06,0.22255495488643648,3.4302543440389855e-06,1.6680484634434833e-06,1.4985095447173082e-06,6.235053859882101e-08,5.447194325824968e-07
priorregion1_spot_7,1.3589629466181919e-08,1.490411333238129e-09,6.259548541720505e-07,4.88725714831162e-07,9.464681710369405e-07,0.4116442158818245,8.762973436660104e-07,3.5545233316724995e-07,9.585177139115332e-07,4.198563150481505e-08,1.6740832553541195e-09,1.9701332746535628e-06,0.40203524827957154,3.1584039419385593e-07,7.201243832355431e-08,1.1959316772447437e-07,1.565854423901669e-09,3.7984164080739906e-08
priorregion1_spot_8,3.812612199283194e-08,3.577418616895756e-09,2.11104049867572e-06,0.007293654838576914,1.3716333512547861e-06,0.17902563884854317,2.2478898358713197e-06,1.339159433655368e-06,3.74833616945125e-07,1.5430465865051702e-07,3.73743509474167e-09,8.425297983194468e-06,0.5951158493757248,5.385123330370334e-07,1.2013778594166524e-07,2.1841171857772678e-07,1.89218672952407e-09,6.197870128232807e-08
priorregion1_spot_9,1.599619339209824e-08,7.170683247181841e-09,2.0073186632885156e-07,2.371006942780696e-07,4.839876169171475e-07,0.515373370051384,1.2989448123335024e-06,5.056808817016645e-07,6.368955439484125e-07,4.7932612012857595e-08,1.2407491867261205e-09,5.563693179055918e-07,0.1379447855055332,6.738132867667446e-07,6.26753649868306e-08,9.203264959012359e-08,4.611954063094004e-09,3.794182052985206e-08
priorregion1_spot_10,1.8586796723951696e-08,8.880491142448932e-09,1.6198271680423205e-06,5.12395686769196e-07,5.467544360726607e-06,0.6724077582359314,1.843736799855833e-05,6.158189753477928e-05,0.0012781380501110109,3.716715184509667e-07,1.7685992004246032e-09,2.501925541764649e-06,0.3062027826905251,4.6044296198033413e-07,1.9997956215433988e-07,2.607306726076786e-07,4.993240088069229e-09,8.07597221097467e-08
