,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,0.36830729693174363,1.0517423487677036e-09,2.13777926774128e-06,2.50237885666138e-06,3.3411178833375742e-06,5.325885172169365e-06,9.12327045625716e-06,2.9368130185503105e-06,0.11284573636949063,1.2979812652247348e-06,4.554367083464684e-09,8.519457253441943e-07,3.2802138871801404e-08,2.60586944023089e-06,6.31835015951765e-07,0.2617707639932632,1.0211700329776362e-08,4.2015361003677757e-07
priorregion1_spot_2,3.8681034020271456e-08,6.006455111062792e-09,3.060556264244951e-05,0.004415255086496472,2.5786036985664396e-05,2.332262447453104e-05,1.9913269989046965e-05,2.492887406333466e-05,0.36807998865842817,5.665739035976003e-06,3.4654079605900285e-08,3.1047193488120687e-06,9.213302298860526e-08,0.04818197842687368,3.832176889773109e-06,0.4342270061373711,2.891705335628103e-07,5.3097004456503786e-05
priorregion1_spot_3,1.789289157727581e-07,1.0931963290161664e-08,2.043156553099834e-06,7.864934741519393e-06,3.750014479919628e-06,8.25474194243725e-06,1.0442003076605032e-05,4.261333265276335e-06,0.3857215330004692,5.8987799638998696e-05,3.5154844479912127e-09,0.00034148747799918057,3.236237215986648e-08,5.265228287498758e-06,2.4543561920609137e-07,0.40422539710998534,1.3865767645171447e-08,1.1561102780888178e-06
priorregion1_spot_4,0.28464875370264053,2.230228846045179e-08,2.8218638544785793e-05,3.882043129124213e-05,6.139615607025917e-06,9.121069251705195e-06,1.3525911117540091e-05,0.022653616871684792,0.21163999512791634,4.7109329443628665e-06,7.779787747352885e-09,1.3369043062994024e-05,2.6435866384844076e-08,1.8410007555758057e-06,1.4020190860719593e-06,0.2601970389485359,2.091812936200199e-08,1.5057065070323006e-06
priorregion1_spot_5,0.15751479268074037,1.1434504543217372e-08,2.1809070034350951e-07,7.490208759008965e-07,7.627692554024178e-07,2.2458219063992145e-06,8.921377485648918e-07,5.075706781099143e-07,0.2653790608048439,4.1507758368197757e-07,4.198141212441442e-09,5.648516690826e-07,1.898637158603833e-08,1.2642950423469302e-06,1.2255945662786872e-07,0.12417930662631989,8.943757512369645e-09,7.77976477905895e-08
priorregion1_spot_6,0.14024849906563758,3.227019507168194e-09,8.868859680433162e-07,6.619514920203074e-07,2.560475638802018e-06,5.596870755653073e-06,6.36856100300065e-07,4.471325866006737e-07,0.05379455853253603,5.680121262230386e-07,3.822741678760622e-09,5.308113486535149e-07,1.6114579093340355e-08,0.009562662849202751,4.4754071382158145e-07,0.0990065325051546,8.567768894351958e-09,5.201465054227584e-08
priorregion1_spot_7,0.21531951054930687,6.982067102256906e-09,1.8655847782156343e-06,1.4835001957180792e-05,2.0671223182944235e-06,1.664181054366054e-05,0.002156318665947765,1.4296906215349737e-06,1.0987931545969332e-05,6.6108922965213425e-06,3.0443287002412948e-09,1.2765912015311188e-05,1.6225028076632954e-08,1.4540310814936675e-06,2.849813753869057e-07,0.5247544825077056,2.1469709032828634e-08,5.735739705414745e-07
priorregion1_spot_8,0.20280554369091988,6.037368049938152e-09,4.54134778919979e-06,4.9708346296029046e-06,3.5397225133237953e-06,4.686427882916178e-06,5.622027838398936e-05,7.487930406568922e-06,0.6922742694616317,2.643307345806534e-06,5.399544522610711e-09,2.595473279143334e-06,1.673316099015665e-08,9.747293631789944e-07,5.12481310011026e-07,0.128316730260849,1.2312969621675053e-08,3.1045103128235495e-07
priorregion1_spot_9,0.39700186550617217,1.3581152913388906e-08,7.012735568423524e-06,2.9743254981440262e-05,1.6843232333485503e-05,1.2629063758140546e-05,2.174385517719202e-05,1.4657198744316703e-05,0.47989180982112883,8.761989147387795e-06,9.343230189529096e-09,5.557311806114739e-06,4.640261394683876e-07,5.289668024488492e-06,6.392664658960711e-07,0.095496766269207,1.7928893303320593e-08,1.428229541033943e-06
priorregion1_spot_10,0.3018931731581688,7.216420838673799e-09,8.995825810416137e-05,0.00031742277060402556,2.7861598482559202e-05,5.5797505410737355e-06,0.0011354112823028116,0.021088074427098036,0.19649828970432281,1.2816780190405554e-05,6.589274015311732e-09,9.693319179859828e-06,1.1740399301629625e-07,1.287586366061078e-06,1.494207435825956e-06,0.13667051643133163,1.186996523756534e-05,2.1682112901544314e-06
priorregion1_spot_11,0.42399739623069765,3.737022769012555e-09,6.829909875705199e-06,3.2002822308641047e-06,2.0347585063973385e-06,2.6676977813622216e-05,0.049054394476115704,0.007129954267293215,0.40761100351810453,3.7670049266580465e-07,2.8805796525865903e-09,9.015842067583436e-07,8.549268537549893e-09,8.301331774873689e-07,1.940661014998568e-07,1.6635736770354016e-07,2.589896974658501e-09,2.1557585370146625e-07
priorregion1_spot_12,0.22803942188620566,5.30197032944102e-09,7.901675826360589e-06,3.6377633023221277e-06,2.8436508955564933e-06,1.4319380284177898e-06,2.2858982902107527e-06,0.008910454111173749,0.24225520193576813,1.0991566455231807e-06,6.559712328879642e-09,1.1684745174989076e-06,1.4571166033761075e-07,6.082101435822551e-07,2.6826537293800354e-07,0.17587762027978898,2.0762461048207117e-07,2.354442322882733e-07
priorregion1_spot_13,0.06862795315682887,1.6082152676233363e-08,4.691243384513655e-06,7.166498949118249e-06,5.160119303582179e-06,2.2589170612263844e-06,1.7283747729379685e-05,0.005989840370602906,0.29691749364137654,4.066724659423927e-06,1.1500577690171098e-08,4.407716505738791e-06,0.11340829879045486,1.9960705117227924e-06,1.0366664582761588e-06,0.3615276157855988,4.948764207313161e-08,4.961360616562161e-07
priorregion1_spot_14,0.04905103798955679,6.5145833394453246e-09,4.2846109181482465e-06,1.5447407895408106e-05,8.522823691237136e-06,3.976741209044121e-06,3.43180196296089e-06,5.2996498425272875e-06,0.3915641695261001,3.4419853022882314e-06,7.343768482215297e-09,4.20048877458612e-06,0.0903794389218092,5.710357800126076e-06,8.440050265789978e-07,0.20980996787548065,4.2123294363705095e-08,4.49026028093158e-07
