,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,3.640198087406787e-10,3.251162872253133e-09,6.586932244090348e-09,1.5996377022986506e-08,4.972695721860987e-09,9.52518233177102e-09,4.26054085345129e-09,3.5024023348206875e-09,6.380338479772263e-09,3.2343733802342456e-09,1.535351693005005e-10,2.987165514944934e-09,3.500195508432391e-10,7.3547189005651605e-09,2.307315520866382e-08,4.649528473343879e-09,0.8319577038288116,7.1874076184030855e-06
priorregion1_spot_2,0.15731493905186655,1.0353692303510798e-08,1.8172297075125246e-06,3.6147207310932573e-06,2.7670317763295322e-06,0.12118135318160056,3.1434216111847493e-06,2.255870060707821e-06,4.982659743291152e-06,2.6638886311047826e-06,0.04850772246718407,3.6285438227423587e-06,1.9548878356090428e-07,8.097394265860203e-06,0.2203435719013214,2.0050392890880177e-06,0.08031688630580902,2.7046194531976654e-06
priorregion1_spot_3,8.499824346586138e-08,8.731826994790027e-09,2.594501006569772e-06,2.4763174565123335e-06,2.313543143372954e-06,0.10446024090051652,3.137944713671459e-06,3.3457728704888725e-06,1.3479759331858078e-06,1.2686338959611022e-05,0.2790921196341515,1.001454802462831e-06,1.220700243109718e-08,8.048198287724517e-05,0.20574025958776473,6.988638489247024e-07,0.281545053422451,1.424266940830421e-06
priorregion1_spot_4,0.39424501210451124,1.3883841454287453e-08,7.632007282154518e-07,2.8545151394610006e-06,1.8105901915532743e-06,4.374601917334075e-06,1.7141988223556837e-06,1.210971345244616e-06,7.048446991575474e-06,2.689789084797667e-06,0.1674942709505558,1.0580772084267663e-06,3.695921879653952e-08,2.847978585123201e-05,0.314125482738018,1.48293967185964e-06,0.16694108694791795,1.791991701338702e-06
priorregion1_spot_5,0.10158219747245312,3.165866395704598e-08,1.7325490091479878e-06,1.283358687942382e-06,7.818065625997406e-07,0.08909423053264619,9.646348331671106e-07,1.4145642808216508e-06,1.1601668632010842e-06,2.510997944682458e-07,0.14123264849185946,3.519695019349456e-06,2.6225266136492564e-08,1.4833362854460576e-06,1.2981399635236813e-07,6.084390520300076e-07,0.16852758750319483,2.0061918917235744e-07
priorregion1_spot_6,0.15244053378701208,1.3489297234769992e-08,1.9875475913977425e-06,1.534132306915126e-05,3.92653021208389e-06,1.4922081163604164e-06,8.490056728760464e-07,4.755867666972335e-06,8.051144192222638e-07,3.2809856065796336e-06,0.10618553012609482,2.515814867365407e-06,3.6805202796585944e-08,1.0180908986967552e-06,0.15034282803535462,9.825568497490168e-07,0.7844239503145218,1.344857314506953e-05
priorregion1_spot_7,0.11624665148556233,1.6344988207350752e-08,2.174863138861838e-05,2.8355305857985513e-05,1.1657491359073902e-05,0.0861787497997284,5.676517116626201e-06,3.283481191829196e-06,3.967078760069853e-06,5.914568646403495e-06,0.39501956403255467,1.8728626571373753e-06,2.5199896391825405e-08,1.708667587081436e-05,0.11675507389008999,5.957308349024971e-06,0.13998712003231048,2.4959911456789997e-06
priorregion1_spot_8,1.156630911935963e-07,1.980983208582643e-08,1.0413869802050613e-06,2.2802754642725633e-06,7.667761849461387e-07,6.849002630815448e-07,3.9025186566732377e-07,5.326617838363746e-07,1.3032121671585631e-06,2.3901522126834607e-05,0.18372861593961717,9.857588679551556e-07,1.7850752254133796e-08,1.1415207438858488e-06,0.2031206637620926,4.4169383954795195e-07,0.1286446675658226,0.021481479052454233
priorregion1_spot_9,0.33648539036512376,2.5583835316922433e-08,4.54384580734768e-06,1.0302234250048059e-05,4.891220032732236e-06,0.10746270269155501,4.47094610080967e-06,7.897806972323451e-06,2.515351013698819e-06,0.0004045856883749366,0.11768355704843997,3.8117875305943016e-06,1.3371412492801938e-07,0.000604352165828459,0.10503947250545025,5.515116617971217e-06,0.3841565400362015,2.2460620948550057e-05
priorregion1_spot_10,0.041628736630082125,2.984916411818972e-08,2.7117897388961865e-06,2.3141031078921514e-06,2.5810792749325627e-06,0.0836787924170494,4.062529637849366e-06,6.927525214450725e-06,4.92910064622265e-06,1.3918253614519926e-06,0.09517785608768464,1.5303405746180943e-06,1.724717385798158e-07,1.7909720895659122e-06,0.17761315479874612,2.822568490046251e-06,0.08491859808564187,1.3349453126920708e-06
