,q05_spot_factorsAstro,q05_spot_factorsEndo,q05_spot_factorsL2.3.IT,q05_spot_factorsL4,q05_spot_factorsL5.IT,q05_spot_factorsL5.PT,q05_spot_factorsL6.CT,q05_spot_factorsL6.IT,q05_spot_factorsL6b,q05_spot_factorsLamp5,q05_spot_factorsMacrophage,q05_spot_factorsNP,q05_spot_factorsOligo,q05_spot_factorsPvalb,q05_spot_factorsSncg,q05_spot_factorsSst,q05_spot_factorsVLMC,q05_spot_factorsVip
priorregion1_spot_1,1.754549252986908,8.243501747884353e-09,8.54263544169953e-07,1.3099606235300598e-06,6.721184007574265e-07,1.175145467868788e-06,0.2672310441732407,1.7484380407495337e-06,2.0954169372089383e-06,5.3062563587502614e-08,3.8710785132956005e-09,6.671199287211495e-07,7.746803838415417e-08,1.2680677059506705e-07,1.1102140042851263e-07,8.050225339673035e-08,4.12211664801987e-09,7.127185988053953e-08
priorregion1_spot_2,2.18671395778656,1.38861907750254e-08,4.37160252886315e-08,5.6205875509363075e-08,2.2545850786315214e-08,8.562839362014075e-08,6.974472590570712e-08,3.0154896535350427e-08,1.8129872625394226e-08,1.0883966838903802e-08,1.048389801638905e-08,2.7732493901311283e-08,0.008503507310524584,2.2571005064975225e-08,1.0117570425904888e-08,9.083924368269436e-09,1.7091472237495967e-08,7.604151641693592e-09
priorregion1_spot_3,0.8468764156103133,0.17630374506115912,4.353779644361567e-07,6.867029952672967e-07,4.618460070560104e-06,1.2304522897466087e-06,0.21488801538944244,1.3491741015059236e-06,6.766778733435787e-06,2.1851802642913756e-07,6.665733764954496e-09,0.14833645150065422,9.731143165936374e-07,6.773206052912429e-07,2.183365616303945e-07,3.526935145714561e-07,2.491539365934159e-08,8.035933447558819e-08
priorregion1_spot_4,2.087871599197388,2.7992213702532354e-08,4.0318892935431454e-08,8.269518119163876e-08,8.129110682375541e-08,1.4566201400612044e-07,1.7344626783710738e-07,7.558332804080692e-08,1.0545833504238545e-07,2.055940164780168e-08,1.4941376713650813e-08,1.0597328241601646e-07,3.69419719703501e-08,6.363865487912789e-08,4.753015083736046e-08,4.585981105975634e-08,3.0906342485259586e-09,5.3043327952195796e-08
priorregion1_spot_5,1.1588451206684114,3.24891638925351e-08,1.632135888485209e-06,1.934448408746903e-06,2.0091876308470092e-06,2.997337014676305e-06,0.1176029596477747,9.38602519795495e-07,5.027204764473936e-07,6.081862942153294e-08,5.835060523651237e-09,0.08495704270899296,7.929991063804209e-08,2.388737044611844e-07,4.8743292602182466e-08,9.539976382200168e-08,0.25351066738367084,1.1127196692939379e-07
priorregion1_spot_6,0.9357002317905426,2.202365365633341e-08,4.90475940750912e-07,1.735458432960968e-07,1.6702313473615507e-06,6.163957635862971e-07,0.0992180410772562,2.3084358872438316e-06,4.6323607193699e-06,8.824439596821778e-08,5.704404726358803e-09,2.136159969268192e-06,5.919221948147424e-08,4.0437209918309237e-07,1.3130248959214442e-07,2.0759265595415857e-07,0.1512050211429596,5.451779898635324e-08
priorregion1_spot_7,1.4141027212142943,1.665990252419647e-08,7.725861408403035e-08,4.2255931553825127e-08,4.660399710587626e-08,1.9124889405475193e-07,8.015939130245897e-08,6.683315021405179e-08,9.895076402699488e-08,2.2831211587970305e-08,3.651508861945985e-09,3.307793914331114e-08,1.5520901985865977e-08,2.978545623477658e-08,1.7713653210904567e-08,3.1167755132344156e-08,1.6897543204663636e-07,3.2590402199161876e-08
priorregion1_spot_8,1.8113670289516448,1.1070597727425025e-08,4.003670113661429e-07,7.23699957916324e-07,6.921713435303903e-07,9.107647741757321e-07,0.13079151138663292,7.095847280425005e-07,3.867653686029371e-06,7.249243942908379e-08,9.046618343333536e-09,6.375989926254989e-07,7.100610588395284e-08,2.482102317458157e-07,1.111650735907688e-07,5.983078530391595e-08,7.249664091268926e-09,3.9930925765929716e-08
priorregion1_spot_9,1.9089202165603636,2.2999104309917586e-08,5.4472467425625843e-08,9.066839155025264e-08,9.315405620213823e-08,1.6889133434006e-07,4.590046369656875e-08,1.271309329808901e-07,5.21023151733857e-08,1.7937981766635858e-08,5.156602012057477e-09,1.761036891423373e-07,4.755098643727252e-06,1.389508639704218e-07,1.9842241272272078e-08,1.1719223955708457e-07,0.5280589640140534,1.8113537425534788e-08
priorregion1_spot_10,0.9981271833181381,3.870043507880894e-09,8.850072333643766e-07,6.464192011890192e-07,2.0717219854304863e-06,5.22214267562049e-07,0.5425858110189438,1.7524605482321935e-06,0.06813569292426108,1.247372594548324e-07,1.2222941048189998e-09,9.33193533114718e-07,8.095509187455719e-08,1.5304025453133363e-06,1.070793732793618e-07,1.8833670338835877e-07,4.109709106359106e-09,6.871356177384768e-08
priorregion1_spot_11,0.6679432123899459,1.2611700239695268e-09,8.729197998036399e-06,7.385319975128368e-07,7.320942927435682e-08,2.339102394444126e-07,8.404554208141235e-08,3.653627516086999e-07,3.4538174631393305e-08,1.0175738296425152e-07,1.0201424682776405e-08,1.5051204371729912e-07,1.1296553337203365e-08,7.146740372832028e-08,6.428449772499789e-08,1.7083439374232513e-08,1.053770609660276e-09,1.419454500606321e-08
priorregion1_spot_12,1.494659888744354,1.9189695343868606e-08,1.1571378593089323e-06,9.261011001626684e-07,9.532454714644701e-06,2.380143644131749e-06,0.3878161445260048,1.0492980982235167e-05,0.00032395345187978823,3.883293810957866e-08,5.7527257180112214e-09,2.9794952183692664e-06,9.033107311040567e-08,2.4420011897063886e-07,9.142408643469937e-08,2.65474280070066e-07,9.552490398689886e-09,3.029356037131947e-08
priorregion1_spot_13,0.9401492565870285,3.525706593343614e-09,1.7177972679860432e-07,1.0543455346123665e-06,9.130086624509204e-07,9.18530349736102e-07,0.12075981236994267,3.0701260470777925e-06,0.05649696830660105,3.677763462661687e-08,4.419677290812275e-09,3.2667707273503765e-06,5.458625533805161e-08,9.086105485778262e-08,2.0663777089424687e-08,1.6585213060693608e-07,7.587284356347368e-09,4.68240441975354e-08
priorregion1_spot_14,0.8993320226669312,0.25325958877801896,1.195457821623336e-08,6.886590253607496e-09,6.945508146394275e-09,8.956921915270755e-09,1.6513882172830565e-08,9.909181386547063e-09,4.483398741150779e-09,3.6941635084275505e-09,1.3842997859114805e-09,6.308223055029318e-09,8.591823519310538e-09,6.0176095439956615e-09,3.3491918238759412e-09,3.508383927819381e-09,4.768687844602937e-09,3.802410808440016e-09
priorregion1_spot_15,2.2593971967697146,8.792015115943741e-09,1.0914728010291698e-08,1.7633147031403952e-08,3.1359378915851725e-08,7.485006925378458e-08,3.613279453418272e-08,3.30235174317295e-08,2.0661846455993782e-08,1.995094240925255e-08,6.026746473253297e-06,6.883509939825672e-08,1.9696457354001495e-08,6.728162560420971e-08,6.714975668842271e-08,3.1006310940995264e-08,1.1486247197822763e-08,2.5985488250057643e-08
priorregion1_spot_16,1.9708499372005461,4.750367943451296e-09,3.3409038202592e-08,5.839330938783861e-08,7.063116811423243e-08,1.2111766380940026e-07,1.230249008443707e-07,3.882994015214081e-08,4.957650148185167e-08,2.602667251494495e-07,3.683018390265858e-09,2.73529340688583e-07,2.0478754777286667e-06,6.869891961969188e-07,1.1490181996975936e-07,1.1766820620096043e-07,5.6860629094046546e-09,2.761458945954587e-08
priorregion1_spot_17,1.967656022310257,3.33213703296309e-09,3.1115867926700955e-08,4.2620076534660714e-08,4.7933192348637025e-08,7.381074880186134e-08,3.3709609681409346e-08,3.772756826947443e-08,4.3230265589500056e-08,5.19666793152851e-08,4.9500454402107146e-09,5.651964425368306e-08,5.142789856193985e-08,4.896221863504025e-08,4.452328017379159e-08,1.7984205946675048e-08,2.851611313303693e-07,1.1823666179466843e-08
priorregion1_spot_18,1.1513549983501434,0.7871404111385345,5.645575162915862e-09,8.924777983310151e-09,1.09881164611636e-08,2.7081817144392064e-08,8.90147804355479e-09,1.355312289064159e-08,9.333998773897178e-09,5.605947461795325e-09,1.919329406518955e-09,1.0198109512415954e-08,1.3293391720736737e-08,4.279917731331295e-09,2.2336186589200223e-08,4.639883943724499e-09,6.367930427408908e-09,7.313909833328581e-07
priorregion1_spot_19,1.2353148579597473,1.7555802500623946e-08,6.299303379364575e-07,1.4918218198545219e-06,2.985581306802487e-06,9.450714657077697e-07,0.07458066269755363,8.531858065907727e-06,0.014906557416543365,3.8690692072407275e-08,5.597111418786937e-09,0.1433207519352436,2.9336046214467627e-08,2.0974548604613118e-07,5.547830408403343e-08,1.2567938583174508e-07,6.21524776089899e-09,5.0352312896961854e-08
priorregion1_spot_20,0.3211744651198387,7.534612000981155e-09,1.3876697721570963e-05,0.006841585412621498,3.1168319878815966e-06,7.716803054336198e-07,0.16985959112644197,1.4027988584075504e-06,3.654267260344568e-07,4.9942094548782735e-08,1.1642203645578776e-09,0.17346099242568017,4.548286511862898e-08,8.310035042313758e-08,1.7940473551192326e-08,6.252710029741593e-08,0.21317457184195518,7.825764303248662e-09
