	Astro	Endo	L2.3.IT	L4	L5.IT	L5.PT	L6.CT	L6.IT	L6b	Lamp5	Macrophage	NP	Oligo	Pvalb	Sncg	Sst	VLMC	Vip
priorregion1_spot_1	0.3473777	0.00029989757	1.7849959e-06	0.055227898	6.796601e-06	0.0003887137	0.44626513	1.15451685e-05	9.142676e-07	2.4957685e-06	0.002358417	3.6906247e-05	1.1337857e-07	0.037306413	0.07350062	3.2074287e-05	2.3075243e-05	0.037159435
priorregion1_spot_2	0.80123025	0.16917427	1.13623976e-07	3.2624305e-07	1.0372699e-07	1.2194599e-07	9.826759e-08	1.0140452e-07	6.043382e-08	1.794829e-07	1.8295856e-06	1.0297153e-07	0.012132226	1.8329462e-07	1.6152326e-07	1.529245e-07	0.017459622	2.4541126e-07
priorregion1_spot_3	0.10826813	0.15201952	7.431582e-06	0.022678044	0.0013157662	0.11010538	0.24668941	0.09447454	1.3493958e-06	1.2783217e-06	8.996241e-08	0.12965871	0.0007377287	4.6829987e-06	0.11180216	0.00088042574	0.021351727	3.5653059e-06
priorregion1_spot_4	0.88754207	0.060472917	1.2932342e-07	1.4504712e-07	1.1644042e-07	1.3453226e-07	1.4275918e-07	1.06463766e-07	9.229308e-08	1.8302867e-07	0.0041901944	1.8780823e-07	3.740144e-07	2.6464062e-07	2.3911267e-07	2.3498151e-07	0.047792107	5.040781e-07
priorregion1_spot_5	0.19196962	0.033180673	0.082148015	8.7639444e-07	1.61712e-06	0.042216387	0.28257647	4.953263e-06	3.5405392e-07	1.7050336e-06	2.4890946e-06	0.031768154	3.4227103e-08	0.005998345	0.07264069	8.9723824e-07	0.25748837	2.9638616e-07
priorregion1_spot_6	0.23046413	0.038059622	8.087356e-06	4.836812e-07	0.110761225	8.019221e-06	0.16458657	0.19507116	3.1631519e-06	2.5473656e-07	8.536968e-07	2.3706987e-06	3.5092128e-07	0.022752153	0.058000844	1.4897279e-06	0.18027881	4.1622167e-07
priorregion1_spot_7	0.91448647	0.085501045	2.3802113e-07	1.5003333e-07	1.757741e-07	1.2504986e-06	2.0037345e-07	1.9361153e-07	2.7109172e-07	5.8133895e-07	2.6598204e-07	2.3960808e-07	1.1575081e-07	6.082869e-07	5.9909354e-07	6.2158193e-07	6.6791677e-06	5.1930897e-07
priorregion1_spot_8	0.47002047	0.045480486	2.5917427e-06	0.19071558	5.153324e-06	0.06374732	0.2197492	2.7062267e-06	5.41498e-07	4.420123e-07	2.912901e-07	3.1592213e-06	1.456027e-07	6.187064e-07	0.0036505149	0.0034424798	0.0031719464	6.3591706e-06
priorregion1_spot_9	0.3211552	0.2517259	2.0167504e-07	1.1395143e-07	1.1405907e-07	2.387474e-07	1.6520555e-07	1.787024e-07	9.364025e-08	4.81434e-07	3.4866698e-05	1.272046e-07	0.0059473505	0.012919071	3.5939547e-07	3.6121e-07	0.4082147	4.1510987e-07
priorregion1_spot_10	0.1077772	3.0187543e-06	0.010305687	0.093249135	0.2626754	0.014873301	0.3656728	0.0743709	5.5048826e-05	1.3698345e-06	2.4507493e-08	0.070226714	1.3567154e-08	1.6494266e-06	5.337375e-06	0.0007465561	3.027677e-05	5.5291584e-06
priorregion1_spot_11	0.7402565	0.039880376	0.19896427	5.693203e-07	5.222023e-07	7.0402683e-07	3.3245132e-07	5.285851e-07	2.734876e-07	0.02088876	1.2105447e-07	3.3868804e-07	1.3491595e-07	4.193391e-07	5.7268875e-07	2.8505784e-07	4.8917987e-06	2.7902394e-07
priorregion1_spot_12	0.25628763	0.0063818647	6.527693e-06	4.4525955e-06	0.05987207	0.00048450567	0.47549123	0.056767546	1.318721e-06	4.5017936e-07	0.0062235827	0.12956315	4.2626283e-08	2.0994587e-06	7.580919e-07	0.0025116415	0.0063943397	6.5762374e-06
priorregion1_spot_13	0.25222838	0.028377596	1.6353997e-06	0.1333889	0.24653055	7.998044e-07	0.089513145	0.050930493	0.19898765	4.223706e-07	1.17625774e-07	2.1203246e-06	2.7684052e-08	1.7726425e-07	5.750236e-07	4.4882992e-07	3.6487574e-05	4.7471238e-07
priorregion1_spot_14	0.33021933	0.6416083	0.007393697	2.6881435e-07	3.5102502e-07	2.526234e-07	1.8328853e-07	7.0788553e-07	1.2198115e-07	1.4943462e-06	3.1338945e-07	1.5692325e-07	7.157005e-08	6.250206e-07	3.4303037e-06	0.020744989	2.4707484e-05	9.475363e-07
priorregion1_spot_15	0.7211712	0.0028109944	6.7375076e-08	8.9055284e-08	6.77796e-08	7.53767e-08	6.572704e-08	7.091436e-08	5.7845465e-08	7.521305e-08	0.00057201623	9.958532e-08	1.3321029e-06	1.0997407e-07	1.0197547e-07	1.1616655e-07	0.2754431	2.418551e-07
priorregion1_spot_16	0.8886701	0.07290242	7.6836875e-07	4.957967e-07	3.286508e-07	5.7312303e-07	5.349571e-07	3.6374084e-07	2.2823681e-07	7.4604117e-07	8.6492633e-07	0.030892668	0.007187264	2.0656296e-06	2.1074543e-06	2.8354707e-06	0.00033226016	3.357223e-06
priorregion1_spot_17	0.7710647	0.07378338	1.2310329e-07	9.528778e-08	1.7445397e-07	1.8393168e-07	1.3758647e-07	1.2688665e-07	1.221346e-07	2.0435309e-07	1.6190388e-06	2.7004194e-07	2.939286e-07	7.5303285e-07	8.881509e-07	4.5718207e-07	0.00014940795	0.15499732
priorregion1_spot_18	0.25515503	0.48679855	0.023508912	2.1587056e-07	6.9150127e-07	2.4197254e-07	2.1245481e-07	7.813405e-06	8.0074514e-08	0.08613198	4.5527646e-05	1.4629349e-07	2.026921e-07	6.473469e-07	2.1689611e-05	4.4452012e-05	0.10083283	0.04745082
priorregion1_spot_19	0.29077497	0.0053164014	5.6789486e-06	0.010512091	0.10252495	0.05504466	0.269823	5.0987783e-05	4.1417525e-07	9.037159e-06	1.8953803e-07	0.13162817	6.7989035e-08	2.6807688e-06	1.1854017e-06	0.12649164	0.0078096944	4.057944e-06
priorregion1_spot_20	0.048701677	0.022015061	0.20167145	5.4233647e-06	0.1769075	0.00013197458	0.24776009	4.9047496e-05	0.058047984	3.1394686e-06	1.3443743e-07	0.096233554	1.93729e-08	1.3421425e-06	0.021047734	0.018778846	0.108644545	3.6584663e-07
